RU,BE,Value
не раз,не раз,0.14210526315789473
все равно,ўсе роўна,0.11184210526315791
только что,толькі што,0.1414473684210526
тут же,тут жа,0.02631578947368421
до сих пор,да гэтай пары,0.256578947368421
в ответ,у адказ,0.15789473684210525
в сторону,ўбок,0.35855263157894735
на себя,на сябе,0.10526315789473684
по существу,па сутнасці,0.2210526315789474
всю жизнь,ўсе жыцце,0.2781954887218045
в результате,у выніку,0.23947368421052628
на свете,на свеце,0.10902255639097744
разве что,хіба толькі,0.3125
в том числе,у тым ліку,0.28421052631578947
как только,як толькі,0.14144736842105263
а то и,а то і,0.3263157894736842
после того как,пасля таго як,0.10728744939271255
чем больше,чым больш,0.1875
хотя и,але не,0.32456140350877194
оттого что,ад таго што,0.19407894736842107
да ведь,ды зусім,0.368421052631579
хотя бы,як мінімум,0.46491228070175433
тем более,тым больш,0.24853801169590642
прежде чем,перш чым,0.21052631578947367
по слухам,па чутках,0.2006578947368421
таким образом,такім чынам,0.13377192982456138
во всяком случае,ва ўсякім разе,0.20350877192982456
между прочим,мiж iншым,0.20334928229665075
можно сказать,можна сказаць,0.035885167464114825
в сущности,у сутнасці,0.1871345029239766
как известно,як вядома,0.2157894736842105
по его мнению,на яго думку,0.24696356275303646
одним словом,адным словам,0.0645933014354067
что называется,што называецца,0.1194331983805668
судя по всему,мяркуючы па ўсім,0.4019138755980862
ради Бога,дзеля бога,0.1907894736842105
все же,усе ж,0.22631578947368422
еще и,яшчэ і,0.493421052631579
что ли,ці што,0.3631578947368421
не то что,не тое што,0.23308270676691728
едва ли не,ледзьве не,0.20760233918128654
ничего подобного,нічога падобнага,0.07543859649122807
да ладно,ды годзе,0.12406015037593984
не иначе как,няйначай як,0.09473684210526316
почти что,амаль што,0.27960526315789475
именно что,іменна што,0.2598684210526316
как бы не так,як бы не так,0.19473684210526312
всего-навсего,ўсяго толькi,0.23464912280701755
несмотря на,нягледзячы на,0.24736842105263157
в конце,ў канцы,0.15789473684210525
рядом с,побач з,0.19736842105263158
вплоть до,аж да,0.34210526315789475
в виде,у выглядзе,0.8421052631578947
с целью,з боку,0.19298245614035087
по поводу,з нагоды,0.12828947368421054
в силу,ў сілу,0.12631578947368421
недалеко от,недалека ад,0.09736842105263158
за счет,за кошт,0.27368421052631575
по окончании,па заканчэнні,0.16746411483253587
с учетом,з улікам,0.10150375939849623
