RU,BG,Value
не раз,не веднъж,0.33684210526315794
все равно,все едно,0.13815789473684212
только что,току-що,0.12171052631578946
тут же,още начаса,0.8
до сих пор,досега,0.17105263157894737
в ответ,в отговор,0.2587719298245614
в сторону,встрани,0.10855263157894737
на себя,на себе си,0.22807017543859648
по существу,по същество,0.09736842105263158
всю жизнь,цял живот,0.32706766917293234
в результате,в резултат,0.1
на свете,на света,0.05263157894736842
разве что,освен да,0.16447368421052627
в том числе,в това число,0.2236842105263158
как только,още щом,0.2763157894736842
а то и,че даже и,0.563157894736842
после того как,след като,0.26720647773279355
чем больше,колкото повече,0.506578947368421
хотя и,макар и,0.17543859649122806
оттого что,от това че,0.19078947368421054
да ведь,та нали,0.2789473684210526
хотя бы,най-малкото,0.49999999999999994
тем более,още повече,0.38596491228070173
прежде чем,преди да,0.18128654970760233
по слухам,според слухове,0.39144736842105265
таким образом,по такъв начин,0.16447368421052627
во всяком случае,във всеки случай,0.1385964912280702
между прочим,между другото,0.14832535885167464
можно сказать,може да се каже,0.1842105263157895
в сущности,в същност,0.13157894736842105
как известно,както е известно,0.23157894736842105
по его мнению,по негово мнение,0.1821862348178138
одним словом,с една дума,0.2822966507177034
что называется,дето се вика,0.18016194331983804
судя по всему,съдейки по всичко,0.299043062200957
ради Бога,за бога,0.14802631578947367
все же,все пак,0.1631578947368421
еще и,още и,0.34868421052631576
что ли,ли е,0.268421052631579
не то что,камо ли,0.2293233082706767
едва ли не,едва ли не,0.1023391812865497
ничего подобного,нищо подобно,0.17017543859649123
да ладно,добре де,0.20300751879699247
не иначе как,без друго,0.2684210526315789
почти что,почти като,0.23026315789473684
именно что,именно че,0.08552631578947367
как бы не так,как ли пък не,0.1842105263157895
всего-навсего,всичко на всичко,0.23026315789473684
несмотря на,въпреки че,0.25263157894736843
в конце,в края на,0.2894736842105263
рядом с,редом с,0.05701754385964912
вплоть до,чак до,0.17293233082706766
в виде,във вид на,0.3947368421052631
с целью,от страна на,0.5614035087719298
по поводу,по повод на,0.11513157894736842
в силу,по силата на,0.5684210526315789
недалеко от,недалече от,0.13421052631578947
за счет,за сметка на,0.5736842105263157
по окончании,след свършването,0.3564593301435407
с учетом,с оглед на,0.2593984962406015
