RU,UK,Value
не раз,не раз,0.02631578947368421
все равно,все одно,0.18092105263157898
только что,тільки шо,0.13157894736842107
тут же,тут же,0.12105263157894738
до сих пор,до сих пір,0.05592105263157894
в ответ,у відповідь,0.5964912280701754
в сторону,убік,0.4144736842105263
на себя,на себе,0.07017543859649122
по существу,по сутi,0.2263157894736842
всю жизнь,ціле життя,0.3872180451127819
в результате,в результаті,0.05526315789473685
на свете,на світі,0.13157894736842105
разве что,хіба що,0.19407894736842107
в том числе,в тому числі,0.18157894736842106
как только,як тільки,0.06249999999999999
а то и,а то й,0.1368421052631579
после того как,після того як,0.12753036437246965
чем больше,чим більше,0.08552631578947367
хотя и,хоча і,0.06140350877192982
оттого что,від того що,0.3322368421052631
да ведь,але ж,0.23684210526315785
хотя бы,хоча б,0.13596491228070173
тем более,тим більше,0.12573099415204678
прежде чем,перш ніж,0.21929824561403508
по слухам,за чутками,0.25
таким образом,таким чином,0.14035087719298245
во всяком случае,в будь-якому випадку,0.28421052631578947
между прочим,між іншим,0.18421052631578946
можно сказать,можна сказати,0.08373205741626794
в сущности,в істоті,0.17251461988304093
как известно,як відомо,0.22105263157894742
по его мнению,за його думкою,0.2145748987854251
одним словом,одним словом,0.08133971291866028
что называется,що називається,0.10931174089068826
судя по всему,судячи з усього,0.1507177033492823
ради Бога,ради бога,0.0888157894736842
все же,все ж,0.15789473684210525
еще и,ще і,0.34210526315789475
что ли,чи що,0.3526315789473684
не то что,не те що,0.07894736842105263
едва ли не,чи не,0.33333333333333337
ничего подобного,нічого подібного,0.09999999999999999
да ладно,ну гаразд,0.2781954887218045
не иначе как,не інакше як,0.12894736842105264
почти что,мало не,0.21052631578947364
именно что,саме що,0.22368421052631582
как бы не так,як би не так,0.05263157894736842
всего-навсего,усього-на-всього,0.15570175438596492
несмотря на,незважаючи на,0.23947368421052634
в конце,у кінці,0.2192982456140351
рядом с,поруч з,0.206140350877193
вплоть до,аж до,0.3270676691729323
в виде,у формі,0.3684210526315789
с целью,із боку,0.3114035087719298
по поводу,з приводу,0.2105263157894737
в силу,з огляду на,0.5684210526315789
недалеко от,неподалік від,0.23947368421052634
за счет,за рахунок,0.4842105263157894
по окончании,після закінчення,0.31100478468899523
с учетом,з урахуванням,0.4398496240601504
