RU,BE,Value
не однажды,не раз,0.20175438596491227
все равное,ўсе роўна,0.18947368421052632
лишь что,толькі што,0.381578947368421
тут как,тут жа,0.14473684210526316
до этой поры,да гэтай пары,0.08157894736842106
в отказ,у адказ,0.10087719298245613
в бок,ўбок,0.1631578947368421
на себе,на сябе,0.12280701754385964
по сущности,па сутнасці,0.12894736842105264
целая жизнь,ўсе жыцце,0.2789473684210526
в выводе,у выніку,0.24812030075187969
на мире,на свеце,0.24561403508771928
ошибка только,хіба толькі,0.1507177033492823
в том количестве,у тым ліку,0.3214285714285714
как просто,як толькі,0.22514619883040934
а то да,а то і,0.3631578947368421
после того кто,пасля таго як,0.17611336032388664
чего больше,чым больш,0.2309941520467836
алло не,але не,0.28421052631578947
от того почему,ад таго што,0.2392344497607656
да совсем,ды зусім,0.1151315789473684
тот минимум,як мінімум,0.11842105263157891
тем больше,тым больш,0.15789473684210525
прежде нежели,перш чым,0.2982456140350877
по молве,па чутках,0.20676691729323307
таким чином,такім чынам,0.04736842105263158
во всяком разе,ва ўсякім разе,0.1030701754385965
между другими,мiж iншым,0.23026315789473678
возможно сказать,можна сказаць,0.14473684210526316
по суткам,у сутнасці,0.2894736842105263
как ведомо,як вядома,0.07017543859649122
на его мысль,на яго думку,0.18899521531100477
одним словам,адным словам,0.0645933014354067
что называют,што называецца,0.18421052631578944
предполагая по всему,мяркуючы па ўсім,0.21883656509695285
для Бога,дзеля бога,0.24812030075187969
все то же,усе ж,0.2894736842105263
далее и,яшчэ і,0.2730263157894737
маловероятно ли,ці што,0.3263157894736842
не это что,не тое што,0.17763157894736842
еле не,ледзьве не,0.6421052631578947
ничего как,нічога падобнага,0.4444444444444444
не то кабы,ды годзе,0.2105263157894737
нянькой как,няйначай як,0.195906432748538
едва что,амаль што,0.23684210526315788
именно чтобы,іменна што,0.26315789473684215
как бы не да,як бы не так,0.283625730994152
всего только,ўсяго толькi,0.12894736842105264
невзирая на,нягледзячы на,0.2033492822966507
в концы,ў канцы,0.15789473684210525
подле с,побач з,0.21052631578947367
даже до,аж да,0.17982456140350875
с внешности,у выглядзе,0.33157894736842103
с боку,з боку,0.005263157894736842
с повода,з нагоды,0.16541353383458646
в сообщение с,ў сілу,0.3574561403508772
неподалеку с,недалека ад,0.17464114832535885
за стоимость,за кошт,0.22368421052631576
после завершения,па заканчэнні,0.21362229102167182
с отчетом,з улікам,0.10526315789473684
