RU,BG,Value
не однажды,не веднъж,0.2134502923976608
все одно,все едно,0.06766917293233082
 сейчас что,току-що,0.21929824561403508
еще на час,още начаса,0.26900584795321636
до сегодня,досега,0.20175438596491227
в отповедь,в отговор,0.12171052631578946
в страны,встрани,0.011278195488721804
на себе,на себе си,0.2149122807017544
по веществу,по същество,0.12631578947368421
целый живот,цял живот,0.12368421052631577
в выводе,в резултат,0.2593984962406015
на мире,на света,0.21052631578947367
кроме да,освен да,0.28571428571428575
в то число,в това число,0.2532894736842105
еще тотчас,още щом,0.27960526315789475
что даже и,че даже и,0.09064327485380116
след как,след като,0.17763157894736842
сколько повесток,колкото повече,0.20488721804511278
конечно и,макар и,0.2748538011695906
однако что,от това че,0.13157894736842105
та ли,та нали,0.30921052631578944
наименьший,най-малкото,0.21637426900584794
еще повестка,още повече,0.16746411483253587
приди да,преди да,0.04887218045112782
согласно слухам,според слухове,0.2218045112781955
по такому способу,по такъв начин,0.20350877192982458
во всякий случай,във всеки случай,0.11654135338345864
между другим,между другото,0.11483253588516745
может себе сказать,може да се каже,0.16447368421052633
в сущность,в същност,0.08552631578947367
как это известно,както е известно,0.14170040485829963
за его мнение,по негово мнение,0.21052631578947367
с одной мыслью,с една дума,0.24291497975708504
его зовут,дето се вика,0.20760233918128654
судить по всему,съдейки по всичко,0.25438596491228066
за бога,за бога,0.03070175438596491
все снова,все пак,0.21052631578947367
больше и,още и,0.18045112781954886
или есть,ли е,0.3082706766917293
уже ли,камо ли,0.29999999999999993
почти что не,едва ли не,0.2263157894736842
ничего подобно,нищо подобно,0.1194331983805668
хорошо же,добре де,0.2269736842105263
без другого,без друго,0.12894736842105264
почти как,почти като,0.2138157894736842
именно а,именно че,0.14661654135338345
как ли не,как ли пък не,0.2744360902255639
все на все,всичко на всичко,0.5394736842105263
вопреки чему,въпреки че,0.12679425837320574
на краю,в края на,0.2744360902255639
в ряд с,редом с,0.4407894736842105
пока до,чак до,0.2324561403508772
на вид,във вид на,0.42105263157894735
от страны на,от страна на,0.021052631578947368
на поводу,по повод на,0.1513157894736842
по силе,по силата на,0.39473684210526305
не дальше чем,недалече от,0.24210526315789474
за сметой,за сметка на,0.20065789473684212
по завершению,след свършването,0.22672064777327935
с оглядкой на,с оглед на,0.16746411483253587
