RU,PL,Value
неоднократно,niejednokrotnie,0.08771929824561403
все одно,wszystko jedno,0.40601503759398494
перед минутой,przed chwilą,0.256578947368421
а тут,a tu,0.14473684210526316
далее,nadal,0.21929824561403505
в отповедь,w odpowiedzi,0.18092105263157893
в бок,w bok,0.1
на себе,na siebie,0.14912280701754388
в реальности,w rzeczywistości,0.29999999999999993
целое житие,całe życie,0.19736842105263158
в результате чего,w rezultacie czego,0.08270676691729323
на мир,na świecie,0.43157894736842106
кажется же,chyba że,0.18092105263157895
в том,w tym,0.15263157894736842
как лишь,jak tylko,0.2894736842105263
либо и,albo i,0.1894736842105263
от момента когда,od momentu kiedy,0.08270676691729323
их больше,im większy,0.2556390977443609
хочешь и,choć i,0.23308270676691728
из того же,z tego że,0.0756578947368421
а ведь,ale przecież,0.743421052631579
где бы,gdyby chociaż,0.5157894736842105
тем больше,tym bardziej,0.1611842105263158
за ним,zanim,0.02631578947368421
как голос славы,jak głosi fama,0.20813397129186603
таким вот способом,w taki oto sposób,0.20526315789473684
в каждом случае,w każdym razie,0.1484962406015038
вскользь говоря,nawiasem mówiąc,0.3486842105263158
можно поведать,można powiedzieć,0.10964912280701755
в основе речи,w gruncie rzeczy,0.21770334928229665
как ведомо,jak wiadomo,0.14035087719298245
моим зданием,moim zdaniem,0.10307017543859648
единым словом,jednym słowem,0.07489878542510123
что значит,co znaczy,0.1695906432748538
глядит на то,wygląda na to,0.26052631578947366
на милосердие Бога,na miłosierdzie boskie,0.1671826625386997
ведь однако,więc jednak,0.283625730994152
также и,także i,0.11403508771929824
что как,czy jak,0.16666666666666666
в дополнении,w dodatku,0.23205741626794257
необработанные,nieomalże,0.26691729323308266
нет подобного,nic podobnego,0.06578947368421052
что там,co tam,0.11842105263157894
как по-иному,nie inaczej jak,0.3157894736842105
лишь не,nieledwie,0.4210526315789474
то именно,to mianowicie,0.4736842105263158
но же,a zasię,0.3618421052631579
что один,czy jeno,0.2894736842105263
не заботясь о,nie bacząc na,0.18157894736842106
к концу,w końcu,0.07894736842105263
у бока,u boku,0.05789473684210526
аж до,aż do,0.019736842105263157
в облике,w postaci,0.22932330827067668
от стороны,od strony,0.07309941520467836
с повода,z powodu,0.03759398496240601
на силу,na mocy,0.1842105263157895
недалеко за,niedaleko za,0.034210526315789476
на расходы,na koszt,0.2309941520467836
у ученого,po skończonym,0.347953216374269
с уважением,na uwadze,0.2655502392344498
