RU,BE,Value
на свеце,на свече,0.10526315789473684
ды годзе,ты где,0.16917293233082706
у адказ,y otkaz,0.05701754385964912
побач з,посмотри,0.2763157894736842
няйначай як,начинайте так,0.23157894736842105
у тым ліку,там столько,0.324561403508772
па сутнасці,по существу,0.20095693779904308
няйначай як,ывфвывф,0.3421052631578948
але не,если не,0.19924812030075187
дзеля бога,ради бога,0.1526315789473684
яшчэ і,ыфвфвф,0.34962406015037595
побач з,посмотри с,0.3201754385964912
ледзьве не,чуть не,0.3078947368421052
па сутнасці,по сущности,0.11722488038277512
ледзьве не,"однако в рассказах дяди захара, едва ли не сказочное место и время проведение, слушатели ловили самое смешное",1.0210526315789477
як бы не так,kak by ne tak,0.15182186234817815
як бы не так,я не такой,0.22469635627530365
ды зусім,ты совсем,0.10526315789473684
не тое што,не то же самое,0.27192982456140347
ды годзе,шости,0.22932330827067668
у выніку,на изнанку,0.28947368421052627
няйначай як,и,0.4526315789473684
ледзьве не,нельзя не,0.22631578947368422
з боку,s vidu,0.11578947368421053
усе ж,вфвфыв,0.5263157894736842
у выглядзе,как выглядит,0.2302631578947368
яшчэ і,eshe i,0.22932330827067668
але не,а не,0.2894736842105263
тут жа,"«она ехала в свердловск», — сказал я  что пришло в голову, и сразу подумал: «а, может, и правда: она поехала в свердловск?»",1.889473684210527
не тое што,ни то что,0.1695906432748538
ды годзе,да ты что,0.16165413533834586
ўсе жыцце,все еще,0.2222222222222222
з улікам,с виду,0.26691729323308266
да гэтай пары,da getai,0.18660287081339716
ўсе жыцце,уже живу,0.20760233918128654
яшчэ і,ярче,0.21052631578947367
іменна што,что именно,0.2942583732057416
нягледзячы на,наглядеться на,0.17004048582995956
нічога падобнага,ничего подобного,0.07543859649122807
як вядома,я ведомо,0.08187134502923976
на свеце,в мире,0.2730263157894737
ад таго што,од того что,0.15526315789473685
ці што,это,0.31954887218045114
усе ж,все ж таки,0.631578947368421
усе ж,всё же,0.28289473684210525
яшчэ і,хотя и,0.21428571428571427
адным словам,одним словом,0.0645933014354067
чым больш,чем болс,0.17105263157894735
такім чынам,таким чинам,0.04736842105263158
з нагоды,с помощью,0.2565789473684211
на свеце,на свете,0.09539473684210525
перш чым,прежде чем,0.2706766917293233
побач з,навстречу к,0.5219298245614035
у выніку,в следствии,0.40460526315789463
у адказ,в ответ,0.15789473684210525
як вядома,"как известно, пчелы нужны для того, чтобы делать мёд.",0.9473684210526319
ды годзе,да перестань,0.33458646616541343
няйначай як,начинай,0.22368421052631576
у выглядзе,у,0.45833333333333337
па заканчэнні,po okonchanii,0.14692982456140347
толькі што,"старшина беллорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное произведение автора максима богдановича, только что выпущенное фондом культуры",1.0263157894736843
ад таго што,аж такого что,0.13157894736842107
да гэтай пары,да той пары,0.11961722488038277
не раз,ner,0.27192982456140347
ўсяго толькi,всякого только,0.1411483253588517
ды зусім,и совсем,0.19548872180451127
з нагоды,с визитом,0.24013157894736842
што называецца,ч,0.48245614035087714
ледзьве не,едва не,0.17631578947368423
з улікам,по росту,0.2706766917293233
ды зусім,да -чаем,0.15037593984962405
у выніку,"сикхизм — религия, зародившаяся на индийском субконтиненте. он появился в 15 веке в регионе пенджаб в результате возникновения различных сектантских групп в индуизме.",1.3289473684210527
ці што,ili chto,0.17293233082706766
ўсяго толькi,vsego tol'ko,0.13397129186602869
ўсяго толькi,усажены только,0.16028708133971292
па заканчэнні,в конце,0.27631578947368424
ды годзе,л,0.3157894736842105
перш чым,чем,0.31954887218045114
ўсе роўна,все равно,0.11184210526315791
