RU,BG,Value
встрани,встетила,0.21428571428571427
в същност,в сытности,0.13486842105263158
на света,на свете,0.05263157894736842
та нали,так налили,0.30263157894736836
за бога,ради,0.24122807017543857
камо ли,то ли,0.24122807017543857
макар и,так и,0.2324561403508772
за бога,боже,0.28070175438596484
без друго,без того,0.15789473684210525
най-малкото,по меньшей мере,0.3131578947368421
преди да,"прежде, чем",0.23308270676691728
по силата на,cila v,0.3131578947368421
според слухове,раньше,0.35425101214574894
встрани,со стороны,0.18421052631578946
все пак,все равно,0.30701754385964913
във всеки случай,во,0.43045112781954875
по силата на,по силам,0.19736842105263158
още щом,о чем,0.28289473684210525
по такъв начин,ывфв,0.43522267206477727
по повод на,и по случаю твоего **** прими *** самые искренние.,1.1608187134502923
току-що,"зал заслонило врата беше девяти номер, в какойто току",1.4999999999999996
от това че,"да не би да ми стане по-леко от това, че е машина от това чеда ми стане по-леко от това, че е машина.",0.9912280701754388
камо ли,кам,0.25
редом с,ryadom,0.24122807017543857
встрани,в сторону,0.12406015037593984
въпреки че,гш,0.431578947368421
както е известно,ка известно,0.2011278195488722
в резултат,в результате,0.1111111111111111
още повече,ещё известно,0.2081339712918661
за сметка на,за смету на,0.0868421052631579
с оглед на,с учётом,0.24342105263157893
с оглед на,в связи,0.28618421052631576
след като,поэтому,0.2039473684210526
все едно,au secours!,0.30451127819548873
дето се вика,это всё,0.2342105263157895
с една дума,он думал,0.24269005847953215
според слухове,до начала,0.27732793522267213
че даже и,а может и,0.26608187134502925
още начаса,на час,0.3253588516746412
още начаса,еще начался,0.2583732057416268
все пак,такого нет,0.45175438596491224
в края на,в край,0.1875
недалече от,недалеко,0.19617224880382778
в края на,в края,0.125
с оглед на,с оглядкой,0.14802631578947367
от това че,из-за того что,0.19298245614035087
още и,также,0.3070175438596491
почти като,почти конец,0.2131578947368421
досега,вот это,0.10964912280701754
с една дума,с,0.44444444444444453
чак до,как до,0.14473684210526316
едва ли не,чуть ли не,0.2532894736842105
от това че,от того что,0.1695906432748538
по същество,существенно,0.21531100478468898
не веднъж,не ведомо,0.1907894736842105
след като,следом,0.25
досега,досегла,0.14473684210526314
без друго,без другой,0.09868421052631579
още и,и так,0.2763157894736842
още щом,о чём,0.29276315789473684
въпреки че,вопреки что,0.05789473684210526
за сметка на,7щ,0.42105263157894735
камо ли,с кем ни,0.2719298245614035
във всеки случай,в всякий случай,0.17857142857142858
най-малкото,?,0.2789473684210526
още повече,еще вчера,0.2511961722488038
преди да,поэтому,0.15037593984962405
след свършването,это будет полезно и самому сарафину при его **** **** ***** после окончания земного *****.,0.5175438596491229
именно че,как раз,0.3157894736842105
още щом,потому что,0.3782894736842105
според слухове,перед,0.3481781376518218
от това че,поэтому,0.30409356725146197
цял живот,хотел жить,0.26608187134502925
може да се каже,может так говорят,0.19736842105263158
все едно,всеровно,0.16917293233082706
в края на,в края на,0.006578947368421052
встрани,странно,0.09022556390977443
за бога,слава богу,0.28508771929824556
във всеки случай,во вс,0.36654135338345856
