RU,UK,Value
нічого подібного,ничего,0.32456140350877194
за чутками,за чуть-чуть,0.17543859649122806
у формі,"фактически все компьютеры, которыми сегодня пользуются, практикуют обработку информации закодированную бинарными числами.",1.8377192982456134
але ж,да будет,0.625
мало не,немало,0.22807017543859645
саме що,сами что,0.09398496240601503
тут же,и тут же,0.42105263157894735
ціле життя,полного житья,0.23421052631578948
у відповідь,не знаю,0.284688995215311
від того що,в виду того что,0.18181818181818185
з огляду на,с,0.45029239766081874
можна сказати,5,0.4451754385964913
перш ніж,мы первые,0.3496240601503759
між іншим,между прочи,0.2222222222222222
не раз,никогда,0.35789473684210527
але ж,как же,0.45394736842105265
все ж,vse,0.19736842105263158
не раз,"однажды я был поранен стрелою. потом хирурги перевязали рану, залепляную землей, смешанной с по",2.357894736842106
але ж,но же,0.35526315789473684
тільки шо,"того, что",0.21428571428571427
між іншим,ме,0.38888888888888895
в будь-якому випадку,в всяком случае,0.26006191950464397
чи що,что еще,0.4473684210526316
саме що,именно что,0.2706766917293233
на світі,"перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",1.4868421052631577
як тільки,только,0.2631578947368421
як відомо,tak vidimo,0.12368421052631579
одним словом,в общем,0.3062200956937799
хоча б,"******* признается совершенным на территории украины, если его исполнитель или хотя бы один из соучастников ***** на территории украины.",2.178947368421053
у формі,у,0.41666666666666663
від того що,от того,0.33253588516746413
із боку,из боку,0.008771929824561403
у кінці,v kontze,0.2669172932330827
чи не,если не,0.6381578947368421
з приводу,с установкой,0.368421052631579
за чутками,po sluxam,0.2309941520467836
від того що,в итоге что,0.19617224880382775
у формі,в виде,0.2763157894736842
перш ніж,переж тем,0.17669172932330826
мало не,мало того,0.22807017543859645
але ж,а то ж,0.125
за його думкою,ego muslyami,0.22064777327935226
за його думкою,в его мнение,0.22672064777327938
таким чином,таким статусом,0.19210526315789472
в тому числі,в том числе,0.18157894736842106
з огляду на,по причине,0.1695906432748538
аж до,вфы,0.28289473684210525
після того як,"после того, как сопротивление группы бухарина было сломлено, пересмотру этого решения ничто не ******",0.6842105263157894
але ж,а и,0.2631578947368421
в результаті,в результатах,0.1236842105263158
все ж,все же,0.19736842105263158
убік,вбок,0.1907894736842105
між іншим,можем,0.26023391812865493
з огляду на,со стороны,0.12573099415204678
саме що,a,0.43984962406015027
не інакше як,не,0.42105263157894746
із боку,со стороны,0.4780701754385965
усього-на-всього,один на всех,0.21491228070175436
таким чином,таким образом,0.16842105263157894
убік,6г,0.4013157894736842
як би не так,как,0.3736842105263158
таким чином,таким обз,0.1894736842105263
чи не,это не,0.3157894736842105
за рахунок,вместе,0.30409356725146197
в будь-якому випадку,а,0.49071207430340563
поруч з,ручка,0.32894736842105265
у формі,у форме,0.021929824561403508
у кінці,у кон,0.24812030075187969
не те що,не,0.37593984962406013
поруч з,рядом с,0.206140350877193
хоча і,хоть и,0.13157894736842105
з огляду на,с учётом,0.1871345029239766
за рахунок,за счёт,0.2573099415204678
з урахуванням,в соответствии,0.3201754385964912
як тільки,я только,0.12171052631578946
перш ніж,первый из,0.16917293233082706
у кінці,в конце,0.18796992481203006
мало не,мало,0.18859649122807018
в результаті,v rezultate,0.15000000000000002
на себе,"всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",1.7456140350877187
тут же,"коли ж навідався до делятина, його хтось побачив і тут же здав.",3.0855263157894735
ще і,ещ,0.44736842105263164
чи не,что ли,0.30921052631578944
поруч з,ыфвфы,0.3464912280701754
не інакше як,не инач,0.26315789473684215
таким чином,5,0.4052631578947368
з огляду на,из-за,0.3801169590643275
неподалік від,неподалёку от,0.09716599190283401
чи не,как бы,0.29605263157894735
ціле життя,все,0.3947368421052631
перш ніж,перел,0.22932330827067668
після закінчення,пмсьма,0.38947368421052625
з приводу,поводу,0.18750000000000003
на себе,на с,0.2631578947368421
саме що,самое что,0.22932330827067668
перш ніж,перед ним,0.19924812030075187
за чутками,за зака,0.21052631578947367
усього-на-всього,как никак,0.2850877192982456
між іншим,между теми,0.22514619883040934
як відомо,н,0.4868421052631578
хоча б,хочет бы,0.28421052631578947
чи що,ес,0.32105263157894737
а то й,с тем,0.28289473684210525
за його думкою,н,0.47165991902834004
по сутi,по сути,0.017543859649122806
саме що,самые что,0.21052631578947367
мало не,практически не,0.6885964912280701
тим більше,те,0.39144736842105265
поруч з,поручни,0.19736842105263158
в істоті,по сути,0.1611842105263158
ну гаразд,ну хорошо,0.13157894736842105
не те що,не то что мы,0.22180451127819548
із боку,с краю,0.25877192982456143
в будь-якому випадку,с какой стороны,0.28018575851393185
з приводу,я не знаю,0.32565789473684215
у відповідь,в ведповать,0.13636363636363638
усього-на-всього,na,0.4429824561403509
як відомо,как следует,0.21842105263157896
а то й,не понимаю,0.9539473684210527
не те що,"не те, что",0.19924812030075187
з урахуванням,засчет,0.32456140350877194
тим більше,тем больше,0.04934210526315789
перш ніж,первый ниже,0.2744360902255639
від того що,вил того кто,0.16507177033492823
саме що,саме,0.24812030075187969
що називається,е,0.5037593984962405
одним словом,odnim,0.27272727272727276
за чутками,по слухам,0.2222222222222222
ради бога,п,0.4276315789473684
за рахунок,за счет,0.26900584795321636
між іншим,mezhdu prochim,0.23391812865497075
хіба що,похлебка,0.2781954887218045
все одно,всё одно,0.09022556390977443
не раз,ни рах,0.1
тільки шо,тооько что,0.2744360902255639
