phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}",не раз відаць яны пра гэта гаварылі…,"{'не': 5.602888107299805, 'раз': 10.934436798095703, 'відаць': 2.1885223388671875, 'яны': 0.41028594970703125, 'пра': 0.012065887451171875, 'гэта': 0.004634857177734375, 'гаварылі…': 8.554425239562988}",не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}",не раз видно они об этом говорили…,"{'не': 5.523954391479492, 'раз': 8.28853988647461, 'видно': 9.55502700805664, 'они': 4.681148529052734, 'об': 0.0021514892578125, 'этом': 0.022058486938476562, 'говорили…': 9.65811824798584}",не однажды,"{'не': 3.508631706237793, 'однажды': 12.757257461547852}",не однажды видно они об этом говорили…,"{'не': 4.2521820068359375, 'однажды': 13.034558296203613, 'видно': 10.903294563293457, 'они': 5.056283950805664, 'об': 0.0026302337646484375, 'этом': 0.024364471435546875, 'говорили…': 10.479207992553711}"
ўсе роўна,"{'ўсе': 9.817269325256348, 'роўна': 6.988624572753906}","і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.","{'і': 4.687288284301758, 'колькі': 4.450780868530273, 'б': 0.03768730163574219, 'я': 3.2548484802246094, 'не': 0.05646705627441406, 'зарабляў,': 5.940820693969727, 'хоць': 0.0004711151123046875, 'мільён,': 0.6330013275146484, 'сто': 1.7553062438964844, 'мільёнаў,': 1.0224952697753906, 'табе': 0.4852867126464844, 'ўсе': 6.3253631591796875, 'роўна': 1.3598594665527344, 'будзе': 0.06049346923828125, 'мала.': 5.309900283813477}",все равно,"{'все': 1.8039226531982422, 'равно': 4.80443000793457}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равно будет мало.","{'и': 2.9544334411621094, 'сколько': 0.024576187133789062, 'бы': 0.016656875610351562, 'я': 5.690672874450684, 'не': 0.713653564453125, 'зарабатывал,': 1.112314224243164, 'хоть': 0.0011615753173828125, 'миллион,': 0.9377288818359375, 'сто': 1.2129535675048828, 'миллионов,': 1.4960575103759766, 'тебе': 4.142719268798828, 'все': 0.2623882293701172, 'равно': 0.010015487670898438, 'будет': 0.10257148742675781, 'мало.': 0.9487953186035156}",все равное,"{'все': 5.205415725708008, 'равное': 7.581143379211426}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равноее будет мало.","{'и': 3.041170120239258, 'сколько': 0.036365509033203125, 'бы': 0.03805351257324219, 'я': 6.278430938720703, 'не': 0.45443153381347656, 'зарабатывал,': 1.1136341094970703, 'хоть': 0.0015811920166015625, 'миллион,': 0.7493228912353516, 'сто': 1.1491012573242188, 'миллионов,': 1.6114177703857422, 'тебе': 4.866437911987305, 'все': 0.3079414367675781, 'равноее': 14.83493709564209, 'будет': 0.09917259216308594, 'мало.': 0.6521530151367188}"
толькі што,"{'толькі': 9.266556739807129, 'што': 5.362068176269531}","старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.","{'старшыня': 4.569944381713867, 'беларускага': 0.04655647277832031, 'фонду': 1.0127239227294922, 'культуры': 0.10559272766113281, 'уладзімір': 2.7049131393432617, 'гілеп': 19.16434669494629, 'прэзентаваў': 1.6375808715820312, 'у': 1.239267349243164, 'ялце': 16.576600074768066, 'новае': 0.7735061645507812, 'арыгінальнае': 1.0545654296875, 'выданне': 0.6729373931884766, 'твораў': 2.6998291015625, 'максіма': 5.683168411254883, 'багдановіча,': 9.884745597839355, 'толькі': 0.03719139099121094, 'што': 0.026487350463867188, 'выпушчанае': 0.5830307006835938, 'ў': 1.4724998474121094, 'свет': 8.931089401245117, 'фондам': 0.7320022583007812, 'культуры.': 0.5842514038085938}",только что,"{'только': 4.640101432800293, 'что': 5.232168197631836}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, только что выпущенное в свет фондом культуры.","{'председатель': 1.1002426147460938, 'белорусского': 5.833573341369629, 'фонда': 0.12520599365234375, 'культуры': 0.0268402099609375, 'владимир': 0.8481864929199219, 'гилеп': 18.036410331726074, 'презентовал': 0.5052223205566406, 'в': 0.007883071899414062, 'ялте': 0.32652854919433594, 'новое': 1.3872051239013672, 'оригинальное': 2.4675207138061523, 'издание': 0.2302379608154297, 'произведений': 5.405085563659668, 'максима': 4.01472282409668, 'богдановича,': 1.154642105102539, 'только': 0.003124237060546875, 'что': 0.03183174133300781, 'выпущенное': 0.20296478271484375, 'свет': 0.4083366394042969, 'фондом': 0.2985877990722656, 'культуры.': 0.7589626312255859}",лишь что,"{'лишь': 2.380401611328125, 'что': 8.564455032348633}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, лишь что выпущенное в свет фондом культуры.","{'председатель': 1.1422176361083984, 'белорусского': 5.882038116455078, 'фонда': 0.11849403381347656, 'культуры': 0.028585433959960938, 'владимир': 0.8543529510498047, 'гилеп': 17.942520141601562, 'презентовал': 0.5234203338623047, 'в': 0.010175704956054688, 'ялте': 0.32817840576171875, 'новое': 1.3983116149902344, 'оригинальное': 2.5768585205078125, 'издание': 0.23385238647460938, 'произведений': 5.401618003845215, 'максима': 4.066597938537598, 'богдановича,': 1.164358139038086, 'лишь': 8.988558769226074, 'что': 2.994932174682617, 'выпущенное': 0.23860931396484375, 'свет': 0.3570213317871094, 'фондом': 0.3541889190673828, 'культуры.': 0.8573923110961914}"
тут жа,"{'тут': 1.6000852584838867, 'жа': 12.543909072875977}","— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..","{'—': 0.0147247314453125, 'у': 0.06070709228515625, 'свярдлоўску': 0.2180023193359375, 'сыйшла,': 0.47618675231933594, 'сказаў': 0.010046005249023438, 'я': 0.5727405548095703, 'першае,': 2.0880985260009766, 'што': 0.14673614501953125, 'прыйшло': 1.2111282348632812, 'ў': 1.481454849243164, 'галаву,': 0.6523284912109375, 'і': 1.0865211486816406, 'тут': 0.04395294189453125, 'жа': 0.012775421142578125, 'падумаў:': 0.12203216552734375, '“а,': 7.147228240966797, 'можа,': 0.08335113525390625, 'праўда:': 2.5872182846069336, 'сыйшла?..': 9.513861656188965}",тут же,"{'тут': 0.9143085479736328, 'же': 3.6271419525146484}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут же подумал: ""а, может, и правда, в свердловске?..","{'―': 0.22645950317382812, 'в': 0.011735916137695312, 'свердловске': 0.49318885803222656, 'сошла,': 11.447253227233887, 'сказал': 0.29888153076171875, 'я': 0.41144275665283203, 'первое,': 0.0178375244140625, 'что': 0.002605438232421875, 'голову': 0.0012607574462890625, 'пришло,': 0.06441116333007812, 'и': 0.0055561065673828125, 'тут': 0.09626197814941406, 'же': 0.013217926025390625, 'подумал:': 0.20520782470703125, '""а,': 4.602546691894531, 'может,': 0.4671306610107422, 'правда,': 1.5747661590576172, 'свердловске?..': 7.942704200744629}",тут как,"{'тут': 1.2557392120361328, 'как': 7.859615325927734}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут как подумал: ""а, может, и правда, в свердловске?..","{'―': 0.2533912658691406, 'в': 0.00983428955078125, 'свердловске': 0.4122047424316406, 'сошла,': 11.420713424682617, 'сказал': 0.34722137451171875, 'я': 0.405181884765625, 'первое,': 0.025310516357421875, 'что': 0.0032939910888671875, 'голову': 0.0021839141845703125, 'пришло,': 0.13230133056640625, 'и': 0.0059528350830078125, 'тут': 1.5589351654052734, 'как': 12.40987777709961, 'подумал:': 1.5564098358154297, '""а,': 5.390192985534668, 'может,': 0.3782825469970703, 'правда,': 1.5706310272216797, 'свердловске?..': 7.438048362731934}"
да гэтай пары,"{'да': 6.7693681716918945, 'гэтай': 19.62681245803833, 'пары': 16.497276306152344}",да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,"{'да': 8.618570327758789, 'гэтай': 0.9802951812744141, 'пары': 2.0692005157470703, 'яны': 0.7643852233886719, 'мне': 2.5304527282714844, 'любоўна': 6.599892616271973, 'кажуць:': 0.7272891998291016, '“якое': 2.933218002319336, 'гладкае': 1.4521427154541016, 'ў': 0.091552734375, 'цябе': 2.769947052001953, 'і': 1.3903312683105469, 'мускулістае': 9.589192390441895, 'цела…”': 5.5662031173706055}",до сих пор,"{'до': 0.5212326049804688, 'сих': 0.009592056274414062, 'пор': 0.053165435791015625}","до сих пор они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 1.413909912109375, 'сих': 0.0021991729736328125, 'пор': 0.0020732879638671875, 'они': 2.3190441131591797, 'говорят': 0.15074539184570312, 'мне:': 0.7583484649658203, '""какое': 0.17562294006347656, 'у': 0.0010929107666015625, 'тебя': 0.4024677276611328, 'гладкое': 5.563116073608398, 'и': 0.7415618896484375, 'мускулистое': 1.4737205505371094, 'тело…': 8.682405471801758, '""': 1.4296836853027344}",до этой поры,"{'до': 1.239034652709961, 'этой': 2.856844902038574, 'поры': 5.5275678634643555}","до этой поры они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 4.325366020202637, 'этой': 3.5812110900878906, 'поры': 3.77996826171875, 'они': 1.781296730041504, 'говорят': 2.185230255126953, 'мне:': 1.4986333847045898, '""какое': 0.19367218017578125, 'у': 0.00112152099609375, 'тебя': 0.3788604736328125, 'гладкое': 5.632411956787109, 'и': 0.7380561828613281, 'мускулистое': 1.6238422393798828, 'тело…': 8.040502548217773, '""': 1.6190366744995117}"
у адказ,"{'у': 6.781225204467773, 'адказ': 28.197749137878418}","ступак нешта мармытаў у адказ, што мала разумее сам.","{'ступак': 17.11909580230713, 'нешта': 0.687255859375, 'мармытаў': 12.418836116790771, 'у': 4.677635192871094, 'адказ,': 5.798100471496582, 'што': 1.7802906036376953, 'мала': 10.245656967163086, 'разумее': 3.1771907806396484, 'сам.': 8.851791381835938}",в ответ,"{'в': 5.0988359451293945, 'ответ': 8.780405044555664}","ступак мямлил в ответ, что мало в этом понимает.","{'ступак': 21.86766815185547, 'мямлил': 4.65925407409668, 'в': 0.002643585205078125, 'ответ,': 1.4912681579589844, 'что': 0.10871696472167969, 'мало': 0.5215415954589844, 'этом': 0.41475486755371094, 'понимает.': 0.6029052734375}",в отказ,"{'в': 4.56234073638916, 'отказ': 13.958478927612305}","ступак мямлил в отказ, что мало в этом понимает.","{'ступак': 21.651188850402832, 'мямлил': 3.325075149536133, 'в': 0.0039157867431640625, 'отказ,': 12.543037414550781, 'что': 0.44939422607421875, 'мало': 2.09161376953125, 'этом': 1.0101251602172852, 'понимает.': 0.3977088928222656}"
ўбок,{'ўбок': 23.342591285705566},"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.","{'капітан': 4.08873176574707, 'між': 0.011138916015625, 'тым': 0.04289436340332031, 'варухнуў': 7.396646499633789, 'упартым': 4.8040771484375, 'падбародкам,': 4.786523818969727, 'паказваючы': 1.0073585510253906, 'кудысьці': 0.17559242248535156, 'ўбок.': 2.6187686920166016}",в сторону,"{'в': 1.9129610061645508, 'сторону': 9.010303497314453}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в сторону.","{'капитан': 8.738160133361816, 'между': 0.2672901153564453, 'тем': 0.3711071014404297, 'шевельнул': 0.7414817810058594, 'упрямым': 2.052755355834961, 'подбородком,': 1.633371353149414, 'показывая': 5.879512786865234, 'куда-то': 0.4040050506591797, 'в': 0.0029735565185546875, 'сторону.': 1.205636978149414}",в бок,"{'в': 5.849135398864746, 'бок': 13.303657531738281}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в бок.","{'капитан': 8.452132225036621, 'между': 0.3302345275878906, 'тем': 0.4262714385986328, 'шевельнул': 0.7702579498291016, 'упрямым': 2.0636863708496094, 'подбородком,': 1.7986831665039062, 'показывая': 3.942289352416992, 'куда-то': 0.456634521484375, 'в': 0.20560646057128906, 'бок.': 4.728969573974609}"
на сябе,"{'на': 5.1432390213012695, 'сябе': 9.428267478942871}","такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.","{'такім': 7.101537704467773, 'чынам,': 0.12576675415039062, 'шматлікія': 2.108551025390625, 'версіі': 1.9610824584960938, 'сышліся': 5.872224807739258, 'ў': 2.181123733520508, 'непрыемнай': 1.0280513763427734, 'знаходцы': 6.437723159790039, 'шэрагу': 3.7121524810791016, 'містыфікацый,': 11.091835021972656, 'якія': 0.01667022705078125, 'больш': 2.1863784790039062, 'за': 0.2432861328125, 'паўстагоддзя': 1.9011592864990234, 'нацягвалі': 5.669168472290039, 'на': 0.012960433959960938, 'сябе': 0.0053806304931640625, 'маску': 6.704200744628906, 'арыгінальных': 2.096771240234375, 'тэкстаў.': 2.735422134399414}",на себя,"{'на': 5.03085994720459, 'себя': 8.757801055908203}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себя маску оригинальных текстов.","{'таким': 0.15593910217285156, 'образом,': 0.15648841857910156, 'многочисленные': 8.767251968383789, 'версии': 3.743584632873535, 'сошлись': 1.3415651321411133, 'в': 1.342416763305664, 'неприятной': 5.688433647155762, 'находке': 5.830229759216309, 'ряда': 6.779192924499512, 'мистификаций,': 2.8834609985351562, 'более': 4.08673095703125, 'полстолетия': 0.3063640594482422, 'пяливших': 8.160390853881836, 'на': 0.0004825592041015625, 'себя': 0.05011177062988281, 'маску': 6.007455825805664, 'оригинальных': 0.26873016357421875, 'текстов.': 5.721750259399414}",на себе,"{'на': 6.470327377319336, 'себе': 9.083647727966309}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себе маску оригинальных текстов.","{'таким': 0.1555633544921875, 'образом,': 0.15853118896484375, 'многочисленные': 8.760013580322266, 'версии': 3.6346702575683594, 'сошлись': 1.3262948989868164, 'в': 1.3558940887451172, 'неприятной': 5.632545471191406, 'находке': 5.752224922180176, 'ряда': 6.780632019042969, 'мистификаций,': 3.4900264739990234, 'более': 4.066462516784668, 'полстолетия': 0.309234619140625, 'пяливших': 1.1545276641845703, 'на': 0.001399993896484375, 'себе': 7.432424545288086, 'маску': 6.298199653625488, 'оригинальных': 0.3713245391845703, 'текстов.': 5.90965461730957}"
па сутнасці,"{'па': 9.823760032653809, 'сутнасці': 22.62604808807373}","зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.","{'зрэшты,': 11.139847755432129, 'асабліва': 0.023962020874023438, 'нікога': 2.2867374420166016, 'і': 3.0988473892211914, 'не': 0.0042400360107421875, 'шукалі,': 0.6577587127685547, 'адразу': 2.4029407501220703, 'населі': 8.702221870422363, 'на': 2.3757190704345703, 'гэтых': 0.6273956298828125, 'чатырох': 0.11669540405273438, 'пуцейцаў,': 10.311071395874023, 'хоць,': 0.027635574340820312, 'па': 0.32689476013183594, 'сутнасці,': 0.2836494445800781, 'ніякіх': 0.014215469360351562, 'канкрэтных': 3.2620763778686523, 'супраць': 0.022706985473632812, 'іх': 0.051006317138671875, 'улік': 15.080360412597656, 'мелі.': 4.874029159545898}",по существу,"{'по': 1.3680496215820312, 'существу': 5.782597541809082}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по существу,  никаких конкретных улик против них и не было.","{'впрочем,': 0.2917823791503906, 'никого': 1.9594135284423828, 'особенно': 3.2521209716796875, 'и': 1.0921001434326172, 'не': 0.0020999908447265625, 'искали,': 1.2805442810058594, 'сразу': 1.4068794250488281, 'взялись': 0.07736778259277344, 'за': 0.03267860412597656, 'этих': 0.943359375, 'четырех': 5.218822479248047, 'путейцев,': 12.602740287780762, 'хотя,': 0.26445770263671875, 'по': 0.003162384033203125, 'существу,': 4.664196014404297, 'никаких': 10.205650329589844, 'конкретных': 2.848756790161133, 'улик': 0.7199935913085938, 'против': 0.34343528747558594, 'них': 0.022081375122070312, 'было.': 0.4901847839355469}",по сущности,"{'по': 7.834259033203125, 'сущности': 15.293479919433594}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по сущности,  никаких конкретных улик против них и не было.","{'впрочем,': 0.26421546936035156, 'никого': 1.9492225646972656, 'особенно': 3.0319175720214844, 'и': 0.552825927734375, 'не': 0.002178192138671875, 'искали,': 1.3292655944824219, 'сразу': 1.5216960906982422, 'взялись': 0.08282089233398438, 'за': 0.033924102783203125, 'этих': 0.9679889678955078, 'четырех': 5.263500213623047, 'путейцев,': 12.421337127685547, 'хотя,': 0.2992439270019531, 'по': 8.455972671508789, 'сущности,': 10.148740768432617, 'никаких': 10.022710800170898, 'конкретных': 2.8542985916137695, 'улик': 0.5935764312744141, 'против': 0.4229583740234375, 'них': 0.020410537719726562, 'было.': 0.4354572296142578}"
ўсе жыцце,"{'ўсе': 9.71429967880249, 'жыцце': 7.968512535095215}","хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.","{'хаця,': 14.042150497436523, 'ты': 0.1558380126953125, 'ведаеш,': 1.4487075805664062, 'мне': 0.7495870590209961, 'часам': 6.176401138305664, 'здаецца,': 0.03841400146484375, 'што': 0.14383697509765625, 'я': 0.13016700744628906, 'ўсе': 5.564091682434082, 'жыцце': 7.042699813842773, 'быў': 0.04703712463378906, 'мужыком.': 2.484233856201172}",всю жизнь,"{'всю': 0.24607086181640625, 'жизнь': 1.406290054321289}","хотя, ты знаешь, мне иногда кажется, что я всю жизнь был мужиком.","{'хотя,': 6.977073669433594, 'ты': 0.05025291442871094, 'знаешь,': 0.14095115661621094, 'мне': 0.07308387756347656, 'иногда': 0.4084339141845703, 'кажется,': 0.11542129516601562, 'что': 0.16702651977539062, 'я': 0.5761566162109375, 'всю': 0.001888275146484375, 'жизнь': 0.004024505615234375, 'был': 0.4118080139160156, 'мужиком.': 3.936025619506836}",целая жизнь,"{'целая': 6.524808883666992, 'жизнь': 2.4689598083496094}","хотя, ты знаешь, мне иногда кажется, что я целая жизнь был мужиком.","{'хотя,': 7.267951011657715, 'ты': 0.05981254577636719, 'знаешь,': 0.08706092834472656, 'мне': 0.09957695007324219, 'иногда': 0.44857025146484375, 'кажется,': 0.10065460205078125, 'что': 0.2860374450683594, 'я': 0.2634449005126953, 'целая': 15.82326889038086, 'жизнь': 0.247222900390625, 'был': 1.1327590942382812, 'мужиком.': 3.647974967956543}"
