phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}",не раз відаць яны пра гэта гаварылі…,"{'не': 12.61731243133545, 'раз': 11.337163925170898, 'відаць': 39.10813236236572, 'яны': 11.8963623046875, 'пра': 9.264817237854004, 'гэта': 20.019746780395508, 'гаварылі…': 53.56306838989258}",не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}",не раз видно они об этом говорили…,"{'не': 15.862895011901855, 'раз': 7.691640853881836, 'видно': 11.010963439941406, 'они': 10.745031356811523, 'об': 8.764291763305664, 'этом': 15.251636505126953, 'говорили…': 27.780712127685547}",не однажды,"{'не': 10.879121780395508, 'однажды': 7.533320903778076}",не однажды видно они об этом говорили…,"{'не': 15.799003601074219, 'однажды': 8.999114990234375, 'видно': 8.721139907836914, 'они': 10.417499542236328, 'об': 9.045585632324219, 'этом': 14.547725677490234, 'говорили…': 28.11207389831543}"
ўсе роўна,"{'ўсе': 28.020833015441895, 'роўна': 23.42430591583252}","і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.","{'і': 15.400815963745117, 'колькі': 27.922976970672607, 'б': 7.080400466918945, 'я': 7.976635932922363, 'не': 9.048070907592773, 'зарабляў,': 49.83918857574463, 'хоць': 21.892495155334473, 'мільён,': 46.49765110015869, 'сто': 9.219772338867188, 'мільёнаў,': 59.523327350616455, 'табе': 22.683717727661133}",все равно,"{'все': 15.307491302490234, 'равно': 10.55018138885498}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равно будет мало.","{'и': 19.98848533630371, 'сколько': 9.170805931091309, 'бы': 11.59793472290039, 'я': 12.784490585327148, 'не': 12.548666000366211, 'зарабатывал,': 40.51302146911621, 'хоть': 12.266958236694336, 'миллион,': 24.70924186706543, 'сто': 10.018157958984375, 'миллионов,': 18.036925315856934, 'тебе': 13.120078086853027, 'все': 8.349750518798828, 'равно': 16.544918060302734, 'будет': 9.920548439025879, 'мало.': 23.740914344787598}",все равное,"{'все': 15.315531730651855, 'равное': 20.641207695007324}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равноее будет мало.","{'и': 20.11172103881836, 'сколько': 9.734142303466797, 'бы': 11.75511360168457, 'я': 13.558150291442871, 'не': 12.752227783203125, 'зарабатывал,': 42.0862398147583, 'хоть': 12.557034492492676, 'миллион,': 26.77042579650879, 'сто': 11.556082725524902, 'миллионов,': 20.27903461456299, 'тебе': 14.013683319091797, 'все': 9.483149528503418}"
толькі што,"{'толькі': 34.032986640930176, 'што': 10.07863712310791}","старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.","{'старшыня': 34.29577445983887, 'беларускага': 46.48936080932617, 'фонду': 22.81312656402588, 'культуры': 12.577743530273438, 'уладзімір': 77.0995683670044, 'гілеп': 36.85078239440918, 'прэзентаваў': 59.71631908416748, 'у': 10.269850730895996, 'ялце': 30.187376976013184}",только что,"{'только': 17.652925491333008, 'что': 7.443630695343018}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, только что выпущенное в свет фондом культуры.","{'председатель': 21.601869583129883, 'белорусского': 10.386405944824219, 'фонда': 5.447575569152832, 'культуры': 8.658845901489258, 'владимир': 13.285447120666504, 'гилеп': 25.404414176940918, 'презентовал': 41.515719413757324, 'в': 11.027942657470703, 'ялте': 32.07440948486328, 'новое': 14.965242385864258, 'оригинальное': 29.78873634338379, 'издание': 15.854887008666992, 'произведений': 10.894109725952148, 'максима': 12.885209083557129, 'богдановича,': 29.910950660705566, 'только': 14.13935375213623, 'что': 9.913169860839844, 'выпущенное': 30.290006637573242, 'свет': 16.034818649291992, 'фондом': 15.785009860992432, 'культуры.': 24.048588752746582}",лишь что,"{'лишь': 18.774728775024414, 'что': 7.248044490814209}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, лишь что выпущенное в свет фондом культуры.","{'председатель': 21.670787811279297, 'белорусского': 10.32857894897461, 'фонда': 5.50058650970459, 'культуры': 8.61800765991211, 'владимир': 13.269219398498535, 'гилеп': 25.31857967376709, 'презентовал': 41.616164207458496, 'в': 11.047971725463867, 'ялте': 32.10874652862549, 'новое': 15.037225723266602, 'оригинальное': 29.860410690307617, 'издание': 15.907275199890137, 'произведений': 10.897201538085938, 'максима': 12.920949935913086, 'богдановича,': 29.9372501373291, 'лишь': 15.77847671508789, 'что': 7.9712324142456055, 'выпущенное': 28.9375057220459, 'свет': 15.90194320678711, 'фондом': 15.731310844421387, 'культуры.': 24.15683650970459}"
тут жа,"{'тут': 15.14031982421875, 'жа': 7.9802141189575195}","— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..","{'—': 11.98785400390625, 'у': 7.462856769561768, 'свярдлоўску': 52.20398712158203, 'сыйшла,': 38.95632743835449, 'сказаў': 28.60916042327881, 'я': 8.048089981079102}",тут же,"{'тут': 16.7138671875, 'же': 7.273810386657715}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут же подумал: ""а, может, и правда, в свердловске?..",{},тут как,"{'тут': 16.430259704589844, 'как': 6.364490509033203}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут как подумал: ""а, может, и правда, в свердловске?..",{}
да гэтай пары,"{'да': 15.728890419006348, 'гэтай': 21.192234992980957, 'пары': 12.764822006225586}",да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,"{'да': 18.1365909576416, 'гэтай': 20.9454402923584, 'пары': 14.679758071899414, 'яны': 11.095992088317871, 'мне': 9.438167572021484, 'любоўна': 27.701586723327637, 'кажуць:': 34.88254261016846}",до сих пор,"{'до': 14.739310264587402, 'сих': 7.759074687957764, 'пор': 11.326711654663086}","до сих пор они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 17.982810974121094, 'сих': 8.333518028259277, 'пор': 13.566012382507324, 'они': 15.148056030273438, 'говорят': 13.071704864501953, 'мне:': 22.818391799926758, '""какое': 33.06199073791504, 'у': 10.500429153442383, 'тебя': 18.62319564819336, 'гладкое': 32.424156188964844, 'и': 11.274860382080078, 'мускулистое': 28.423328399658203, 'тело…': 23.491714477539062, '""': 5.751907825469971}",до этой поры,"{'до': 16.353879928588867, 'этой': 6.231457710266113, 'поры': 11.609153747558594}","до этой поры они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 18.934215545654297, 'этой': 4.13422966003418, 'поры': 13.718144416809082, 'они': 10.00582504272461, 'говорят': 11.819256782531738, 'мне:': 21.49153995513916, '""какое': 32.351219177246094, 'у': 9.794794082641602, 'тебя': 18.536069869995117, 'гладкое': 31.87346076965332, 'и': 10.958134651184082, 'мускулистое': 27.742679595947266, 'тело…': 22.91566753387451, '""': 5.529108047485352}"
у адказ,"{'у': 14.817071914672852, 'адказ': 21.64925765991211}","ступак нешта мармытаў у адказ, што мала разумее сам.","{'ступак': 27.62581157684326, 'нешта': 26.436187744140625, 'мармытаў': 41.20237731933594, 'у': 6.664128303527832, 'адказ,': 33.92167949676514, 'што': 13.003396987915039, 'мала': 10.38703727722168}",в ответ,"{'в': 12.592615127563477, 'ответ': 9.976444244384766}","ступак мямлил в ответ, что мало в этом понимает.","{'ступак': 30.385375022888184, 'мямлил': 42.35628604888916, 'в': 12.140398025512695, 'ответ,': 27.55262565612793, 'что': 14.913015365600586, 'мало': 13.480620384216309, 'этом': 14.624738693237305, 'понимает.': 27.378567695617676}",в отказ,"{'в': 13.340704917907715, 'отказ': 13.139113426208496}","ступак мямлил в отказ, что мало в этом понимает.","{'ступак': 30.643628120422363, 'мямлил': 42.09657287597656, 'в': 12.410382270812988, 'отказ,': 27.324203491210938, 'что': 14.65320873260498, 'мало': 13.003206253051758, 'этом': 14.932854652404785, 'понимает.': 27.274045944213867}"
ўбок,{'ўбок': 25.751028060913086},"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.","{'капітан': 35.917606353759766, 'між': 25.833012580871582, 'тым': 19.016242504119873, 'варухнуў': 42.620941162109375, 'упартым': 29.870838165283203, 'падбародкам,': 49.882208824157715, 'паказваючы': 41.15785074234009, 'кудысьці': 44.62505912780762}",в сторону,"{'в': 11.889184951782227, 'сторону': 10.671045303344727}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в сторону.","{'капитан': 21.762496948242188, 'между': 11.701762199401855, 'тем': 9.994614601135254, 'шевельнул': 23.385302543640137, 'упрямым': 29.605243682861328, 'подбородком,': 33.979493141174316, 'показывая': 19.770885467529297, 'куда-то': 37.54064083099365, 'в': 15.60780143737793, 'сторону.': 31.309839248657227}",в бок,"{'в': 11.262411117553711, 'бок': 10.63862419128418}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в бок.","{'капитан': 21.755123138427734, 'между': 11.988041877746582, 'тем': 9.85753345489502, 'шевельнул': 23.595317840576172, 'упрямым': 29.567514419555664, 'подбородком,': 34.3728141784668, 'показывая': 19.769208908081055, 'куда-то': 37.484347343444824, 'в': 16.210447311401367, 'бок.': 27.730709075927734}"
на сябе,"{'на': 12.163403511047363, 'сябе': 26.040839195251465}","такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.","{'такім': 34.316426277160645, 'чынам,': 45.46892833709717, 'шматлікія': 67.9280834197998, 'версіі': 34.26723670959473, 'сышліся': 49.99184608459473}",на себя,"{'на': 11.16377067565918, 'себя': 7.54851770401001}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себя маску оригинальных текстов.","{'таким': 22.47113609313965, 'образом,': 19.811564445495605, 'многочисленные': 19.738056182861328, 'версии': 9.661933898925781, 'сошлись': 14.238675117492676, 'в': 10.194588661193848, 'неприятной': 35.23171043395996, 'находке': 30.027780532836914, 'ряда': 15.70223617553711, 'мистификаций,': 42.7407112121582, 'более': 13.455634117126465, 'полстолетия': 41.29146385192871, 'пяливших': 44.114431381225586, 'на': 10.643986701965332, 'себя': 17.65369987487793, 'маску': 13.770951271057129, 'оригинальных': 23.355385780334473, 'текстов.': 28.965336799621582}",на себе,"{'на': 10.79922103881836, 'себе': 7.426843166351318}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себе маску оригинальных текстов.","{'таким': 22.5405330657959, 'образом,': 19.745537757873535, 'многочисленные': 19.688920974731445, 'версии': 9.753153800964355, 'сошлись': 14.204365730285645, 'в': 10.120121002197266, 'неприятной': 35.15837478637695, 'находке': 29.992478370666504, 'ряда': 15.770978927612305, 'мистификаций,': 42.71061420440674, 'более': 13.40932846069336, 'полстолетия': 41.25784111022949, 'пяливших': 44.26631259918213, 'на': 10.870800018310547, 'себе': 12.621634483337402, 'маску': 15.092145919799805, 'оригинальных': 23.55705738067627, 'текстов.': 29.09492301940918}"
па сутнасці,"{'па': 15.377092361450195, 'сутнасці': 48.75242900848389}","зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.","{'зрэшты,': 50.81125354766846, 'асабліва': 43.78538513183594, 'нікога': 41.734524726867676, 'і': 12.823037147521973, 'не': 9.28758430480957, 'шукалі,': 34.83260250091553, 'адразу': 21.534667015075684, 'населі': 28.922250747680664, 'на': 9.560519218444824, 'гэтых': 26.24874973297119, 'чатырох': 34.39368534088135, 'пуцейцаў,': 46.88211393356323, 'хоць,': 35.18159580230713, 'па': 14.646975040435791, 'сутнасці,': 51.607802391052246, 'ніякіх': 51.193432331085205, 'канкрэтных': 54.878822803497314, 'супраць': 35.24557304382324, 'іх': 19.155418872833252, 'улік': 27.976765632629395, 'мелі.': 27.86460304260254}",по существу,"{'по': 12.745990753173828, 'существу': 11.512519836425781}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по существу,  никаких конкретных улик против них и не было.","{'впрочем,': 33.9931697845459, 'никого': 17.576602935791016, 'особенно': 9.365148544311523, 'и': 10.845037460327148, 'не': 10.078649520874023, 'искали,': 28.24341869354248, 'сразу': 15.336587905883789, 'взялись': 14.802976608276367, 'за': 8.70016860961914, 'этих': 12.8059720993042, 'четырех': 10.435820579528809, 'путейцев,': 27.76008892059326, 'хотя,': 33.75590515136719, 'по': 16.760875701904297, 'существу,': 30.07418155670166, 'никаких': 27.596158981323242, 'конкретных': 12.445293426513672, 'улик': 22.18464469909668, 'против': 13.582487106323242, 'них': 15.385003089904785, 'было.': 28.415224075317383}",по сущности,"{'по': 13.335044860839844, 'сущности': 8.465953826904297}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по сущности,  никаких конкретных улик против них и не было.","{'впрочем,': 33.90432262420654, 'никого': 17.47308921813965, 'особенно': 9.30276107788086, 'и': 10.70849895477295, 'не': 10.163177490234375, 'искали,': 28.371835708618164, 'сразу': 15.319019317626953, 'взялись': 14.730311393737793, 'за': 8.733480453491211, 'этих': 12.596549034118652, 'четырех': 10.635360717773438, 'путейцев,': 27.33612632751465, 'хотя,': 33.84277534484863, 'по': 16.801111221313477, 'сущности,': 28.81005096435547, 'никаких': 28.851304054260254, 'конкретных': 12.305696487426758, 'улик': 22.55470848083496, 'против': 13.603883743286133, 'них': 15.260876655578613, 'было.': 28.559576988220215}"
ўсе жыцце,"{'ўсе': 27.458284378051758, 'жыцце': 27.167306900024414}","хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.","{'хаця,': 36.383896350860596, 'ты': 10.30636215209961, 'ведаеш,': 35.62998104095459, 'мне': 12.844306945800781, 'часам': 15.133401870727539, 'здаецца,': 35.948086738586426, 'што': 14.502187728881836, 'я': 7.282082557678223}",всю жизнь,"{'всю': 18.29269027709961, 'жизнь': 6.780045032501221}","хотя, ты знаешь, мне иногда кажется, что я всю жизнь был мужиком.","{'хотя,': 29.768465995788574, 'ты': 12.000308990478516, 'знаешь,': 24.14804744720459, 'мне': 15.262596130371094, 'иногда': 14.041067123413086, 'кажется,': 20.921180725097656, 'что': 15.850336074829102, 'я': 14.555946350097656, 'всю': 11.737041473388672, 'жизнь': 12.09229850769043, 'был': 10.79106330871582, 'мужиком.': 27.89771842956543}",целая жизнь,"{'целая': 28.146607398986816, 'жизнь': 10.34631061553955}","хотя, ты знаешь, мне иногда кажется, что я целая жизнь был мужиком.","{'хотя,': 29.657806396484375, 'ты': 11.936582565307617, 'знаешь,': 24.129920959472656, 'мне': 15.36114501953125, 'иногда': 13.991020202636719, 'кажется,': 20.85178852081299, 'что': 15.689157485961914, 'я': 14.835168838500977, 'целая': 19.33745765686035, 'жизнь': 8.428915023803711, 'был': 9.346050262451172, 'мужиком.': 27.838342666625977}"
