phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 0.0, 'раз': 7.542349338531494}",не раз відаць яны пра гэта гаварылі…,"{'не': 0.0, 'раз': 7.542348384857178, 'відаць': 22.868436813354492, 'яны': 7.5420732498168945, 'пра': 4.442108154296875, 'гэта': 3.243525505065918, 'гаварылі…': 10.824967384338379}",не раз,"{'не': 0.0, 'раз': 7.542349338531494}",не раз видно они об этом говорили…,"{'не': 0.0, 'раз': 7.542349338531494, 'видно': 10.369681358337402, 'они': 8.163870811462402, 'об': 5.536415100097656, 'этом': 1.577138900756836, 'говорили…': 6.749408721923828}",не однажды,"{'не': 0.0, 'однажды': 10.651636123657227}",не однажды видно они об этом говорили…,"{'не': 0.0, 'однажды': 10.651636123657227, 'видно': 10.441828727722168, 'они': 8.648900032043457, 'об': 5.832546234130859, 'этом': 1.7569875717163086, 'говорили…': 6.06974983215332}"
ўсе роўна,"{'ўсе': 8.949220657348633, 'роўна': 10.518288612365723}","і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.","{'і': 0.0, 'колькі': 16.631691932678223, 'б': 6.454338073730469, 'я': 5.418781280517578, 'не': 2.5891170501708984, 'зарабляў,': 16.209575653076172, 'хоць': 2.831432342529297, 'мільён,': 16.39878749847412, 'сто': 5.15914249420166, 'мільёнаў,': 6.557926177978516, 'табе': 7.7429399490356445, 'ўсе': 8.810890197753906, 'роўна': 6.001628875732422, 'будзе': 4.904894828796387, 'мала.': 6.415253639221191}",все равно,"{'все': 0.0, 'равно': 5.924633502960205}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равно будет мало.","{'и': 0.0, 'сколько': 9.43933391571045, 'бы': 4.202967643737793, 'я': 3.252002716064453, 'не': 1.368931770324707, 'зарабатывал,': 4.765488624572754, 'хоть': 3.257589340209961, 'миллион,': 3.4088125228881836, 'сто': 2.616962432861328, 'миллионов,': 2.0392837524414062, 'тебе': 6.9581403732299805, 'все': 1.8739852905273438, 'равно': 0.09993743896484375, 'будет': 2.1488122940063477, 'мало.': 1.3633079528808594}",все равное,"{'все': 0.0, 'равное': 10.155596733093262}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равноее будет мало.","{'и': 0.0, 'сколько': 9.43933391571045, 'бы': 4.202967643737793, 'я': 3.252002716064453, 'не': 1.368931770324707, 'зарабатывал,': 4.765488624572754, 'хоть': 3.257589340209961, 'миллион,': 3.4088125228881836, 'сто': 2.616962432861328, 'миллионов,': 2.0392837524414062, 'тебе': 6.9581403732299805, 'все': 1.8739852905273438, 'равноее': 24.553098678588867, 'будет': 1.9791221618652344, 'мало.': 1.6748857498168945}"
толькі што,"{'толькі': 13.564534187316895, 'што': 5.14857292175293}","старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.","{'старшыня': 13.633243560791016, 'беларускага': 8.41231918334961, 'фонду': 8.91147518157959, 'культуры': 6.9284443855285645, 'уладзімір': 17.81820774078369, 'гілеп': 15.430486679077148, 'прэзентаваў': 20.01994228363037, 'у': 3.427753448486328, 'ялце': 15.95905876159668, 'новае': 7.908098220825195, 'арыгінальнае': 13.796371459960938, 'выданне': 5.290310859680176, 'твораў': 12.605311393737793, 'максіма': 13.262226104736328, 'багдановіча,': 18.88308048248291, 'толькі': 8.849824905395508, 'што': 2.276980400085449, 'выпушчанае': 14.4882230758667, 'ў': 1.634878158569336, 'свет': 5.284921646118164, 'фондам': 11.489710807800293, 'культуры.': 3.875764846801758}",только что,"{'только': 0.0, 'что': 4.072602272033691}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, только что выпущенное в свет фондом культуры.","{'председатель': 5.784646987915039, 'белорусского': 10.60702133178711, 'фонда': 7.033849716186523, 'культуры': 3.7367305755615234, 'владимир': 11.747146606445312, 'гилеп': 19.5417423248291, 'презентовал': 11.361111640930176, 'в': 1.3855276107788086, 'ялте': 13.484046936035156, 'новое': 7.329659461975098, 'оригинальное': 8.693133354187012, 'издание': 1.781198501586914, 'произведений': 5.203128814697266, 'максима': 13.134742736816406, 'богдановича,': 10.926810264587402, 'только': 7.590111255645752, 'что': 0.31099700927734375, 'выпущенное': 2.243741035461426, 'свет': 2.319424629211426, 'фондом': 5.87554931640625, 'культуры.': 2.73117733001709}",лишь что,"{'лишь': 8.208267211914062, 'что': 4.685518264770508}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, лишь что выпущенное в свет фондом культуры.","{'председатель': 5.784646987915039, 'белорусского': 10.60702133178711, 'фонда': 7.033849716186523, 'культуры': 3.7367305755615234, 'владимир': 11.747146606445312, 'гилеп': 19.5417423248291, 'презентовал': 11.361111640930176, 'в': 1.3947296142578125, 'ялте': 13.484046936035156, 'новое': 7.329659461975098, 'оригинальное': 8.693133354187012, 'издание': 1.781198501586914, 'произведений': 5.203128814697266, 'максима': 13.134742736816406, 'богдановича,': 10.926810264587402, 'лишь': 10.028690338134766, 'что': 4.163002014160156, 'выпущенное': 2.1192703247070312, 'свет': 2.2095394134521484, 'фондом': 5.441956520080566, 'культуры.': 2.869278907775879}"
тут жа,"{'тут': 0.0, 'жа': 11.131115913391113}","— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..","{'—': 3.981692314147949, 'у': 3.6543922424316406, 'свярдлоўску': 2.7400102615356445, 'сыйшла,': 21.02612018585205, 'сказаў': 4.462312698364258, 'я': 2.1097145080566406, 'першае,': 11.936431884765625, 'што': 0.32877349853515625, 'прыйшло': 7.735069274902344, 'ў': 2.5849666595458984, 'галаву,': 4.127843856811523, 'і': 1.9530296325683594, 'тут': 5.536014556884766, 'жа': 0.9612588882446289, 'падумаў:': 5.391903877258301, '“а,': 15.270212173461914, 'можа,': 4.471965789794922, 'праўда:': 10.711289405822754, 'сыйшла?..': 7.600648880004883}",тут же,"{'тут': 0.0, 'же': 4.650850772857666}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут же подумал: ""а, может, и правда, в свердловске?..",{},тут как,"{'тут': 0.0, 'как': 5.2407426834106445}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут как подумал: ""а, может, и правда, в свердловске?..",{}
да гэтай пары,"{'да': 0.0, 'гэтай': 16.132073402404785, 'пары': 10.904745101928711}",да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,"{'да': 0.0, 'гэтай': 16.13207244873047, 'пары': 10.904744148254395, 'яны': 8.640198707580566, 'мне': 8.842565536499023, 'любоўна': 16.46397876739502, 'кажуць:': 11.294790267944336, '“якое': 16.29193115234375, 'гладкае': 12.723761558532715, 'ў': 4.405832290649414, 'цябе': 5.1157989501953125, 'і': 5.166316032409668, 'мускулістае': 19.452454566955566, 'цела…”': 9.487457275390625}",до сих пор,"{'до': 0.0, 'сих': 6.575293064117432, 'пор': 0.015102386474609375}","до сих пор они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 0.0, 'сих': 6.575292587280273, 'пор': 0.015102386474609375, 'они': 5.909703254699707, 'говорят': 6.019420623779297, 'мне:': 6.356044769287109, '""какое': 11.229048728942871, 'у': 2.626497268676758, 'тебя': 0.3731060028076172, 'гладкое': 8.482603073120117, 'и': 2.8906373977661133, 'мускулистое': 6.10249137878418, 'тело…': 8.153385162353516, '""': 3.8212480545043945}",до этой поры,"{'до': 0.0, 'этой': 8.41585922241211, 'поры': 4.583250045776367}","до этой поры они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 0.0, 'этой': 8.41585922241211, 'поры': 4.583252906799316, 'они': 4.605820655822754, 'говорят': 7.938375949859619, 'мне:': 6.33579158782959, '""какое': 11.315996170043945, 'у': 2.762911796569824, 'тебя': 0.6029930114746094, 'гладкое': 8.571586608886719, 'и': 2.7560558319091797, 'мускулистое': 6.277983665466309, 'тело…': 8.602209091186523, '""': 4.1547136306762695}"
у адказ,"{'у': 0.0, 'адказ': 18.865485191345215}","ступак нешта мармытаў у адказ, што мала разумее сам.","{'ступак': 9.79439640045166, 'нешта': 14.159722328186035, 'мармытаў': 37.615275859832764, 'у': 4.403252601623535, 'адказ,': 11.647581100463867, 'што': 2.469806671142578, 'мала': 6.974851608276367, 'разумее': 10.951410293579102, 'сам.': 11.409006118774414}",в ответ,"{'в': 0.0, 'ответ': 8.192546844482422}","ступак мямлил в ответ, что мало в этом понимает.","{'ступак': 9.794397354125977, 'мямлил': 15.168785095214844, 'в': 5.714174270629883, 'ответ,': 2.2515172958374023, 'что': 1.359206199645996, 'мало': 8.183473587036133, 'этом': 2.7961416244506836, 'понимает.': 2.621431350708008}",в отказ,"{'в': 0.0, 'отказ': 10.461570739746094}","ступак мямлил в отказ, что мало в этом понимает.","{'ступак': 9.794397354125977, 'мямлил': 15.168785095214844, 'в': 5.383319854736328, 'отказ,': 10.953775405883789, 'что': 3.35540771484375, 'мало': 8.19946575164795, 'этом': 3.6051721572875977, 'понимает.': 3.188277244567871}"
ўбок,{'ўбок': 11.377470970153809},"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.","{'капітан': 14.152737617492676, 'між': 8.66929817199707, 'тым': 9.277774810791016, 'варухнуў': 20.185081481933594, 'упартым': 15.681532859802246, 'падбародкам,': 13.322197914123535, 'паказваючы': 8.788177490234375, 'кудысьці': 13.255675315856934, 'ўбок.': 9.424107551574707}",в сторону,"{'в': 0.0, 'сторону': 7.8770246505737305}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в сторону.","{'капитан': 12.83757495880127, 'между': 11.156805038452148, 'тем': 0.5273857116699219, 'шевельнул': 10.320375442504883, 'упрямым': 10.35858154296875, 'подбородком,': 1.7047176361083984, 'показывая': 5.298192977905273, 'куда-то': 6.389436721801758, 'в': 1.3572235107421875, 'сторону.': 1.6792526245117188}",в бок,"{'в': 0.0, 'бок': 11.33884048461914}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в бок.","{'капитан': 12.83757495880127, 'между': 11.156805038452148, 'тем': 0.5273857116699219, 'шевельнул': 10.320375442504883, 'упрямым': 10.35858154296875, 'подбородком,': 1.7047176361083984, 'показывая': 5.298192977905273, 'куда-то': 6.389436721801758, 'в': 1.3572235107421875, 'бок.': 7.094825744628906}"
на сябе,"{'на': 0.0, 'сябе': 15.541187286376953}","такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.","{'такім': 12.642280578613281, 'чынам,': 6.630375862121582, 'шматлікія': 15.046338081359863, 'версіі': 9.774340629577637, 'сышліся': 13.114480018615723, 'ў': 2.2688732147216797, 'непрыемнай': 12.2496337890625, 'знаходцы': 13.068700790405273, 'шэрагу': 17.435800552368164, 'містыфікацый,': 28.11103630065918, 'якія': 2.1333093643188477, 'больш': 6.721639633178711, 'за': 1.8508634567260742, 'паўстагоддзя': 14.17905044555664, 'нацягвалі': 12.065430641174316, 'на': 1.7858362197875977, 'сябе': 3.5869064331054688, 'маску': 10.035797119140625, 'арыгінальных': 15.43660831451416, 'тэкстаў.': 12.107399940490723}",на себя,"{'на': 0.0, 'себя': 8.103596687316895}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себя маску оригинальных текстов.","{'таким': 4.949761390686035, 'образом,': 1.359757423400879, 'многочисленные': 9.953910827636719, 'версии': 6.8652143478393555, 'сошлись': 10.301642417907715, 'в': 0.9576683044433594, 'неприятной': 13.034648895263672, 'находке': 6.884227752685547, 'ряда': 11.348224639892578, 'мистификаций,': 10.009132862091064, 'более': 7.251364707946777, 'полстолетия': 15.889063835144043, 'пяливших': 17.603620529174805, 'на': 1.7984704971313477, 'себя': 2.3087806701660156, 'маску': 11.498834609985352, 'оригинальных': 9.967154502868652, 'текстов.': 5.597085952758789}",на себе,"{'на': 0.0, 'себе': 8.011209487915039}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себе маску оригинальных текстов.","{'таким': 4.949761390686035, 'образом,': 1.359757423400879, 'многочисленные': 9.953910827636719, 'версии': 6.8652143478393555, 'сошлись': 10.301642417907715, 'в': 0.9576683044433594, 'неприятной': 13.034648895263672, 'находке': 6.884227752685547, 'ряда': 11.348224639892578, 'мистификаций,': 10.009132862091064, 'более': 7.251364707946777, 'полстолетия': 15.889063835144043, 'пяливших': 17.603620529174805, 'на': 1.7984704971313477, 'себе': 7.5673980712890625, 'маску': 8.991124153137207, 'оригинальных': 11.151806831359863, 'текстов.': 6.452549934387207}"
па сутнасці,"{'па': 0.0, 'сутнасці': 31.437880039215088}","зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.","{'зрэшты,': 22.230679512023926, 'асабліва': 20.416962146759033, 'нікога': 9.376022338867188, 'і': 2.6761951446533203, 'не': 1.8847732543945312, 'шукалі,': 14.612650871276855, 'адразу': 6.7681169509887695, 'населі': 12.951217651367188, 'на': 3.035686492919922, 'гэтых': 9.504833221435547, 'чатырох': 14.299269676208496, 'пуцейцаў,': 26.00071907043457, 'хоць,': 23.000720024108887, 'па': 10.402397155761719, 'сутнасці,': 8.072579383850098, 'ніякіх': 8.857892036437988, 'канкрэтных': 8.446586608886719, 'супраць': 8.460400581359863, 'іх': 5.865468978881836, 'улік': 14.347102165222168, 'мелі.': 11.423086166381836}",по существу,"{'по': 0.0, 'существу': 7.9259796142578125}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по существу,  никаких конкретных улик против них и не было.","{'впрочем,': 9.884292602539062, 'никого': 8.694543838500977, 'особенно': 3.9687719345092773, 'и': 2.4652090072631836, 'не': 0.25722503662109375, 'искали,': 6.47966194152832, 'сразу': 7.194369316101074, 'взялись': 7.206537246704102, 'за': 0.1529560089111328, 'этих': 9.194690704345703, 'четырех': 6.421976089477539, 'путейцев,': 13.701018333435059, 'хотя,': 6.96761417388916, 'по': 2.8122329711914062, 'существу,': 4.738729476928711, 'никаких': 17.964211463928223, 'конкретных': 4.481507301330566, 'улик': 3.0744361877441406, 'против': 0.6695175170898438, 'них': 0.08290863037109375, 'было.': 0.789276123046875}",по сущности,"{'по': 0.0, 'сущности': 9.935209274291992}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по сущности,  никаких конкретных улик против них и не было.","{'впрочем,': 9.884292602539062, 'никого': 8.694543838500977, 'особенно': 3.9687719345092773, 'и': 2.357952117919922, 'не': 0.25612831115722656, 'искали,': 6.47966194152832, 'сразу': 7.194369316101074, 'взялись': 7.206537246704102, 'за': 0.1529560089111328, 'этих': 9.194690704345703, 'четырех': 6.421976089477539, 'путейцев,': 13.701018333435059, 'хотя,': 6.96761417388916, 'по': 2.8122329711914062, 'сущности,': 9.261297225952148, 'никаких': 19.13752269744873, 'конкретных': 4.888018608093262, 'улик': 3.066293716430664, 'против': 0.6664829254150391, 'них': 0.07661056518554688, 'было.': 0.8079509735107422}"
ўсе жыцце,"{'ўсе': 8.949220657348633, 'жыцце': 13.168986320495605}","хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.","{'хаця,': 13.63050365447998, 'ты': 4.155736923217773, 'ведаеш,': 9.815627574920654, 'мне': 7.16801643371582, 'часам': 10.65161418914795, 'здаецца,': 7.293491363525391, 'што': 0.1549663543701172, 'я': 1.755380630493164, 'ўсе': 7.633744239807129, 'жыцце': 14.12196159362793, 'быў': 8.581196784973145, 'мужыком.': 12.252820014953613}",всю жизнь,"{'всю': 8.430729866027832, 'жизнь': 1.4657611846923828}","хотя, ты знаешь, мне иногда кажется, что я всю жизнь был мужиком.","{'хотя,': 3.318429946899414, 'ты': 6.458401203155518, 'знаешь,': 3.258673667907715, 'мне': 3.688347816467285, 'иногда': 4.42585563659668, 'кажется,': 0.8760852813720703, 'что': 0.1290264129638672, 'я': 1.6426258087158203, 'всю': 5.4308977127075195, 'жизнь': 0.12176322937011719, 'был': 3.837129592895508, 'мужиком.': 9.459487915039062}",целая жизнь,"{'целая': 4.8222150802612305, 'жизнь': 5.421131134033203}","хотя, ты знаешь, мне иногда кажется, что я целая жизнь был мужиком.","{'хотя,': 3.318429946899414, 'ты': 6.458401203155518, 'знаешь,': 3.258673667907715, 'мне': 3.688347816467285, 'иногда': 4.42585563659668, 'кажется,': 0.8760852813720703, 'что': 0.1290264129638672, 'я': 1.6426258087158203, 'целая': 11.006000518798828, 'жизнь': 3.6284255981445312, 'был': 7.670385360717773, 'мужиком.': 10.156454086303711}"
