phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 0.0, 'раз': 6.801150321960449}",не раз відаць яны пра гэта гаварылі…,"{'не': 0.0, 'раз': 6.801150321960449, 'відаць': 29.41458034515381, 'яны': 9.153690338134766, 'пра': 4.652753829956055, 'гэта': 5.191427230834961, 'гаварылі…': 15.967055320739746}",не раз,"{'не': 0.0, 'раз': 6.801150321960449}",не раз видно они об этом говорили…,"{'не': 0.0, 'раз': 6.801150321960449, 'видно': 9.447344779968262, 'они': 8.394780158996582, 'об': 6.373307704925537, 'этом': 2.038990020751953, 'говорили…': 7.892439842224121}",не однажды,"{'не': 0.0, 'однажды': 9.793134689331055}",не однажды видно они об этом говорили…,"{'не': 0.0, 'однажды': 9.793134689331055, 'видно': 8.282475471496582, 'они': 9.10450267791748, 'об': 6.434908866882324, 'этом': 1.7960186004638672, 'говорили…': 7.1850080490112305}"
ўсе роўна,"{'ўсе': 8.112874031066895, 'роўна': 11.181805610656738}","і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.","{'і': 0.0, 'колькі': 14.759261131286621, 'б': 5.007539749145508, 'я': 5.430809020996094, 'не': 2.603316307067871, 'зарабляў,': 18.331893920898438, 'хоць': 4.312647819519043, 'мільён,': 16.544981002807617, 'сто': 6.788179397583008, 'мільёнаў,': 13.33351993560791, 'табе': 8.835701942443848, 'ўсе': 6.811676025390625, 'роўна': 8.064544677734375, 'будзе': 6.282113075256348, 'мала.': 7.889430999755859}",все равно,"{'все': 0.0, 'равно': 4.010804176330566}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равно будет мало.","{'и': 0.0, 'сколько': 9.127410888671875, 'бы': 3.993983268737793, 'я': 2.9451913833618164, 'не': 1.1667661666870117, 'зарабатывал,': 5.536307334899902, 'хоть': 2.3739633560180664, 'миллион,': 5.961156845092773, 'сто': 3.315692901611328, 'миллионов,': 2.82501220703125, 'тебе': 8.860387802124023, 'все': 1.136434555053711, 'равно': 0.025392532348632812, 'будет': 2.942875862121582, 'мало.': 2.999009132385254}",все равное,"{'все': 0.0, 'равное': 11.639572143554688}","и сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равноее будет мало.","{'и': 0.0, 'сколько': 9.127410888671875, 'бы': 3.993983268737793, 'я': 2.9451913833618164, 'не': 1.1667661666870117, 'зарабатывал,': 5.536307334899902, 'хоть': 2.3739633560180664, 'миллион,': 5.961156845092773, 'сто': 3.315692901611328, 'миллионов,': 2.82501220703125, 'тебе': 8.860387802124023, 'все': 1.136434555053711, 'равноее': 28.101908683776855, 'будет': 2.6371641159057617, 'мало.': 5.604562759399414}"
толькі што,"{'толькі': 15.121937274932861, 'што': 8.567973136901855}","старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.","{'старшыня': 17.920254707336426, 'беларускага': 12.020502090454102, 'фонду': 11.375382423400879, 'культуры': 7.181162357330322, 'уладзімір': 24.330071926116943, 'гілеп': 16.929258346557617, 'прэзентаваў': 22.64042091369629, 'у': 3.3404273986816406, 'ялце': 14.826640129089355, 'новае': 10.714682579040527, 'арыгінальнае': 24.64830207824707, 'выданне': 10.626787185668945, 'твораў': 14.679869651794434, 'максіма': 19.66148090362549, 'багдановіча,': 26.000298500061035, 'толькі': 5.739810943603516, 'што': 4.5953569412231445, 'выпушчанае': 23.19614028930664, 'ў': 2.47719669342041, 'свет': 6.723362922668457, 'фондам': 14.90851879119873, 'культуры.': 5.538557052612305}",только что,"{'только': 0.0, 'что': 3.376710891723633}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, только что выпущенное в свет фондом культуры.","{'председатель': 4.9828691482543945, 'белорусского': 9.31116008758545, 'фонда': 6.567548751831055, 'культуры': 3.7774620056152344, 'владимир': 11.84391975402832, 'гилеп': 18.773123741149902, 'презентовал': 9.279546737670898, 'в': 1.251230239868164, 'ялте': 19.46884822845459, 'новое': 5.054615020751953, 'оригинальное': 7.365032196044922, 'издание': 1.4370765686035156, 'произведений': 4.183832168579102, 'максима': 15.173711776733398, 'богдановича,': 14.900094032287598, 'только': 8.693892478942871, 'что': 0.7843284606933594, 'выпущенное': 3.032320022583008, 'свет': 2.390336036682129, 'фондом': 6.906903266906738, 'культуры.': 3.4164018630981445}",лишь что,"{'лишь': 6.685610771179199, 'что': 5.344112396240234}","председатель белорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное издание произведений максима богдановича, лишь что выпущенное в свет фондом культуры.","{'председатель': 4.9828691482543945, 'белорусского': 9.31116008758545, 'фонда': 6.567548751831055, 'культуры': 3.7774620056152344, 'владимир': 11.84391975402832, 'гилеп': 18.773123741149902, 'презентовал': 9.279546737670898, 'в': 1.2112922668457031, 'ялте': 19.46884822845459, 'новое': 5.054615020751953, 'оригинальное': 7.365032196044922, 'издание': 1.4370765686035156, 'произведений': 4.183832168579102, 'максима': 15.173711776733398, 'богдановича,': 14.900094032287598, 'лишь': 9.88437271118164, 'что': 4.915835380554199, 'выпущенное': 3.5761537551879883, 'свет': 2.6357879638671875, 'фондом': 7.453176498413086, 'культуры.': 3.3980159759521484}"
тут жа,"{'тут': 0.0, 'жа': 11.313179016113281}","— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..","{'—': 5.284114837646484, 'у': 3.826496124267578, 'свярдлоўску': 6.372542381286621, 'сыйшла,': 19.80157470703125, 'сказаў': 4.395734786987305, 'я': 2.327237129211426, 'першае,': 14.333505630493164, 'што': 2.030191421508789, 'прыйшло': 8.544842720031738, 'ў': 2.419025421142578, 'галаву,': 8.13998794555664, 'і': 2.354024887084961, 'тут': 4.9778642654418945, 'жа': 5.189126968383789, 'падумаў:': 9.65787410736084, '“а,': 17.473822593688965, 'можа,': 5.144583702087402, 'праўда:': 12.792423248291016, 'сыйшла?..': 8.629570960998535}",тут же,"{'тут': 0.0, 'же': 3.7622623443603516}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут же подумал: ""а, может, и правда, в свердловске?..",{},тут как,"{'тут': 0.0, 'как': 4.858605861663818}","― в свердловске сошла, ― сказал я первое, что в голову пришло, и тут как подумал: ""а, может, и правда, в свердловске?..",{}
да гэтай пары,"{'да': 0.0, 'гэтай': 15.330936431884766, 'пары': 11.998348236083984}",да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,"{'да': 0.0, 'гэтай': 15.33094310760498, 'пары': 11.998348236083984, 'яны': 10.592808723449707, 'мне': 9.202507019042969, 'любоўна': 18.653359413146973, 'кажуць:': 12.255611419677734, '“якое': 18.39386749267578, 'гладкае': 12.65240478515625, 'ў': 4.311098098754883, 'цябе': 6.7533674240112305, 'і': 4.2705183029174805, 'мускулістае': 22.876340866088867, 'цела…”': 16.8434419631958}",до сих пор,"{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312}","до сих пор они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312, 'они': 6.466987609863281, 'говорят': 6.199587821960449, 'мне:': 6.037543296813965, '""какое': 10.395883560180664, 'у': 3.9429779052734375, 'тебя': 0.7678947448730469, 'гладкое': 9.98823356628418, 'и': 2.3456878662109375, 'мускулистое': 5.70521354675293, 'тело…': 10.50052547454834, '""': 4.59516716003418}",до этой поры,"{'до': 0.0, 'этой': 7.120935916900635, 'поры': 5.721029281616211}","до этой поры они говорят мне: ""какое у тебя гладкое и мускулистое тело… ""","{'до': 0.0, 'этой': 7.12093448638916, 'поры': 5.7210283279418945, 'они': 4.875984191894531, 'говорят': 7.851681709289551, 'мне:': 5.866598129272461, '""какое': 11.029340744018555, 'у': 3.819493293762207, 'тебя': 0.7529850006103516, 'гладкое': 10.120040893554688, 'и': 2.3195066452026367, 'мускулистое': 5.652050971984863, 'тело…': 10.100881576538086, '""': 4.727751731872559}"
у адказ,"{'у': 0.0, 'адказ': 17.71847438812256}","ступак нешта мармытаў у адказ, што мала разумее сам.","{'ступак': 8.054691314697266, 'нешта': 14.148627758026123, 'мармытаў': 38.91619682312012, 'у': 4.128730773925781, 'адказ,': 11.06440544128418, 'што': 1.5175304412841797, 'мала': 7.068357467651367, 'разумее': 10.866938591003418, 'сам.': 10.120203971862793}",в ответ,"{'в': 0.0, 'ответ': 7.455052375793457}","ступак мямлил в ответ, что мало в этом понимает.","{'ступак': 8.054694175720215, 'мямлил': 15.662880897521973, 'в': 4.3141679763793945, 'ответ,': 2.718616485595703, 'что': 1.5099878311157227, 'мало': 7.330907821655273, 'этом': 1.9810075759887695, 'понимает.': 7.9522504806518555}",в отказ,"{'в': 0.0, 'отказ': 10.967131614685059}","ступак мямлил в отказ, что мало в этом понимает.","{'ступак': 8.054694175720215, 'мямлил': 15.662880897521973, 'в': 4.413236618041992, 'отказ,': 11.575128555297852, 'что': 2.7804441452026367, 'мало': 7.391712188720703, 'этом': 2.70375919342041, 'понимает.': 6.714181900024414}"
ўбок,{'ўбок': 11.711585998535156},"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.","{'капітан': 16.615394592285156, 'між': 8.007081031799316, 'тым': 11.490907669067383, 'варухнуў': 25.08528232574463, 'упартым': 18.86092758178711, 'падбародкам,': 22.707218170166016, 'паказваючы': 13.304182052612305, 'кудысьці': 11.439736366271973, 'ўбок.': 13.101767539978027}",в сторону,"{'в': 0.0, 'сторону': 7.239398002624512}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в сторону.","{'капитан': 11.47279167175293, 'между': 10.469755172729492, 'тем': 1.084268569946289, 'шевельнул': 10.463435173034668, 'упрямым': 12.875872611999512, 'подбородком,': 2.7613754272460938, 'показывая': 4.380619049072266, 'куда-то': 6.671993255615234, 'в': 1.3019237518310547, 'сторону.': 1.83746337890625}",в бок,"{'в': 0.0, 'бок': 9.820609092712402}","капитан между тем шевельнул упрямым подбородком, показывая куда-то в бок.","{'капитан': 11.47279167175293, 'между': 10.469755172729492, 'тем': 1.084268569946289, 'шевельнул': 10.463435173034668, 'упрямым': 12.875872611999512, 'подбородком,': 2.7613754272460938, 'показывая': 4.380619049072266, 'куда-то': 6.671993255615234, 'в': 1.3019237518310547, 'бок.': 7.03115177154541}"
на сябе,"{'на': 0.0, 'сябе': 15.7571382522583}","такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.","{'такім': 13.004780292510986, 'чынам,': 11.430268287658691, 'шматлікія': 22.535207748413086, 'версіі': 15.321636199951172, 'сышліся': 23.08980655670166, 'ў': 3.107119560241699, 'непрыемнай': 15.43719482421875, 'знаходцы': 17.474327087402344, 'шэрагу': 20.537487030029297, 'містыфікацый,': 33.38297891616821, 'якія': 3.188103675842285, 'больш': 7.5433549880981445, 'за': 4.543704986572266, 'паўстагоддзя': 24.92357635498047, 'нацягвалі': 20.49855327606201, 'на': 3.624408721923828, 'сябе': 5.644891738891602, 'маску': 10.774697303771973, 'арыгінальных': 21.495795249938965, 'тэкстаў.': 17.865628242492676}",на себя,"{'на': 0.0, 'себя': 6.978935718536377}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себя маску оригинальных текстов.","{'таким': 5.713441848754883, 'образом,': 1.8817615509033203, 'многочисленные': 9.816549301147461, 'версии': 6.661211013793945, 'сошлись': 9.551952362060547, 'в': 1.3221797943115234, 'неприятной': 11.167859077453613, 'находке': 8.893068313598633, 'ряда': 11.297759056091309, 'мистификаций,': 11.072117328643799, 'более': 6.8526506423950195, 'полстолетия': 14.917335510253906, 'пяливших': 16.603384971618652, 'на': 1.0652179718017578, 'себя': 2.747673988342285, 'маску': 9.702873229980469, 'оригинальных': 12.714715957641602, 'текстов.': 8.374712944030762}",на себе,"{'на': 0.0, 'себе': 7.703919887542725}","таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших на себе маску оригинальных текстов.","{'таким': 5.713441848754883, 'образом,': 1.8817615509033203, 'многочисленные': 9.816549301147461, 'версии': 6.661211013793945, 'сошлись': 9.551952362060547, 'в': 1.3221797943115234, 'неприятной': 11.167859077453613, 'находке': 8.893068313598633, 'ряда': 11.297759056091309, 'мистификаций,': 11.072117328643799, 'более': 6.8526506423950195, 'полстолетия': 14.917335510253906, 'пяливших': 16.603384971618652, 'на': 1.0652179718017578, 'себе': 9.050749778747559, 'маску': 8.452434539794922, 'оригинальных': 12.931200981140137, 'текстов.': 8.368802070617676}"
па сутнасці,"{'па': 0.0, 'сутнасці': 35.91325664520264}","зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.","{'зрэшты,': 19.156709671020508, 'асабліва': 18.79215431213379, 'нікога': 11.567845344543457, 'і': 4.10943603515625, 'не': 2.5642080307006836, 'шукалі,': 14.64321231842041, 'адразу': 10.055319786071777, 'населі': 12.109217643737793, 'на': 3.918158531188965, 'гэтых': 10.09809684753418, 'чатырох': 18.73301076889038, 'пуцейцаў,': 26.25780487060547, 'хоць,': 18.41992950439453, 'па': 8.854557037353516, 'сутнасці,': 17.186470985412598, 'ніякіх': 11.380816459655762, 'канкрэтных': 16.871917724609375, 'супраць': 9.545982360839844, 'іх': 7.723781585693359, 'улік': 15.8883638381958, 'мелі.': 9.897777557373047}",по существу,"{'по': 0.0, 'существу': 8.2483491897583}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по существу,  никаких конкретных улик против них и не было.","{'впрочем,': 8.354870796203613, 'никого': 8.36839485168457, 'особенно': 4.592341423034668, 'и': 3.8166637420654297, 'не': 0.20628929138183594, 'искали,': 8.34025764465332, 'сразу': 7.884158134460449, 'взялись': 6.810760021209717, 'за': 0.1226654052734375, 'этих': 9.045097351074219, 'четырех': 6.700021743774414, 'путейцев,': 18.104605674743652, 'хотя,': 6.965065956115723, 'по': 2.9791784286499023, 'существу,': 5.423762321472168, 'никаких': 14.446001052856445, 'конкретных': 3.7830018997192383, 'улик': 6.764556884765625, 'против': 1.9517955780029297, 'них': 0.2563619613647461, 'было.': 1.0309333801269531}",по сущности,"{'по': 0.0, 'сущности': 10.510969161987305}","впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя, по сущности,  никаких конкретных улик против них и не было.","{'впрочем,': 8.354870796203613, 'никого': 8.36839485168457, 'особенно': 4.592341423034668, 'и': 3.7740440368652344, 'не': 0.16964149475097656, 'искали,': 8.34025764465332, 'сразу': 7.884158134460449, 'взялись': 6.810760021209717, 'за': 0.1226654052734375, 'этих': 9.045097351074219, 'четырех': 6.700021743774414, 'путейцев,': 18.104605674743652, 'хотя,': 6.965065956115723, 'по': 2.9791784286499023, 'сущности,': 9.262887954711914, 'никаких': 15.072644710540771, 'конкретных': 4.18216609954834, 'улик': 6.54646110534668, 'против': 2.029299736022949, 'них': 0.2493448257446289, 'было.': 1.0780410766601562}"
ўсе жыцце,"{'ўсе': 8.112874031066895, 'жыцце': 16.892165184020996}","хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.","{'хаця,': 14.66431188583374, 'ты': 5.534335136413574, 'ведаеш,': 8.212120056152344, 'мне': 7.469902038574219, 'часам': 11.463142395019531, 'здаецца,': 10.992851257324219, 'што': 2.813488006591797, 'я': 2.3247718811035156, 'ўсе': 7.797898292541504, 'жыцце': 15.424738883972168, 'быў': 6.525820732116699, 'мужыком.': 11.46792221069336}",всю жизнь,"{'всю': 8.38951301574707, 'жизнь': 1.9150753021240234}","хотя, ты знаешь, мне иногда кажется, что я всю жизнь был мужиком.","{'хотя,': 3.1763668060302734, 'ты': 6.892158508300781, 'знаешь,': 4.0546112060546875, 'мне': 4.069669723510742, 'иногда': 4.6141815185546875, 'кажется,': 0.9745349884033203, 'что': 0.1047821044921875, 'я': 1.4262142181396484, 'всю': 6.271201133728027, 'жизнь': 0.1853771209716797, 'был': 4.167499542236328, 'мужиком.': 8.783963203430176}",целая жизнь,"{'целая': 4.160152435302734, 'жизнь': 4.912179946899414}","хотя, ты знаешь, мне иногда кажется, что я целая жизнь был мужиком.","{'хотя,': 3.1763668060302734, 'ты': 6.892158508300781, 'знаешь,': 4.0546112060546875, 'мне': 4.069669723510742, 'иногда': 4.6141815185546875, 'кажется,': 0.9745349884033203, 'что': 0.1047821044921875, 'я': 1.4262142181396484, 'целая': 11.618490219116211, 'жизнь': 3.682619094848633, 'был': 7.881575584411621, 'мужиком.': 9.302682876586914}"
