phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не веднъж,"{'не': 4.739873886108398, 'веднъж': 26.345484733581543}","сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.","{'сашо': 13.371912002563477, 'бе': 7.573966026306152, 'возил': 12.59887409210205, 'с': 3.4644126892089844, 'него': 8.051042556762695, 'чичо': 11.180939674377441, 'си': 5.181447982788086, 'не': 4.558773040771484, 'веднъж': 20.87658405303955, 'и': 4.345743179321289, 'два': 9.963106155395508, 'пъти,': 11.785170555114746, 'носеше': 20.58748435974121, 'винаги': 17.047093391418457, 'в': 2.3822927474975586, 'себе': 6.8639397621154785, 'резервните': 16.88412094116211, 'ключове.': 13.537384033203125}",не раз,"{'не': 5.411045074462891, 'раз': 9.472421646118164}",сашо не раз возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 20.046085834503174, 'не': 2.5598926544189453, 'раз': 4.360400199890137, 'возил': 1.4655628204345703, 'в': 1.5637340545654297, 'нем': 3.709615707397461, 'дядю': 9.559213638305664, 'и': 1.6371421813964844, 'всегда': 0.04979133605957031, 'имел': 0.2572479248046875, 'при': 0.001750946044921875, 'себе': 0.0071849822998046875, 'запасные': 0.04308128356933594, 'ключи.': 2.1530818939208984}",не однажды,"{'не': 3.5086183547973633, 'однажды': 12.757256507873535}",сашо не однажды возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 20.365578651428223, 'не': 9.406163215637207, 'однажды': 9.734488487243652, 'возил': 1.4995670318603516, 'в': 1.3929862976074219, 'нем': 3.7380475997924805, 'дядю': 9.653619766235352, 'и': 1.6429662704467773, 'всегда': 0.08583259582519531, 'имел': 0.2675209045410156, 'при': 0.0021572113037109375, 'себе': 0.008922576904296875, 'запасные': 0.05310249328613281, 'ключи.': 2.276301383972168}"
все едно,"{'все': 3.5581626892089844, 'едно': 20.00546932220459}","сега му е все едно дъщеря, не-дъщеря.","{'сега': 14.20151138305664, 'му': 9.156354904174805, 'е': 6.430902481079102, 'все': 8.16730785369873, 'едно': 14.262429237365723, 'дъщеря,': 4.832207679748535, 'не-дъщеря.': 8.648138046264648}",все равно,"{'все': 1.8039207458496094, 'равно': 4.804429054260254}","ему сейчас все равно – дочь, не дочь.","{'ему': 7.034052848815918, 'сейчас': 4.494524002075195, 'все': 0.5385837554931641, 'равно': 0.008342742919921875, '–': 7.749638557434082, 'дочь,': 1.7440690994262695, 'не': 0.05951881408691406, 'дочь.': 0.34729957580566406}",все одно,"{'все': 5.175410270690918, 'одно': 7.817739963531494}","ему сейчас все одно – дочь, не дочь.","{'ему': 8.049381256103516, 'сейчас': 3.904054641723633, 'все': 2.976045608520508, 'одно': 6.453478813171387, '–': 6.779306411743164, 'дочь,': 1.7880287170410156, 'не': 0.09033203125, 'дочь.': 0.41158294677734375}"
току-що,{'току-що': 28.249784469604492},"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.","{'зад': 8.846059799194336, 'залостената': 25.218388557434082, 'врата': 12.993980407714844, 'беше': 8.036518096923828, 'девети': 16.712725162506104, 'номер,': 11.416769027709961, 'в': 0.9606075286865234, 'който': 8.580450057983398, 'току-що': 19.890764236450195, 'влезе': 12.40635871887207, 'александър': 2.9189939498901367, 'григориевич.': 4.166837692260742}",только что,"{'только': 4.640096664428711, 'что': 5.232171058654785}","позади запертой двери находился девятый нумер, куда только что вошел александр григорьевич.","{'позади': 5.076753616333008, 'запертой': 4.65174674987793, 'двери': 0.20691490173339844, 'находился': 10.081832885742188, 'девятый': 4.129482269287109, 'нумер,': 0.5018787384033203, 'куда': 1.1700687408447266, 'только': 0.004543304443359375, 'что': 0.04097557067871094, 'вошел': 1.3364810943603516, 'александр': 0.4328498840332031, 'григорьевич.': 0.9749879837036133}", сейчас что,"{'сейчас': 15.020687103271484, 'что': 8.419797897338867}","позади запертой двери находился девятый нумер, куда  сейчас что вошел александр григорьевич.","{'позади': 3.3002891540527344, 'запертой': 5.503168106079102, 'двери': 0.28186607360839844, 'находился': 8.90307903289795, 'девятый': 4.39442253112793, 'нумер,': 0.6809968948364258, 'куда': 1.5559873580932617, 'сейчас': 19.975876808166504, 'что': 10.115609169006348, 'вошел': 3.382720947265625, 'александр': 0.3897438049316406, 'григорьевич.': 0.9479904174804688}"
още начаса,"{'още': 15.467677116394043, 'начаса': 23.236303329467773}","та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…","{'та': 4.518196105957031, 'нали': 15.601027488708496, 'ако': 12.94483757019043, 'кажеш': 10.7598237991333, 'на': 2.059906005859375, 'дивака': 12.683150291442871, 'да': 3.99314022064209, 'остави': 6.369915008544922, 'тоягата,': 8.069255828857422, 'той': 6.104000091552734, 'още': 4.083085060119629, 'начаса,': 22.201353073120117, 'напук,': 23.956157684326172, 'ще': 2.5428647994995117, 'направи': 8.427560806274414, 'три': 6.87998104095459, 'такива': 20.662638664245605, 'тояги…': 8.270766258239746}",тут же,"{'тут': 0.9143047332763672, 'же': 3.627140998840332}","ведь скажи дикарю, чтобы оставил свою дубину, он тут же, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 10.12778091430664, 'скажи': 0.6364955902099609, 'дикарю,': 2.115415573120117, 'чтобы': 0.5404014587402344, 'оставил': 4.145444869995117, 'свою': 0.8999214172363281, 'дубину,': 1.7515745162963867, 'он': 0.22798728942871094, 'тут': 0.15773963928222656, 'же,': 0.010746002197265625, 'назло': 1.9759998321533203, 'тебе,': 0.2107677459716797, 'изготовит': 3.4493579864501953, 'таких': 0.42194366455078125, 'дубин': 0.2477130889892578, 'еще': 1.0656023025512695, 'три': 0.6611709594726562, 'штуки…': 8.097433090209961}",еще на час,"{'еще': 3.5301313400268555, 'на': 1.824824333190918, 'час': 5.789307594299316}","ведь скажи дикарю, чтобы оставил свою дубину, он еще на час, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 10.144644737243652, 'скажи': 0.5509872436523438, 'дикарю,': 3.172414779663086, 'чтобы': 0.5609226226806641, 'оставил': 4.295007705688477, 'свою': 0.8833065032958984, 'дубину,': 1.839472770690918, 'он': 0.4963970184326172, 'еще': 0.49041175842285156, 'на': 7.043708801269531, 'час,': 8.019219398498535, 'назло': 2.457754135131836, 'тебе,': 0.6533918380737305, 'изготовит': 3.373912811279297, 'таких': 0.7177219390869141, 'дубин': 0.28180694580078125, 'три': 0.824737548828125, 'штуки…': 7.671832084655762}"
досега,{'досега': 21.96978759765625},"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.","{'къде': 2.9930601119995117, 'изчезна': 15.69874095916748, 'и,': 11.080154418945312, 'защо': 7.400290489196777, '–': 3.7674617767333984, 'и': 2.5939979553222656, 'досега': 20.429701805114746, 'е': 5.485998153686523, 'загадка.': 11.024622917175293, 'а': 2.435549736022949, 'бандата': 17.53626823425293, 'му': 4.318985939025879, 'се': 4.761721611022949, 'разпадна': 14.820975303649902, 'кой': 10.315879821777344, 'накъдето': 19.79136848449707, 'видят': 11.595088958740234, 'очите.': 11.47587251663208}",до сих пор,"{'до': 0.5212326049804688, 'сих': 0.009592056274414062, 'пор': 0.053165435791015625}","куда исчез, почему – до сих пор загадка. а команда шикина разбрелась кто куда.","{'куда': 4.6066741943359375, 'исчез,': 6.15922737121582, 'почему': 1.2487401962280273, '–': 5.4983978271484375, 'до': 0.20789146423339844, 'сих': 0.0007724761962890625, 'пор': 0.00054168701171875, 'загадка.': 1.6987419128417969, 'а': 3.3542308807373047, 'команда': 5.390302658081055, 'шикина': 13.09366226196289, 'разбрелась': 0.09996414184570312, 'кто': 0.09835052490234375, 'куда.': 0.38671302795410156}",до сегодня,"{'до': 5.473430633544922, 'сегодня': 7.111457824707031}","куда исчез, почему – до сегодня загадка. а команда шикина разбрелась кто куда.","{'куда': 3.840625762939453, 'исчез,': 6.424886703491211, 'почему': 1.473851203918457, '–': 6.290772438049316, 'до': 7.159045219421387, 'сегодня': 5.216351509094238, 'загадка.': 0.9012660980224609, 'а': 3.377410888671875, 'команда': 4.897928237915039, 'шикина': 13.167407035827637, 'разбрелась': 0.11299705505371094, 'кто': 0.09674453735351562, 'куда.': 0.37979698181152344}"
в отговор,"{'в': 7.248003005981445, 'отговор': 20.33969497680664}",в отговор игор само въздъхна.,"{'в': 4.388272285461426, 'отговор': 16.975122451782227, 'игор': 13.89649486541748, 'само': 14.939800262451172, 'въздъхна.': 24.552870273590088}",в ответ,"{'в': 5.098837852478027, 'ответ': 8.780404090881348}",игорь в ответ только вздохнул.,"{'игорь': 21.659067153930664, 'в': 0.007450103759765625, 'ответ': 0.11609268188476562, 'только': 1.358602523803711, 'вздохнул.': 4.556140899658203}",в отповедь,"{'в': 4.433701515197754, 'отповедь': 12.126700401306152}",игорь в отповедь только вздохнул.,"{'игорь': 19.944618225097656, 'в': 4.849489212036133, 'отповедь': 9.566312789916992, 'только': 3.2162322998046875, 'вздохнул.': 6.743008613586426}"
встрани,{'встрани': 27.445353031158447},валя побутна шефа встрани.,"{'валя': 11.164190292358398, 'побутна': 23.12266492843628, 'шефа': 15.061408042907715, 'встрани.': 18.985392570495605}",в сторону,"{'в': 1.9129714965820312, 'сторону': 9.0103120803833}",валя отодвинула шефа в сторону.,"{'валя': 13.278072357177734, 'отодвинула': 0.5285167694091797, 'шефа': 8.009245872497559, 'в': 0.00179290771484375, 'сторону.': 0.9040851593017578}",в страны,"{'в': 13.81479549407959, 'страны': 12.001201629638672}",валя отодвинула шефа в страны.,"{'валя': 13.886589050292969, 'отодвинула': 4.230446815490723, 'шефа': 10.897855758666992, 'в': 8.264930725097656, 'страны.': 17.860891342163086}"
на себе си,"{'на': 14.068185806274414, 'себе': 9.088661193847656, 'си': 14.104275703430176}","капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си.","{'капитанът,': 32.169209480285645, 'обикновено': 18.656774520874023, 'спокоен,': 6.917619228363037, 'добродушен,': 7.688702583312988, 'сега': 12.176366806030273, 'сякаш': 18.323209762573242, 'не': 5.898903846740723, 'беше': 7.28348445892334, 'на': 3.062533378601074, 'себе': 7.995983123779297, 'си.': 10.494725227355957}",на себя,"{'на': 5.030839920043945, 'себя': 8.757800102233887}","всегда спокойный, добродушный, капитан был непохож на себя.","{'всегда': 3.061159133911133, 'спокойный,': 3.5191726684570312, 'добродушный,': 6.016806602478027, 'капитан': 10.482404708862305, 'был': 4.26663875579834, 'непохож': 3.196063995361328, 'на': 0.00318145751953125, 'себя.': 2.9482860565185547}",на себе,"{'на': 6.470331192016602, 'себе': 9.083650588989258}","всегда спокойный, добродушный, капитан был непохож на себе.","{'всегда': 3.030977249145508, 'спокойный,': 3.543987274169922, 'добродушный,': 5.779908180236816, 'капитан': 10.174297332763672, 'был': 4.320223808288574, 'непохож': 6.629545211791992, 'на': 1.6160755157470703, 'себе.': 9.452659606933594}"
по същество,"{'по': 7.505387306213379, 'същество': 22.48206329345703}","марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.","{'марк': 1.8565425872802734, 'александрович': 0.06531143188476562, 'забеляза': 19.297419548034668, 'недоволството': 24.404541015625, 'на': 2.385822296142578, 'серго,': 0.9374485015869141, 'беше': 0.039585113525390625, 'огорчен,': 0.6819019317626953, 'но': 2.014303207397461, 'знаеше,': 7.658369064331055, 'че': 5.233157157897949, 'серго': 0.018415451049804688, 'не': 0.1729278564453125, 'е': 9.524341583251953, 'отмъстителен,': 13.420022964477539, 'нито': 15.216812133789062, 'злопаметен,': 24.250253677368164, 'още': 9.391921043395996, 'повече': 10.71624755859375, 'по': 4.475492477416992, 'същество': 18.225614070892334, 'прав': 0.7330808639526367, 'и': 1.3163337707519531, 'виновен.': 3.631667137145996}",по существу,"{'по': 1.3680572509765625, 'существу': 5.782601356506348}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по существу марк александрович прав и не виноват.","{'марк': 9.87449836730957, 'александрович': 0.024118423461914062, 'видел': 1.9646005630493164, 'недовольство': 5.853940963745117, 'серго,': 5.922358512878418, 'огорчался': 3.727640151977539, 'этим,': 3.0358238220214844, 'но': 0.06702995300292969, 'знал,': 1.5300407409667969, 'что': 0.45723915100097656, 'орджоникидзе': 0.35918235778808594, 'не': 0.33371543884277344, 'мстителен,': 5.027993202209473, 'будет': 1.6913566589355469, 'таить': 0.8578567504882812, 'зла,': 2.709932327270508, 'тем': 0.0068340301513671875, 'более': 0.013309478759765625, 'по': 0.0015583038330078125, 'существу': 3.0720558166503906, 'прав': 7.087691307067871, 'и': 0.3549613952636719, 'виноват.': 3.3800411224365234}",по веществу,"{'по': 1.4310245513916016, 'веществу': 7.573647499084473}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по веществу марк александрович прав и не виноват.","{'марк': 0.4858722686767578, 'александрович': 0.03155708312988281, 'видел': 2.0182647705078125, 'недовольство': 6.51794958114624, 'серго,': 6.0806169509887695, 'огорчался': 3.6794967651367188, 'этим,': 3.258955955505371, 'но': 0.060070037841796875, 'знал,': 1.4423961639404297, 'что': 0.36023998260498047, 'орджоникидзе': 0.3563251495361328, 'не': 0.29756832122802734, 'мстителен,': 5.060379981994629, 'будет': 1.3552131652832031, 'таить': 1.0337562561035156, 'зла,': 2.359895706176758, 'тем': 0.0058135986328125, 'более': 0.014684677124023438, 'по': 0.025348663330078125, 'веществу': 7.665898323059082, 'прав': 8.091361999511719, 'и': 0.671142578125, 'виноват.': 2.871244430541992}"
цял живот,"{'цял': 23.17535400390625, 'живот': 13.440897941589355}",татко цял живот само с фьодор михайлович се е занимавал.,"{'татко': 10.248510360717773, 'цял': 13.413518905639648, 'живот': 12.925310134887695, 'само': 10.592839241027832, 'с': 7.739243030548096, 'фьодор': 13.013165473937988, 'михайлович': 1.6613330841064453, 'се': 7.2787885665893555, 'е': 3.342042922973633, 'занимавал.': 22.399657726287842}",всю жизнь,"{'всю': 0.24606895446777344, 'жизнь': 1.4062833786010742}",папа всю жизнь занимался одним федором михайловичем.,"{'папа': 2.6747350692749023, 'всю': 0.0034275054931640625, 'жизнь': 0.012905120849609375, 'занимался': 5.824726104736328, 'одним': 5.261832237243652, 'федором': 0.7191314697265625, 'михайловичем.': 0.6366519927978516}",целый живот,"{'целый': 6.127425193786621, 'живот': 9.842870712280273}",папа целый живот занимался одним федором михайловичем.,"{'папа': 3.7892723083496094, 'целый': 3.7192230224609375, 'живот': 10.772146224975586, 'занимался': 8.030561447143555, 'одним': 7.3870649337768555, 'федором': 0.8491706848144531, 'михайловичем.': 0.6635599136352539}"
