phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не веднъж,"{'не': 12.596630096435547, 'веднъж': 43.1445951461792}","сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.","{'сашо': 25.529394149780273, 'бе': 8.208366394042969, 'возил': 18.03755760192871, 'с': 11.149818420410156, 'него': 13.13833999633789, 'чичо': 25.08874225616455, 'си': 9.986990928649902, 'не': 10.760624885559082, 'веднъж': 42.16862964630127, 'и': 7.899680137634277, 'два': 12.336588859558105, 'пъти,': 34.874403953552246}",не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}",сашо не раз возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 30.955533981323242, 'не': 8.34538459777832, 'раз': 12.451095581054688, 'возил': 27.21049213409424, 'в': 14.363292694091797, 'нем': 19.295392990112305, 'дядю': 14.296711921691895, 'и': 7.152497291564941, 'всегда': 14.404488563537598, 'имел': 15.480541229248047, 'при': 10.752779006958008, 'себе': 13.135705947875977, 'запасные': 31.775691032409668, 'ключи.': 24.702484130859375}",не однажды,"{'не': 10.879120826721191, 'однажды': 7.53331995010376}",сашо не однажды возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 30.973347663879395, 'не': 9.23604965209961, 'однажды': 11.272164344787598, 'возил': 27.513258934020996, 'в': 14.382816314697266, 'нем': 19.189132690429688, 'дядю': 14.28185749053955, 'и': 6.972945690155029, 'всегда': 14.335413932800293, 'имел': 15.480034828186035, 'при': 10.858373641967773, 'себе': 13.014153480529785, 'запасные': 31.983861923217773, 'ключи.': 24.989858627319336}"
все едно,{'все': 16.624757766723633},"сега му е все едно дъщеря, не-дъщеря.","{'сега': 28.670574188232422, 'му': 13.681983947753906}",все равно,"{'все': 15.307489395141602, 'равно': 10.550180435180664}","ему сейчас все равно – дочь, не дочь.","{'ему': 20.448780059814453, 'сейчас': 5.7401442527771, 'все': 6.661731719970703, 'равно': 17.28056526184082, '–': 14.676056861877441, 'дочь,': 23.996384620666504, 'не': 13.75269889831543, 'дочь.': 17.561652183532715}",все одно,"{'все': 14.34662914276123, 'одно': 5.035453796386719}","ему сейчас все одно – дочь, не дочь.","{'ему': 20.359086990356445, 'сейчас': 6.3159356117248535, 'все': 7.616466999053955, 'одно': 9.348074913024902, '–': 12.58386516571045, 'дочь,': 26.14603328704834, 'не': 14.317708969116211, 'дочь.': 17.890377044677734}"
току-що,{'току-що': 55.69906997680664},"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.","{'зад': 20.050382614135742, 'залостената': 40.80678987503052, 'врата': 12.581043243408203, 'беше': 13.43956184387207, 'девети': 29.246318817138672, 'номер,': 19.74587059020996, 'в': 11.657774925231934, 'който': 25.64248752593994, 'току-що': 50.97206687927246, 'влезе': 18.635191440582275, 'александър': 29.147520065307617, 'григориевич.': 52.96993827819824}",только что,"{'только': 17.652925491333008, 'что': 7.443630695343018}","позади запертой двери находился девятый нумер, куда только что вошел александр григорьевич.","{'позади': 29.29791021347046, 'запертой': 24.57157278060913, 'двери': 13.709312438964844, 'находился': 14.525075912475586, 'девятый': 12.456202507019043, 'нумер,': 29.686623573303223, 'куда': 17.321231842041016, 'только': 9.397416114807129, 'что': 13.820412635803223, 'вошел': 12.968093872070312, 'александр': 17.061872482299805, 'григорьевич.': 27.468337059020996}", сейчас что,"{'сейчас': 18.254579544067383, 'что': 8.425277709960938}","позади запертой двери находился девятый нумер, куда  сейчас что вошел александр григорьевич.","{'позади': 29.223690509796143, 'запертой': 23.658560276031494, 'двери': 13.235867500305176, 'находился': 14.376154899597168, 'девятый': 12.33658504486084, 'нумер,': 28.882047176361084, 'куда': 16.062950134277344, 'сейчас': 18.98276662826538, 'что': 8.0975923538208, 'вошел': 9.956604957580566, 'александр': 16.87577247619629, 'григорьевич.': 26.785325527191162}"
още начаса,{},"та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…","{'та': 15.957037925720215, 'нали': 16.53318977355957}",тут же,"{'тут': 16.713871002197266, 'же': 7.273810863494873}","ведь скажи дикарю, чтобы оставил свою дубину, он тут же, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 19.910463333129883, 'скажи': 8.231234550476074, 'дикарю,': 33.15088081359863, 'чтобы': 18.46892547607422, 'оставил': 15.174705505371094, 'свою': 7.943642616271973, 'дубину,': 36.34035301208496, 'он': 14.74699878692627, 'тут': 11.961865425109863, 'же,': 23.66225814819336, 'назло': 23.037694931030273, 'тебе,': 18.651018142700195, 'изготовит': 36.53036975860596, 'таких': 16.482711791992188, 'дубин': 26.121153831481934, 'еще': 9.745012283325195, 'три': 11.547168731689453, 'штуки…': 29.03767204284668}",еще на час,"{'еще': 18.55714988708496, 'на': 7.837522983551025, 'час': 15.311479568481445}","ведь скажи дикарю, чтобы оставил свою дубину, он еще на час, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 20.009178161621094, 'скажи': 8.379472732543945, 'дикарю,': 33.154276847839355, 'чтобы': 18.3992919921875, 'оставил': 15.077934265136719, 'свою': 7.989249229431152, 'дубину,': 36.10503673553467, 'он': 14.040165901184082, 'еще': 9.636556625366211, 'на': 10.686267852783203, 'час,': 23.064937591552734, 'назло': 21.821186065673828, 'тебе,': 16.114155292510986, 'изготовит': 36.9612340927124, 'таких': 16.57819938659668, 'дубин': 25.87947654724121, 'три': 11.448553085327148, 'штуки…': 29.19495391845703}"
досега,{},"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.","{'къде': 28.649093627929688, 'изчезна': 37.1712646484375, 'и,': 18.56572437286377, 'защо': 20.654112815856934, '–': 10.36705207824707, 'и': 8.740907669067383}",до сих пор,"{'до': 14.739310264587402, 'сих': 7.75907564163208, 'пор': 11.326709747314453}","куда исчез, почему – до сих пор загадка. а команда шикина разбрелась кто куда.","{'куда': 18.403242111206055, 'исчез,': 17.155057907104492, 'почему': 15.929157257080078, '–': 11.722209930419922, 'до': 12.52109146118164, 'сих': 13.604320526123047, 'пор': 16.067951202392578, 'загадка.': 30.757902145385742}",до сегодня,"{'до': 16.053255081176758, 'сегодня': 5.175004959106445}","куда исчез, почему – до сегодня загадка. а команда шикина разбрелась кто куда.","{'куда': 18.093345642089844, 'исчез,': 17.046502113342285, 'почему': 15.470208168029785, '–': 11.563617706298828, 'до': 12.349281311035156, 'сегодня': 9.103727340698242, 'загадка.': 22.78946876525879}"
в отговор,"{'в': 12.585741996765137, 'отговор': 19.700457096099854}",в отговор игор само въздъхна.,"{'в': 14.368463516235352, 'отговор': 24.255839347839355, 'игор': 23.776931762695312, 'само': 7.021854400634766, 'въздъхна.': 56.58727169036865}",в ответ,"{'в': 12.592613220214844, 'ответ': 9.976442337036133}",игорь в ответ только вздохнул.,"{'игорь': 23.87133026123047, 'в': 10.913276672363281, 'ответ': 17.157882690429688, 'только': 12.982610702514648, 'вздохнул.': 23.95580005645752}",в отповедь,"{'в': 13.177528381347656, 'отповедь': 40.818495750427246}",игорь в отповедь только вздохнул.,"{'игорь': 23.941059112548828, 'в': 11.118239402770996, 'отповедь': 46.26565933227539, 'только': 13.82194995880127, 'вздохнул.': 22.307472229003906}"
встрани,{'встрани': 37.70759201049805},валя побутна шефа встрани.,"{'валя': 20.98788833618164, 'побутна': 31.704565048217773, 'шефа': 17.200490951538086, 'встрани.': 40.08345699310303}",в сторону,"{'в': 11.889187812805176, 'сторону': 10.671043395996094}",валя отодвинула шефа в сторону.,"{'валя': 21.112760543823242, 'отодвинула': 17.507890224456787, 'шефа': 14.61611557006836, 'в': 8.048978805541992, 'сторону.': 30.65043830871582}",в страны,"{'в': 12.63249683380127, 'страны': 7.816645622253418}",валя отодвинула шефа в страны.,"{'валя': 21.295095443725586, 'отодвинула': 18.911109924316406, 'шефа': 14.296034812927246, 'в': 9.338380813598633, 'страны.': 24.09616756439209}"
на себе си,"{'на': 14.776786804199219, 'себе': 9.098628044128418, 'си': 13.661865234375}","капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си.","{'капитанът,': 46.73738098144531, 'обикновено': 43.818437576293945, 'спокоен,': 23.941287517547607, 'добродушен,': 44.478177070617676, 'сега': 25.686838150024414, 'сякаш': 34.7380256652832, 'не': 11.42253303527832, 'беше': 18.324539184570312, 'на': 8.151105880737305, 'себе': 10.177322387695312, 'си.': 22.21653938293457}",на себя,"{'на': 11.16377067565918, 'себя': 7.548518657684326}","всегда спокойный, добродушный, капитан был непохож на себя.","{'всегда': 23.61838722229004, 'спокойный,': 15.364688873291016, 'добродушный,': 45.4664306640625, 'капитан': 17.221662521362305, 'был': 8.046056747436523, 'непохож': 44.08462619781494, 'на': 13.22869873046875, 'себя.': 30.91249656677246}",на себе,"{'на': 10.799219131469727, 'себе': 7.426844596862793}","всегда спокойный, добродушный, капитан был непохож на себе.","{'всегда': 23.630870819091797, 'спокойный,': 15.395654201507568, 'добродушный,': 45.108184814453125, 'капитан': 16.76511001586914, 'был': 8.365269660949707, 'непохож': 43.78454303741455, 'на': 13.096096992492676, 'себе.': 26.96778392791748}"
по същество,"{'по': 12.8363618850708, 'същество': 30.579251289367676}","марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.","{'марк': 22.511676788330078, 'александрович': 16.482990264892578, 'забеляза': 35.12165069580078, 'недоволството': 48.823840618133545, 'на': 10.410381317138672, 'серго,': 37.34617233276367, 'беше': 18.142549514770508, 'огорчен,': 36.85239315032959, 'но': 15.025733947753906}",по существу,"{'по': 12.745988845825195, 'существу': 11.512517929077148}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по существу марк александрович прав и не виноват.","{'марк': 16.593852996826172, 'александрович': 16.724735260009766, 'видел': 13.526017189025879, 'недовольство': 14.338043212890625, 'серго,': 34.56193923950195, 'огорчался': 39.04615783691406, 'этим,': 22.681055068969727, 'но': 17.457056045532227, 'знал,': 25.216215133666992, 'что': 10.404797554016113, 'орджоникидзе': 70.39272880554199, 'не': 11.224160194396973, 'мстителен,': 48.34605884552002, 'будет': 12.775125503540039, 'таить': 28.78867816925049, 'зла,': 22.047945976257324, 'тем': 18.87331771850586, 'более': 13.59577465057373, 'по': 11.40888500213623, 'существу': 16.355052947998047, 'прав': 7.921996593475342, 'и': 7.848544120788574, 'виноват.': 30.459710121154785}",по веществу,"{'по': 12.004578590393066, 'веществу': 22.233932971954346}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по веществу марк александрович прав и не виноват.","{'марк': 18.39145278930664, 'александрович': 15.737728118896484, 'видел': 13.609105110168457, 'недовольство': 14.30815315246582, 'серго,': 34.39998435974121, 'огорчался': 38.858126640319824, 'этим,': 22.685428619384766, 'но': 17.509540557861328, 'знал,': 25.213509559631348, 'что': 10.36928939819336, 'орджоникидзе': 70.7662124633789, 'не': 11.313376426696777, 'мстителен,': 48.31591033935547, 'будет': 12.906942367553711, 'таить': 28.849472045898438, 'зла,': 22.114595413208008, 'тем': 18.844785690307617, 'более': 13.439329147338867, 'по': 11.397242546081543, 'веществу': 30.355911254882812, 'прав': 8.051790237426758, 'и': 8.732019424438477, 'виноват.': 30.39193058013916}"
цял живот,"{'цял': 27.39926528930664, 'живот': 11.31423568725586}",татко цял живот само с фьодор михайлович се е занимавал.,"{'татко': 31.940497398376465, 'цял': 29.307637214660645, 'живот': 14.420134544372559, 'само': 11.197847366333008, 'с': 6.908525466918945, 'фьодор': 38.58823776245117, 'михайлович': 16.372722625732422, 'се': 7.973637104034424}",всю жизнь,"{'всю': 18.29268455505371, 'жизнь': 6.780045032501221}",папа всю жизнь занимался одним федором михайловичем.,"{'папа': 22.38800811767578, 'всю': 3.5057029724121094, 'жизнь': 11.509000778198242, 'занимался': 15.839105606079102, 'одним': 8.15088939666748, 'федором': 29.00770664215088, 'михайловичем.': 56.37151908874512}",целый живот,"{'целый': 20.317380905151367, 'живот': 10.678243637084961}",папа целый живот занимался одним федором михайловичем.,"{'папа': 22.3389835357666, 'целый': 9.315103530883789, 'живот': 14.850961685180664, 'занимался': 10.825607299804688, 'одним': 8.170196533203125, 'федором': 29.147791862487793, 'михайловичем.': 57.338107109069824}"
