phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не веднъж,"{'не': 0.0, 'веднъж': 26.20343780517578}","сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.","{'сашо': 10.933797836303711, 'бе': 10.998468399047852, 'возил': 14.779706001281738, 'с': 3.4387731552124023, 'него': 7.828056812286377, 'чичо': 15.522550582885742, 'си': 2.01290225982666, 'не': 2.674562454223633, 'веднъж': 19.438418865203857, 'и': 4.563779830932617, 'два': 7.523332595825195, 'пъти,': 11.04398250579834, 'носеше': 16.82053279876709, 'винаги': 11.750689506530762, 'в': 3.6526994705200195, 'себе': 5.200843811035156, 'резервните': 19.935246467590332, 'ключове.': 9.951331615447998}",не раз,"{'не': 0.0, 'раз': 7.542349338531494}",сашо не раз возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 10.933797836303711, 'не': 4.904767990112305, 'раз': 5.31390380859375, 'возил': 8.855841159820557, 'в': 2.7187747955322266, 'нем': 8.034924507141113, 'дядю': 7.853728294372559, 'и': 2.875077247619629, 'всегда': 6.346202850341797, 'имел': 7.0030317306518555, 'при': 1.7283382415771484, 'себе': 0.1608257293701172, 'запасные': 6.250184059143066, 'ключи.': 2.3650026321411133}",не однажды,"{'не': 0.0, 'однажды': 10.651636123657227}",сашо не однажды возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 10.933797836303711, 'не': 4.904767990112305, 'однажды': 8.972490310668945, 'возил': 9.14871597290039, 'в': 2.6154098510742188, 'нем': 8.060808181762695, 'дядю': 8.133237838745117, 'и': 2.949331283569336, 'всегда': 6.495406150817871, 'имел': 6.984287261962891, 'при': 1.658651351928711, 'себе': 0.1579742431640625, 'запасные': 6.151695251464844, 'ключи.': 2.497180938720703}"
все едно,"{'все': 0.0, 'едно': 17.061981201171875}","сега му е все едно дъщеря, не-дъщеря.","{'сега': 7.128406524658203, 'му': 10.960429191589355, 'е': 9.883224487304688, 'все': 9.510748863220215, 'едно': 10.367327690124512, 'дъщеря,': 19.756312370300293, 'не-дъщеря.': 19.54248857498169}",все равно,"{'все': 0.0, 'равно': 5.924633502960205}","ему сейчас все равно – дочь, не дочь.","{'ему': 0.0, 'сейчас': 8.391998291015625, 'все': 5.047381401062012, 'равно': 1.6791248321533203, '–': 5.5508623123168945, 'дочь,': 11.331514358520508, 'не': 3.886363983154297, 'дочь.': 0.911163330078125}",все одно,"{'все': 0.0, 'одно': 8.342050552368164}","ему сейчас все одно – дочь, не дочь.","{'ему': 0.0, 'сейчас': 8.391998291015625, 'все': 5.047381401062012, 'одно': 7.239995956420898, '–': 4.206175804138184, 'дочь,': 11.691818237304688, 'не': 4.609972953796387, 'дочь.': 1.8385028839111328}"
току-що,{'току-що': 20.52752113342285},"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.","{'зад': 0.0, 'залостената': 35.84194850921631, 'врата': 7.888430118560791, 'беше': 6.829262733459473, 'девети': 13.610770225524902, 'номер,': 12.635149955749512, 'в': 3.3329267501831055, 'който': 2.008443832397461, 'току-що': 24.073718070983887, 'влезе': 8.028132438659668, 'александър': 13.604958534240723, 'григориевич.': 18.33907413482666}",только что,"{'только': 0.0, 'что': 4.072602272033691}","позади запертой двери находился девятый нумер, куда только что вошел александр григорьевич.","{'позади': 7.542520523071289, 'запертой': 11.272297859191895, 'двери': 0.6219425201416016, 'находился': 6.077607154846191, 'девятый': 10.798973083496094, 'нумер,': 10.590141296386719, 'куда': 5.016550064086914, 'только': 6.5927534103393555, 'что': 0.2580280303955078, 'вошел': 2.454885482788086, 'александр': 13.620548248291016, 'григорьевич.': 10.383862495422363}", сейчас что,"{'сейчас': 0.0, 'что': 5.301661491394043}","позади запертой двери находился девятый нумер, куда  сейчас что вошел александр григорьевич.","{'позади': 7.542520523071289, 'запертой': 11.272297859191895, 'двери': 0.6219425201416016, 'находился': 6.077607154846191, 'девятый': 10.798973083496094, 'нумер,': 10.590141296386719, 'куда': 5.016550064086914, 'сейчас': 17.461620807647705, 'что': 7.674114227294922, 'вошел': 12.594226837158203, 'александр': 14.168530941009521, 'григорьевич.': 11.4072265625}"
още начаса,"{'още': 6.329789161682129, 'начаса': 21.685908317565918}","та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…","{'та': 0.0, 'нали': 11.020601272583008, 'ако': 19.739453315734863, 'кажеш': 12.758969783782959, 'на': 4.4403276443481445, 'дивака': 16.38833522796631, 'да': 4.552896499633789, 'остави': 8.596015930175781, 'тоягата,': 22.568114757537842, 'той': 5.108462333679199, 'още': 5.739967346191406, 'начаса,': 21.64934730529785, 'напук,': 19.875428199768066, 'ще': 6.536126136779785, 'направи': 11.221277236938477, 'три': 5.969615936279297, 'такива': 10.57961654663086, 'тояги…': 17.58572006225586}",тут же,"{'тут': 0.0, 'же': 4.650850772857666}","ведь скажи дикарю, чтобы оставил свою дубину, он тут же, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 0.0, 'скажи': 10.508074760437012, 'дикарю,': 12.785252571105957, 'чтобы': 2.47735595703125, 'оставил': 5.993340492248535, 'свою': 4.0658464431762695, 'дубину,': 8.520966529846191, 'он': 3.417631149291992, 'тут': 4.653177261352539, 'же,': 5.59821891784668, 'назло': 8.618705749511719, 'тебе,': 1.9876909255981445, 'изготовит': 9.366111755371094, 'таких': 9.975018501281738, 'дубин': 3.034531593322754, 'еще': 3.4373302459716797, 'три': 5.204280853271484, 'штуки…': 5.505802154541016}",еще на час,"{'еще': 0.0, 'на': 4.011333465576172, 'час': 6.405717849731445}","ведь скажи дикарю, чтобы оставил свою дубину, он еще на час, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 0.0, 'скажи': 10.508074760437012, 'дикарю,': 12.785252571105957, 'чтобы': 2.47735595703125, 'оставил': 5.993340492248535, 'свою': 4.0658464431762695, 'дубину,': 8.520966529846191, 'он': 3.417631149291992, 'еще': 6.038609504699707, 'на': 4.407764434814453, 'час,': 11.223145484924316, 'назло': 11.878047943115234, 'тебе,': 3.2448997497558594, 'изготовит': 12.559647560119629, 'таких': 9.953546524047852, 'дубин': 3.416487693786621, 'три': 4.999673843383789, 'штуки…': 5.452920913696289}"
досега,{'досега': 17.385348320007324},"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.","{'къде': 15.21896743774414, 'изчезна': 17.934992790222168, 'и,': 9.633349418640137, 'защо': 10.853424072265625, '–': 3.927000045776367, 'и': 3.551022529602051, 'досега': 13.159941673278809, 'е': 4.58216667175293, 'загадка.': 11.170304298400879, 'а': 8.802671432495117, 'бандата': 16.188151359558105, 'му': 2.4413623809814453, 'се': 2.575002670288086, 'разпадна': 14.290364265441895, 'кой': 6.87299919128418, 'накъдето': 22.63846206665039, 'видят': 10.19542121887207, 'очите.': 11.305288314819336}",до сих пор,"{'до': 0.0, 'сих': 6.575293064117432, 'пор': 0.015102386474609375}","куда исчез, почему – до сих пор загадка. а команда шикина разбрелась кто куда.","{'куда': 0.0, 'исчез,': 15.180676460266113, 'почему': 3.7086238861083984, '–': 7.156933784484863, 'до': 5.735251426696777, 'сих': 0.11956977844238281, 'пор': 0.009765625, 'загадка.': 4.1230010986328125, 'а': 9.674989700317383, 'команда': 9.789571762084961, 'шикина': 20.94584846496582, 'разбрелась': 8.633441925048828, 'кто': 1.2000675201416016, 'куда.': 0.934992790222168}",до сегодня,"{'до': 0.0, 'сегодня': 9.99183177947998}","куда исчез, почему – до сегодня загадка. а команда шикина разбрелась кто куда.","{'куда': 0.0, 'исчез,': 15.180676460266113, 'почему': 3.7086238861083984, '–': 7.156933784484863, 'до': 5.735251426696777, 'сегодня': 8.937387466430664, 'загадка.': 5.8320159912109375, 'а': 8.638650894165039, 'команда': 10.015180587768555, 'шикина': 21.296666145324707, 'разбрелась': 9.284094333648682, 'кто': 1.457545280456543, 'куда.': 0.9119081497192383}"
в отговор,"{'в': 0.0, 'отговор': 14.839906692504883}",в отговор игор само въздъхна.,"{'в': 0.0, 'отговор': 14.839907169342041, 'игор': 19.18138027191162, 'само': 13.543466567993164, 'въздъхна.': 29.842470169067383}",в ответ,"{'в': 0.0, 'ответ': 8.192546844482422}",игорь в ответ только вздохнул.,"{'игорь': 9.467561721801758, 'в': 4.787234306335449, 'ответ': 3.829380989074707, 'только': 3.377626419067383, 'вздохнул.': 4.501398086547852}",в отповедь,"{'в': 0.0, 'отповедь': 15.153423309326172}",игорь в отповедь только вздохнул.,"{'игорь': 9.467561721801758, 'в': 4.787234306335449, 'отповедь': 18.130962371826172, 'только': 7.900757789611816, 'вздохнул.': 5.874754905700684}"
встрани,{'встрани': 14.051109313964844},валя побутна шефа встрани.,"{'валя': 0.0, 'побутна': 28.055049896240234, 'шефа': 12.40882682800293, 'встрани.': 21.946505546569824}",в сторону,"{'в': 0.0, 'сторону': 7.8770246505737305}",валя отодвинула шефа в сторону.,"{'валя': 0.0, 'отодвинула': 14.4711275100708, 'шефа': 12.19567584991455, 'в': 1.459005355834961, 'сторону.': 1.4058990478515625}",в страны,"{'в': 0.0, 'страны': 9.840713500976562}",валя отодвинула шефа в страны.,"{'валя': 0.0, 'отодвинула': 14.4711275100708, 'шефа': 12.19567584991455, 'в': 1.459005355834961, 'страны.': 24.14834690093994}"
на себе си,"{'на': 0.0, 'себе': 8.011209487915039, 'си': 9.43718147277832}","всі хочуть командувати, але ніхто не хоче звалити на себе си відповідальність…","{'всі': 12.193591117858887, 'хочуть': 9.802019119262695, 'командувати,': 14.056416511535645, 'але': 2.0053157806396484, 'ніхто': 5.543159484863281, 'не': 0.6274604797363281, 'хоче': 2.413013458251953, 'звалити': 16.342936515808105, 'на': 3.189878463745117, 'себе': 4.723012924194336, 'си': 8.202091217041016, 'відповідальність…': 15.340067863464355}",на себя,"{'на': 0.0, 'себя': 8.103596687316895}","все хотят командовать, но никто не хочет взвалить на себя ответственность…","{'все': 0.0, 'хотят': 9.037899017333984, 'командовать,': 10.531611442565918, 'но': 1.5548582077026367, 'никто': 2.474040985107422, 'не': 0.18938446044921875, 'хочет': 0.6218357086181641, 'взвалить': 12.367854118347168, 'на': 0.3469066619873047, 'себя': 0.2430248260498047, 'ответственность…': 5.397687911987305}",на себе,"{'на': 0.0, 'себе': 8.011209487915039}","все хотят командовать, но никто не хочет взвалить на себе ответственность…","{'все': 0.0, 'хотят': 9.037899017333984, 'командовать,': 10.531611442565918, 'но': 1.5548582077026367, 'никто': 2.474040985107422, 'не': 0.18938446044921875, 'хочет': 0.6218357086181641, 'взвалить': 12.367854118347168, 'на': 0.3469066619873047, 'себе': 6.168089866638184, 'ответственность…': 6.015556335449219}"
по същество,"{'по': 0.0, 'същество': 24.280295372009277}","марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.","{'марк': 14.16227912902832, 'александрович': 3.030858039855957, 'забеляза': 25.661694526672363, 'недоволството': 27.26451587677002, 'на': 1.2940196990966797, 'серго,': 18.044468879699707, 'беше': 3.993197441101074, 'огорчен,': 14.881073951721191, 'но': 3.5160017013549805, 'знаеше,': 10.763747215270996, 'че': 4.710169792175293, 'серго': 8.375596046447754, 'не': 3.7290592193603516, 'е': 2.1227855682373047, 'отмъстителен,': 22.262654304504395, 'нито': 7.870953559875488, 'злопаметен,': 19.355656623840332, 'още': 6.205779075622559, 'повече': 5.17933464050293, 'по': 5.036070823669434, 'същество': 10.174386978149414, 'прав': 5.210546493530273, 'и': 2.7013721466064453, 'виновен.': 5.587084770202637}",по существу,"{'по': 0.0, 'существу': 7.9259796142578125}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по существу марк александрович прав и не виноват.","{'марк': 9.166023254394531, 'александрович': 7.33222770690918, 'видел': 9.535969734191895, 'недовольство': 11.61380386352539, 'серго,': 17.58568572998047, 'огорчался': 11.31640338897705, 'этим,': 5.752166748046875, 'но': 0.9329013824462891, 'знал,': 5.901998519897461, 'что': 1.2112979888916016, 'орджоникидзе': 14.474832534790039, 'не': 3.2836074829101562, 'мстителен,': 13.285517692565918, 'будет': 3.5105819702148438, 'таить': 8.969627380371094, 'зла,': 2.2270660400390625, 'тем': 4.3559064865112305, 'более': 0.040985107421875, 'по': 5.069034576416016, 'существу': 3.515744209289551, 'прав': 2.8920421600341797, 'и': 3.0832042694091797, 'виноват.': 5.6159467697143555}",по веществу,"{'по': 0.0, 'веществу': 13.210484504699707}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по веществу марк александрович прав и не виноват.","{'марк': 9.802042007446289, 'александрович': 4.526218414306641, 'видел': 9.535969734191895, 'недовольство': 11.61380386352539, 'серго,': 17.58568572998047, 'огорчался': 11.31640338897705, 'этим,': 5.752166748046875, 'но': 0.9329013824462891, 'знал,': 5.901998519897461, 'что': 1.2112979888916016, 'орджоникидзе': 14.474832534790039, 'не': 3.391634941101074, 'мстителен,': 13.285517692565918, 'будет': 3.5105819702148438, 'таить': 8.969627380371094, 'зла,': 2.2270660400390625, 'тем': 4.3559064865112305, 'более': 0.040985107421875, 'по': 5.069034576416016, 'веществу': 16.827672958374023, 'прав': 4.644678115844727, 'и': 3.263164520263672, 'виноват.': 5.753607749938965}"
цял живот,"{'цял': 8.273852348327637, 'живот': 9.365396499633789}",татко цял живот само с фьодор михайлович се е занимавал.,"{'татко': 6.634369373321533, 'цял': 18.832584381103516, 'живот': 9.43978500366211, 'само': 8.807271957397461, 'с': 8.250669479370117, 'фьодор': 26.90067768096924, 'михайлович': 17.80534267425537, 'се': 8.300616264343262, 'е': 6.4194488525390625, 'занимавал.': 14.927577018737793}",всю жизнь,"{'всю': 8.430729866027832, 'жизнь': 1.4657611846923828}",папа всю жизнь занимался одним федором михайловичем.,"{'папа': 6.260848045349121, 'всю': 7.977518081665039, 'жизнь': 0.8225936889648438, 'занимался': 4.996915817260742, 'одним': 5.277568817138672, 'федором': 17.22313404083252, 'михайловичем.': 10.226451873779297}",целый живот,"{'целый': 4.367456436157227, 'живот': 6.505849838256836}",папа целый живот занимался одним федором михайловичем.,"{'папа': 6.260848045349121, 'целый': 11.010150909423828, 'живот': 9.338080406188965, 'занимался': 10.639294624328613, 'одним': 7.171746730804443, 'федором': 14.063923835754395, 'михайловичем.': 9.265342712402344}"
