phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не веднъж,"{'не': 0.0, 'веднъж': 27.647120475769043}","сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.","{'сашо': 11.515859603881836, 'бе': 9.183941841125488, 'возил': 15.312060356140137, 'с': 3.60678768157959, 'него': 6.33368444442749, 'чичо': 16.77008056640625, 'си': 1.3057794570922852, 'не': 2.6445627212524414, 'веднъж': 12.522323608398438, 'и': 3.542538642883301, 'два': 7.882838249206543, 'пъти,': 9.168895721435547, 'носеше': 16.381028175354004, 'винаги': 10.844552040100098, 'в': 3.59928035736084, 'себе': 6.553197860717773, 'резервните': 22.14513349533081, 'ключове.': 13.481598854064941}",не раз,"{'не': 0.0, 'раз': 6.801149845123291}",сашо не раз возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 11.515859603881836, 'не': 5.665115833282471, 'раз': 6.033819675445557, 'возил': 9.569643497467041, 'в': 2.628049850463867, 'нем': 5.878746032714844, 'дядю': 9.419898986816406, 'и': 4.212841987609863, 'всегда': 6.360599517822266, 'имел': 5.77980899810791, 'при': 2.430356979370117, 'себе': 0.09165382385253906, 'запасные': 8.200581550598145, 'ключи.': 3.289547920227051}",не однажды,"{'не': 0.0, 'однажды': 9.793134689331055}",сашо не однажды возил в нем дядю и всегда имел при себе запасные ключи.,"{'сашо': 11.515859603881836, 'не': 5.665115833282471, 'однажды': 9.557856559753418, 'возил': 9.782748699188232, 'в': 2.5872583389282227, 'нем': 5.902183532714844, 'дядю': 9.125849723815918, 'и': 4.121520042419434, 'всегда': 5.936102867126465, 'имел': 5.729753494262695, 'при': 2.4199047088623047, 'себе': 0.11386871337890625, 'запасные': 8.418197631835938, 'ключи.': 3.244070053100586}"
все едно,"{'все': 0.0, 'едно': 15.639838218688965}","сега му е все едно дъщеря, не-дъщеря.","{'сега': 6.265621185302734, 'му': 10.116086959838867, 'е': 8.380392074584961, 'все': 11.528078079223633, 'едно': 7.276668548583984, 'дъщеря,': 12.264466285705566, 'не-дъщеря.': 22.200557708740234}",все равно,"{'все': 0.0, 'равно': 4.010801315307617}","ему сейчас все равно – дочь, не дочь.","{'ему': 0.0, 'сейчас': 7.8471455574035645, 'все': 4.96170711517334, 'равно': 2.4282283782958984, '–': 5.729632377624512, 'дочь,': 12.763487815856934, 'не': 4.472537040710449, 'дочь.': 4.784392356872559}",все одно,"{'все': 0.0, 'одно': 7.556358814239502}","ему сейчас все одно – дочь, не дочь.","{'ему': 0.0, 'сейчас': 7.8471455574035645, 'все': 4.96170711517334, 'одно': 7.2087907791137695, '–': 4.261343955993652, 'дочь,': 11.523529052734375, 'не': 4.269770622253418, 'дочь.': 7.210501670837402}"
току-що,{'току-що': 23.56507968902588},"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.","{'зад': 0.0, 'залостената': 32.13736629486084, 'врата': 8.899124145507812, 'беше': 11.4381742477417, 'девети': 15.500739097595215, 'номер,': 16.493865966796875, 'в': 3.3273963928222656, 'който': 2.3531455993652344, 'току-що': 26.438920974731445, 'влезе': 7.896687030792236, 'александър': 15.543928146362305, 'григориевич.': 25.46886444091797}",только что,"{'только': 0.0, 'что': 3.376710891723633}","позади запертой двери находился девятый нумер, куда только что вошел александр григорьевич.","{'позади': 10.168993473052979, 'запертой': 13.768206596374512, 'двери': 0.6319665908813477, 'находился': 7.469173431396484, 'девятый': 10.201337814331055, 'нумер,': 11.517753601074219, 'куда': 5.013671875, 'только': 6.060362815856934, 'что': 0.7041378021240234, 'вошел': 2.8681583404541016, 'александр': 11.823807716369629, 'григорьевич.': 11.927138328552246}", сейчас что,"{'сейчас': 0.0, 'что': 5.772918701171875}","позади запертой двери находился девятый нумер, куда  сейчас что вошел александр григорьевич.","{'позади': 10.168993473052979, 'запертой': 13.768206596374512, 'двери': 0.6319665908813477, 'находился': 7.469173431396484, 'девятый': 10.201337814331055, 'нумер,': 11.517753601074219, 'куда': 5.013671875, 'сейчас': 15.974050521850586, 'что': 8.702062606811523, 'вошел': 10.506823539733887, 'александр': 12.313042640686035, 'григорьевич.': 11.615811347961426}"
още начаса,"{'още': 6.288577079772949, 'начаса': 23.148635864257812}","та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…","{'та': 0.0, 'нали': 10.258601188659668, 'ако': 17.34214687347412, 'кажеш': 15.206831932067871, 'на': 4.2838134765625, 'дивака': 17.278403282165527, 'да': 4.605114936828613, 'остави': 8.886235237121582, 'тоягата,': 25.810324668884277, 'той': 4.549446105957031, 'още': 6.661564826965332, 'начаса,': 23.215877532958984, 'напук,': 20.497254371643066, 'ще': 5.3214006423950195, 'направи': 9.611618041992188, 'три': 7.397398948669434, 'такива': 13.26274299621582, 'тояги…': 20.095864295959473}",тут же,"{'тут': 0.0, 'же': 3.7622623443603516}","ведь скажи дикарю, чтобы оставил свою дубину, он тут же, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 0.0, 'скажи': 8.714561462402344, 'дикарю,': 13.89747428894043, 'чтобы': 2.516063690185547, 'оставил': 5.677035331726074, 'свою': 4.586309432983398, 'дубину,': 9.381933212280273, 'он': 3.9002885818481445, 'тут': 4.910754203796387, 'же,': 5.342503547668457, 'назло': 9.713119506835938, 'тебе,': 2.2686100006103516, 'изготовит': 8.56787109375, 'таких': 10.06086540222168, 'дубин': 4.556515693664551, 'еще': 4.933389663696289, 'три': 3.9499683380126953, 'штуки…': 5.655029296875}",еще на час,"{'еще': 0.0, 'на': 3.7851991653442383, 'час': 6.4644775390625}","ведь скажи дикарю, чтобы оставил свою дубину, он еще на час, назло тебе, изготовит таких дубин еще три штуки…","{'ведь': 0.0, 'скажи': 8.714561462402344, 'дикарю,': 13.89747428894043, 'чтобы': 2.516063690185547, 'оставил': 5.677035331726074, 'свою': 4.586309432983398, 'дубину,': 9.381933212280273, 'он': 3.9002885818481445, 'еще': 5.91904354095459, 'на': 4.931379318237305, 'час,': 9.450078964233398, 'назло': 11.894145965576172, 'тебе,': 2.760859489440918, 'изготовит': 11.213891983032227, 'таких': 9.534627914428711, 'дубин': 3.9408226013183594, 'три': 4.013389587402344, 'штуки…': 5.809657096862793}"
досега,{'досега': 15.026912689208984},"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.","{'къде': 13.121872901916504, 'изчезна': 15.416328430175781, 'и,': 9.305580139160156, 'защо': 8.62983226776123, '–': 4.109123229980469, 'и': 4.944818496704102, 'досега': 9.738924980163574, 'е': 4.294865608215332, 'загадка.': 12.03627872467041, 'а': 7.253262519836426, 'бандата': 15.5056791305542, 'му': 4.5727386474609375, 'се': 3.2675085067749023, 'разпадна': 12.285148620605469, 'кой': 5.33758544921875, 'накъдето': 16.657695770263672, 'видят': 10.895079612731934, 'очите.': 12.154211044311523}",до сих пор,"{'до': 0.0, 'сих': 6.228786945343018, 'пор': 0.009874343872070312}","куда исчез, почему – до сих пор загадка. а команда шикина разбрелась кто куда.","{'куда': 0.0, 'исчез,': 13.707032203674316, 'почему': 5.975863456726074, '–': 6.5369768142700195, 'до': 5.5627851486206055, 'сих': 0.2627983093261719, 'пор': 0.0043163299560546875, 'загадка.': 3.2043447494506836, 'а': 8.925941467285156, 'команда': 10.870084762573242, 'шикина': 19.5826358795166, 'разбрелась': 10.504831314086914, 'кто': 1.7486333847045898, 'куда.': 0.9271879196166992}",до сегодня,"{'до': 0.0, 'сегодня': 9.743717193603516}","куда исчез, почему – до сегодня загадка. а команда шикина разбрелась кто куда.","{'куда': 0.0, 'исчез,': 13.707032203674316, 'почему': 5.975863456726074, '–': 6.5369768142700195, 'до': 5.5627851486206055, 'сегодня': 9.430777549743652, 'загадка.': 5.017359733581543, 'а': 8.495898246765137, 'команда': 11.341794967651367, 'шикина': 19.655264854431152, 'разбрелась': 10.394396305084229, 'кто': 1.775115966796875, 'куда.': 0.9386425018310547}"
в отговор,"{'в': 0.0, 'отговор': 13.756166934967041}",в отговор игор само въздъхна.,"{'в': 0.0, 'отговор': 13.756171703338623, 'игор': 20.489818572998047, 'само': 18.625045776367188, 'въздъхна.': 29.557019233703613}",в ответ,"{'в': 0.0, 'ответ': 7.455057144165039}",игорь в ответ только вздохнул.,"{'игорь': 11.014649391174316, 'в': 5.609403610229492, 'ответ': 4.188612937927246, 'только': 4.293083190917969, 'вздохнул.': 4.264619827270508}",в отповедь,"{'в': 0.0, 'отповедь': 16.18720817565918}",игорь в отповедь только вздохнул.,"{'игорь': 11.014649391174316, 'в': 5.609403610229492, 'отповедь': 16.54453468322754, 'только': 9.0550537109375, 'вздохнул.': 6.50502872467041}"
встрани,{'встрани': 14.75539493560791},валя побутна шефа встрани.,"{'валя': 0.0, 'побутна': 26.088244438171387, 'шефа': 13.667627334594727, 'встрани.': 29.295331954956055}",в сторону,"{'в': 0.0, 'сторону': 7.2393975257873535}",валя отодвинула шефа в сторону.,"{'валя': 0.0, 'отодвинула': 14.277222633361816, 'шефа': 11.823575973510742, 'в': 1.02508544921875, 'сторону.': 1.2163505554199219}",в страны,"{'в': 0.0, 'страны': 9.913272857666016}",валя отодвинула шефа в страны.,"{'валя': 0.0, 'отодвинула': 14.277222633361816, 'шефа': 11.823575973510742, 'в': 1.02508544921875, 'страны.': 21.68068504333496}"
на себе си,"{'на': 0.0, 'себе': 6.507762908935547, 'си': 10.040806770324707}","капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си.","{'капитанът,': 31.056809425354004, 'обикновено': 17.14277458190918, 'спокоен,': 17.05277919769287, 'добродушен,': 11.195096969604492, 'сега': 12.329062461853027, 'сякаш': 15.36501407623291, 'не': 4.755108833312988, 'беше': 6.55152702331543, 'на': 3.9476938247680664, 'себе': 5.200088977813721, 'си.': 3.5193023681640625}",на себя,"{'на': 0.0, 'себя': 6.978934288024902}","всегда спокойный, добродушный, капитан был непохож на себя.","{'всегда': 7.184228420257568, 'спокойный,': 9.845131874084473, 'добродушный,': 6.94794225692749, 'капитан': 12.163905143737793, 'был': 5.22307014465332, 'непохож': 9.9773588180542, 'на': 0.20440673828125, 'себя.': 6.129878997802734}",на себе,"{'на': 0.0, 'себе': 7.703919887542725}","всегда спокойный, добродушный, капитан был непохож на себе.","{'всегда': 7.184228420257568, 'спокойный,': 9.845131874084473, 'добродушный,': 6.94794225692749, 'капитан': 12.163905143737793, 'был': 5.22307014465332, 'непохож': 9.9773588180542, 'на': 0.20440673828125, 'себе.': 12.220879554748535}"
по същество,"{'по': 0.0, 'същество': 18.688810348510742}","марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.","{'марк': 10.74367618560791, 'александрович': 1.2120399475097656, 'забеляза': 25.205347061157227, 'недоволството': 31.37476921081543, 'на': 2.1470422744750977, 'серго,': 18.72850227355957, 'беше': 4.69807243347168, 'огорчен,': 15.08436393737793, 'но': 2.7352523803710938, 'знаеше,': 11.928654193878174, 'че': 6.497990608215332, 'серго': 7.343092918395996, 'не': 3.4612913131713867, 'е': 1.8728952407836914, 'отмъстителен,': 22.05466079711914, 'нито': 7.148672103881836, 'злопаметен,': 25.07219171524048, 'още': 7.580469131469727, 'повече': 5.574161529541016, 'по': 5.069488525390625, 'същество': 9.146357536315918, 'прав': 6.029487609863281, 'и': 2.6404457092285156, 'виновен.': 5.532964706420898}",по существу,"{'по': 0.0, 'существу': 8.248350143432617}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по существу марк александрович прав и не виноват.","{'марк': 10.233558654785156, 'александрович': 7.34027099609375, 'видел': 9.580455780029297, 'недовольство': 11.254571914672852, 'серго,': 20.08212661743164, 'огорчался': 11.875755310058594, 'этим,': 6.7731523513793945, 'но': 1.2019691467285156, 'знал,': 6.141109466552734, 'что': 1.2037067413330078, 'орджоникидзе': 17.44145679473877, 'не': 3.2835073471069336, 'мстителен,': 15.457269668579102, 'будет': 4.963354110717773, 'таить': 9.549819946289062, 'зла,': 3.228030204772949, 'тем': 5.013943672180176, 'более': 0.13520240783691406, 'по': 5.410458564758301, 'существу': 4.8782196044921875, 'прав': 3.0463829040527344, 'и': 3.3757715225219727, 'виноват.': 6.5443572998046875}",по веществу,"{'по': 0.0, 'веществу': 13.315129280090332}","марк александрович видел недовольство серго, огорчался этим, но знал, что орджоникидзе не мстителен, не будет таить зла, тем более что по веществу марк александрович прав и не виноват.","{'марк': 9.668173789978027, 'александрович': 3.9991331100463867, 'видел': 9.580455780029297, 'недовольство': 11.254571914672852, 'серго,': 20.08212661743164, 'огорчался': 11.875755310058594, 'этим,': 6.7731523513793945, 'но': 1.2019691467285156, 'знал,': 6.141109466552734, 'что': 1.2037067413330078, 'орджоникидзе': 17.44145679473877, 'не': 3.3145971298217773, 'мстителен,': 15.457269668579102, 'будет': 4.963354110717773, 'таить': 9.549819946289062, 'зла,': 3.228030204772949, 'тем': 5.013943672180176, 'более': 0.13520240783691406, 'по': 5.410458564758301, 'веществу': 17.04710102081299, 'прав': 6.144740104675293, 'и': 3.949538230895996, 'виноват.': 6.649004936218262}"
цял живот,"{'цял': 8.456725120544434, 'живот': 9.67176628112793}",татко цял живот само с фьодор михайлович се е занимавал.,"{'татко': 7.938039302825928, 'цял': 13.508116722106934, 'живот': 6.845869064331055, 'само': 9.062002182006836, 'с': 3.717129707336426, 'фьодор': 22.47681999206543, 'михайлович': 18.491692066192627, 'се': 6.475643157958984, 'е': 4.940614700317383, 'занимавал.': 12.15048885345459}",всю жизнь,"{'всю': 8.389510154724121, 'жизнь': 1.9150753021240234}",папа всю жизнь занимался одним федором михайловичем.,"{'папа': 3.826061248779297, 'всю': 9.234672546386719, 'жизнь': 1.3156318664550781, 'занимался': 5.197806358337402, 'одним': 5.733377456665039, 'федором': 16.460466384887695, 'михайловичем.': 11.320512771606445}",целый живот,"{'целый': 3.9570083618164062, 'живот': 6.130758762359619}",папа целый живот занимался одним федором михайловичем.,"{'папа': 3.826061248779297, 'целый': 11.785463333129883, 'живот': 8.28182601928711, 'занимался': 10.826431274414062, 'одним': 7.310089111328125, 'федором': 16.0015811920166, 'михайловичем.': 11.639934539794922}"
