phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
ne jednou,"{'ne': 8.69544792175293, 'jednou': 26.693445205688477}",konec konců tam skutečně byl a ne jednou.,"{'konec': 6.21971321105957, 'koncu': 10.379923820495605, 'tam': 4.618175506591797, 'skutecne': 21.55013942718506, 'byl': 6.296550750732422, 'a': 7.308568000793457, 'ne': 4.973018646240234, 'jednou.': 12.753562927246094}",не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}",но сам он бывал там на самом деле и не раз.,"{'но': 2.7431201934814453, 'сам': 5.551741600036621, 'он': 1.5669689178466797, 'бывал': 1.9951915740966797, 'там': 0.37750816345214844, 'на': 0.05824470520019531, 'самом': 0.00151824951171875, 'деле': 0.0643768310546875, 'и': 0.4302253723144531, 'не': 0.10902214050292969, 'раз.': 0.25691986083984375}",не одну,"{'не': 4.2607269287109375, 'одну': 11.268163681030273}",но сам он бывал там на самом деле и не одну.,"{'но': 2.6854019165039062, 'сам': 6.574982643127441, 'он': 1.8815250396728516, 'бывал': 4.165672302246094, 'там': 1.0271739959716797, 'на': 0.04569435119628906, 'самом': 0.0031585693359375, 'деле': 0.06993675231933594, 'и': 0.9045162200927734, 'не': 1.366755485534668, 'одну.': 11.164109230041504}"
úplně jedno,"{'uplne': 31.77540397644043, 'jedno': 9.06453800201416}",který konkrétně? to je přece úplně jedno.,"{'ktery': 18.181262016296387, 'konkretne?': 12.11488151550293, 'to': 3.8986806869506836, 'je': 3.977680206298828, 'prece': 9.499422073364258, 'uplne': 30.757336616516113, 'jedno.': 7.857739448547363}",все равно,"{'все': 1.8039226531982422, 'равно': 4.80443000793457}",кто именно? да все равно.,"{'кто': 4.434301376342773, 'именно?': 4.317571640014648, 'да': 6.257476806640625, 'все': 0.47362709045410156, 'равно.': 6.867010116577148}",вполне одно,"{'вполне': 11.616522789001465, 'одно': 13.104012489318848}",кто именно? да вполне одно.,"{'кто': 7.81785774230957, 'именно?': 4.697565078735352, 'да': 4.018309593200684, 'вполне': 9.739825248718262, 'одно.': 14.844517707824707}"
před okamžikem,"{'pred': 9.418953895568848, 'okamzikem': 29.532821655273438}","tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.","{'tam,': 8.850522994995117, 'kde': 4.733827590942383, 'jsem': 5.82044792175293, 'pred': 4.80584716796875, 'okamzikem': 20.50945472717285, 'stal,': 7.834759712219238, 'zasvistelo': 18.8309268951416, 'ostri': 8.276357650756836, 'ostroplocheho': 22.686373710632324, 'mece.': 14.582682609558105}",только что,"{'только': 4.640101432800293, 'что': 5.232168197631836}","там, где я только что стоял, сверкнуло лезвие плоскостного меча.","{'там,': 3.379087448120117, 'где': 0.0024566650390625, 'я': 0.8002471923828125, 'только': 0.0027923583984375, 'что': 0.0032444000244140625, 'стоял,': 1.8873405456542969, 'сверкнуло': 1.1491718292236328, 'лезвие': 0.05242347717285156, 'плоскостного': 1.584031105041504, 'меча.': 4.515668869018555}",перед мгновением,"{'перед': 5.6719160079956055, 'мгновением': 9.97815990447998}","там, где я перед мгновением стоял, сверкнуло лезвие плоскостного меча.","{'там,': 3.2556018829345703, 'где': 0.009435653686523438, 'я': 0.6726198196411133, 'перед': 4.869687080383301, 'мгновением': 6.872135162353516, 'стоял,': 3.487987518310547, 'сверкнуло': 1.212432861328125, 'лезвие': 0.06525421142578125, 'плоскостного': 1.0544872283935547, 'меча.': 4.584514617919922}"
v tom okamžiku,"{'v': 4.390689849853516, 'tom': 8.155323028564453, 'okamziku': 25.93191909790039}","v tom okamžiku jsem pocítil, jak praská naše podlaha.","{'v': 3.205362319946289, 'tom': 1.9393329620361328, 'okamziku': 19.578450202941895, 'jsem': 5.711814880371094, 'pocitil,': 20.533143997192383, 'jak': 4.484371185302734, 'praska': 10.206802368164062, 'nase': 11.011737823486328, 'podlaha.': 16.42984104156494}",тут же,"{'тут': 0.9143085479736328, 'же': 3.6271419525146484}","тут же я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'тут': 0.020727157592773438, 'же': 0.6747465133666992, 'я': 0.0126953125, 'почувствовал,': 3.4455947875976562, 'как': 0.06674003601074219, 'трещит': 0.680450439453125, 'наш': 4.7435302734375, 'пол,': 4.31553840637207, 'лопаются': 0.5346870422363281, 'стекла,': 2.433389663696289, 'и': 0.6050930023193359, 'я,': 0.032184600830078125, 'не': 0.11772918701171875, 'выпуская': 1.6964473724365234, 'вагнера,': 17.005430221557617, 'лечу': 0.06865119934082031, 'с': 0.5371341705322266, 'ним': 1.009775161743164, 'в': 0.01397705078125, 'бездну…': 6.346612930297852}",в том мгновении,"{'в': 2.9842987060546875, 'том': 4.647500038146973, 'мгновении': 8.81702995300293}","в том мгновении я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'в': 0.019243240356445312, 'том': 2.711427688598633, 'мгновении': 1.2094345092773438, 'я': 0.0225067138671875, 'почувствовал,': 3.3329429626464844, 'как': 0.07800865173339844, 'трещит': 0.7462348937988281, 'наш': 4.329780578613281, 'пол,': 4.261667251586914, 'лопаются': 0.5950279235839844, 'стекла,': 2.0909194946289062, 'и': 0.6410484313964844, 'я,': 0.03464317321777344, 'не': 0.11139488220214844, 'выпуская': 1.5471668243408203, 'вагнера,': 17.77258586883545, 'лечу': 0.10773468017578125, 'с': 0.5076904296875, 'ним': 1.0498218536376953, 'бездну…': 5.352897644042969}"
až dosud,"{'az': 9.145447731018066, 'dosud': 23.13892936706543}","až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.","{'az': 4.899395942687988, 'dosud': 17.249028205871582, 'jsme': 6.971866607666016, 'se': 3.9423274993896484, 'mohli': 11.099543571472168, 'shodnout': 18.041946411132812, 'na': 0.38701438903808594, 'tom,': 7.477694511413574, 'ze': 7.138738632202148, 'lepsi': 13.622939109802246, 'nez': 10.218770027160645, 'spatna': 16.90109920501709, 'politika': 0.028581619262695312, 'je': 3.377696990966797, 'zadna': 10.66316032409668, 'a': 4.451594352722168, 'nulove': 17.07634162902832, 'vztahy.': 24.760568618774414}",до сих пор,"{'до': 0.5212326049804688, 'сих': 0.009592056274414062, 'пор': 0.053165435791015625}","до сих пор мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'до': 2.7762832641601562, 'сих': 0.23235702514648438, 'пор': 0.009431838989257812, 'мы': 1.6277666091918945, 'считали,': 1.0781059265136719, 'что': 0.043994903564453125, 'лучше': 3.5447845458984375, 'плохой': 2.516209602355957, 'политики': 4.029082298278809, 'ее': 1.6215715408325195, 'полное': 0.049640655517578125, 'отсутствие': 0.008396148681640625, 'и': 1.2496509552001953, 'нулевые': 0.5194892883300781, 'отношения.': 8.54529094696045}",аж досюда,"{'аж': 13.586174011230469, 'досюда': 6.240720748901367}","аж досюда мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'аж': 13.658288955688477, 'досюда': 7.190525054931641, 'мы': 3.5849218368530273, 'считали,': 4.90974235534668, 'что': 0.03360176086425781, 'лучше': 2.683755874633789, 'плохой': 2.581252098083496, 'политики': 4.552386283874512, 'ее': 2.039518356323242, 'полное': 0.0731353759765625, 'отсутствие': 0.007884979248046875, 'и': 1.0176239013671875, 'нулевые': 0.7900829315185547, 'отношения.': 7.651336669921875}"
v odpověď,"{'v': 4.182947158813477, 'odpoved': 26.79669761657715}",byla by uslyšela v odpověď jen další strofu písně.,"{'byla': 11.4866361618042, 'by': 6.369573593139648, 'uslysela': 29.997469902038574, 'v': 6.305021286010742, 'odpoved': 18.60627269744873, 'jen': 9.455061912536621, 'dalsi': 13.490463256835938, 'strofu': 11.87513542175293, 'pisne.': 14.361491203308105}",в ответ,"{'в': 5.0988359451293945, 'ответ': 8.780405044555664}",в ответ она услышала бы лишь следующий куплет песни.,"{'в': 2.6418838500976562, 'ответ': 2.1992998123168945, 'она': 1.820906639099121, 'услышала': 1.4141292572021484, 'бы': 4.752066612243652, 'лишь': 2.071533203125, 'следующий': 3.0398311614990234, 'куплет': 0.001922607421875, 'песни.': 0.93603515625}",в отповедь,"{'в': 4.433688163757324, 'отповедь': 12.126701354980469}",в отповедь она услышала бы лишь следующий куплет песни.,"{'в': 3.0519752502441406, 'отповедь': 6.618391036987305, 'она': 3.2414350509643555, 'услышала': 2.8169784545898438, 'бы': 3.4956321716308594, 'лишь': 2.5033750534057617, 'следующий': 3.6125802993774414, 'куплет': 0.002315521240234375, 'песни.': 1.165414810180664}"
na stranu,"{'na': 6.082939147949219, 'stranu': 13.259002685546875}",lans ukázal na stranu.,"{'lans': 12.153894424438477, 'ukazal': 10.929716110229492, 'na': 1.3646678924560547, 'stranu.': 7.591788291931152}",в сторону,"{'в': 1.9129610061645508, 'сторону': 9.010303497314453}",ланс неопределенно показал куда-то в сторону.,"{'ланс': 18.13849449157715, 'неопределенно': 15.042136192321777, 'показал': 6.031765937805176, 'куда-то': 0.30293846130371094, 'в': 0.0022125244140625, 'сторону.': 1.524458885192871}",на страну,"{'на': 5.013019561767578, 'страну': 10.516456604003906}",ланс неопределенно показал куда-то на страну.,"{'ланс': 16.090909004211426, 'неопределенно': 15.435432434082031, 'показал': 5.448672294616699, 'куда-то': 0.6033573150634766, 'на': 3.070098876953125, 'страну.': 9.858338356018066}"
na sebe,"{'na': 7.964990139007568, 'sebe': 14.411646842956543}",velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,"{'velke': 16.206958770751953, 'zapadni': 8.71240234375, 'nadnarodni': 6.859306335449219, 'firmy': 3.573284149169922, 'a': 2.588216781616211, 'korporace': 15.262552261352539, 'na': 0.40129661560058594, 'sebe': 6.798581123352051, 'vzaly': 17.724520683288574, 'politickou': 6.805887222290039, 'roli.': 14.958871841430664}",на себя,"{'на': 5.03085994720459, 'себя': 8.757801055908203}",крупные западные транснациональные компании и корпорации взяли на себя политическую роль.,"{'крупные': 4.865909576416016, 'западные': 3.2112979888916016, 'транснациональные': 0.004695892333984375, 'компании': 1.3825416564941406, 'и': 0.22068023681640625, 'корпорации': 1.8342094421386719, 'взяли': 0.7620353698730469, 'на': 0.0003910064697265625, 'себя': 0.00079345703125, 'политическую': 5.441089630126953, 'роль.': 4.580945014953613}",на себе,"{'на': 6.470327377319336, 'себе': 9.083647727966309}",крупные западные транснациональные компании и корпорации взяли на себе политическую роль.,"{'крупные': 4.342884063720703, 'западные': 3.310666084289551, 'транснациональные': 0.00604248046875, 'компании': 1.3228645324707031, 'и': 0.2688274383544922, 'корпорации': 1.8321666717529297, 'взяли': 2.7606048583984375, 'на': 0.10985183715820312, 'себе': 8.525039672851562, 'политическую': 5.759692192077637, 'роль.': 5.481037139892578}"
v jádru,"{'v': 5.995187759399414, 'jadru': 30.84261131286621}",v jádru byl stejný jako ona.,"{'v': 2.458597183227539, 'jadru': 17.09074592590332, 'byl': 7.029942512512207, 'stejny': 18.51380157470703, 'jako': 6.35411262512207, 'ona.': 8.888655662536621}",по существу,"{'по': 1.3680496215820312, 'существу': 5.782597541809082}","по существу, он такой же, как и она.","{'по': 2.791994094848633, 'существу,': 4.3177490234375, 'он': 1.202606201171875, 'такой': 0.028497695922851562, 'же,': 0.12408828735351562, 'как': 0.008882522583007812, 'и': 0.0021915435791015625, 'она.': 5.002666473388672}",в ядре,"{'в': 2.4168701171875, 'ядре': 6.954983711242676}","в ядре, он такой же, как и она.","{'в': 1.654653549194336, 'ядре,': 9.578679084777832, 'он': 1.9859390258789062, 'такой': 0.03985595703125, 'же,': 0.13507080078125, 'как': 0.009374618530273438, 'и': 0.003963470458984375, 'она.': 5.623590469360352}"
celý život,"{'cely': 21.21240520477295, 'zivot': 15.755087852478027}","v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.","{'v': 2.8293914794921875, 'barguzinskem': 23.512550354003906, 'narodnim': 2.1329383850097656, 'parku': 4.558938980102539, 'jsme': 5.971960067749023, 'se': 3.0078563690185547, 'zase': 9.184588432312012, 'seznamili': 12.942727088928223, 's': 5.579507827758789, 'pani': 14.165729522705078, 'irinou': 11.251806259155273, 'ivanovnou,': 14.610219955444336, 'ktera': 12.502847671508789, 'ochrane': 9.889310836791992, 'prirody': 12.90665054321289, 'zasvetila': 12.197080612182617, 'prakticky': 9.010834693908691, 'cely': 10.706995010375977, 'zivot.': 10.382478713989258}",всю жизнь,"{'всю': 0.24607086181640625, 'жизнь': 1.406290054321289}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически всю жизнь.","{'в': 4.586189270019531, 'баргузинском': 0.8578815460205078, 'заповеднике': 0.14572525024414062, 'мы': 0.29240989685058594, 'познакомились': 0.3946647644042969, 'с': 0.012929916381835938, 'ириной': 6.9549360275268555, 'ивановой,': 5.629081726074219, 'которая': 0.1713581085205078, 'посвятила': 0.022785186767578125, 'охране': 0.3105754852294922, 'природы': 0.1823902130126953, 'практически': 1.3653230667114258, 'всю': 0.04270172119140625, 'жизнь.': 0.31311988830566406}",целый живот,"{'целый': 6.127424240112305, 'живот': 9.842872619628906}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически целый живот.","{'в': 4.721042633056641, 'баргузинском': 0.6881008148193359, 'заповеднике': 0.12481689453125, 'мы': 0.39133262634277344, 'познакомились': 0.3196430206298828, 'с': 0.010389328002929688, 'ириной': 6.726322174072266, 'ивановой,': 5.511475563049316, 'которая': 0.16683006286621094, 'посвятила': 0.011690139770507812, 'охране': 0.52374267578125, 'природы': 0.334381103515625, 'практически': 2.173598289489746, 'целый': 2.9740209579467773, 'живот.': 10.117056846618652}"
