phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
ne jednou,"{'ne': 17.28986167907715, 'jednou': 39.3569450378418}",konec konců tam skutečně byl a ne jednou.,"{'konec': 29.792820930480957, 'koncu': 29.10747241973877, 'tam': 16.87197494506836, 'skutecne': 34.54911184310913, 'byl': 17.932456016540527, 'a': 6.89517068862915, 'ne': 7.806540489196777, 'jednou.': 46.051209926605225}",не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}",но сам он бывал там на самом деле и не раз.,"{'но': 18.961103439331055, 'сам': 6.073112487792969, 'он': 9.121339797973633, 'бывал': 14.424154281616211, 'там': 6.327986240386963, 'на': 9.935224533081055, 'самом': 12.090448379516602, 'деле': 10.428257942199707, 'и': 13.692285537719727, 'не': 13.656187057495117, 'раз.': 26.548008918762207}",не одну,"{'не': 11.274129867553711, 'одну': 5.496528625488281}",но сам он бывал там на самом деле и не одну.,"{'но': 19.24715805053711, 'сам': 5.977503776550293, 'он': 9.18869686126709, 'бывал': 14.33407211303711, 'там': 6.198671817779541, 'на': 9.039998054504395, 'самом': 11.95315933227539, 'деле': 10.421570777893066, 'и': 13.479280471801758, 'не': 12.485464096069336, 'одну.': 26.20219135284424}"
úplně jedno,"{'uplne': 30.816532135009766, 'jedno': 27.730162620544434}",který konkrétně? to je přece úplně jedno.,"{'ktery': 27.09309720993042, 'konkretne?': 64.69891929626465, 'to': 5.815694808959961, 'je': 10.433515548706055, 'prece': 12.17923879623413, 'uplne': 24.082115173339844, 'jedno.': 38.98497295379639}",все равно,"{'все': 15.307491302490234, 'равно': 10.55018138885498}",кто именно? да все равно.,"{'кто': 14.15271282196045, 'именно?': 14.341930866241455, 'да': 7.704174518585205, 'все': 10.360496520996094, 'равно.': 27.068089485168457}",вполне одно,"{'вполне': 20.018848419189453, 'одно': 3.9655885696411133}",кто именно? да вполне одно.,"{'кто': 12.925848960876465, 'именно?': 14.178589344024658, 'да': 8.809137344360352, 'вполне': 14.14242172241211, 'одно.': 18.281524658203125}"
před okamžikem,"{'pred': 25.25434112548828, 'okamzikem': 52.61354684829712}","tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.","{'tam,': 33.18635845184326, 'kde': 23.128366470336914, 'jsem': 23.776214599609375, 'pred': 16.542938709259033, 'okamzikem': 54.5260443687439, 'stal,': 26.967817306518555, 'zasvistelo': 46.00137281417847, 'ostri': 29.340063095092773, 'ostroplocheho': 66.24618148803711, 'mece.': 26.224967002868652}",только что,"{'только': 17.652925491333008, 'что': 7.443630695343018}","там, где я только что стоял, сверкнуло лезвие плоскостного меча.","{'там,': 27.169728755950928, 'где': 18.825927734375, 'я': 12.952886581420898, 'только': 11.401630401611328, 'что': 13.197994232177734, 'стоял,': 21.853872299194336, 'сверкнуло': 34.72258377075195, 'лезвие': 12.668018341064453, 'плоскостного': 41.90936851501465, 'меча.': 21.901869773864746}",перед мгновением,"{'перед': 19.44515609741211, 'мгновением': 20.86424446105957}","там, где я перед мгновением стоял, сверкнуло лезвие плоскостного меча.","{'там,': 26.34126853942871, 'где': 19.283056259155273, 'я': 13.617122650146484, 'перед': 14.090509414672852, 'мгновением': 26.573896408081055, 'стоял,': 22.467926502227783, 'сверкнуло': 34.80717468261719, 'лезвие': 12.733721733093262, 'плоскостного': 41.77085018157959, 'меча.': 21.301888465881348}"
v tom okamžiku,"{'v': 15.503814697265625, 'tom': 14.583107948303223, 'okamziku': 47.758641719818115}","v tom okamžiku jsem pocítil, jak praská naše podlaha.","{'v': 14.098793983459473, 'tom': 13.761940002441406, 'okamziku': 47.87425422668457, 'jsem': 24.447434425354004, 'pocitil,': 46.8222713470459, 'jak': 23.4710750579834, 'praska': 18.932022094726562, 'nase': 15.127624034881592, 'podlaha.': 46.986809730529785}",тут же,"{'тут': 16.7138671875, 'же': 7.273810386657715}","тут же я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'тут': 20.849706649780273, 'же': 8.103256225585938, 'я': 10.932174682617188, 'почувствовал,': 24.07158613204956, 'как': 15.491487503051758, 'трещит': 19.853363037109375, 'наш': 7.665506839752197, 'пол,': 23.339777946472168, 'лопаются': 33.85079002380371, 'стекла,': 19.74315071105957, 'и': 12.718811988830566, 'я,': 25.672752380371094, 'не': 15.561235427856445, 'выпуская': 21.33481216430664, 'вагнера,': 33.93664073944092, 'лечу': 22.240522384643555, 'с': 10.956960678100586, 'ним': 18.715316772460938, 'в': 15.751951217651367, 'бездну…': 31.925668716430664}",в том мгновении,"{'в': 13.704416275024414, 'том': 11.36147403717041, 'мгновении': 22.83694076538086}","в том мгновении я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'в': 15.284613609313965, 'том': 8.681824684143066, 'мгновении': 23.70903205871582, 'я': 10.031267166137695, 'почувствовал,': 25.671958923339844, 'как': 15.982870101928711, 'трещит': 20.250389099121094, 'наш': 8.211223602294922, 'пол,': 23.35764980316162, 'лопаются': 33.895368576049805, 'стекла,': 20.05606460571289, 'и': 13.162691116333008, 'я,': 24.771544456481934, 'не': 15.48570728302002, 'выпуская': 21.135623931884766, 'вагнера,': 33.90913200378418, 'лечу': 22.135162353515625, 'с': 11.08112621307373, 'ним': 18.836380004882812, 'бездну…': 31.50705623626709}"
až dosud,"{'az': 16.725759506225586, 'dosud': 23.48082399368286}","až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.","{'az': 13.27893352508545, 'dosud': 21.70589542388916, 'jsme': 24.014819622039795, 'se': 6.9331207275390625, 'mohli': 21.869669914245605, 'shodnout': 34.41453409194946, 'na': 8.72877311706543, 'tom,': 27.477285385131836, 'ze': 19.122608184814453, 'lepsi': 24.78695297241211, 'nez': 17.687747955322266, 'spatna': 26.04127597808838, 'politika': 22.924616813659668, 'je': 12.741315841674805, 'zadna': 21.41556167602539, 'a': 9.973852157592773, 'nulove': 25.384512901306152, 'vztahy.': 53.040836334228516}",до сих пор,"{'до': 14.739310264587402, 'сих': 7.759074687957764, 'пор': 11.326711654663086}","до сих пор мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'до': 19.489253997802734, 'сих': 7.510767936706543, 'пор': 14.412162780761719, 'мы': 13.61532211303711, 'считали,': 29.21647357940674, 'что': 15.476741790771484, 'лучше': 16.363964080810547, 'плохой': 16.854036331176758, 'политики': 11.085317611694336, 'ее': 10.312812805175781, 'полное': 9.915003776550293, 'отсутствие': 11.123048782348633, 'и': 10.192330360412598, 'нулевые': 35.46065616607666, 'отношения.': 32.76468563079834}",аж досюда,"{'аж': 18.856660842895508, 'досюда': 23.716036796569824}","аж досюда мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'аж': 22.626237869262695, 'досюда': 24.767996788024902, 'мы': 7.863646507263184, 'считали,': 28.169456481933594, 'что': 15.315764427185059, 'лучше': 16.409936904907227, 'плохой': 16.514982223510742, 'политики': 10.556791305541992, 'ее': 10.217573165893555, 'полное': 9.71681022644043, 'отсутствие': 11.012784957885742, 'и': 10.002397537231445, 'нулевые': 34.2301721572876, 'отношения.': 32.03030586242676}"
v odpověď,"{'v': 16.168794631958008, 'odpoved': 36.61195135116577}",byla by uslyšela v odpověď jen další strofu písně.,"{'byla': 21.432579040527344, 'by': 8.003771781921387, 'uslysela': 27.45277976989746, 'v': 6.81313943862915, 'odpoved': 38.04359436035156, 'jen': 21.30327272415161, 'dalsi': 30.94274616241455, 'strofu': 34.21634912490845, 'pisne.': 33.148014545440674}",в ответ,"{'в': 12.592615127563477, 'ответ': 9.976444244384766}",в ответ она услышала бы лишь следующий куплет песни.,"{'в': 16.041004180908203, 'ответ': 11.98991584777832, 'она': 10.678424835205078, 'услышала': 16.4727840423584, 'бы': 7.718956470489502, 'лишь': 12.300806999206543, 'следующий': 13.940873146057129, 'куплет': 13.399084091186523, 'песни.': 18.385072708129883}",в отповедь,"{'в': 13.177531242370605, 'отповедь': 40.81849002838135}",в отповедь она услышала бы лишь следующий куплет песни.,"{'в': 16.45711898803711, 'отповедь': 40.53894901275635, 'она': 12.717864990234375, 'услышала': 18.109989166259766, 'бы': 8.547744750976562, 'лишь': 13.224251747131348, 'следующий': 14.581388473510742, 'куплет': 13.841845512390137, 'песни.': 18.260950088500977}"
na stranu,"{'na': 16.928375244140625, 'stranu': 23.20184850692749}",lans ukázal na stranu.,"{'lans': 22.440080165863037, 'ukazal': 35.88515663146973, 'na': 11.333467483520508, 'stranu.': 33.00852918624878}",в сторону,"{'в': 11.889184951782227, 'сторону': 10.671045303344727}",ланс неопределенно показал куда-то в сторону.,"{'ланс': 32.89798450469971, 'неопределенно': 13.39507007598877, 'показал': 11.354053497314453, 'куда-то': 37.68315315246582, 'в': 15.438764572143555, 'сторону.': 31.42221164703369}",на страну,"{'на': 11.883524894714355, 'страну': 9.670194625854492}",ланс неопределенно показал куда-то на страну.,"{'ланс': 33.525845527648926, 'неопределенно': 13.494579315185547, 'показал': 11.507355690002441, 'куда-то': 39.87361717224121, 'на': 15.809707641601562, 'страну.': 28.668006896972656}"
na sebe,"{'na': 15.727091789245605, 'sebe': 14.11190938949585}",velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,"{'velke': 21.13386631011963, 'zapadni': 36.13465404510498, 'nadnarodni': 39.86597537994385, 'firmy': 26.655841827392578, 'a': 6.362316131591797, 'korporace': 36.83274269104004, 'na': 9.05884075164795, 'sebe': 14.440951824188232, 'vzaly': 27.038118362426758, 'politickou': 26.20638370513916, 'roli.': 25.283512115478516}",на себя,"{'на': 11.16377067565918, 'себя': 7.54851770401001}",крупные западные транснациональные компании и корпорации взяли на себя политическую роль.,"{'крупные': 32.25275230407715, 'западные': 16.637313842773438, 'транснациональные': 39.02778339385986, 'компании': 15.414450645446777, 'и': 8.113740921020508, 'корпорации': 20.071943283081055, 'взяли': 11.368539810180664, 'на': 7.989718437194824, 'себя': 16.90273666381836, 'политическую': 14.972711563110352, 'роль.': 20.876395225524902}",на себе,"{'на': 10.79922103881836, 'себе': 7.426843166351318}",крупные западные транснациональные компании и корпорации взяли на себе политическую роль.,"{'крупные': 32.2095947265625, 'западные': 16.494853973388672, 'транснациональные': 38.818565368652344, 'компании': 15.552641868591309, 'и': 8.034269332885742, 'корпорации': 20.210264205932617, 'взяли': 11.335503578186035, 'на': 7.227846622467041, 'себе': 11.55699348449707, 'политическую': 14.146393775939941, 'роль.': 21.54416275024414}"
v jádru,"{'v': 16.981061935424805, 'jadru': 23.183509826660156}",v jádru byl stejný jako ona.,"{'v': 15.335893630981445, 'jadru': 22.022415161132812, 'byl': 19.253621101379395, 'stejny': 30.09218120574951, 'jako': 20.762170791625977, 'ona.': 31.28220558166504}",по существу,"{'по': 12.745990753173828, 'существу': 11.512519836425781}","по существу, он такой же, как и она.","{'по': 16.28137969970703, 'существу,': 17.593708515167236, 'он': 14.566537857055664, 'такой': 13.107192993164062, 'же,': 19.09979248046875, 'как': 14.918439865112305, 'и': 10.478269577026367, 'она.': 26.45879554748535}",в ядре,"{'в': 12.124388694763184, 'ядре': 25.692752838134766}","в ядре, он такой же, как и она.","{'в': 15.722222328186035, 'ядре,': 35.947200775146484, 'он': 17.151765823364258, 'такой': 13.063318252563477, 'же,': 19.772086143493652, 'как': 14.411540985107422, 'и': 10.736693382263184, 'она.': 25.984922409057617}"
celý život,"{'cely': 32.96331214904785, 'zivot': 32.899320125579834}","v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.","{'v': 13.8341646194458, 'barguzinskem': 46.866299629211426, 'narodnim': 37.1680645942688, 'parku': 19.784083366394043, 'jsme': 26.910980224609375, 'se': 7.925642013549805, 'zase': 13.935946464538574, 'seznamili': 46.647499084472656, 's': 11.238353729248047, 'pani': 15.790535926818848, 'irinou': 28.443453788757324, 'ivanovnou,': 50.044363021850586, 'ktera': 24.738906860351562, 'ochrane': 39.19661235809326, 'prirody': 26.445049285888672, 'zasvetila': 44.355088233947754, 'prakticky': 44.6409912109375, 'cely': 27.2328519821167, 'zivot.': 40.09032917022705}",всю жизнь,"{'всю': 18.29269027709961, 'жизнь': 6.780045032501221}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически всю жизнь.","{'в': 17.659883499145508, 'баргузинском': 50.039894104003906, 'заповеднике': 48.321577072143555, 'мы': 12.689407348632812, 'познакомились': 16.744352340698242, 'с': 9.93313980102539, 'ириной': 36.06096076965332, 'ивановой,': 36.858365058898926, 'которая': 20.90028953552246, 'посвятила': 32.10886096954346, 'охране': 13.987805366516113, 'природы': 9.549699783325195, 'практически': 10.54121208190918, 'всю': 5.790407180786133, 'жизнь.': 24.2316951751709}",целый живот,"{'целый': 20.3173828125, 'живот': 10.678244590759277}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически целый живот.","{'в': 17.78022003173828, 'баргузинском': 50.304612159729004, 'заповеднике': 48.462355613708496, 'мы': 12.929824829101562, 'познакомились': 16.40437889099121, 'с': 9.954832077026367, 'ириной': 35.91446113586426, 'ивановой,': 36.49398612976074, 'которая': 21.170862197875977, 'посвятила': 32.75607872009277, 'охране': 14.042265892028809, 'природы': 9.937925338745117, 'практически': 10.543903350830078, 'целый': 12.676373481750488, 'живот.': 27.082988739013672}"
v důsledku,"{'v': 15.241724014282227, 'dusledku': 39.18812656402588}",artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného herostratem.,"{'artemidin': 36.82359218597412, 'chram': 18.91274070739746, 'v': 15.115555763244629, 'efesu': 25.59528923034668, 'byl': 16.221768856048584, 'znicen': 31.2631893157959, '21.': 22.07350206375122, 'cervence': 44.60021781921387, '356': 23.87206268310547, 'pr.n.l.': 70.16317844390869, 'dusledku': 39.37744426727295, 'zharstvi': 44.59887218475342, 'spachaneho': 33.244751930236816, 'herostratem.': 53.11242485046387}",в результате,"{'в': 11.927168846130371, 'результате': 13.139400482177734}","храм артемиды в эфесе был разрушен 21 июля 356 года до н. э. в результате акта поджога, совершенного геростратом.","{'храм': 22.95408058166504, 'артемиды': 29.601536750793457, 'в': 13.809671401977539, 'эфесе': 30.576579093933105, 'был': 18.097139358520508, 'разрушен': 17.9682559967041, '21': 7.320939064025879, 'июля': 11.42474365234375, '356': 26.405975341796875, 'года': 9.277400970458984, 'до': 10.887755393981934, 'н.': 25.415576934814453, 'э.': 31.15888023376465, 'результате': 20.31511878967285, 'акта': 17.597026824951172, 'поджога,': 53.66323184967041, 'совершенного': 38.627312660217285, 'геростратом.': 52.289695739746094}",в последствии,"{'в': 14.255634307861328, 'последствии': 27.671549797058105}","храм артемиды в эфесе был разрушен 21 июля 356 года до н. э. в последствии акта поджога, совершенного геростратом.","{'храм': 22.959115982055664, 'артемиды': 29.898115634918213, 'в': 13.16731071472168, 'эфесе': 30.719371795654297, 'был': 18.103416442871094, 'разрушен': 17.68813133239746, '21': 7.321863651275635, 'июля': 11.33637809753418, '356': 26.43896198272705, 'года': 9.474102020263672, 'до': 10.815849304199219, 'н.': 25.438081741333008, 'э.': 31.204572677612305, 'последствии': 34.43826103210449, 'акта': 15.261797904968262, 'поджога,': 52.63996982574463, 'совершенного': 38.94606876373291, 'геростратом.': 53.8377685546875}"
na světě,"{'na': 16.252883911132812, 'svete': 26.93910837173462}","neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.","{'neexistuje': 49.305901527404785, 'na': 8.335101127624512, 'svete': 27.959572792053223, 'hrdina,': 49.72281265258789, 'jenz': 29.707457542419434, 'by': 13.136499404907227, 'nebyl': 23.49872875213623, 'nekomu': 31.863446712493896, 'ukraden,': 44.23500061035156, 'a': 10.888965606689453, 'neni': 22.5892333984375, 'zeme,': 39.032809257507324, 'ktera': 26.128904342651367, 'puvodne': 36.78567934036255, 'nebyla': 24.669649124145508, 'nekoho': 30.232508182525635, 'jineho.': 38.533217906951904}",на свете,"{'на': 12.40104866027832, 'свете': 9.500141143798828}","нет на свете героя, которого бы кто-нибудь у кого-нибудь да не украл, и нет страны, которая прежде не принадлежала бы кому-то другому.","{'нет': 14.509100914001465, 'на': 6.166549205780029, 'свете': 14.131549835205078, 'героя,': 20.59383201599121, 'которого': 21.29193687438965, 'бы': 7.4064788818359375, 'кто-нибудь': 47.674906730651855, 'у': 17.263233184814453, 'кого-нибудь': 47.61929798126221, 'да': 15.76689624786377, 'не': 10.443716049194336, 'украл,': 29.185481071472168, 'и': 10.657054901123047, 'страны,': 23.628819465637207, 'которая': 21.814563751220703, 'прежде': 12.849761962890625, 'принадлежала': 20.721960067749023, 'кому-то': 43.33194065093994, 'другому.': 24.872429847717285}",на свет,"{'на': 12.003643035888672, 'свет': 10.263471603393555}","нет на свет героя, которого бы кто-нибудь у кого-нибудь да не украл, и нет страны, которая прежде не принадлежала бы кому-то другому.","{'нет': 14.562461853027344, 'на': 8.510526657104492, 'свет': 14.612052917480469, 'героя,': 17.51639175415039, 'которого': 21.176530838012695, 'бы': 7.419363021850586, 'кто-нибудь': 47.987006187438965, 'у': 17.254091262817383, 'кого-нибудь': 47.751779556274414, 'да': 15.675627708435059, 'не': 10.511649131774902, 'украл,': 29.322772979736328, 'и': 10.866683959960938, 'страны,': 23.654234886169434, 'которая': 21.82356834411621, 'прежде': 12.749300956726074, 'принадлежала': 20.71048355102539, 'кому-то': 43.442569732666016, 'другому.': 24.707446098327637}"
