phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
ne jednou,"{'ne': 0.0, 'jednou': 18.94469165802002}",konec konců tam skutečně byl a ne jednou.,"{'konec': 10.283384323120117, 'koncu': 17.22986888885498, 'tam': 8.896586418151855, 'skutecne': 26.79048728942871, 'byl': 8.957657814025879, 'a': 4.749059677124023, 'ne': 7.257131576538086, 'jednou.': 17.76309585571289}",не раз,"{'не': 0.0, 'раз': 7.542349338531494}",но сам он бывал там на самом деле и не раз.,"{'но': 0.0, 'сам': 7.899681091308594, 'он': 5.842896461486816, 'бывал': 8.50368881225586, 'там': 4.188653945922852, 'на': 4.644594192504883, 'самом': 6.8656768798828125, 'деле': 0.10974693298339844, 'и': 3.006174087524414, 'не': 2.826526641845703, 'раз.': 1.5446586608886719}",не одну,"{'не': 0.0, 'одну': 10.39758014678955}",но сам он бывал там на самом деле и не одну.,"{'но': 0.0, 'сам': 7.899681091308594, 'он': 5.842896461486816, 'бывал': 8.50368881225586, 'там': 4.188653945922852, 'на': 4.644594192504883, 'самом': 6.8656768798828125, 'деле': 0.10974693298339844, 'и': 3.006174087524414, 'не': 2.826526641845703, 'одну.': 11.069130897521973}"
úplně jedno,"{'uplne': 16.545000076293945, 'jedno': 15.344099044799805}",který konkrétně? to je přece úplně jedno.,"{'ktery': 12.363417148590088, 'konkretne?': 28.74769115447998, 'to': 8.808792114257812, 'je': 6.864693641662598, 'prece': 14.170419692993164, 'uplne': 19.732447624206543, 'jedno.': 15.78245735168457}",все равно,"{'все': 0.0, 'равно': 5.924633502960205}",кто именно? да все равно.,"{'кто': 0.0, 'именно?': 9.697212219238281, 'да': 8.054035186767578, 'все': 4.28526496887207, 'равно.': 5.708205223083496}",вполне одно,"{'вполне': 8.588383674621582, 'одно': 9.777511596679688}",кто именно? да вполне одно.,"{'кто': 0.0, 'именно?': 9.697212219238281, 'да': 8.054035186767578, 'вполне': 8.222147941589355, 'одно.': 14.766948699951172}"
před okamžikem,"{'pred': 7.331748962402344, 'okamzikem': 42.110230445861816}","tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.","{'tam,': 11.95243787765503, 'kde': 14.471278190612793, 'jsem': 14.591339111328125, 'pred': 9.602876663208008, 'okamzikem': 32.50704574584961, 'stal,': 13.522449493408203, 'zasvistelo': 26.54998779296875, 'ostri': 15.395383834838867, 'ostroplocheho': 32.889479637145996, 'mece.': 14.296299934387207}",только что,"{'только': 0.0, 'что': 4.072602272033691}","там, где я только что стоял, сверкнуло лезвие плоскостного меча.","{'там,': 2.212270736694336, 'где': 3.2884559631347656, 'я': 4.223272323608398, 'только': 5.340184211730957, 'что': 0.4711637496948242, 'стоял,': 5.453737258911133, 'сверкнуло': 11.331650733947754, 'лезвие': 2.8599853515625, 'плоскостного': 15.312169075012207, 'меча.': 1.2241077423095703}",перед мгновением,"{'перед': 0.0, 'мгновением': 14.256237030029297}","там, где я перед мгновением стоял, сверкнуло лезвие плоскостного меча.","{'там,': 2.212270736694336, 'где': 3.2884559631347656, 'я': 4.223272323608398, 'перед': 9.365463256835938, 'мгновением': 13.932650566101074, 'стоял,': 7.807099342346191, 'сверкнуло': 11.740961074829102, 'лезвие': 2.4234209060668945, 'плоскостного': 14.922933578491211, 'меча.': 1.280843734741211}"
v tom okamžiku,"{'v': 0.0, 'tom': 13.554602146148682, 'okamziku': 35.78098011016846}","v tom okamžiku jsem pocítil, jak praská naše podlaha.","{'v': 0.0, 'tom': 13.554602146148682, 'okamziku': 35.78097629547119, 'jsem': 13.694990158081055, 'pocitil,': 25.427815437316895, 'jak': 5.632824897766113, 'praska': 16.40625762939453, 'nase': 12.144384384155273, 'podlaha.': 19.7935791015625}",тут же,"{'тут': 0.0, 'же': 4.650850772857666}","тут же я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'тут': 0.0, 'же': 4.650851249694824, 'я': 5.072970390319824, 'почувствовал,': 6.698046684265137, 'как': 1.02288818359375, 'трещит': 8.96066665649414, 'наш': 5.927278518676758, 'пол,': 7.716813087463379, 'лопаются': 9.91650104522705, 'стекла,': 4.800692558288574, 'и': 1.9834136962890625, 'я,': 6.02556037902832, 'не': 2.5860424041748047, 'выпуская': 4.637397766113281, 'вагнера,': 17.975351333618164, 'лечу': 7.267450332641602, 'с': 3.8202171325683594, 'ним': 1.5792131423950195, 'в': 1.3114643096923828, 'бездну…': 7.675497055053711}",в том мгновении,"{'в': 0.0, 'том': 6.044155597686768, 'мгновении': 15.801877975463867}","в том мгновении я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'в': 1.2936859130859375, 'том': 6.044155597686768, 'мгновении': 15.80187702178955, 'я': 6.243053436279297, 'почувствовал,': 4.858373641967773, 'как': 1.1158943176269531, 'трещит': 9.413631916046143, 'наш': 5.771231651306152, 'пол,': 8.318615913391113, 'лопаются': 9.808930397033691, 'стекла,': 4.36297607421875, 'и': 1.9866466522216797, 'я,': 5.23039436340332, 'не': 2.6358280181884766, 'выпуская': 4.5600080490112305, 'вагнера,': 18.158635139465332, 'лечу': 5.81754207611084, 'с': 3.6989736557006836, 'ним': 1.7685108184814453, 'бездну…': 6.986498832702637}"
až dosud,"{'az': 0.0, 'dosud': 24.086687088012695}","až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.","{'az': 0.0, 'dosud': 24.086688995361328, 'jsme': 20.24853801727295, 'se': 6.922231674194336, 'mohli': 17.131415367126465, 'shodnout': 24.19731044769287, 'na': 5.310774803161621, 'tom,': 11.247349739074707, 'ze': 6.146753311157227, 'lepsi': 13.89221477508545, 'nez': 8.824626922607422, 'spatna': 18.010623931884766, 'politika': 4.9859466552734375, 'je': 5.162810325622559, 'zadna': 12.293136596679688, 'a': 3.6679162979125977, 'nulove': 17.508623123168945, 'vztahy.': 26.93417263031006}",до сих пор,"{'до': 0.0, 'сих': 6.575293064117432, 'пор': 0.015102386474609375}","до сих пор мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'до': 0.0, 'сих': 6.575292587280273, 'пор': 0.015102386474609375, 'мы': 5.741718292236328, 'считали,': 6.124383926391602, 'что': 0.031490325927734375, 'лучше': 7.211452960968018, 'плохой': 9.051393508911133, 'политики': 8.046639442443848, 'ее': 8.97927188873291, 'полное': 8.995368957519531, 'отсутствие': 0.04435157775878906, 'и': 4.192676544189453, 'нулевые': 11.060324668884277, 'отношения.': 8.043469429016113}",аж досюда,"{'аж': 6.510209083557129, 'досюда': 11.116053581237793}","аж досюда мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'аж': 6.5102081298828125, 'досюда': 11.116057395935059, 'мы': 7.430742263793945, 'считали,': 10.143909454345703, 'что': 0.2634544372558594, 'лучше': 6.587034702301025, 'плохой': 10.068347930908203, 'политики': 8.663394927978516, 'ее': 9.210348129272461, 'полное': 9.62543773651123, 'отсутствие': 0.04286384582519531, 'и': 3.921875, 'нулевые': 10.186871528625488, 'отношения.': 7.5884294509887695}"
v odpověď,"{'v': 0.0, 'odpoved': 23.123987197875977}",byla by uslyšela v odpověď jen další strofu písně.,"{'byla': 8.6309814453125, 'by': 5.637699127197266, 'uslysela': 34.18610095977783, 'v': 6.755519866943359, 'odpoved': 19.16386127471924, 'jen': 13.602782249450684, 'dalsi': 17.04350471496582, 'strofu': 18.88321590423584, 'pisne.': 16.682503700256348}",в ответ,"{'в': 0.0, 'ответ': 8.192546844482422}",в ответ она услышала бы лишь следующий куплет песни.,"{'в': 0.0, 'ответ': 8.192546844482422, 'она': 5.72718620300293, 'услышала': 4.937638282775879, 'бы': 7.209959030151367, 'лишь': 2.835057258605957, 'следующий': 10.464612007141113, 'куплет': 8.552812576293945, 'песни.': 5.826143264770508}",в отповедь,"{'в': 0.0, 'отповедь': 15.153423309326172}",в отповедь она услышала бы лишь следующий куплет песни.,"{'в': 0.0, 'отповедь': 15.153426170349121, 'она': 7.841562271118164, 'услышала': 5.88355827331543, 'бы': 7.109328269958496, 'лишь': 4.203845977783203, 'следующий': 8.871529579162598, 'куплет': 7.565046310424805, 'песни.': 6.1690263748168945}"
na stranu,"{'na': 0.0, 'stranu': 17.340901374816895}",lans ukázal na stranu.,"{'lans': 6.780579566955566, 'ukazal': 23.133092880249023, 'na': 6.996808052062988, 'stranu.': 11.58413314819336}",в сторону,"{'в': 0.0, 'сторону': 7.8770246505737305}",ланс неопределенно показал куда-то в сторону.,"{'ланс': 5.6037983894348145, 'неопределенно': 13.074065208435059, 'показал': 5.971824645996094, 'куда-то': 4.514764785766602, 'в': 1.3986692428588867, 'сторону.': 1.4738502502441406}",на страну,"{'на': 0.0, 'страну': 11.46713924407959}",ланс неопределенно показал куда-то на страну.,"{'ланс': 5.6037983894348145, 'неопределенно': 13.074065208435059, 'показал': 5.971824645996094, 'куда-то': 4.514764785766602, 'на': 4.243419647216797, 'страну.': 10.77030086517334}"
na sebe,"{'na': 0.0, 'sebe': 14.476141929626465}",velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,"{'velke': 6.456865310668945, 'zapadni': 18.068496227264404, 'nadnarodni': 23.00541877746582, 'firmy': 13.74189567565918, 'a': 5.830010414123535, 'korporace': 20.00979232788086, 'na': 3.8855857849121094, 'sebe': 7.886953353881836, 'vzaly': 20.597028732299805, 'politickou': 18.86664867401123, 'roli.': 14.80103588104248}",на себя,"{'на': 0.0, 'себя': 8.103596687316895}",крупные западные транснациональные компании и корпорации взяли на себя политическую роль.,"{'крупные': 10.804389953613281, 'западные': 7.781276702880859, 'транснациональные': 6.987422943115234, 'компании': 1.3375415802001953, 'и': 2.9775495529174805, 'корпорации': 3.5266427993774414, 'взяли': 8.278627395629883, 'на': 0.9563741683959961, 'себя': 0.3260021209716797, 'политическую': 6.583272933959961, 'роль.': 4.754066467285156}",на себе,"{'на': 0.0, 'себе': 8.011209487915039}",крупные западные транснациональные компании и корпорации взяли на себе политическую роль.,"{'крупные': 10.804389953613281, 'западные': 7.781276702880859, 'транснациональные': 6.987422943115234, 'компании': 1.3375415802001953, 'и': 2.9775495529174805, 'корпорации': 3.5266427993774414, 'взяли': 8.278627395629883, 'на': 0.9563741683959961, 'себе': 8.002874374389648, 'политическую': 6.822831153869629, 'роль.': 5.183261871337891}"
v jádru,"{'v': 0.0, 'jadru': 24.343870162963867}",v jádru byl stejný jako ona.,"{'v': 0.0, 'jadru': 24.343868255615234, 'byl': 11.632227897644043, 'stejny': 16.812347412109375, 'jako': 10.827706336975098, 'ona.': 15.012404441833496}",по существу,"{'по': 0.0, 'существу': 7.9259796142578125}","по существу, он такой же, как и она.","{'по': 0.0, 'существу,': 9.619757652282715, 'он': 4.212639808654785, 'такой': 6.910356521606445, 'же,': 1.5828876495361328, 'как': 0.10119247436523438, 'и': 0.8024044036865234, 'она.': 6.416408538818359}",в ядре,"{'в': 0.0, 'ядре': 11.576799392700195}","в ядре, он такой же, как и она.","{'в': 0.0, 'ядре,': 13.94384479522705, 'он': 5.604487419128418, 'такой': 7.822300434112549, 'же,': 2.109734535217285, 'как': 0.11849212646484375, 'и': 0.7593660354614258, 'она.': 7.572473526000977}"
celý život,"{'cely': 7.145874977111816, 'zivot': 17.57625102996826}","v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.","{'v': 0.0, 'barguzinskem': 43.512935638427734, 'narodnim': 16.060677528381348, 'parku': 12.928468704223633, 'jsme': 17.070944786071777, 'se': 7.920779228210449, 'zase': 12.955291748046875, 'seznamili': 22.999319076538086, 's': 3.2993030548095703, 'pani': 12.17702865600586, 'irinou': 18.65705394744873, 'ivanovnou,': 27.701468467712402, 'ktera': 8.687150955200195, 'ochrane': 16.317461013793945, 'prirody': 14.193044662475586, 'zasvetila': 22.050622940063477, 'prakticky': 18.453094482421875, 'cely': 12.717885971069336, 'zivot.': 19.158588409423828}",всю жизнь,"{'всю': 8.430729866027832, 'жизнь': 1.4657611846923828}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически всю жизнь.","{'в': 0.0, 'баргузинском': 17.683813095092773, 'заповеднике': 3.14224910736084, 'мы': 6.895339012145996, 'познакомились': 4.732840538024902, 'с': 0.11061477661132812, 'ириной': 15.590795516967773, 'ивановой,': 13.6366605758667, 'которая': 1.9146547317504883, 'посвятила': 6.72498893737793, 'охране': 8.925360679626465, 'природы': 1.4226694107055664, 'практически': 7.946836471557617, 'всю': 0.5370121002197266, 'жизнь.': 2.571992874145508}",целый живот,"{'целый': 4.367456436157227, 'живот': 6.505849838256836}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически целый живот.","{'в': 0.0, 'баргузинском': 17.683813095092773, 'заповеднике': 3.14224910736084, 'мы': 6.895339012145996, 'познакомились': 4.732840538024902, 'с': 0.11061477661132812, 'ириной': 15.590795516967773, 'ивановой,': 13.6366605758667, 'которая': 1.9146547317504883, 'посвятила': 6.72498893737793, 'охране': 8.925360679626465, 'природы': 1.4226694107055664, 'практически': 7.946836471557617, 'целый': 4.42515754699707, 'живот.': 14.981204986572266}"
