phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
ne jednou,"{'ne': 0.0, 'jednou': 24.0548734664917}",konec konců tam skutečně byl a ne jednou.,"{'konec': 10.106447219848633, 'koncu': 21.64577007293701, 'tam': 10.337353706359863, 'skutecne': 25.823217391967773, 'byl': 9.561422348022461, 'a': 5.3710527420043945, 'ne': 5.906069755554199, 'jednou.': 21.98547077178955}",не раз,"{'не': 0.0, 'раз': 6.801150321960449}",но сам он бывал там на самом деле и не раз.,"{'но': 0.0, 'сам': 8.689615249633789, 'он': 4.812814712524414, 'бывал': 8.114059448242188, 'там': 3.921510696411133, 'на': 4.327693939208984, 'самом': 4.393614768981934, 'деле': 0.10799598693847656, 'и': 2.9861841201782227, 'не': 2.541536331176758, 'раз.': 1.8114051818847656}",не одну,"{'не': 0.0, 'одну': 9.857514381408691}",но сам он бывал там на самом деле и не одну.,"{'но': 0.0, 'сам': 8.689615249633789, 'он': 4.812814712524414, 'бывал': 8.114059448242188, 'там': 3.921510696411133, 'на': 4.327693939208984, 'самом': 4.393614768981934, 'деле': 0.10799598693847656, 'и': 2.9861841201782227, 'не': 2.541536331176758, 'одну.': 11.214362144470215}"
úplně jedno,"{'uplne': 17.435514450073242, 'jedno': 19.43505859375}",který konkrétně? to je přece úplně jedno.,"{'ktery': 12.110065460205078, 'konkretne?': 28.149015426635742, 'to': 7.629790306091309, 'je': 8.404501914978027, 'prece': 13.557696342468262, 'uplne': 27.153696060180664, 'jedno.': 17.77399444580078}",все равно,"{'все': 0.0, 'равно': 4.010804176330566}",кто именно? да все равно.,"{'кто': 0.0, 'именно?': 10.674365997314453, 'да': 8.531791687011719, 'все': 4.2310895919799805, 'равно.': 5.550056457519531}",вполне одно,"{'вполне': 8.000765800476074, 'одно': 10.3059663772583}",кто именно? да вполне одно.,"{'кто': 0.0, 'именно?': 10.674365997314453, 'да': 8.531791687011719, 'вполне': 7.876287460327148, 'одно.': 15.061164855957031}"
před okamžikem,"{'pred': 7.192107677459717, 'okamzikem': 41.417325019836426}","tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.","{'tam,': 11.499079704284668, 'kde': 13.935914993286133, 'jsem': 15.461511611938477, 'pred': 10.49466609954834, 'okamzikem': 35.170671463012695, 'stal,': 13.544759750366211, 'zasvistelo': 28.57091236114502, 'ostri': 13.289965629577637, 'ostroplocheho': 31.496536254882812, 'mece.': 16.289691925048828}",только что,"{'только': 0.0, 'что': 3.376710891723633}","там, где я только что стоял, сверкнуло лезвие плоскостного меча.","{'там,': 1.6381912231445312, 'где': 3.4741220474243164, 'я': 4.346745491027832, 'только': 5.361927032470703, 'что': 0.40319347381591797, 'стоял,': 6.203072547912598, 'сверкнуло': 12.8282470703125, 'лезвие': 3.0730581283569336, 'плоскостного': 15.963610649108887, 'меча.': 2.0836620330810547}",перед мгновением,"{'перед': 0.0, 'мгновением': 11.844772338867188}","там, где я перед мгновением стоял, сверкнуло лезвие плоскостного меча.","{'там,': 1.6381893157958984, 'где': 3.4741201400756836, 'я': 4.346745491027832, 'перед': 9.242274284362793, 'мгновением': 12.666801452636719, 'стоял,': 8.636857986450195, 'сверкнуло': 14.90142011642456, 'лезвие': 2.911691665649414, 'плоскостного': 16.282259941101074, 'меча.': 1.9628944396972656}"
v tom okamžiku,"{'v': 0.0, 'tom': 14.036459922790527, 'okamziku': 33.9243049621582}","v tom okamžiku jsem pocítil, jak praská naše podlaha.","{'v': 0.0, 'tom': 14.036459922790527, 'okamziku': 33.924306869506836, 'jsem': 13.637198448181152, 'pocitil,': 25.72885227203369, 'jak': 5.79853630065918, 'praska': 17.738555908203125, 'nase': 11.020509719848633, 'podlaha.': 22.453749656677246}",тут же,"{'тут': 0.0, 'же': 3.7622623443603516}","тут же я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'тут': 0.0, 'же': 3.7622623443603516, 'я': 5.058289527893066, 'почувствовал,': 5.998311996459961, 'как': 0.8871421813964844, 'трещит': 9.565940856933594, 'наш': 7.521254539489746, 'пол,': 7.968986511230469, 'лопаются': 10.081539154052734, 'стекла,': 4.297863006591797, 'и': 1.705042839050293, 'я,': 5.440757751464844, 'не': 2.721559524536133, 'выпуская': 4.69923210144043, 'вагнера,': 19.415106773376465, 'лечу': 6.226259231567383, 'с': 4.4595232009887695, 'ним': 1.342864990234375, 'в': 1.3185062408447266, 'бездну…': 7.541704177856445}",в том мгновении,"{'в': 0.0, 'том': 5.117299556732178, 'мгновении': 14.137075424194336}","в том мгновении я почувствовал, как трещит наш пол, лопаются стекла, и я, не выпуская вагнера, лечу с ним в бездну…","{'в': 1.2203865051269531, 'том': 5.117300987243652, 'мгновении': 14.137073516845703, 'я': 5.095231056213379, 'почувствовал,': 4.587349891662598, 'как': 0.7342128753662109, 'трещит': 10.049971580505371, 'наш': 7.210788726806641, 'пол,': 7.82796573638916, 'лопаются': 9.411680221557617, 'стекла,': 4.285993576049805, 'и': 1.7302122116088867, 'я,': 5.245494842529297, 'не': 2.696674346923828, 'выпуская': 4.684098243713379, 'вагнера,': 19.01217746734619, 'лечу': 6.358983039855957, 'с': 4.314044952392578, 'ним': 1.2463302612304688, 'бездну…': 6.650781631469727}"
až dosud,"{'az': 0.0, 'dosud': 20.215646743774414}","až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.","{'az': 0.0, 'dosud': 20.215646743774414, 'jsme': 21.046712398529053, 'se': 5.797835350036621, 'mohli': 24.257222175598145, 'shodnout': 27.859395027160645, 'na': 6.788632392883301, 'tom,': 13.557649612426758, 'ze': 8.46994400024414, 'lepsi': 18.48059844970703, 'nez': 8.900777816772461, 'spatna': 18.056235313415527, 'politika': 6.276094436645508, 'je': 6.725337028503418, 'zadna': 13.52066707611084, 'a': 3.6317968368530273, 'nulove': 18.6259708404541, 'vztahy.': 28.182011604309082}",до сих пор,"{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312}","до сих пор мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312, 'мы': 6.116778373718262, 'считали,': 7.943098068237305, 'что': 0.0438385009765625, 'лучше': 5.716002464294434, 'плохой': 10.881502151489258, 'политики': 6.165135383605957, 'ее': 7.398913860321045, 'полное': 11.11798095703125, 'отсутствие': 0.4038105010986328, 'и': 3.5108814239501953, 'нулевые': 10.774925231933594, 'отношения.': 6.709255218505859}",аж досюда,"{'аж': 6.589238166809082, 'досюда': 12.252939224243164}","аж досюда мы считали, что лучше плохой политики ее полное отсутствие и нулевые отношения.","{'аж': 6.589239597320557, 'досюда': 12.252936363220215, 'мы': 8.134092330932617, 'считали,': 11.698333740234375, 'что': 0.7676706314086914, 'лучше': 5.696080207824707, 'плохой': 12.158954620361328, 'политики': 7.835377216339111, 'ее': 7.703839302062988, 'полное': 11.798904418945312, 'отсутствие': 0.2792224884033203, 'и': 3.33203125, 'нулевые': 10.442373275756836, 'отношения.': 6.914250373840332}"
v odpověď,"{'v': 0.0, 'odpoved': 22.32936668395996}",byla by uslyšela v odpověď jen další strofu písně.,"{'byla': 7.918064117431641, 'by': 7.396476745605469, 'uslysela': 37.346418380737305, 'v': 7.273493766784668, 'odpoved': 19.48146343231201, 'jen': 13.49610710144043, 'dalsi': 18.828232765197754, 'strofu': 20.88230037689209, 'pisne.': 16.578083992004395}",в ответ,"{'в': 0.0, 'ответ': 7.455052375793457}",в ответ она услышала бы лишь следующий куплет песни.,"{'в': 0.0, 'ответ': 7.455052375793457, 'она': 6.280612945556641, 'услышала': 5.404558181762695, 'бы': 7.057443618774414, 'лишь': 3.709836006164551, 'следующий': 8.492060661315918, 'куплет': 7.294843673706055, 'песни.': 7.544746398925781}",в отповедь,"{'в': 0.0, 'отповедь': 16.18720054626465}",в отповедь она услышала бы лишь следующий куплет песни.,"{'в': 0.0, 'отповедь': 16.187198638916016, 'она': 7.189438819885254, 'услышала': 5.432834625244141, 'бы': 6.258947372436523, 'лишь': 4.40130615234375, 'следующий': 7.8016462326049805, 'куплет': 7.0979156494140625, 'песни.': 7.597537040710449}"
na stranu,"{'na': 0.0, 'stranu': 17.000998497009277}",lans ukázal na stranu.,"{'lans': 7.01548957824707, 'ukazal': 22.030014038085938, 'na': 9.848608016967773, 'stranu.': 15.621167182922363}",в сторону,"{'в': 0.0, 'сторону': 7.239398002624512}",ланс неопределенно показал куда-то в сторону.,"{'ланс': 4.9012932777404785, 'неопределенно': 12.864764213562012, 'показал': 7.071361541748047, 'куда-то': 7.262812614440918, 'в': 1.5771865844726562, 'сторону.': 1.9002466201782227}",на страну,"{'на': 0.0, 'страну': 10.31736946105957}",ланс неопределенно показал куда-то на страну.,"{'ланс': 4.9012932777404785, 'неопределенно': 12.864764213562012, 'показал': 7.071361541748047, 'куда-то': 7.262812614440918, 'на': 2.7440853118896484, 'страну.': 10.925603866577148}"
na sebe,"{'na': 0.0, 'sebe': 13.668528079986572}",velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,"{'velke': 8.447563171386719, 'zapadni': 24.83930778503418, 'nadnarodni': 25.584440231323242, 'firmy': 16.71541404724121, 'a': 4.402478218078613, 'korporace': 17.24739646911621, 'na': 4.224414825439453, 'sebe': 8.547249794006348, 'vzaly': 19.50892925262451, 'politickou': 24.878652572631836, 'roli.': 16.335285186767578}",на себя,"{'на': 0.0, 'себя': 6.978935718536377}",крупные западные транснациональные компании и корпорации взяли на себя политическую роль.,"{'крупные': 9.436724185943604, 'западные': 8.175692558288574, 'транснациональные': 7.967440605163574, 'компании': 1.6924400329589844, 'и': 3.130467414855957, 'корпорации': 2.973069190979004, 'взяли': 8.97127914428711, 'на': 1.2064189910888672, 'себя': 0.08651924133300781, 'политическую': 7.579036712646484, 'роль.': 5.084800720214844}",на себе,"{'на': 0.0, 'себе': 7.703919887542725}",крупные западные транснациональные компании и корпорации взяли на себе политическую роль.,"{'крупные': 9.436724185943604, 'западные': 8.175692558288574, 'транснациональные': 7.967440605163574, 'компании': 1.6924400329589844, 'и': 3.130467414855957, 'корпорации': 2.973069190979004, 'взяли': 8.97127914428711, 'на': 1.2064189910888672, 'себе': 9.937562942504883, 'политическую': 7.563302040100098, 'роль.': 4.850288391113281}"
v jádru,"{'v': 0.0, 'jadru': 24.371017456054688}",v jádru byl stejný jako ona.,"{'v': 0.0, 'jadru': 24.371017456054688, 'byl': 15.075308799743652, 'stejny': 19.96522617340088, 'jako': 12.093724250793457, 'ona.': 17.147614002227783}",по существу,"{'по': 0.0, 'существу': 8.2483491897583}","по существу, он такой же, как и она.","{'по': 0.0, 'существу,': 9.266414642333984, 'он': 3.8866615295410156, 'такой': 6.6554036140441895, 'же,': 2.239725112915039, 'как': 0.07168197631835938, 'и': 0.8411130905151367, 'она.': 6.945612907409668}",в ядре,"{'в': 0.0, 'ядре': 11.755892753601074}","в ядре, он такой же, как и она.","{'в': 0.0, 'ядре,': 14.414827346801758, 'он': 4.746090888977051, 'такой': 8.501877784729004, 'же,': 2.6872987747192383, 'как': 0.10126876831054688, 'и': 0.8212995529174805, 'она.': 6.581159591674805}"
celý život,"{'cely': 9.342584609985352, 'zivot': 18.641212463378906}","v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.","{'v': 0.0, 'barguzinskem': 41.42076873779297, 'narodnim': 16.919157028198242, 'parku': 19.334272384643555, 'jsme': 18.399905681610107, 'se': 6.714473724365234, 'zase': 13.05567455291748, 'seznamili': 20.437142372131348, 's': 3.693349838256836, 'pani': 13.882454872131348, 'irinou': 20.139760971069336, 'ivanovnou,': 26.99123764038086, 'ktera': 15.249608039855957, 'ochrane': 16.16757106781006, 'prirody': 16.847087860107422, 'zasvetila': 21.129806518554688, 'prakticky': 18.485342979431152, 'cely': 12.180036544799805, 'zivot.': 18.919870376586914}",всю жизнь,"{'всю': 8.38951301574707, 'жизнь': 1.9150753021240234}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически всю жизнь.","{'в': 0.0, 'баргузинском': 17.742397785186768, 'заповеднике': 4.524295806884766, 'мы': 6.20862340927124, 'познакомились': 4.208224296569824, 'с': 0.35130882263183594, 'ириной': 16.918163299560547, 'ивановой,': 14.922359466552734, 'которая': 2.549123764038086, 'посвятила': 7.7461347579956055, 'охране': 9.815505027770996, 'природы': 2.901148796081543, 'практически': 7.44640588760376, 'всю': 1.3057384490966797, 'жизнь.': 2.205293655395508}",целый живот,"{'целый': 3.9570083618164062, 'живот': 6.130759239196777}","в баргузинском заповеднике мы познакомились с ириной ивановой, которая посвятила охране природы практически целый живот.","{'в': 0.0, 'баргузинском': 17.742397785186768, 'заповеднике': 4.524295806884766, 'мы': 6.20862340927124, 'познакомились': 4.208224296569824, 'с': 0.35130882263183594, 'ириной': 16.918163299560547, 'ивановой,': 14.922359466552734, 'которая': 2.549123764038086, 'посвятила': 7.7461347579956055, 'охране': 9.815505027770996, 'природы': 2.901148796081543, 'практически': 7.44640588760376, 'целый': 3.7804489135742188, 'живот.': 15.051658630371094}"
