phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
niejednokrotnie,{'niejednokrotnie': 19.805429458618164},"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.","{'cesarz': 11.669492721557617, 'rzymski': 6.701351165771484, 'niejednokrotnie': 13.239437103271484, 'pokazal,': 6.523960113525391, 'ze': 8.164621353149414, 'przyjacielem': 13.725635528564453, 'korony': 3.6960277557373047, 'polskiej': 0.09296035766601562, 'nie': 0.15105819702148438, 'jest.': 1.5940208435058594}",не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}","римский кесарь не раз показал, что он не друг польской короне.","{'римский': 5.407873153686523, 'кесарь': 0.3086223602294922, 'не': 0.353607177734375, 'раз': 0.37310791015625, 'показал,': 4.368128776550293, 'что': 0.0650787353515625, 'он': 0.23123550415039062, 'друг': 3.7668981552124023, 'польской': 5.06566047668457, 'короне.': 0.3594341278076172}",неоднократно,{'неоднократно': 3.231109619140625},"римский кесарь неоднократно показал, что он не друг польской короне.","{'римский': 5.678987503051758, 'кесарь': 0.25426292419433594, 'неоднократно': 6.439218521118164, 'показал,': 6.422273635864258, 'что': 0.05318641662597656, 'он': 0.1822795867919922, 'не': 0.3918190002441406, 'друг': 3.9110584259033203, 'польской': 5.088788032531738, 'короне.': 0.3635425567626953}"
wszystko jedno,"{'wszystko': 13.140205383300781, 'jedno': 3.188058853149414}","zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.","{'zamieszanie': 17.610855102539062, 'potegowal': 21.074280738830566, 'fakt,': 5.91047477722168, 'ze': 4.781013488769531, 'niektorzy': 12.31222152709961, 'zachowywali': 12.572715759277344, 'neutralnosc,': 21.242379188537598, 'to': 2.79541015625, 'znaczy': 6.850358963012695, 'bylo': 3.4886245727539062, 'im': 6.041779518127441, 'wszystko': 6.049650192260742, 'jedno,': 3.0417633056640625, 'kogo': 8.371391296386719, 'napadaja': 3.760221481323242, 'i': 0.14392662048339844, 'grabia,': 4.608552932739258, 'napadali': 5.254344940185547, 'grabili': 3.750743865966797, 'wszystkich.': 6.405231475830078}",все равно,"{'все': 1.8039226531982422, 'равно': 4.80443000793457}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все равно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 0.19651412963867188, 'усиливал': 0.6426219940185547, 'тот': 0.002544403076171875, 'факт,': 0.030107498168945312, 'что': 0.004268646240234375, 'некоторые': 6.066461563110352, 'придерживались': 0.027210235595703125, 'нейтралитета,': 1.2873172760009766, 'то': 0.0038776397705078125, 'есть': 0.020624160766601562, 'им': 0.11652755737304688, 'было': 0.018262863159179688, 'все': 0.26138877868652344, 'равно,': 0.040561676025390625, 'на': 0.006114959716796875, 'кого': 0.16588783264160156, 'нападают': 0.016010284423828125, 'и': 0.008045196533203125, 'грабят,': 4.680063247680664, 'нападали': 0.0211181640625, 'грабили': 0.047405242919921875, 'всех.': 2.935941696166992}",все одно,"{'все': 5.175406455993652, 'одно': 7.817736625671387}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все одно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 0.21265792846679688, 'усиливал': 0.6331348419189453, 'тот': 0.002567291259765625, 'факт,': 0.030309677124023438, 'что': 0.004413604736328125, 'некоторые': 6.324563980102539, 'придерживались': 0.026456832885742188, 'нейтралитета,': 1.2930183410644531, 'то': 0.003635406494140625, 'есть': 0.02333831787109375, 'им': 0.19893264770507812, 'было': 0.014312744140625, 'все': 0.1787433624267578, 'одно,': 8.13254165649414, 'на': 0.009929656982421875, 'кого': 0.12931442260742188, 'нападают': 0.039012908935546875, 'и': 0.0105743408203125, 'грабят,': 4.35264778137207, 'нападали': 0.017917633056640625, 'грабили': 0.043853759765625, 'всех.': 2.948589324951172}"
przed chwilą,"{'przed': 17.78686809539795, 'chwila': 16.934080123901367}","a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.","{'a': 3.8064498901367188, 'reynevan': 24.3211669921875, 'zacytowal': 15.804693222045898, 'przed': 0.9908905029296875, 'chwila': 12.853622436523438, 'autorytety,': 26.088311195373535, 'ktore': 9.623522758483887, 'troche': 13.870161056518555, 'jakby': 19.57576560974121, 'przecza': 5.587329864501953, 'temu,': 12.421100616455078, 'co': 4.278541564941406, 'zeznajesz.': 17.782343864440918}",только что,"{'только': 4.640101432800293, 'что': 5.232168197631836}","а рейневан только что процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 4.817298889160156, 'рейневан': 21.820536613464355, 'только': 0.07119369506835938, 'что': 0.048244476318359375, 'процитировал': 0.2335491180419922, 'авторитетов,': 6.826725006103516, 'которые': 0.09132766723632812, 'как': 0.8611469268798828, 'бы': 0.8730583190917969, 'немного': 5.285039901733398, 'противоречат': 0.0046405792236328125, 'твоим': 4.353199005126953, 'показаниям.': 2.1846370697021484}",перед минутой,"{'перед': 9.71385383605957, 'минутой': 17.027408599853516}","а рейневан перед минутой процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 4.095932960510254, 'рейневан': 21.651159286499023, 'перед': 2.2284460067749023, 'минутой': 15.53156852722168, 'процитировал': 0.5204715728759766, 'авторитетов,': 6.699328422546387, 'которые': 0.09873771667480469, 'как': 1.0542106628417969, 'бы': 0.7432422637939453, 'немного': 5.617112159729004, 'противоречат': 0.0065059661865234375, 'твоим': 4.935769081115723, 'показаниям.': 2.2955322265625}"
a tu,"{'a': 4.319365501403809, 'tu': 11.930925369262695}",a tu zdeponowane przez ottona beessa sto guldenów.,"{'a': 2.9468002319335938, 'tu': 5.568361282348633, 'zdeponowane': 20.490581512451172, 'przez': 1.1382503509521484, 'ottona': 13.933771133422852, 'beessa': 26.099305152893066, 'sto': 7.956304550170898, 'guldenow.': 20.19987964630127}",тут же,"{'тут': 0.9143085479736328, 'же': 3.6271419525146484}",тут же депонированные отто беессом сто гульденов.,"{'тут': 0.06143379211425781, 'же': 2.9902143478393555, 'депонированные': 2.612396240234375, 'отто': 16.50451898574829, 'беессом': 26.580564498901367, 'сто': 4.1364240646362305, 'гульденов.': 0.6271448135375977}",а тут,"{'а': 4.780691146850586, 'тут': 4.1033525466918945}",а тут депонированные отто беессом сто гульденов.,"{'а': 1.8901119232177734, 'тут': 3.9283523559570312, 'депонированные': 2.9796628952026367, 'отто': 16.431462287902832, 'беессом': 25.49871301651001, 'сто': 3.9832420349121094, 'гульденов.': 0.5784482955932617}"
nadal,{'nadal': 19.584924697875977},"tak, jak to robiła nadal.","{'tak,': 11.866795539855957, 'jak': 11.918106079101562, 'to': 4.112634658813477, 'robila': 13.861921310424805, 'nadal.': 14.352144241333008}",до сих пор,"{'до': 0.5212326049804688, 'сих': 0.009592056274414062, 'пор': 0.053165435791015625}","так, как это делала до сих пор.","{'так,': 2.502584457397461, 'как': 0.15310096740722656, 'это': 5.387839317321777, 'делала': 7.768571853637695, 'до': 0.00269317626953125, 'сих': 0.0046539306640625, 'пор.': 0.21719741821289062}",далее,{'далее': 4.420658111572266},"так, как это делала далее.","{'так,': 4.619412422180176, 'как': 0.2244415283203125, 'это': 5.541449546813965, 'делала': 10.566569328308105, 'далее.': 16.1232271194458}"
w odpowiedzi,"{'w': 5.171812057495117, 'odpowiedzi': 16.06391716003418}","zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.","{'zwyczaj': 13.606311798095703, 'nakazywal': 11.462347030639648, 'w': 3.80938720703125, 'odpowiedzi': 10.883759498596191, 'na': 1.4047966003417969, 'takie': 1.3610153198242188, 'niedomowienie': 14.727363586425781, 'zrobic': 15.010785102844238, 'madra': 15.351613998413086, 'mine,': 11.723160743713379, 'westchnac': 23.96959400177002, 'i': 3.2104320526123047, 'znaczaco': 14.291421890258789, 'pokiwac': 13.453907012939453, 'glowa.': 16.232123374938965}",в ответ,"{'в': 5.0988359451293945, 'ответ': 8.780405044555664}","обычай требовал в ответ на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 7.663254737854004, 'требовал': 12.309674263000488, 'в': 0.008344650268554688, 'ответ': 0.005413055419921875, 'на': 0.004306793212890625, 'такое': 1.443878173828125, 'недоговаривание': 0.008180618286132812, 'сделать': 0.13553237915039062, 'мудрую': 0.8047409057617188, 'мину,': 1.1211700439453125, 'вздохнуть': 3.4489383697509766, 'и': 0.04125022888183594, 'многозначительно': 1.5301837921142578, 'покачать': 0.05607795715332031, 'головой.': 0.24295425415039062}",в отповедь,"{'в': 4.433688163757324, 'отповедь': 12.126701354980469}","обычай требовал в отповедь на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 7.772556304931641, 'требовал': 12.721542358398438, 'в': 0.22936725616455078, 'отповедь': 2.8911542892456055, 'на': 0.5468273162841797, 'такое': 1.5561790466308594, 'недоговаривание': 0.012203216552734375, 'сделать': 0.15674972534179688, 'мудрую': 0.6355438232421875, 'мину,': 1.4591541290283203, 'вздохнуть': 3.5133323669433594, 'и': 0.050327301025390625, 'многозначительно': 1.7118606567382812, 'покачать': 0.05454254150390625, 'головой.': 0.2304668426513672}"
w bok,"{'w': 6.946176528930664, 'bok': 16.98414897918701}","- nastraszyli mnie - powiedziała, patrząc w bok.","{'-': 5.1685028076171875, 'nastraszyli': 17.074317932128906, 'mnie': 9.35142993927002, 'powiedziala,': 14.17394733428955, 'patrzac': 12.020072937011719, 'w': 5.08345890045166, 'bok.': 13.452899932861328}",в сторону,"{'в': 1.9129610061645508, 'сторону': 9.010303497314453}","напугали меня, – сказала она глядя в сторону.","{'напугали': 6.5225629806518555, 'меня,': 1.3325557708740234, '–': 3.8071670532226562, 'сказала': 0.28369712829589844, 'она': 0.524139404296875, 'глядя': 1.4988107681274414, 'в': 0.0042285919189453125, 'сторону.': 2.2842884063720703}",в бок,"{'в': 5.849135398864746, 'бок': 13.303657531738281}","напугали меня, – сказала она глядя в бок.","{'напугали': 6.9066877365112305, 'меня,': 1.508702278137207, '–': 3.936842918395996, 'сказала': 0.30539703369140625, 'она': 0.7842988967895508, 'глядя': 7.631660461425781, 'в': 0.2660999298095703, 'бок.': 9.804689407348633}"
na siebie,"{'na': 7.4240312576293945, 'siebie': 21.901988983154297}","wiedząc o tym, niektórzy donosili więc sami na siebie.","{'wiedzac': 10.857324600219727, 'o': 5.938024520874023, 'tym,': 4.702047348022461, 'niektorzy': 12.833316802978516, 'donosili': 18.312423706054688, 'wiec': 6.085351943969727, 'sami': 11.999123573303223, 'na': 0.5859127044677734, 'siebie.': 11.13021469116211}",на себя,"{'на': 5.03085994720459, 'себя': 8.757801055908203}","так что, зная об этом, некоторые доносили сами на себя.","{'так': 3.315980911254883, 'что,': 2.9371299743652344, 'зная': 0.8520011901855469, 'об': 0.002532958984375, 'этом,': 0.2943401336669922, 'некоторые': 5.907576560974121, 'доносили': 3.293405532836914, 'сами': 0.7724790573120117, 'на': 0.4250164031982422, 'себя.': 0.2931938171386719}",на себе,"{'на': 6.470327377319336, 'себе': 9.083647727966309}","так что, зная об этом, некоторые доносили сами на себе.","{'так': 3.218172073364258, 'что,': 2.9154224395751953, 'зная': 0.8730926513671875, 'об': 0.003536224365234375, 'этом,': 0.4016284942626953, 'некоторые': 5.503443717956543, 'доносили': 8.562198638916016, 'сами': 2.920140266418457, 'на': 3.735321044921875, 'себе.': 6.543643951416016}"
w rzeczywistości,"{'w': 5.639837265014648, 'rzeczywistosci': 20.97220230102539}","rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.","{'rewolucja': 18.899938583374023, 'z': 1.3712024688720703, 'chwila': 12.998908042907715, 'upadku': 18.02993106842041, 'powstania': 0.8604030609130859, 'warszawskiego': 0.19804954528808594, 'w': 1.2078914642333984, 'rzeczywistosci': 19.055721282958984, 'juz': 15.641569137573242, 'sie': 5.442209243774414, 'dokonala,': 9.108240127563477, 'droga': 1.7167377471923828, 'do': 3.824705123901367, 'niej': 1.534097671508789, 'byla': 6.726802825927734, 'otwarta.': 13.053131103515625}",по существу,"{'по': 1.3680496215820312, 'существу': 5.782597541809082}","в момент поражения варшавского восстания революция, по существу, уже совершилась, путь к ней был открыт.","{'в': 4.778816223144531, 'момент': 0.7144947052001953, 'поражения': 3.6030492782592773, 'варшавского': 0.002651214599609375, 'восстания': 0.08891105651855469, 'революция,': 0.17731285095214844, 'по': 0.0026264190673828125, 'существу,': 2.5902061462402344, 'уже': 0.02092742919921875, 'совершилась,': 6.508209228515625, 'путь': 0.012304306030273438, 'к': 0.0026760101318359375, 'ней': 1.6227531433105469, 'был': 0.06904411315917969, 'открыт.': 0.3500823974609375}",в реальности,"{'в': 1.4752998352050781, 'реальности': 8.305625915527344}","в момент поражения варшавского восстания революция, в реальности, уже совершилась, путь к ней был открыт.","{'в': 0.018453598022460938, 'момент': 0.6163673400878906, 'поражения': 3.889336585998535, 'варшавского': 0.0036106109619140625, 'восстания': 0.12050056457519531, 'революция,': 0.1284332275390625, 'реальности,': 7.818906784057617, 'уже': 0.17315292358398438, 'совершилась,': 7.496952056884766, 'путь': 0.016998291015625, 'к': 0.002841949462890625, 'ней': 1.7224769592285156, 'был': 0.057460784912109375, 'открыт.': 0.40780067443847656}"
całe życie,"{'cale': 14.778307914733887, 'zycie': 19.492961883544922}","reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.","{'reynevan': 29.2891263961792, 'tymczasem': 19.91679096221924, 'uciekal,': 14.303853034973145, 'a': 1.5644645690917969, 'szlo': 8.712064743041992, 'mu': 7.472298622131348, 'to': 5.090917587280273, 'tak,': 3.8180580139160156, 'jak': 2.2512760162353516, 'gdyby': 11.46080207824707, 'cale': 14.991703987121582, 'zycie': 9.20331859588623, 'nie': 2.075916290283203, 'robil': 7.708112716674805, 'nic': 7.60273551940918, 'innego,': 11.33381462097168, 'tylko': 6.479167938232422, 'galopowal': 18.949792861938477, 'w': 0.24962997436523438, 'wiezach.': 12.849478721618652}",всю жизнь,"{'всю': 0.24607086181640625, 'жизнь': 1.406290054321289}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он всю жизнь только и делал, что галопировал связанным.","{'тем': 7.37994384765625, 'временем': 0.049957275390625, 'рейневан': 18.214726448059082, 'сбежал,': 4.590624809265137, 'и': 9.1552734375e-05, 'это': 0.04008293151855469, 'получилось': 0.43526458740234375, 'у': 0.000926971435546875, 'него': 0.009450912475585938, 'так': 0.17730331420898438, 'ловко,': 1.8227558135986328, 'словно': 1.3554725646972656, 'он': 0.0276947021484375, 'всю': 0.0020809173583984375, 'жизнь': 0.34969329833984375, 'только': 0.003215789794921875, 'делал,': 0.05121421813964844, 'что': 0.017259597778320312, 'галопировал': 3.1685619354248047, 'связанным.': 10.946663856506348}",целое житие,"{'целое': 9.664336204528809, 'житие': 5.294956207275391}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он целое житие только и делал, что галопировал связанным.","{'тем': 7.040702819824219, 'временем': 0.049709320068359375, 'рейневан': 17.53842830657959, 'сбежал,': 4.158941268920898, 'и': 0.000152587890625, 'это': 0.06150627136230469, 'получилось': 0.5868263244628906, 'у': 0.0012950897216796875, 'него': 0.011030197143554688, 'так': 0.22087478637695312, 'ловко,': 1.6269340515136719, 'словно': 4.563920974731445, 'он': 0.030422210693359375, 'целое': 8.694877624511719, 'житие': 7.422508239746094, 'только': 0.0074748992919921875, 'делал,': 0.07111930847167969, 'что': 0.04262733459472656, 'галопировал': 3.2788915634155273, 'связанным.': 10.394047737121582}"
