phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
niejednokrotnie,{'niejednokrotnie': 89.02323246002197},"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.","{'cesarz': 28.90124797821045, 'rzymski': 34.53843402862549, 'niejednokrotnie': 82.91448640823364, 'pokazal,': 39.168437480926514, 'ze': 19.190580368041992, 'przyjacielem': 54.757225036621094, 'korony': 28.281475067138672, 'polskiej': 32.94718360900879, 'nie': 14.694975852966309, 'jest.': 27.49581527709961}",не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}","римский кесарь не раз показал, что он не друг польской короне.","{'римский': 28.804716110229492, 'кесарь': 31.25810146331787, 'не': 13.456066131591797, 'раз': 14.16397476196289, 'показал,': 25.79703140258789, 'что': 15.244138717651367, 'он': 15.166664123535156, 'друг': 12.07231330871582, 'польской': 13.170899391174316, 'короне.': 37.42821407318115}",неоднократно,{'неоднократно': 39.82236289978027},"римский кесарь неоднократно показал, что он не друг польской короне.","{'римский': 29.13842487335205, 'кесарь': 31.469285011291504, 'неоднократно': 15.837272644042969, 'показал,': 20.66586685180664, 'что': 15.816019058227539, 'он': 14.976949691772461, 'не': 13.198591232299805, 'друг': 12.254372596740723, 'польской': 12.534857749938965, 'короне.': 36.40419101715088}"
wszystko jedno,"{'wszystko': 37.873353004455566, 'jedno': 26.432265758514404}","zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.","{'zamieszanie': 52.232938289642334, 'potegowal': 38.387834548950195, 'fakt,': 39.72333240509033, 'ze': 19.949299335479736, 'niektorzy': 46.02902412414551, 'zachowywali': 51.7484769821167, 'neutralnosc,': 62.46049451828003, 'to': 9.100942611694336, 'znaczy': 34.78314971923828, 'bylo': 18.216819763183594, 'im': 6.459512710571289, 'wszystko': 39.993868827819824, 'jedno,': 36.71631860733032, 'kogo': 29.422792434692383, 'napadaja': 38.00889778137207, 'i': 9.907157897949219, 'grabia,': 39.735918045043945, 'napadali': 42.44375228881836, 'grabili': 33.416295528411865, 'wszystkich.': 59.96540069580078}",все равно,"{'все': 15.307491302490234, 'равно': 10.55018138885498}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все равно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 53.69606876373291, 'усиливал': 28.75549602508545, 'тот': 12.312865257263184, 'факт,': 24.4530029296875, 'что': 16.286922454833984, 'некоторые': 16.579635620117188, 'придерживались': 25.44814395904541, 'нейтралитета,': 43.10624599456787, 'то': 16.049785614013672, 'есть': 16.02020263671875, 'им': 13.27513313293457, 'было': 12.163216590881348, 'все': 10.855422973632812, 'равно,': 27.53452968597412, 'на': 13.487321853637695, 'кого': 16.98116683959961, 'нападают': 35.60449981689453, 'и': 14.150105476379395, 'грабят,': 45.95370388031006, 'нападали': 34.22847938537598, 'грабили': 35.698975563049316, 'всех.': 25.783649444580078}",все одно,"{'все': 14.34662914276123, 'одно': 5.0354533195495605}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все одно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 53.62296009063721, 'усиливал': 28.792091369628906, 'тот': 12.189409255981445, 'факт,': 24.194138526916504, 'что': 16.192642211914062, 'некоторые': 16.415699005126953, 'придерживались': 25.48355197906494, 'нейтралитета,': 43.07178020477295, 'то': 15.924668312072754, 'есть': 15.683769226074219, 'им': 13.664382934570312, 'было': 11.732794761657715, 'все': 11.827142715454102, 'одно,': 18.700724601745605, 'на': 13.726295471191406, 'кого': 16.954910278320312, 'нападают': 35.279473304748535, 'и': 13.915932655334473, 'грабят,': 45.9591121673584, 'нападали': 34.25483417510986, 'грабили': 35.880499839782715, 'всех.': 25.69367790222168}"
przed chwilą,"{'przed': 28.717829704284668, 'chwila': 31.914833068847656}","a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.","{'a': 10.628110885620117, 'reynevan': 39.86199951171875, 'zacytowal': 41.216280937194824, 'przed': 24.244330883026123, 'chwila': 31.456462860107422, 'autorytety,': 52.63414907455444, 'ktore': 29.859341621398926, 'troche': 20.570220947265625, 'jakby': 27.20552158355713, 'przecza': 35.60712146759033, 'temu,': 26.996013641357422, 'co': 14.169023513793945, 'zeznajesz.': 62.47862482070923}",только что,"{'только': 17.652925491333008, 'что': 7.443630695343018}","а рейневан только что процитировал авторитетов, которые как бы немного противоречат твоим показаниям.",{},перед минутой,"{'перед': 18.4837589263916, 'минутой': 10.387106895446777}","а рейневан перед минутой процитировал авторитетов, которые как бы немного противоречат твоим показаниям.",{}
a tu,"{'a': 11.46446418762207, 'tu': 18.697816371917725}",a tu zdeponowane przez ottona beessa sto guldenów.,"{'a': 10.59096908569336, 'tu': 17.503650188446045, 'zdeponowane': 52.21254777908325, 'przez': 22.319660186767578, 'ottona': 31.391520023345947, 'beessa': 34.38770294189453, 'sto': 20.469964027404785, 'guldenow.': 44.868906021118164}",тут же,"{'тут': 16.7138671875, 'же': 7.273810386657715}",тут же депонированные отто беессом сто гульденов.,"{'тут': 19.137962341308594, 'же': 9.104543685913086, 'депонированные': 43.61607265472412, 'отто': 12.602931022644043, 'беессом': 28.23534870147705, 'сто': 14.386030197143555, 'гульденов.': 46.0543270111084}",а тут,{},а тут депонированные отто беессом сто гульденов.,{}
nadal,{'nadal': 31.696118354797363},"tak, jak to robiła nadal.","{'tak,': 36.17791748046875, 'jak': 24.75174903869629, 'to': 8.390689849853516, 'robila': 35.071218490600586, 'nadal.': 38.53062152862549}",до сих пор,"{'до': 14.739310264587402, 'сих': 7.759074687957764, 'пор': 11.326711654663086}","так, как это делала до сих пор.","{'так,': 26.801851272583008, 'как': 15.67530345916748, 'это': 12.301118850708008, 'делала': 15.773550033569336, 'до': 6.0872697830200195, 'сих': 12.310174942016602, 'пор.': 26.62956428527832}",далее,{'далее': 17.53276824951172},"так, как это делала далее.","{'так,': 27.368684768676758, 'как': 16.31403160095215, 'это': 12.722396850585938, 'делала': 16.957923889160156, 'далее.': 20.13750648498535}"
w odpowiedzi,"{'w': 14.4955415725708, 'odpowiedzi': 56.48950815200806}","zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.","{'zwyczaj': 50.84408760070801, 'nakazywal': 43.239261627197266, 'w': 10.427525520324707, 'odpowiedzi': 53.0911283493042, 'na': 13.132763862609863, 'takie': 22.750898361206055, 'niedomowienie': 42.891188621520996, 'zrobic': 32.652703285217285, 'madra': 26.94420337677002, 'mine,': 28.59455394744873, 'westchnac': 46.627785205841064, 'i': 8.41648006439209, 'znaczaco': 42.011292457580566, 'pokiwac': 33.77451133728027, 'glowa.': 39.44049072265625}",в ответ,"{'в': 12.592615127563477, 'ответ': 9.976444244384766}","обычай требовал в ответ на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 28.567726135253906, 'требовал': 14.398054122924805, 'в': 8.883736610412598, 'ответ': 14.093369483947754, 'на': 14.880594253540039, 'такое': 14.066302299499512, 'недоговаривание': 47.81745910644531, 'сделать': 12.505072593688965, 'мудрую': 27.080302238464355, 'мину,': 22.579150199890137, 'вздохнуть': 17.713375091552734, 'и': 7.9644775390625, 'многозначительно': 20.963634490966797, 'покачать': 18.406775951385498, 'головой.': 22.93556022644043}",в отповедь,"{'в': 13.177531242370605, 'отповедь': 40.81849002838135}","обычай требовал в отповедь на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 27.750372886657715, 'требовал': 14.864636421203613, 'в': 9.28673267364502, 'отповедь': 44.62406539916992, 'на': 11.712594985961914, 'такое': 12.724992752075195, 'недоговаривание': 48.54986381530762, 'сделать': 12.756145477294922, 'мудрую': 27.0901517868042, 'мину,': 22.857412815093994, 'вздохнуть': 18.079769134521484, 'и': 7.657354354858398, 'многозначительно': 20.872814178466797, 'покачать': 18.09764289855957, 'головой.': 22.786906242370605}"
w bok,"{'w': 15.535914421081543, 'bok': 17.55137872695923}","- nastraszyli mnie - powiedziała, patrząc w bok.","{'-': 11.228768348693848, 'nastraszyli': 39.84128379821777, 'mnie': 23.765036582946777, 'powiedziala,': 61.061946868896484, 'patrzac': 42.39268684387207, 'w': 9.184849739074707, 'bok.': 24.728858947753906}",в сторону,"{'в': 11.889184951782227, 'сторону': 10.671045303344727}","напугали меня, – сказала она глядя в сторону.","{'напугали': 40.88206386566162, 'меня,': 22.20435905456543, '–': 17.046245574951172, 'сказала': 13.422682762145996, 'она': 10.12402057647705, 'глядя': 14.694364547729492, 'в': 10.938072204589844, 'сторону.': 30.56905174255371}",в бок,"{'в': 11.262411117553711, 'бок': 10.63862419128418}","напугали меня, – сказала она глядя в бок.","{'напугали': 41.792999267578125, 'меня,': 22.515419006347656, '–': 17.367422103881836, 'сказала': 13.342080116271973, 'она': 10.650233268737793, 'глядя': 14.804248809814453, 'в': 12.531074523925781, 'бок.': 27.21773624420166}"
na siebie,"{'na': 16.757822036743164, 'siebie': 35.97546672821045}","wiedząc o tym, niektórzy donosili więc sami na siebie.","{'wiedzac': 37.078476905822754, 'o': 8.413219451904297, 'tym,': 28.169564723968506, 'niektorzy': 47.35535764694214, 'donosili': 26.824681758880615, 'wiec': 30.451452255249023, 'sami': 21.999831199645996, 'na': 13.151568412780762, 'siebie.': 46.74184989929199}",на себя,"{'на': 11.16377067565918, 'себя': 7.54851770401001}","так что, зная об этом, некоторые доносили сами на себя.","{'так': 18.201549530029297, 'что,': 15.397455215454102, 'зная': 20.495651245117188, 'об': 11.224630355834961, 'этом,': 32.793867111206055, 'некоторые': 19.9468936920166, 'доносили': 30.448200225830078, 'сами': 11.339456558227539, 'на': 8.78703498840332, 'себя.': 29.005417823791504}",на себе,"{'на': 10.79922103881836, 'себе': 7.426843166351318}","так что, зная об этом, некоторые доносили сами на себе.","{'так': 18.25581932067871, 'что,': 15.364485740661621, 'зная': 20.4156436920166, 'об': 11.063480377197266, 'этом,': 32.63857650756836, 'некоторые': 19.820514678955078, 'доносили': 30.284899711608887, 'сами': 11.232251167297363, 'на': 8.724285125732422, 'себе.': 25.17800998687744}"
w rzeczywistości,"{'w': 14.30129623413086, 'rzeczywistosci': 66.02226543426514}","rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.","{'rewolucja': 42.04526233673096, 'z': 7.115757942199707, 'chwila': 26.475107192993164, 'upadku': 29.785325050354004, 'powstania': 38.92720985412598, 'warszawskiego': 59.307748317718506, 'w': 6.001385688781738, 'rzeczywistosci': 64.29304552078247, 'juz': 16.69993019104004, 'sie': 17.682100296020508, 'dokonala,': 43.15625858306885, 'droga': 31.466893196105957, 'do': 7.374964714050293, 'niej': 24.712830543518066, 'byla': 16.946577548980713, 'otwarta.': 47.76008224487305}",по существу,"{'по': 12.745990753173828, 'существу': 11.512519836425781}","в момент поражения варшавского восстания революция, по существу, уже совершилась, путь к ней был открыт.","{'в': 17.824758529663086, 'момент': 12.216341018676758, 'поражения': 14.268817901611328, 'варшавского': 24.894532203674316, 'восстания': 12.237485885620117, 'революция,': 15.623030185699463, 'по': 20.068748474121094, 'существу,': 29.849119186401367, 'уже': 13.964836120605469, 'совершилась,': 40.80476188659668, 'путь': 17.815608978271484, 'к': 9.595928192138672, 'ней': 20.79865837097168, 'был': 15.276695251464844, 'открыт.': 24.989212036132812}",в реальности,"{'в': 11.924816131591797, 'реальности': 11.695438385009766}","в момент поражения варшавского восстания революция, в реальности, уже совершилась, путь к ней был открыт.","{'в': 19.009315490722656, 'момент': 11.709388732910156, 'поражения': 14.737131118774414, 'варшавского': 25.164958000183105, 'восстания': 12.205835342407227, 'революция,': 15.288628578186035, 'реальности,': 28.259687423706055, 'уже': 11.482236862182617, 'совершилась,': 41.113319396972656, 'путь': 17.703594207763672, 'к': 9.518275260925293, 'ней': 20.71476936340332, 'был': 15.399101257324219, 'открыт.': 24.942399978637695}"
całe życie,"{'cale': 27.561227798461914, 'zycie': 39.08616065979004}","reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.","{'reynevan': 42.066969871520996, 'tymczasem': 44.08498001098633, 'uciekal,': 57.1091685295105, 'a': 9.741935729980469, 'szlo': 25.651538848876953, 'mu': 14.832157135009766, 'to': 9.119388580322266, 'tak,': 29.479000091552734, 'jak': 22.402734756469727, 'gdyby': 27.974258422851562, 'cale': 21.880992889404297, 'zycie': 38.09751319885254, 'nie': 18.3489408493042, 'robil': 27.11587619781494, 'nic': 16.115347862243652, 'innego,': 35.71261692047119, 'tylko': 45.47650623321533, 'galopowal': 31.037331581115723, 'w': 8.417983055114746, 'wiezach.': 32.597885608673096}",всю жизнь,"{'всю': 18.29269027709961, 'жизнь': 6.780045032501221}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он всю жизнь только и делал, что галопировал связанным.","{'тем': 20.43785858154297, 'временем': 11.25430965423584, 'рейневан': 37.88260459899902, 'сбежал,': 16.95094108581543, 'и': 9.972246170043945, 'это': 11.090659141540527, 'получилось': 13.648117065429688, 'у': 10.866564750671387, 'него': 19.18328857421875, 'так': 13.927644729614258, 'ловко,': 21.1988582611084, 'словно': 19.286508560180664, 'он': 11.879032135009766, 'всю': 14.671503067016602, 'жизнь': 13.315298080444336, 'только': 10.272758483886719, 'делал,': 29.819852828979492, 'что': 16.01365089416504, 'галопировал': 41.608070373535156, 'связанным.': 40.10502910614014}",целое житие,"{'целое': 26.952253341674805, 'житие': 25.797612190246582}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он целое житие только и делал, что галопировал связанным.","{'тем': 20.304630279541016, 'временем': 11.294123649597168, 'рейневан': 37.99397563934326, 'сбежал,': 17.02672052383423, 'и': 9.129034042358398, 'это': 11.044355392456055, 'получилось': 13.670978546142578, 'у': 10.78525161743164, 'него': 19.30754280090332, 'так': 14.084254264831543, 'ловко,': 21.21248149871826, 'словно': 18.82343292236328, 'он': 12.637147903442383, 'целое': 15.222817420959473, 'житие': 31.66695785522461, 'только': 10.82091236114502, 'делал,': 29.64166259765625, 'что': 15.771751403808594, 'галопировал': 42.43780517578125, 'связанным.': 40.62331771850586}"
