phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
niejednokrotnie,{'niejednokrotnie': 40.719340324401855},"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.","{'cesarz': 16.230465412139893, 'rzymski': 21.41875648498535, 'niejednokrotnie': 39.92446041107178, 'pokazal,': 18.7517147064209, 'ze': 4.444436073303223, 'przyjacielem': 22.350672721862793, 'korony': 11.557887077331543, 'polskiej': 7.434782028198242, 'nie': 4.653484344482422, 'jest.': 7.286228179931641}",не раз,"{'не': 0.0, 'раз': 7.542349338531494}","римский кесарь не раз показал, что он не друг польской короне.","{'римский': 4.961479187011719, 'кесарь': 11.413443565368652, 'не': 2.1113319396972656, 'раз': 4.415248870849609, 'показал,': 9.16137409210205, 'что': 0.24204254150390625, 'он': 1.7587547302246094, 'друг': 8.072341918945312, 'польской': 10.79244613647461, 'короне.': 4.698661804199219}",неоднократно,{'неоднократно': 8.882041931152344},"римский кесарь неоднократно показал, что он не друг польской короне.","{'римский': 4.961479187011719, 'кесарь': 11.413443565368652, 'неоднократно': 8.945028305053711, 'показал,': 10.789176940917969, 'что': 0.1567230224609375, 'он': 1.6286020278930664, 'не': 2.017902374267578, 'друг': 8.317451477050781, 'польской': 10.639774322509766, 'короне.': 4.852457046508789}"
wszystko jedno,"{'wszystko': 16.613466262817383, 'jedno': 11.074010848999023}","zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.","{'zamieszanie': 23.66431713104248, 'potegowal': 27.130586624145508, 'fakt,': 16.749631881713867, 'ze': 4.467719078063965, 'niektorzy': 15.810580253601074, 'zachowywali': 25.69361686706543, 'neutralnosc,': 25.790008544921875, 'to': 5.594732284545898, 'znaczy': 11.167348861694336, 'bylo': 10.215190887451172, 'im': 7.888591766357422, 'wszystko': 9.260894775390625, 'jedno,': 14.822395324707031, 'kogo': 9.240596771240234, 'napadaja': 18.737671852111816, 'i': 3.3141632080078125, 'grabia,': 16.22386074066162, 'napadali': 10.698628425598145, 'grabili': 6.280437469482422, 'wszystkich.': 11.405776977539062}",все равно,"{'все': 0.0, 'равно': 5.924633502960205}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все равно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 14.03581714630127, 'усиливал': 13.800431251525879, 'тот': 4.575813293457031, 'факт,': 0.23180007934570312, 'что': 0.008640289306640625, 'некоторые': 5.525409698486328, 'придерживались': 10.966853141784668, 'нейтралитета,': 8.00263786315918, 'то': 4.043128967285156, 'есть': 0.31385231018066406, 'им': 5.8624467849731445, 'было': 1.5311107635498047, 'все': 1.7897090911865234, 'равно,': 0.6326751708984375, 'на': 3.8748865127563477, 'кого': 1.799642562866211, 'нападают': 4.005692481994629, 'и': 1.280477523803711, 'грабят,': 7.486747741699219, 'нападали': 10.032829284667969, 'грабили': 0.540191650390625, 'всех.': 8.598681449890137}",все одно,"{'все': 0.0, 'одно': 8.342050552368164}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все одно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 14.03581714630127, 'усиливал': 13.800431251525879, 'тот': 4.575813293457031, 'факт,': 0.23180007934570312, 'что': 0.008640289306640625, 'некоторые': 5.525409698486328, 'придерживались': 10.966853141784668, 'нейтралитета,': 8.00263786315918, 'то': 4.043128967285156, 'есть': 0.31385231018066406, 'им': 5.8624467849731445, 'было': 1.5311107635498047, 'все': 1.7897090911865234, 'одно,': 9.475709915161133, 'на': 3.765880584716797, 'кого': 1.8608551025390625, 'нападают': 4.537999153137207, 'и': 1.0321006774902344, 'грабят,': 7.937262535095215, 'нападали': 10.340230941772461, 'грабили': 0.5174999237060547, 'всех.': 9.037965774536133}"
przed chwilą,"{'przed': 9.19566822052002, 'chwila': 23.970279693603516}","a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.","{'a': 0.0, 'reynevan': 30.736616134643555, 'zacytowal': 33.37474727630615, 'przed': 9.487735748291016, 'chwila': 16.975278854370117, 'autorytety,': 30.279937744140625, 'ktore': 7.206613540649414, 'troche': 15.37161922454834, 'jakby': 14.800582885742188, 'przecza': 18.04004955291748, 'temu,': 14.063382148742676, 'co': 5.105551719665527, 'zeznajesz.': 29.64052391052246}",только что,"{'только': 0.0, 'что': 4.072602272033691}","а рейневан только что процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 0.0, 'рейневан': 22.641632080078125, 'только': 9.292834281921387, 'что': 2.034536361694336, 'процитировал': 9.472124099731445, 'авторитетов,': 15.369989395141602, 'которые': 1.5472564697265625, 'как': 5.82133674621582, 'бы': 3.225069046020508, 'немного': 7.849511623382568, 'противоречат': 4.180075645446777, 'твоим': 7.811493873596191, 'показаниям.': 7.800503730773926}",перед минутой,"{'перед': 0.0, 'минутой': 12.298611640930176}","а рейневан перед минутой процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 0.0, 'рейневан': 22.641632080078125, 'перед': 9.846683502197266, 'минутой': 11.535429000854492, 'процитировал': 13.472855567932129, 'авторитетов,': 16.679892539978027, 'которые': 2.272780418395996, 'как': 5.580163955688477, 'бы': 3.052647590637207, 'немного': 7.383507251739502, 'противоречат': 5.38277530670166, 'твоим': 8.618639945983887, 'показаниям.': 8.562663078308105}"
a tu,"{'a': 0.0, 'tu': 10.96094799041748}",a tu zdeponowane przez ottona beessa sto guldenów.,"{'a': 0.0, 'tu': 10.960948944091797, 'zdeponowane': 33.754014015197754, 'przez': 8.096811294555664, 'ottona': 18.721500396728516, 'beessa': 26.694674491882324, 'sto': 8.672051429748535, 'guldenow.': 25.85536289215088}",тут же,"{'тут': 0.0, 'же': 4.650850772857666}",тут же депонированные отто беессом сто гульденов.,"{'тут': 0.0, 'же': 4.650851249694824, 'депонированные': 18.77611255645752, 'отто': 15.661890983581543, 'беессом': 30.9314022064209, 'сто': 7.927624225616455, 'гульденов.': 9.066204071044922}",а тут,"{'а': 0.0, 'тут': 7.764554977416992}",а тут депонированные отто беессом сто гульденов.,"{'а': 0.0, 'тут': 7.764555931091309, 'депонированные': 21.39298152923584, 'отто': 15.530336380004883, 'беессом': 33.32251262664795, 'сто': 7.891920566558838, 'гульденов.': 9.781561851501465}"
nadal,{'nadal': 10.158609390258789},"tak, jak to robiła nadal.","{'tak,': 10.844058990478516, 'jak': 9.735562324523926, 'to': 6.2364301681518555, 'robila': 19.305744171142578, 'nadal.': 13.575658798217773}",до сих пор,"{'до': 0.0, 'сих': 6.575293064117432, 'пор': 0.015102386474609375}","так, как это делала до сих пор.","{'так,': 3.6611328125, 'как': 2.820026397705078, 'это': 2.2874488830566406, 'делала': 4.6636762619018555, 'до': 5.560948371887207, 'сих': 2.1962804794311523, 'пор.': 1.764906883239746}",далее,{'далее': 0.0},"так, как это делала далее.","{'так,': 3.6611328125, 'как': 2.820026397705078, 'это': 2.2874488830566406, 'делала': 4.6636762619018555, 'далее.': 15.461968421936035}"
w odpowiedzi,"{'w': 0.0, 'odpowiedzi': 32.79326629638672}","zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.","{'zwyczaj': 20.28887367248535, 'nakazywal': 26.54507064819336, 'w': 4.2025556564331055, 'odpowiedzi': 13.722406387329102, 'na': 8.323137283325195, 'takie': 8.056938171386719, 'niedomowienie': 31.027050018310547, 'zrobic': 16.222359657287598, 'madra': 20.997183799743652, 'mine,': 16.360023498535156, 'westchnac': 27.560317993164062, 'i': 6.107072830200195, 'znaczaco': 18.766730308532715, 'pokiwac': 19.30915641784668, 'glowa.': 18.191956520080566}",в ответ,"{'в': 0.0, 'ответ': 8.192546844482422}","обычай требовал в ответ на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 6.854067325592041, 'требовал': 7.0104804039001465, 'в': 5.597847938537598, 'ответ': 4.4612226486206055, 'на': 2.1842899322509766, 'такое': 4.09224796295166, 'недоговаривание': 17.37855815887451, 'сделать': 5.216723442077637, 'мудрую': 12.552173614501953, 'мину,': 3.7471399307250977, 'вздохнуть': 8.016395568847656, 'и': 1.0696048736572266, 'многозначительно': 5.840875625610352, 'покачать': 4.094061851501465, 'головой.': 0.3943138122558594}",в отповедь,"{'в': 0.0, 'отповедь': 15.153423309326172}","обычай требовал в отповедь на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 6.854067325592041, 'требовал': 7.0104804039001465, 'в': 5.597847938537598, 'отповедь': 17.28320026397705, 'на': 5.594640731811523, 'такое': 6.350759506225586, 'недоговаривание': 17.37044620513916, 'сделать': 8.001412391662598, 'мудрую': 12.94035530090332, 'мину,': 6.77127742767334, 'вздохнуть': 9.043852806091309, 'и': 1.5708580017089844, 'многозначительно': 6.832183837890625, 'покачать': 4.099297523498535, 'головой.': 0.4934196472167969}"
w bok,"{'w': 0.0, 'bok': 16.15180015563965}","- nastraszyli mnie - powiedziała, patrząc w bok.","{'-': 7.1240386962890625, 'nastraszyli': 37.11795425415039, 'mnie': 15.534268379211426, 'powiedziala,': 19.141854286193848, 'patrzac': 18.14142894744873, 'w': 5.772224426269531, 'bok.': 14.417563438415527}",в сторону,"{'в': 0.0, 'сторону': 7.8770246505737305}","напугали меня, – сказала она глядя в сторону.","{'напугали': 13.295157432556152, 'меня,': 5.887883186340332, '–': 5.288974761962891, 'сказала': 3.0575599670410156, 'она': 1.402287483215332, 'глядя': 9.933427810668945, 'в': 1.3897533416748047, 'сторону.': 2.687868118286133}",в бок,"{'в': 0.0, 'бок': 11.33884048461914}","напугали меня, – сказала она глядя в бок.","{'напугали': 13.295157432556152, 'меня,': 5.887883186340332, '–': 5.288974761962891, 'сказала': 3.0575599670410156, 'она': 1.402287483215332, 'глядя': 9.933427810668945, 'в': 1.3897533416748047, 'бок.': 11.264811515808105}"
na siebie,"{'na': 0.0, 'siebie': 18.582408905029297}","wiedząc o tym, niektórzy donosili więc sami na siebie.","{'wiedzac': 22.730278491973877, 'o': 8.433052062988281, 'tym,': 15.255094528198242, 'niektorzy': 18.247279167175293, 'donosili': 24.306474685668945, 'wiec': 8.67197036743164, 'sami': 16.48463535308838, 'na': 4.673986434936523, 'siebie.': 10.464136123657227}",на себя,"{'на': 0.0, 'себя': 8.103596687316895}","так что, зная об этом, некоторые доносили сами на себя.","{'так': 0.0, 'что,': 6.475835800170898, 'зная': 7.761552333831787, 'об': 4.345281600952148, 'этом,': 0.6240377426147461, 'некоторые': 5.699893951416016, 'доносили': 13.39139461517334, 'сами': 5.512503623962402, 'на': 2.4560327529907227, 'себя.': 1.353978157043457}",на себе,"{'на': 0.0, 'себе': 8.011209487915039}","так что, зная об этом, некоторые доносили сами на себе.","{'так': 0.0, 'что,': 6.475835800170898, 'зная': 7.761552333831787, 'об': 4.345281600952148, 'этом,': 0.6240377426147461, 'некоторые': 5.699893951416016, 'доносили': 13.39139461517334, 'сами': 5.512503623962402, 'на': 2.4560327529907227, 'себе.': 7.354046821594238}"
w rzeczywistości,"{'w': 0.0, 'rzeczywistosci': 34.88246822357178}","rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.","{'rewolucja': 21.441203117370605, 'z': 6.166454315185547, 'chwila': 19.16847324371338, 'upadku': 15.773666381835938, 'powstania': 14.352760314941406, 'warszawskiego': 11.938813209533691, 'w': 2.7720422744750977, 'rzeczywistosci': 22.972960472106934, 'juz': 9.001614570617676, 'sie': 7.31761360168457, 'dokonala,': 22.34220790863037, 'droga': 8.65257740020752, 'do': 4.341933250427246, 'niej': 7.19990348815918, 'byla': 9.788044929504395, 'otwarta.': 14.723706245422363}",по существу,"{'по': 0.0, 'существу': 7.9259796142578125}","в момент поражения варшавского восстания революция, по существу, уже совершилась, путь к ней был открыт.","{'в': 0.0, 'момент': 7.873350143432617, 'поражения': 7.6459269523620605, 'варшавского': 16.74358081817627, 'восстания': 1.152303695678711, 'революция,': 13.854663848876953, 'по': 2.6078500747680664, 'существу,': 3.255779266357422, 'уже': 1.975015640258789, 'совершилась,': 8.175121307373047, 'путь': 8.606693267822266, 'к': 0.6353797912597656, 'ней': 1.8711738586425781, 'был': 0.543792724609375, 'открыт.': 1.183218002319336}",в реальности,"{'в': 0.0, 'реальности': 9.398818969726562}","в момент поражения варшавского восстания революция, в реальности, уже совершилась, путь к ней был открыт.","{'в': 3.059321403503418, 'момент': 7.873350143432617, 'поражения': 7.6459269523620605, 'варшавского': 16.74358081817627, 'восстания': 1.152303695678711, 'революция,': 13.854663848876953, 'реальности,': 8.925420761108398, 'уже': 3.506925582885742, 'совершилась,': 9.101247787475586, 'путь': 8.980523109436035, 'к': 0.7357292175292969, 'ней': 2.2581605911254883, 'был': 0.6063117980957031, 'открыт.': 1.1719493865966797}"
całe życie,"{'cale': 5.604957580566406, 'zycie': 28.01022434234619}","reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.","{'reynevan': 19.21481227874756, 'tymczasem': 37.071969509124756, 'uciekal,': 21.093883514404297, 'a': 3.1175003051757812, 'szlo': 12.667312622070312, 'mu': 7.283459663391113, 'to': 5.335762977600098, 'tak,': 11.780738830566406, 'jak': 4.194707870483398, 'gdyby': 11.84859848022461, 'cale': 13.484086990356445, 'zycie': 10.842154502868652, 'nie': 5.639426231384277, 'robil': 11.303192138671875, 'nic': 8.886089324951172, 'innego,': 18.646648406982422, 'tylko': 6.998289108276367, 'galopowal': 24.532468795776367, 'w': 3.0631675720214844, 'wiezach.': 15.678559303283691}",всю жизнь,"{'всю': 8.430729866027832, 'жизнь': 1.4657611846923828}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он всю жизнь только и делал, что галопировал связанным.","{'тем': 0.0, 'временем': 8.9998197555542, 'рейневан': 20.62897491455078, 'сбежал,': 11.293977737426758, 'и': 0.6081352233886719, 'это': 4.2476396560668945, 'получилось': 8.62862491607666, 'у': 1.5939397811889648, 'него': 0.07749748229980469, 'так': 3.211925506591797, 'ловко,': 1.9272212982177734, 'словно': 3.8905715942382812, 'он': 0.5797700881958008, 'всю': 2.790557861328125, 'жизнь': 0.15378189086914062, 'только': 1.1687850952148438, 'делал,': 0.3986225128173828, 'что': 0.003917694091796875, 'галопировал': 12.672754287719727, 'связанным.': 14.499152183532715}",целое житие,"{'целое': 5.204950332641602, 'житие': 9.519063949584961}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он целое житие только и делал, что галопировал связанным.","{'тем': 0.0, 'временем': 8.9998197555542, 'рейневан': 20.62897491455078, 'сбежал,': 11.293977737426758, 'и': 3.3399620056152344, 'это': 4.2476396560668945, 'получилось': 8.62862491607666, 'у': 1.5939397811889648, 'него': 0.07749748229980469, 'так': 3.211925506591797, 'ловко,': 1.9272212982177734, 'словно': 3.8905715942382812, 'он': 0.5797700881958008, 'целое': 10.4989652633667, 'житие': 12.357303619384766, 'только': 6.490694046020508, 'делал,': 0.6291866302490234, 'что': 0.027988433837890625, 'галопировал': 12.626121520996094, 'связанным.': 14.694831848144531}"
