phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
niejednokrotnie,{'niejednokrotnie': 45.85964918136597},"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.","{'cesarz': 14.77193832397461, 'rzymski': 27.631184577941895, 'niejednokrotnie': 40.18097114562988, 'pokazal,': 16.86540985107422, 'ze': 5.089700698852539, 'przyjacielem': 27.84831714630127, 'korony': 15.263530731201172, 'polskiej': 9.160699844360352, 'nie': 4.931083679199219, 'jest.': 10.211010932922363}",не раз,"{'не': 0.0, 'раз': 6.801150321960449}","римский кесарь не раз показал, что он не друг польской короне.","{'римский': 4.877435684204102, 'кесарь': 12.850840091705322, 'не': 1.868459701538086, 'раз': 4.847332954406738, 'показал,': 9.065584659576416, 'что': 0.3135223388671875, 'он': 2.84761905670166, 'друг': 7.7843427658081055, 'польской': 9.171371459960938, 'короне.': 4.975095748901367}",неоднократно,{'неоднократно': 9.679489135742188},"римский кесарь неоднократно показал, что он не друг польской короне.","{'римский': 4.877435684204102, 'кесарь': 12.850840091705322, 'неоднократно': 9.58170223236084, 'показал,': 10.474274635314941, 'что': 0.1635265350341797, 'он': 2.993417739868164, 'не': 1.8506793975830078, 'друг': 8.799707412719727, 'польской': 9.080082893371582, 'короне.': 5.616397857666016}"
wszystko jedno,"{'wszystko': 19.14688539505005, 'jedno': 13.451215744018555}","zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.","{'zamieszanie': 25.174684524536133, 'potegowal': 28.301793098449707, 'fakt,': 19.569570541381836, 'ze': 5.901172637939453, 'niektorzy': 18.769441604614258, 'zachowywali': 27.31917095184326, 'neutralnosc,': 35.02954578399658, 'to': 5.292413711547852, 'znaczy': 12.987964630126953, 'bylo': 9.643320083618164, 'im': 7.745189666748047, 'wszystko': 11.87905216217041, 'jedno,': 14.040124893188477, 'kogo': 9.784017562866211, 'napadaja': 17.787104606628418, 'i': 2.597439765930176, 'grabia,': 17.75911235809326, 'napadali': 12.027481079101562, 'grabili': 9.559083938598633, 'wszystkich.': 12.291243553161621}",все равно,"{'все': 0.0, 'равно': 4.010804176330566}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все равно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 14.02043104171753, 'усиливал': 12.731340408325195, 'тот': 6.329506874084473, 'факт,': 0.6105833053588867, 'что': 0.009883880615234375, 'некоторые': 5.857464790344238, 'придерживались': 11.945658683776855, 'нейтралитета,': 8.024079322814941, 'то': 4.150507926940918, 'есть': 0.18975162506103516, 'им': 5.939373970031738, 'было': 2.3081130981445312, 'все': 3.4930925369262695, 'равно,': 0.41526222229003906, 'на': 3.8664989471435547, 'кого': 1.6877260208129883, 'нападают': 7.442352294921875, 'и': 2.689425468444824, 'грабят,': 10.405274391174316, 'нападали': 11.530035018920898, 'грабили': 2.411921501159668, 'всех.': 10.666769981384277}",все одно,"{'все': 0.0, 'одно': 7.55635929107666}","неразбериху усиливал тот факт, что некоторые придерживались нейтралитета, то есть им было все одно, на кого нападают и грабят, нападали и грабили всех.","{'неразбериху': 14.02043104171753, 'усиливал': 12.731340408325195, 'тот': 6.329506874084473, 'факт,': 0.6105833053588867, 'что': 0.009883880615234375, 'некоторые': 5.857464790344238, 'придерживались': 11.945658683776855, 'нейтралитета,': 8.024079322814941, 'то': 4.150507926940918, 'есть': 0.18975162506103516, 'им': 5.939373970031738, 'было': 2.3081130981445312, 'все': 3.4930925369262695, 'одно,': 10.403955459594727, 'на': 4.224308013916016, 'кого': 1.320587158203125, 'нападают': 8.290438652038574, 'и': 1.1243019104003906, 'грабят,': 9.3587646484375, 'нападали': 10.55895709991455, 'грабили': 2.1213741302490234, 'всех.': 9.566999435424805}"
przed chwilą,"{'przed': 12.23984432220459, 'chwila': 23.40387725830078}","a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.","{'a': 0.0, 'reynevan': 30.141366958618164, 'zacytowal': 33.05646228790283, 'przed': 9.928289413452148, 'chwila': 21.25997257232666, 'autorytety,': 30.885757446289062, 'ktore': 14.824333190917969, 'troche': 14.375865936279297, 'jakby': 14.68287181854248, 'przecza': 16.41012191772461, 'temu,': 17.13167381286621, 'co': 5.746654510498047, 'zeznajesz.': 32.38485050201416}",только что,"{'только': 0.0, 'что': 3.376710891723633}","а рейневан только что процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 0.0, 'рейневан': 24.42196226119995, 'только': 8.490535736083984, 'что': 2.994307518005371, 'процитировал': 10.709726333618164, 'авторитетов,': 15.780850410461426, 'которые': 1.8879814147949219, 'как': 5.625375747680664, 'бы': 2.3378305435180664, 'немного': 8.566110610961914, 'противоречат': 6.248346328735352, 'твоим': 8.94621753692627, 'показаниям.': 7.75084114074707}",перед минутой,"{'перед': 0.0, 'минутой': 11.624650955200195}","а рейневан перед минутой процитировал авторитетов, которые как бы немного противоречат твоим показаниям.","{'а': 0.0, 'рейневан': 24.42196226119995, 'перед': 10.183271408081055, 'минутой': 12.532405853271484, 'процитировал': 18.2029390335083, 'авторитетов,': 16.148274421691895, 'которые': 2.2605504989624023, 'как': 5.693085670471191, 'бы': 2.4295654296875, 'немного': 9.048511505126953, 'противоречат': 6.842855453491211, 'твоим': 9.543680191040039, 'показаниям.': 8.069403648376465}"
a tu,"{'a': 0.0, 'tu': 10.133694648742676}",a tu zdeponowane przez ottona beessa sto guldenów.,"{'a': 0.0, 'tu': 10.133700370788574, 'zdeponowane': 35.92117881774902, 'przez': 8.532963752746582, 'ottona': 24.596954345703125, 'beessa': 21.783425331115723, 'sto': 7.926591873168945, 'guldenow.': 28.652750968933105}",тут же,"{'тут': 0.0, 'же': 3.7622623443603516}",тут же депонированные отто беессом сто гульденов.,"{'тут': 0.0, 'же': 3.7622623443603516, 'депонированные': 20.87571620941162, 'отто': 12.426525115966797, 'беессом': 36.73537540435791, 'сто': 12.15390396118164, 'гульденов.': 12.727910041809082}",а тут,"{'а': 0.0, 'тут': 6.866531848907471}",а тут депонированные отто беессом сто гульденов.,"{'а': 0.0, 'тут': 6.866533279418945, 'депонированные': 20.525904655456543, 'отто': 12.765033721923828, 'беессом': 35.05941295623779, 'сто': 12.138483047485352, 'гульденов.': 13.349403381347656}"
nadal,{'nadal': 11.02163314819336},"tak, jak to robiła nadal.","{'tak,': 13.62926721572876, 'jak': 10.924774646759033, 'to': 7.601284980773926, 'robila': 21.04084300994873, 'nadal.': 14.296674728393555}",до сих пор,"{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312}","так, как это делала до сих пор.","{'так,': 2.083515167236328, 'как': 2.7660741806030273, 'это': 3.5667381286621094, 'делала': 5.3113298416137695, 'до': 6.231287002563477, 'сих': 2.2726593017578125, 'пор.': 1.4174737930297852}",далее,{'далее': 0.0},"так, как это делала далее.","{'так,': 2.083515167236328, 'как': 2.7660741806030273, 'это': 3.5667381286621094, 'делала': 5.3113298416137695, 'далее.': 15.001568794250488}"
w odpowiedzi,"{'w': 0.0, 'odpowiedzi': 38.9780216217041}","zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.","{'zwyczaj': 19.78514289855957, 'nakazywal': 24.583794593811035, 'w': 6.183427810668945, 'odpowiedzi': 24.33725357055664, 'na': 4.635902404785156, 'takie': 7.5032758712768555, 'niedomowienie': 29.213156700134277, 'zrobic': 18.503750801086426, 'madra': 21.400310516357422, 'mine,': 14.087581634521484, 'westchnac': 25.605003356933594, 'i': 7.606258392333984, 'znaczaco': 19.624667167663574, 'pokiwac': 19.151309967041016, 'glowa.': 22.82353401184082}",в ответ,"{'в': 0.0, 'ответ': 7.455052375793457}","обычай требовал в ответ на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 7.741861820220947, 'требовал': 9.676156997680664, 'в': 5.297914505004883, 'ответ': 4.746362686157227, 'на': 3.237123489379883, 'такое': 5.895949363708496, 'недоговаривание': 13.428277015686035, 'сделать': 5.20372200012207, 'мудрую': 10.73118782043457, 'мину,': 5.81038761138916, 'вздохнуть': 10.40774917602539, 'и': 1.7759571075439453, 'многозначительно': 7.7691473960876465, 'покачать': 5.623176574707031, 'головой.': 0.7354831695556641}",в отповедь,"{'в': 0.0, 'отповедь': 16.18720054626465}","обычай требовал в отповедь на такое недоговаривание сделать мудрую мину, вздохнуть и многозначительно покачать головой.","{'обычай': 7.741861820220947, 'требовал': 9.676156997680664, 'в': 5.297914505004883, 'отповедь': 15.776558876037598, 'на': 5.762939453125, 'такое': 6.749755859375, 'недоговаривание': 13.445575714111328, 'сделать': 7.840500831604004, 'мудрую': 10.307042121887207, 'мину,': 6.762886047363281, 'вздохнуть': 11.702189445495605, 'и': 2.399904251098633, 'многозначительно': 8.231298446655273, 'покачать': 5.679028511047363, 'головой.': 0.7919826507568359}"
w bok,"{'w': 0.0, 'bok': 16.49520778656006}","- nastraszyli mnie - powiedziała, patrząc w bok.","{'-': 6.246844291687012, 'nastraszyli': 43.619940757751465, 'mnie': 12.604521751403809, 'powiedziala,': 23.416095733642578, 'patrzac': 17.253788948059082, 'w': 4.907770156860352, 'bok.': 15.362329483032227}",в сторону,"{'в': 0.0, 'сторону': 7.239398002624512}","напугали меня, – сказала она глядя в сторону.","{'напугали': 11.953904151916504, 'меня,': 4.681461334228516, '–': 6.087139129638672, 'сказала': 2.9582881927490234, 'она': 1.257638931274414, 'глядя': 10.274948120117188, 'в': 1.9670591354370117, 'сторону.': 3.2356958389282227}",в бок,"{'в': 0.0, 'бок': 9.820609092712402}","напугали меня, – сказала она глядя в бок.","{'напугали': 11.953904151916504, 'меня,': 4.681461334228516, '–': 6.087139129638672, 'сказала': 2.9582881927490234, 'она': 1.257638931274414, 'глядя': 10.274948120117188, 'в': 1.9670591354370117, 'бок.': 10.581415176391602}"
na siebie,"{'na': 0.0, 'siebie': 22.22873878479004}","wiedząc o tym, niektórzy donosili więc sami na siebie.","{'wiedzac': 18.709053993225098, 'o': 8.253663063049316, 'tym,': 14.70517635345459, 'niektorzy': 23.344346046447754, 'donosili': 27.021458625793457, 'wiec': 9.040237426757812, 'sami': 12.72005558013916, 'na': 5.054725646972656, 'siebie.': 13.923606872558594}",на себя,"{'на': 0.0, 'себя': 6.978935718536377}","так что, зная об этом, некоторые доносили сами на себя.","{'так': 0.0, 'что,': 6.622232437133789, 'зная': 6.763533592224121, 'об': 4.147039413452148, 'этом,': 0.9217090606689453, 'некоторые': 6.723718643188477, 'доносили': 13.611235618591309, 'сами': 8.962932586669922, 'на': 2.8011865615844727, 'себя.': 1.0653858184814453}",на себе,"{'на': 0.0, 'себе': 7.703919887542725}","так что, зная об этом, некоторые доносили сами на себе.","{'так': 0.0, 'что,': 6.622232437133789, 'зная': 6.763533592224121, 'об': 4.147039413452148, 'этом,': 0.9217090606689453, 'некоторые': 6.723718643188477, 'доносили': 13.611235618591309, 'сами': 8.962932586669922, 'на': 2.8011865615844727, 'себе.': 5.249189376831055}"
w rzeczywistości,"{'w': 0.0, 'rzeczywistosci': 42.745022773742676}","rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.","{'rewolucja': 22.471956253051758, 'z': 6.399562835693359, 'chwila': 22.472416877746582, 'upadku': 23.223690032958984, 'powstania': 20.251221656799316, 'warszawskiego': 17.031553268432617, 'w': 2.297018051147461, 'rzeczywistosci': 30.308730125427246, 'juz': 12.138565063476562, 'sie': 9.298513412475586, 'dokonala,': 21.493895530700684, 'droga': 12.371786117553711, 'do': 5.977952003479004, 'niej': 8.592491149902344, 'byla': 13.047798156738281, 'otwarta.': 20.642952919006348}",по существу,"{'по': 0.0, 'существу': 8.2483491897583}","в момент поражения варшавского восстания революция, по существу, уже совершилась, путь к ней был открыт.","{'в': 0.0, 'момент': 6.892106533050537, 'поражения': 7.325368881225586, 'варшавского': 14.935152053833008, 'восстания': 3.8233718872070312, 'революция,': 13.774918556213379, 'по': 3.66591739654541, 'существу,': 3.2350330352783203, 'уже': 3.980693817138672, 'совершилась,': 9.928536415100098, 'путь': 9.816298484802246, 'к': 0.9395847320556641, 'ней': 2.4376068115234375, 'был': 1.1304664611816406, 'открыт.': 1.6185493469238281}",в реальности,"{'в': 0.0, 'реальности': 8.712453842163086}","в момент поражения варшавского восстания революция, в реальности, уже совершилась, путь к ней был открыт.","{'в': 3.0374984741210938, 'момент': 6.892106533050537, 'поражения': 7.325368881225586, 'варшавского': 14.935152053833008, 'восстания': 3.8233718872070312, 'революция,': 13.774918556213379, 'реальности,': 9.089999198913574, 'уже': 4.0753631591796875, 'совершилась,': 9.50501823425293, 'путь': 9.98654842376709, 'к': 1.0761375427246094, 'ней': 2.5824127197265625, 'был': 1.1650238037109375, 'открыт.': 1.9487266540527344}"
całe życie,"{'cale': 8.13711166381836, 'zycie': 22.181288719177246}","reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.","{'reynevan': 17.510804176330566, 'tymczasem': 39.97684860229492, 'uciekal,': 26.276514053344727, 'a': 3.6784276962280273, 'szlo': 10.299901008605957, 'mu': 7.552875518798828, 'to': 7.094427108764648, 'tak,': 12.59935188293457, 'jak': 6.274822235107422, 'gdyby': 15.379870414733887, 'cale': 15.172486305236816, 'zycie': 13.8221435546875, 'nie': 5.302186965942383, 'robil': 15.15207576751709, 'nic': 9.404207229614258, 'innego,': 18.8154354095459, 'tylko': 10.638614654541016, 'galopowal': 23.727157592773438, 'w': 3.6530494689941406, 'wiezach.': 20.545042991638184}",всю жизнь,"{'всю': 8.38951301574707, 'жизнь': 1.9150753021240234}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он всю жизнь только и делал, что галопировал связанным.","{'тем': 0.0, 'временем': 6.00627326965332, 'рейневан': 25.041711807250977, 'сбежал,': 11.47488021850586, 'и': 0.3334999084472656, 'это': 4.513519287109375, 'получилось': 8.846986770629883, 'у': 2.9424285888671875, 'него': 0.6146669387817383, 'так': 3.412446975708008, 'ловко,': 3.0121498107910156, 'словно': 3.4920272827148438, 'он': 0.7140541076660156, 'всю': 4.977726936340332, 'жизнь': 0.4613990783691406, 'только': 2.2634639739990234, 'делал,': 0.29126930236816406, 'что': 0.013530731201171875, 'галопировал': 11.584311485290527, 'связанным.': 15.864925384521484}",целое житие,"{'целое': 4.177979469299316, 'житие': 10.155811309814453}","тем временем рейневан сбежал, и это получилось у него так ловко, словно он целое житие только и делал, что галопировал связанным.","{'тем': 0.0, 'временем': 6.00627326965332, 'рейневан': 25.041711807250977, 'сбежал,': 11.47488021850586, 'и': 2.434764862060547, 'это': 4.513519287109375, 'получилось': 8.846986770629883, 'у': 2.9424285888671875, 'него': 0.6146669387817383, 'так': 3.412446975708008, 'ловко,': 3.0121498107910156, 'словно': 3.4920272827148438, 'он': 0.7140541076660156, 'целое': 10.517189979553223, 'житие': 11.842459678649902, 'только': 7.329991340637207, 'делал,': 0.8660564422607422, 'что': 0.07052040100097656, 'галопировал': 11.135235786437988, 'связанным.': 15.1687650680542}"
