phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}","не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.","{'не': 6.866201400756836, 'раз': 3.171567916870117, 'я': 1.4281187057495117, 'бачив,': 0.15932273864746094, 'як': 0.07593536376953125, 'вони,': 0.016729354858398438, 'поранені': 0.004638671875, 'стрілою,': 0.6896648406982422, 'знаходячись': 0.8162555694580078, 'далеко': 2.7178945541381836, 'від': 0.03751373291015625, 'хірургів,': 5.273353576660156, ""перев'язували"": 2.1744022369384766, 'себе,': 6.095268249511719, 'заліпивши': 1.7110176086425781, 'рану': 3.6808719635009766, 'жменею': 4.957881927490234, 'землі,': 4.190984725952148, 'змішаною': 14.023937225341797, 'на': 0.9977207183837891, 'долоні': 8.685473442077637, 'з': 0.3059225082397461, 'порцією': 2.71734619140625, 'власної': 1.7020912170410156, 'слини.': 13.38333511352539}",не раз,"{'не': 5.41105842590332, 'раз': 9.472421646118164}","не раз я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 7.574367523193359, 'раз': 0.0988616943359375, 'я': 1.1643638610839844, 'видел,': 0.6226921081542969, 'как': 0.03137016296386719, 'они,': 5.985744476318359, 'раненые': 0.8953685760498047, 'стрелой,': 7.878575325012207, 'находясь': 1.9239978790283203, 'далеко': 1.5906734466552734, 'от': 0.01026153564453125, 'хирургов,': 2.9498138427734375, 'перевязывали': 0.17452239990234375, 'себя,': 0.8319511413574219, 'залепив': 1.0170574188232422, 'рану': 0.14316749572753906, 'горстью': 0.022146224975585938, 'земли,': 2.3153419494628906, 'смешанной': 3.0724143981933594, 'на': 0.9009304046630859, 'ладони': 4.174413681030273, 'с': 0.02414703369140625, 'порцией': 0.10753822326660156, 'собственной': 0.3821849822998047, 'слюны.': 0.22742843627929688}",не однажды,"{'не': 3.508631706237793, 'однажды': 12.757257461547852}","не однажды я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 8.258674621582031, 'однажды': 5.420619010925293, 'я': 0.2564411163330078, 'видел,': 0.47736358642578125, 'как': 0.026597976684570312, 'они,': 5.513523101806641, 'раненые': 0.7501220703125, 'стрелой,': 7.672268867492676, 'находясь': 1.9543962478637695, 'далеко': 1.5976982116699219, 'от': 0.017925262451171875, 'хирургов,': 3.3524627685546875, 'перевязывали': 0.2058849334716797, 'себя,': 0.827880859375, 'залепив': 1.0754051208496094, 'рану': 0.15705108642578125, 'горстью': 0.018848419189453125, 'земли,': 2.2594070434570312, 'смешанной': 2.6874732971191406, 'на': 0.7948284149169922, 'ладони': 4.182639122009277, 'с': 0.018320083618164062, 'порцией': 0.11236381530761719, 'собственной': 0.36559104919433594, 'слюны.': 0.3482208251953125}"
все одно,"{'все': 5.175406455993652, 'одно': 7.817736625671387}","їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.","{'їх,': 9.910874366760254, 'хоч': 1.1326847076416016, 'як': 3.572981834411621, 'тасуй,': 3.8804569244384766, 'у': 1.6057758331298828, 'цій': 1.3586044311523438, 'засаленій': 1.748239517211914, 'колоді': 7.270252227783203, 'все': 0.06516265869140625, 'одно': 0.8185520172119141, 'жодної': 0.029541015625, 'пристойної': 0.5162944793701172, 'карти': 2.470682144165039, 'не': 0.00298309326171875, 'витягнеш.': 12.561579704284668}",все равно,"{'все': 1.8039226531982422, 'равно': 4.80443000793457}","их, как ни тасуй, в этой засаленной колоде все равно никакой пристойной карты не вытянешь.","{'их,': 8.43906307220459, 'как': 0.43209075927734375, 'ни': 0.4889850616455078, 'тасуй,': 0.2088947296142578, 'в': 0.1262950897216797, 'этой': 0.4908294677734375, 'засаленной': 0.10051536560058594, 'колоде': 0.09195899963378906, 'все': 0.40831756591796875, 'равно': 0.023168563842773438, 'никакой': 0.6309318542480469, 'пристойной': 0.9727325439453125, 'карты': 0.7033615112304688, 'не': 0.0020751953125, 'вытянешь.': 0.2850189208984375}",все одно,"{'все': 5.175406455993652, 'одно': 7.817736625671387}","их, как ни тасуй, в этой засаленной колоде все одно никакой пристойной карты не вытянешь.","{'их,': 8.388504028320312, 'как': 0.42169189453125, 'ни': 0.45249366760253906, 'тасуй,': 0.20947837829589844, 'в': 0.11774063110351562, 'этой': 0.5120582580566406, 'засаленной': 0.09731864929199219, 'колоде': 0.08789825439453125, 'все': 0.3692588806152344, 'одно': 4.2255401611328125, 'никакой': 0.5689125061035156, 'пристойной': 0.8463001251220703, 'карты': 0.6178073883056641, 'не': 0.0019893646240234375, 'вытянешь.': 0.2881584167480469}"
тільки шо,"{'тільки': 4.926969528198242, 'шо': 6.141391277313232}","от тільки шо нікого не було, аж осьдечки й він, де не взявся.","{'от': 6.815788269042969, 'тільки': 0.03609466552734375, 'шо': 4.678654670715332, 'нікого': 1.575918197631836, 'не': 5.393500328063965, 'було,': 2.4422826766967773, 'аж': 5.75405216217041, 'осьдечки': 32.29759502410889, 'й': 5.608277320861816, 'він,': 7.035318374633789, 'де': 4.24725341796875, 'взявся.': 5.157687187194824}",только что,"{'только': 4.640101432800293, 'что': 5.232168197631836}","вот только что ничего не было, и вот уж он тут.","{'вот': 0.12883758544921875, 'только': 0.0183258056640625, 'что': 0.1479663848876953, 'ничего': 4.339249610900879, 'не': 0.0018711090087890625, 'было,': 2.1419124603271484, 'и': 0.3369560241699219, 'уж': 5.404661178588867, 'он': 3.435013771057129, 'тут.': 2.011228561401367}",лишь что,"{'лишь': 2.380401611328125, 'что': 8.564455032348633}","вот лишь что ничего не было, и вот уж он тут.","{'вот': 0.17314910888671875, 'лишь': 10.541168212890625, 'что': 9.421884536743164, 'ничего': 3.9795312881469727, 'не': 0.0022182464599609375, 'было,': 2.9187068939208984, 'и': 0.3743305206298828, 'уж': 4.467609405517578, 'он': 3.4585676193237305, 'тут.': 1.8336639404296875}"
тут же,"{'тут': 0.9143085479736328, 'же': 3.6271419525146484}","коли ж навідався до делятина, його хтось побачив і тут же здав.","{'коли': 5.901749610900879, 'ж': 4.834885597229004, 'навідався': 8.305313110351562, 'до': 5.1537322998046875, 'делятина,': 12.554961204528809, 'його': 0.01604461669921875, 'хтось': 0.003631591796875, 'побачив': 0.21623611450195312, 'і': 0.22545242309570312, 'тут': 0.4734001159667969, 'же': 0.6251211166381836, 'здав.': 6.934518814086914}",тут же,"{'тут': 0.9143085479736328, 'же': 3.6271419525146484}","когда же наведался в делятин, его кто-то увидел и тут же сдал.","{'когда': 4.102514266967773, 'же': 0.0048999786376953125, 'наведался': 4.717900276184082, 'в': 0.8630294799804688, 'делятин,': 17.535417556762695, 'его': 1.479659080505371, 'кто-то': 0.4384746551513672, 'увидел': 2.574798583984375, 'и': 0.2992992401123047, 'тут': 0.2368640899658203, 'сдал.': 5.608667373657227}",тут как,"{'тут': 1.2557392120361328, 'как': 7.859615325927734}","когда же наведался в делятин, его кто-то увидел и тут как сдал.","{'когда': 4.6778364181518555, 'же': 8.3279447555542, 'наведался': 5.071690559387207, 'в': 0.688563346862793, 'делятин,': 17.737330436706543, 'его': 2.179689407348633, 'кто-то': 0.40357208251953125, 'увидел': 3.0096263885498047, 'и': 1.0012569427490234, 'тут': 7.615734100341797, 'как': 9.280205726623535, 'сдал.': 16.401018142700195}"
до сих пір,"{'до': 3.0246315002441406, 'сих': 3.82187557220459, 'пір': 18.51209259033203}","цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.","{'цивілізований': 4.130832672119141, 'світ': 0.14231300354003906, 'до': 0.052112579345703125, 'сих': 0.7363414764404297, 'пір': 1.434438705444336, 'не': 0.003875732421875, 'знає': 0.3150062561035156, 'те': 2.136819839477539, 'що': 0.017847061157226562, 'літератури': 0.048221588134765625, 'української,': 0.04925727844238281, 'а': 0.13623809814453125, 'й': 0.7823390960693359, 'взагалі': 0.0095977783203125, 'такої': 0.11319732666015625, 'країни,': 1.7842979431152344, 'такого': 0.14117431640625, 'народу.': 0.7188072204589844}",до сих пор,"{'до': 0.5212326049804688, 'сих': 0.009592056274414062, 'пор': 0.053165435791015625}","цивилизованный мир до сих пор не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 3.509593963623047, 'мир': 0.038295745849609375, 'до': 0.0009136199951171875, 'сих': 0.0006465911865234375, 'пор': 0.0009613037109375, 'не': 0.016241073608398438, 'знает': 0.23934364318847656, 'то': 0.013406753540039062, 'что': 0.018789291381835938, 'литературы': 7.747686386108398, 'украинской,': 6.60904598236084, 'а': 1.3446578979492188, 'и': 0.21094131469726562, 'вообще': 2.0328636169433594, 'такой': 0.0031871795654296875, 'страны,': 3.0514087677001953, 'такого': 0.013120651245117188, 'народа.': 0.9155502319335938}",до той поры,"{'до': 3.1406803131103516, 'той': 1.3924036026000977, 'поры': 1.6087932586669922}","цивилизованный мир до той поры не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 3.067983627319336, 'мир': 0.037525177001953125, 'до': 2.655271530151367, 'той': 3.0474185943603516, 'поры': 0.03129005432128906, 'не': 0.0211334228515625, 'знает': 3.5328598022460938, 'то': 0.014371871948242188, 'что': 0.0242156982421875, 'литературы': 7.627532005310059, 'украинской,': 6.230457305908203, 'а': 1.3992128372192383, 'и': 0.15604019165039062, 'вообще': 2.1570491790771484, 'такой': 0.003437042236328125, 'страны,': 3.154020309448242, 'такого': 0.014621734619140625, 'народа.': 0.7773780822753906}"
у відповідь,"{'у': 7.366539001464844, 'відповідь': 0.222320556640625}","респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.","{'респондент': 14.034048080444336, 'у': 0.3158302307128906, 'відповідь': 0.000621795654296875, 'на': 0.0068874359130859375, 'це': 0.15815162658691406, 'поцікавився,': 2.4084110260009766, 'чи': 3.7286453247070312, 'не': 0.1578197479248047, ""з'являється"": 0.5812740325927734, 'іноді': 1.540719985961914, 'над': 3.468658447265625, 'його': 0.22293853759765625, 'зеленими': 15.43803882598877, 'столами': 12.050460815429688, 'привид': 12.464879989624023, 'композитора': 14.778175354003906, 'вагнера.': 9.648588180541992}",в ответ,"{'в': 5.0988359451293945, 'ответ': 8.780405044555664}","респондент в ответ на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 12.602643013000488, 'в': 0.017583847045898438, 'ответ': 0.009283065795898438, 'на': 0.000827789306640625, 'это': 0.969202995300293, 'поинтересовался,': 2.1393470764160156, 'не': 0.05038642883300781, 'появляется': 2.7375497817993164, 'ли': 0.00069427490234375, 'иногда': 1.9925251007080078, 'над': 1.778411865234375, 'его': 3.3995361328125, 'зелеными': 7.307788848876953, 'столами': 5.818204879760742, 'дух': 3.556534767150879, 'композитора': 5.878019332885742, 'вагнера.': 3.6592063903808594}",в отповедь,"{'в': 4.433688163757324, 'отповедь': 12.126701354980469}","респондент в отповедь на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 12.291997909545898, 'в': 1.4416532516479492, 'отповедь': 6.449030876159668, 'на': 0.049373626708984375, 'это': 1.2102203369140625, 'поинтересовался,': 3.6341323852539062, 'не': 0.05104827880859375, 'появляется': 3.053251266479492, 'ли': 0.000858306884765625, 'иногда': 1.9600324630737305, 'над': 1.9152326583862305, 'его': 3.476861000061035, 'зелеными': 7.536532402038574, 'столами': 5.792092323303223, 'дух': 3.4357080459594727, 'композитора': 5.932286262512207, 'вагнера.': 3.8827247619628906}"
убік,{'убік': 22.65084457397461},"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.","{'автомат': 5.613992691040039, 'полетів': 8.4390230178833, 'далеко': 7.241731643676758, 'убік,': 11.606273651123047, '«корінь»': 8.411286354064941, 'в': 1.8978691101074219, 'паніці': 6.780745506286621, 'кинувся': 2.06394100189209, 'хащі.': 16.48269748687744}",в сторону,"{'в': 1.9129610061645508, 'сторону': 9.010303497314453}","автомат полетел далеко в сторону, ""корень"" в панике метнулся в чащу.","{'автомат': 6.827592849731445, 'полетел': 3.541776657104492, 'далеко': 0.8156452178955078, 'в': 0.005435943603515625, 'сторону,': 4.197649002075195, '""корень""': 7.920936584472656, 'панике': 0.8089237213134766, 'метнулся': 2.4671096801757812, 'чащу.': 0.4842090606689453}",в бок,"{'в': 5.849135398864746, 'бок': 13.303657531738281}","автомат полетел далеко в бок, ""корень"" в панике метнулся в чащу.","{'автомат': 6.957971572875977, 'полетел': 3.0836219787597656, 'далеко': 7.212336540222168, 'в': 0.006046295166015625, 'бок,': 10.095568656921387, '""корень""': 7.926944732666016, 'панике': 0.8842029571533203, 'метнулся': 2.388010025024414, 'чащу.': 0.7268524169921875}"
на себе,"{'на': 6.470327377319336, 'себе': 9.083647727966309}","всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…","{'всі': 7.29423713684082, 'хочуть': 0.08329010009765625, 'командувати,': 5.759557723999023, 'але': 0.43072509765625, 'ніхто': 0.0033130645751953125, 'не': 0.000728607177734375, 'хоче': 0.31754302978515625, 'звалити': 5.622674942016602, 'на': 0.08057975769042969, 'себе': 0.13279342651367188, 'відповідальність…': 7.627654075622559}",на себя,"{'на': 5.03085994720459, 'себя': 8.757801055908203}","все хотят командовать, но никто не хочет взвалить на себя ответственность…","{'все': 2.0139617919921875, 'хотят': 0.18883705139160156, 'командовать,': 10.637394905090332, 'но': 0.14818382263183594, 'никто': 0.008314132690429688, 'не': 0.0019588470458984375, 'хочет': 0.4713554382324219, 'взвалить': 1.6440410614013672, 'на': 0.00438690185546875, 'себя': 0.103240966796875, 'ответственность…': 8.478185653686523}",на себе,"{'на': 6.470327377319336, 'себе': 9.083647727966309}","все хотят командовать, но никто не хочет взвалить на себе ответственность…","{'все': 1.969970703125, 'хотят': 0.1774749755859375, 'командовать,': 10.673383712768555, 'но': 0.14719200134277344, 'никто': 0.00859832763671875, 'не': 0.002185821533203125, 'хочет': 0.43717384338378906, 'взвалить': 3.8397865295410156, 'на': 0.00605010986328125, 'себе': 7.00083065032959, 'ответственность…': 8.82860279083252}"
по сутi,"{'по': 7.1446685791015625, 'сутi': 23.440503120422363}","по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.","{'по': 6.039403915405273, 'сутi,': 14.026817321777344, 'партія': 0.16196060180664062, 'більшовиків': 8.683865547180176, 'брала': 4.293935775756836, 'на': 1.7518234252929688, 'озброєння': 0.20766830444335938, 'есерівську': 11.789267539978027, 'аграрну': 1.1766548156738281, 'програму.': 2.8463802337646484}",по существу,"{'по': 1.3680496215820312, 'существу': 5.782597541809082}","по существу, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 2.6295108795166016, 'существу,': 4.223165512084961, 'партия': 0.13379859924316406, 'большевиков': 3.447024345397949, 'брала': 4.904783248901367, 'на': 0.0011768341064453125, 'вооружение': 0.02875518798828125, 'эсеровскую': 0.021406173706054688, 'аграрную': 0.004852294921875, 'программу.': 1.6805572509765625}",по суткам,"{'по': 0.9885501861572266, 'суткам': 5.655017852783203}","по суткам, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 2.257078170776367, 'суткам,': 15.327519416809082, 'партия': 0.416229248046875, 'большевиков': 2.2955055236816406, 'брала': 4.7943925857543945, 'на': 0.00275421142578125, 'вооружение': 0.06273460388183594, 'эсеровскую': 0.04532623291015625, 'аграрную': 0.013538360595703125, 'программу.': 2.0621814727783203}"
ціле життя,"{'ціле': 14.80859088897705, 'життя': 2.1808929443359375}","у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.","{'у': 4.782627105712891, 'якихсь': 0.025003433227539062, 'мемуарах': 0.06590461730957031, 'раневської': 8.414076805114746, 'я': 6.625892639160156, 'прочитала,': 1.6229400634765625, 'що': 0.19418907165527344, 'вона': 0.0033359527587890625, 'ціле': 3.8351669311523438, 'життя': 0.10991668701171875, 'любила': 5.755764961242676, 'пушкіна.': 8.91327953338623}",всю жизнь,"{'всю': 0.24607086181640625, 'жизнь': 1.406290054321289}","в каких-то мемуарах раневской я вычитала, что она всю жизнь любила пушкина.","{'в': 2.0902347564697266, 'каких-то': 0.2752532958984375, 'мемуарах': 0.008260726928710938, 'раневской': 11.1636381149292, 'я': 2.2977685928344727, 'вычитала,': 0.11862945556640625, 'что': 0.047698974609375, 'она': 0.04843330383300781, 'всю': 0.000980377197265625, 'жизнь': 0.004528045654296875, 'любила': 0.8006591796875, 'пушкина.': 3.2433929443359375}",целая жизнь,"{'целая': 6.524808883666992, 'жизнь': 2.4689598083496094}","в каких-то мемуарах раневской я вычитала, что она целая жизнь любила пушкина.","{'в': 1.9341373443603516, 'каких-то': 0.28058433532714844, 'мемуарах': 0.009670257568359375, 'раневской': 11.271742820739746, 'я': 2.296285629272461, 'вычитала,': 0.12428474426269531, 'что': 0.07102394104003906, 'она': 0.14463424682617188, 'целая': 16.29812240600586, 'жизнь': 1.8952445983886719, 'любила': 2.340029716491699, 'пушкина.': 2.8016300201416016}"
