phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}","не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.","{'не': 15.067392349243164, 'раз': 9.65512466430664, 'я': 7.271303176879883, 'бачив,': 31.88014793395996, 'як': 11.74480152130127, 'вони,': 19.93603515625, 'поранені': 32.51688194274902, 'стрілою,': 40.74292182922363, 'знаходячись': 38.31954288482666, 'далеко': 10.188436508178711, 'від': 30.208142280578613, 'хірургів,': 71.1191930770874, ""перев'язували"": 76.28658962249756, 'себе,': 15.95822525024414, 'заліпивши': 49.28952217102051, 'рану': 14.238168716430664, 'жменею': 28.019323348999023, 'землі,': 42.38586473464966, 'змішаною': 53.68760585784912, 'на': 7.907697677612305, 'долоні': 34.18498420715332, 'з': 7.684711456298828}",не раз,"{'не': 11.55434799194336, 'раз': 7.396395683288574}","не раз я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 17.815452575683594, 'раз': 8.006063461303711, 'я': 11.326183319091797, 'видел,': 26.31967258453369, 'как': 16.557865142822266, 'они,': 30.059246063232422, 'раненые': 32.93159484863281, 'стрелой,': 24.912994384765625, 'находясь': 22.768856048583984, 'далеко': 9.378369331359863, 'от': 14.530508041381836, 'хирургов,': 43.50982856750488, 'перевязывали': 38.51919174194336, 'себя,': 21.910449981689453, 'залепив': 36.19461917877197, 'рану': 13.238297462463379, 'горстью': 21.213443756103516, 'земли,': 18.193638801574707, 'смешанной': 39.68074607849121, 'на': 13.30703353881836, 'ладони': 17.814157485961914, 'с': 11.36302661895752, 'порцией': 30.01040267944336, 'собственной': 12.866984367370605, 'слюны.': 40.01717567443848}",не однажды,"{'не': 10.879121780395508, 'однажды': 7.533320903778076}","не однажды я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 17.77989387512207, 'однажды': 6.891035079956055, 'я': 6.787210464477539, 'видел,': 26.46914291381836, 'как': 16.767913818359375, 'они,': 29.808234214782715, 'раненые': 33.02522373199463, 'стрелой,': 24.766067028045654, 'находясь': 22.60590362548828, 'далеко': 9.459504127502441, 'от': 14.428250312805176, 'хирургов,': 43.43973159790039, 'перевязывали': 38.503963470458984, 'себя,': 21.67399311065674, 'залепив': 36.01343536376953, 'рану': 13.175137519836426, 'горстью': 21.190692901611328, 'земли,': 18.007908821105957, 'смешанной': 39.58704471588135, 'на': 13.247217178344727, 'ладони': 17.800662994384766, 'с': 11.20573616027832, 'порцией': 29.7822208404541, 'собственной': 12.552364349365234, 'слюны.': 39.88944625854492}"
все одно,"{'все': 14.34662914276123, 'одно': 5.0354533195495605}","їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.","{'їх,': 33.10714340209961, 'хоч': 20.583073616027832, 'як': 10.684873580932617, 'тасуй,': 31.476929664611816, 'у': 9.348278999328613, 'цій': 23.02228593826294, 'засаленій': 40.11529302597046, 'колоді': 23.730429649353027, 'все': 10.999923706054688, 'одно': 9.994889259338379, 'жодної': 34.16093444824219, 'пристойної': 43.955101013183594, 'карти': 12.369731903076172, 'не': 7.093581676483154, 'витягнеш.': 42.51804733276367}",все равно,"{'все': 15.307491302490234, 'равно': 10.55018138885498}","их, как ни тасуй, в этой засаленной колоде все равно никакой пристойной карты не вытянешь.","{'их,': 28.608660221099854, 'как': 15.041656494140625, 'ни': 9.914024353027344, 'тасуй,': 51.40714168548584, 'в': 14.458477973937988, 'этой': 15.475778579711914, 'засаленной': 27.760125160217285, 'колоде': 29.264843940734863, 'все': 12.254063606262207, 'равно': 18.65544319152832, 'никакой': 14.30854606628418, 'пристойной': 32.47712421417236, 'карты': 17.396482467651367, 'не': 9.612637519836426, 'вытянешь.': 45.097805976867676}",все одно,"{'все': 14.34662914276123, 'одно': 5.0354533195495605}","их, как ни тасуй, в этой засаленной колоде все одно никакой пристойной карты не вытянешь.","{'их,': 28.361016750335693, 'как': 14.711021423339844, 'ни': 9.891613006591797, 'тасуй,': 51.28470420837402, 'в': 14.299814224243164, 'этой': 15.610237121582031, 'засаленной': 27.97694492340088, 'колоде': 29.484091758728027, 'все': 12.5924654006958, 'одно': 11.956693649291992, 'никакой': 13.387500762939453, 'пристойной': 31.28188991546631, 'карты': 17.292631149291992, 'не': 9.39844036102295, 'вытянешь.': 45.09671115875244}"
тільки шо,"{'тільки': 38.277262687683105, 'шо': 10.86097240447998}","от тільки шо нікого не було, аж осьдечки й він, де не взявся.","{'от': 18.42576026916504, 'тільки': 27.886245727539062, 'шо': 8.302449226379395, 'нікого': 25.47532081604004, 'не': 7.3748674392700195, 'було,': 25.15983486175537, 'аж': 14.065967559814453, 'осьдечки': 34.78223133087158, 'й': 7.3655805587768555, 'він,': 34.42839860916138, 'де': 9.692146301269531, 'взявся.': 34.874467849731445}",только что,"{'только': 17.652925491333008, 'что': 7.443630695343018}","вот только что ничего не было, и вот уж он тут.","{'вот': 9.160350799560547, 'только': 4.723833084106445, 'что': 11.021245956420898, 'ничего': 7.136850357055664, 'не': 11.971455574035645, 'было,': 26.91946315765381, 'и': 12.834104537963867, 'уж': 10.20412826538086, 'он': 8.73057746887207, 'тут.': 18.841123580932617}",лишь что,"{'лишь': 18.774728775024414, 'что': 7.248044490814209}","вот лишь что ничего не было, и вот уж он тут.","{'вот': 9.227559089660645, 'лишь': 7.408058166503906, 'что': 9.578718185424805, 'ничего': 6.9603118896484375, 'не': 12.017709732055664, 'было,': 27.558232307434082, 'и': 12.966375350952148, 'уж': 10.268654823303223, 'он': 8.837080001831055, 'тут.': 18.867109298706055}"
тут же,"{'тут': 16.7138671875, 'же': 7.273810386657715}","коли ж навідався до делятина, його хтось побачив і тут же здав.","{'коли': 18.68381690979004, 'ж': 5.839302062988281, 'навідався': 39.008317947387695, 'до': 6.503236293792725, 'делятина,': 33.1356520652771, 'його': 11.928836822509766, 'хтось': 13.374955654144287, 'побачив': 27.328356742858887, 'і': 11.76685905456543, 'тут': 7.992926597595215, 'же': 11.815780639648438, 'здав.': 37.81463432312012}",тут же,"{'тут': 16.7138671875, 'же': 7.273810386657715}","когда же наведался в делятин, его кто-то увидел и тут же сдал.","{'когда': 17.834707260131836, 'же': 11.947755813598633, 'наведался': 38.425479888916016, 'в': 14.148284912109375, 'делятин,': 41.558966636657715, 'его': 14.969635009765625, 'кто-то': 39.02837657928467, 'увидел': 17.724470138549805, 'и': 8.230073928833008, 'тут': 16.014850616455078, 'сдал.': 30.47085952758789}",тут как,"{'тут': 16.430259704589844, 'как': 6.364490509033203}","когда же наведался в делятин, его кто-то увидел и тут как сдал.","{'когда': 17.683523178100586, 'же': 7.507251739501953, 'наведался': 38.44399547576904, 'в': 14.21918773651123, 'делятин,': 41.39408874511719, 'его': 14.953557968139648, 'кто-то': 38.4995174407959, 'увидел': 17.361595153808594, 'и': 9.02804946899414, 'тут': 15.714391708374023, 'как': 10.801393508911133, 'сдал.': 26.348397254943848}"
до сих пір,"{'до': 15.164168357849121, 'сих': 12.372030258178711, 'пір': 23.96910285949707}","цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.","{'цивілізований': 77.87706279754639, 'світ': 30.506906509399414, 'до': 11.196687698364258, 'сих': 13.940990447998047, 'пір': 26.404863357543945, 'не': 10.644807815551758}",до сих пор,"{'до': 14.739310264587402, 'сих': 7.759074687957764, 'пор': 11.326711654663086}","цивилизованный мир до сих пор не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 46.06278419494629, 'мир': 14.964771270751953, 'до': 12.28056812286377, 'сих': 15.254706382751465, 'пор': 15.986936569213867, 'не': 14.14795970916748, 'знает': 20.212276458740234, 'то': 11.0848388671875, 'что': 12.660100936889648, 'литературы': 12.559874534606934, 'украинской,': 19.101804733276367}",до той поры,"{'до': 15.408178329467773, 'той': 7.404491424560547, 'поры': 9.663272857666016}","цивилизованный мир до той поры не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 46.152687072753906, 'мир': 14.913919448852539, 'до': 13.203274726867676, 'той': 11.37873363494873, 'поры': 14.837237358093262, 'не': 13.897809982299805, 'знает': 19.4999942779541, 'то': 10.862874984741211, 'что': 12.327108383178711, 'литературы': 12.67312240600586, 'украинской,': 18.893910884857178}"
у відповідь,"{'у': 15.44133186340332, 'відповідь': 54.902684688568115}","респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.","{'респондент': 31.22434425354004, 'у': 10.56010627746582, 'відповідь': 57.94926071166992, 'на': 9.390161514282227, 'це': 11.792177200317383, 'поцікавився,': 65.7967848777771, 'чи': 13.301838874816895, 'не': 7.638247966766357}",в ответ,"{'в': 12.592615127563477, 'ответ': 9.976444244384766}","респондент в ответ на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 34.43717288970947, 'в': 14.412918090820312, 'ответ': 15.533611297607422, 'на': 15.321057319641113, 'это': 13.623065948486328, 'поинтересовался,': 22.851898193359375, 'не': 14.346142768859863, 'появляется': 20.31415557861328, 'ли': 6.362324237823486, 'иногда': 16.731307983398438, 'над': 11.086326599121094, 'его': 11.952227592468262, 'зелеными': 13.178851127624512, 'столами': 21.011438369750977, 'дух': 15.697392463684082, 'композитора': 11.532698631286621, 'вагнера.': 34.00389862060547}",в отповедь,"{'в': 13.177531242370605, 'отповедь': 40.81849002838135}","респондент в отповедь на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 34.73706817626953, 'в': 14.336697578430176, 'отповедь': 47.92583751678467, 'на': 11.289529800415039, 'это': 13.377753257751465, 'поинтересовался,': 22.993925094604492, 'не': 14.46609878540039, 'появляется': 20.2611141204834, 'ли': 6.2498908042907715, 'иногда': 17.45854949951172, 'над': 11.897801399230957, 'его': 12.890690803527832, 'зелеными': 14.031492233276367, 'столами': 22.40989112854004, 'дух': 15.800996780395508, 'композитора': 10.99740219116211, 'вагнера.': 34.39337348937988}"
убік,{'убік': 31.918710708618164},"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.","{'автомат': 27.884730339050293, 'полетів': 27.103879928588867, 'далеко': 16.05659294128418, 'убік,': 40.70736598968506, '«корінь»': 57.79092454910278, 'в': 12.099898338317871, 'паніці': 36.95676612854004, 'кинувся': 29.313899993896484, 'хащі.': 45.48581123352051}",в сторону,"{'в': 11.889184951782227, 'сторону': 10.671045303344727}","автомат полетел далеко в сторону, ""корень"" в панике метнулся в чащу.","{'автомат': 30.573342323303223, 'полетел': 12.318280220031738, 'далеко': 10.471290588378906, 'в': 11.39946174621582, 'сторону,': 32.54060745239258, '""корень""': 66.32958793640137, 'панике': 23.30597686767578, 'метнулся': 12.790250778198242, 'чащу.': 33.98476982116699}",в бок,"{'в': 11.262411117553711, 'бок': 10.63862419128418}","автомат полетел далеко в бок, ""корень"" в панике метнулся в чащу.","{'автомат': 30.384033203125, 'полетел': 12.275811195373535, 'далеко': 10.466835975646973, 'в': 11.747881889343262, 'бок,': 27.19135284423828, '""корень""': 67.10494613647461, 'панике': 23.237510681152344, 'метнулся': 12.944546699523926, 'чащу.': 34.09916305541992}"
на себе,"{'на': 10.79922103881836, 'себе': 7.426843166351318}","всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…","{'всі': 23.05830192565918, 'хочуть': 16.62686061859131, 'командувати,': 29.449055194854736, 'але': 12.61317253112793, 'ніхто': 25.521173000335693, 'не': 7.89333438873291, 'хоче': 14.122030258178711, 'звалити': 18.480270385742188, 'на': 6.945831298828125, 'себе': 10.304691314697266, 'відповідальність…': 96.08802509307861}",на себя,"{'на': 11.16377067565918, 'себя': 7.54851770401001}","все хотят командовать, но никто не хочет взвалить на себя ответственность…","{'все': 18.996654510498047, 'хотят': 11.477011680603027, 'командовать,': 24.07328224182129, 'но': 15.212920188903809, 'никто': 12.6785306930542, 'не': 13.947193145751953, 'хочет': 19.132776260375977, 'взвалить': 26.32939910888672, 'на': 12.988247871398926, 'себя': 16.381364822387695, 'ответственность…': 23.185858726501465}",на себе,"{'на': 10.79922103881836, 'себе': 7.426843166351318}","все хотят командовать, но никто не хочет взвалить на себе ответственность…","{'все': 19.161243438720703, 'хотят': 11.578261375427246, 'командовать,': 23.942130088806152, 'но': 15.221922874450684, 'никто': 12.583885192871094, 'не': 14.122139930725098, 'хочет': 19.320589065551758, 'взвалить': 26.54647922515869, 'на': 12.95924186706543, 'себе': 11.378759384155273, 'ответственность…': 23.726743698120117}"
по сутi,"{'по': 13.004775047302246, 'сутi': 30.37761878967285}","по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.","{'по': 15.031686782836914, 'сутi,': 42.27953624725342, 'партія': 34.85826635360718, 'більшовиків': 78.90398502349854, 'брала': 18.61821746826172, 'на': 6.991718292236328}",по существу,"{'по': 12.745990753173828, 'существу': 11.512519836425781}","по существу, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 17.095367431640625, 'существу,': 21.034789085388184, 'партия': 18.12789535522461, 'большевиков': 12.001617431640625, 'брала': 13.105630874633789, 'на': 9.675223350524902, 'вооружение': 21.399747848510742, 'эсеровскую': 35.160264015197754, 'аграрную': 29.186492919921875, 'программу.': 23.33400821685791}",по суткам,"{'по': 14.003045082092285, 'суткам': 28.96329689025879}","по суткам, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 17.243633270263672, 'суткам,': 43.65135192871094, 'партия': 16.843280792236328, 'большевиков': 12.055365562438965, 'брала': 12.758578300476074, 'на': 8.697327613830566, 'вооружение': 21.338939666748047, 'эсеровскую': 35.29609394073486, 'аграрную': 29.362235069274902, 'программу.': 23.9874210357666}"
ціле життя,"{'ціле': 32.30279350280762, 'життя': 19.108455181121826}","у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.","{'у': 15.992376327514648, 'якихсь': 21.694077014923096, 'мемуарах': 25.266411781311035, 'раневської': 56.565932273864746, 'я': 5.1774702072143555, 'прочитала,': 24.37310218811035, 'що': 13.273881912231445, 'вона': 9.494468688964844, 'ціле': 24.08577537536621, 'життя': 21.357181549072266, 'любила': 13.717226028442383, 'пушкіна.': 51.65577936172485}",всю жизнь,"{'всю': 18.29269027709961, 'жизнь': 6.780045032501221}","в каких-то мемуарах раневской я вычитала, что она всю жизнь любила пушкина.","{'в': 17.53207015991211, 'каких-то': 32.010915756225586, 'мемуарах': 31.640798568725586, 'раневской': 36.01590156555176, 'я': 11.67552661895752, 'вычитала,': 42.15641117095947, 'что': 15.575693130493164, 'она': 16.172163009643555, 'всю': 10.405521392822266, 'жизнь': 12.062872886657715, 'любила': 12.452254295349121, 'пушкина.': 24.28024387359619}",целая жизнь,"{'целая': 28.146607398986816, 'жизнь': 10.34631061553955}","в каких-то мемуарах раневской я вычитала, что она целая жизнь любила пушкина.","{'в': 17.62723159790039, 'каких-то': 31.76837730407715, 'мемуарах': 31.396177291870117, 'раневской': 35.93881320953369, 'я': 11.735404968261719, 'вычитала,': 41.84063911437988, 'что': 15.262922286987305, 'она': 16.32843017578125, 'целая': 14.493093490600586, 'жизнь': 9.112302780151367, 'любила': 12.2067232131958, 'пушкина.': 24.06779670715332}"
