phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 0.0, 'раз': 7.542349338531494}","не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.","{'не': 0.0, 'раз': 7.542348384857178, 'я': 4.8707122802734375, 'бачив,': 18.199596405029297, 'як': 1.1906852722167969, 'вони,': 7.374590873718262, 'поранені': 12.66660213470459, 'стрілою,': 14.580141067504883, 'знаходячись': 21.90548038482666, 'далеко': 7.224490165710449, 'від': 0.8262577056884766, 'хірургів,': 18.423099517822266, ""перев'язували"": 15.333970069885254, 'себе,': 6.222681045532227, 'заліпивши': 16.46310806274414, 'рану': 4.058038711547852, 'жменею': 16.546761512756348, 'землі,': 6.203185081481934, 'змішаною': 16.38823413848877, 'на': 4.449139595031738, 'долоні': 9.865617752075195, 'з': 3.4894657135009766, 'порцією': 10.482477188110352, 'власної': 8.456671714782715, 'слини.': 19.098451614379883}",не раз,"{'не': 0.0, 'раз': 7.542349338531494}","не раз я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 0.0, 'раз': 7.542348384857178, 'я': 4.8707122802734375, 'видел,': 3.5254955291748047, 'как': 0.15709495544433594, 'они,': 6.196046829223633, 'раненые': 9.41334342956543, 'стрелой,': 9.156344413757324, 'находясь': 9.396073341369629, 'далеко': 6.584400177001953, 'от': 0.2728538513183594, 'хирургов,': 10.071767807006836, 'перевязывали': 6.493690490722656, 'себя,': 5.256638526916504, 'залепив': 13.8642578125, 'рану': 1.9506149291992188, 'горстью': 8.428345680236816, 'земли,': 2.0068912506103516, 'смешанной': 6.888432502746582, 'на': 7.474736213684082, 'ладони': 4.577700614929199, 'с': 0.7855587005615234, 'порцией': 9.337021827697754, 'собственной': 5.993163108825684, 'слюны.': 3.6489524841308594}",не однажды,"{'не': 0.0, 'однажды': 10.651636123657227}","не однажды я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 0.0, 'однажды': 10.65163516998291, 'я': 3.8851404190063477, 'видел,': 4.1571807861328125, 'как': 0.15627479553222656, 'они,': 7.070011138916016, 'раненые': 9.144116401672363, 'стрелой,': 8.510781288146973, 'находясь': 9.480352401733398, 'далеко': 6.4144392013549805, 'от': 0.2739143371582031, 'хирургов,': 10.33731746673584, 'перевязывали': 6.383024215698242, 'себя,': 5.672658920288086, 'залепив': 13.311739921569824, 'рану': 2.13265323638916, 'горстью': 8.372187614440918, 'земли,': 2.0405216217041016, 'смешанной': 6.699773788452148, 'на': 7.469905853271484, 'ладони': 4.552834510803223, 'с': 0.8006858825683594, 'порцией': 9.375328063964844, 'собственной': 5.979372978210449, 'слюны.': 3.751908302307129}"
все одно,"{'все': 0.0, 'одно': 8.342050552368164}","їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.","{'їх,': 6.480207443237305, 'хоч': 7.400395393371582, 'як': 4.0378875732421875, 'тасуй,': 19.348955154418945, 'у': 5.0927734375, 'цій': 7.538697242736816, 'засаленій': 16.861289978027344, 'колоді': 12.21501350402832, 'все': 5.6282243728637695, 'одно': 2.8015756607055664, 'жодної': 10.454398155212402, 'пристойної': 13.620158195495605, 'карти': 8.114174842834473, 'не': 9.751130104064941, 'витягнеш.': 18.68167495727539}",все равно,"{'все': 0.0, 'равно': 5.924633502960205}","их, как ни тасуй, в этой засаленной колоде все равно никакой пристойной карты не вытянешь.","{'их,': 3.956540107727051, 'как': 3.6242475509643555, 'ни': 5.299236297607422, 'тасуй,': 14.0618314743042, 'в': 4.238802909851074, 'этой': 4.933187484741211, 'засаленной': 12.164018630981445, 'колоде': 1.6161136627197266, 'все': 3.0531272888183594, 'равно': 0.4254131317138672, 'никакой': 7.421256065368652, 'пристойной': 11.402814865112305, 'карты': 1.0887737274169922, 'не': 0.3539104461669922, 'вытянешь.': 6.180812835693359}",все одно,"{'все': 0.0, 'одно': 8.342050552368164}","их, как ни тасуй, в этой засаленной колоде все одно никакой пристойной карты не вытянешь.","{'их,': 3.956540107727051, 'как': 3.6242475509643555, 'ни': 5.299236297607422, 'тасуй,': 14.0618314743042, 'в': 4.238802909851074, 'этой': 4.933187484741211, 'засаленной': 12.164018630981445, 'колоде': 1.6161136627197266, 'все': 3.0531272888183594, 'одно': 2.8057498931884766, 'никакой': 7.163579940795898, 'пристойной': 11.539939880371094, 'карты': 1.2189178466796875, 'не': 0.4126396179199219, 'вытянешь.': 5.764739990234375}"
тільки шо,"{'тільки': 13.373541831970215, 'шо': 6.196613311767578}","от тільки шо нікого не було, аж осьдечки й він, де не взявся.","{'от': 0.0, 'тільки': 17.874357223510742, 'шо': 6.077088356018066, 'нікого': 11.300354957580566, 'не': 5.009631156921387, 'було,': 3.240298271179199, 'аж': 5.900603294372559, 'осьдечки': 18.885050773620605, 'й': 4.260334014892578, 'він,': 10.279513359069824, 'де': 5.366927146911621, 'взявся.': 12.9920654296875}",только что,"{'только': 0.0, 'что': 4.072602272033691}","вот только что ничего не было, и вот уж он тут.","{'вот': 1.8242521286010742, 'только': 5.262269496917725, 'что': 2.396042823791504, 'ничего': 9.221779823303223, 'не': 0.32180213928222656, 'было,': 3.8785505294799805, 'и': 2.265009880065918, 'уж': 6.851479530334473, 'он': 3.7069568634033203, 'тут.': 4.61932373046875}",лишь что,"{'лишь': 8.208267211914062, 'что': 4.685518264770508}","вот лишь что ничего не было, и вот уж он тут.","{'вот': 1.9988727569580078, 'лишь': 7.0406999588012695, 'что': 6.168160438537598, 'ничего': 9.068702697753906, 'не': 0.4200601577758789, 'было,': 3.860928535461426, 'и': 2.2181396484375, 'уж': 5.507105827331543, 'он': 3.7293214797973633, 'тут.': 5.539310455322266}"
тут же,"{'тут': 0.0, 'же': 4.650850772857666}","коли ж навідався до делятина, його хтось побачив і тут же здав.","{'коли': 0.0, 'ж': 12.125621795654297, 'навідався': 22.652191162109375, 'до': 5.390922546386719, 'делятина,': 28.667978286743164, 'його': 7.853303909301758, 'хтось': 6.99603271484375, 'побачив': 6.431129455566406, 'і': 2.142976760864258, 'тут': 6.585339546203613, 'же': 1.2684211730957031, 'здав.': 11.956501960754395}",тут же,"{'тут': 0.0, 'же': 4.650850772857666}","когда же наведался в делятин, его кто-то увидел и тут же сдал.","{'когда': 0.0, 'же': 0.028680801391601562, 'наведался': 14.904507637023926, 'в': 2.0943145751953125, 'делятин,': 27.798381805419922, 'его': 5.0611724853515625, 'кто-то': 7.167144298553467, 'увидел': 5.048160552978516, 'и': 1.4353609085083008, 'тут': 4.7012834548950195, 'сдал.': 5.651309013366699}",тут как,"{'тут': 0.0, 'как': 5.2407426834106445}","когда же наведался в делятин, его кто-то увидел и тут как сдал.","{'когда': 0.0, 'же': 5.4506707191467285, 'наведался': 14.904507637023926, 'в': 2.0943145751953125, 'делятин,': 27.798381805419922, 'его': 5.0611724853515625, 'кто-то': 7.167144298553467, 'увидел': 5.048160552978516, 'и': 1.4353609085083008, 'тут': 4.7012834548950195, 'как': 7.320159912109375, 'сдал.': 13.401895523071289}"
до сих пір,"{'до': 0.0, 'сих': 6.575293064117432, 'пір': 17.67286968231201}","цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.","{'цивілізований': 21.06143045425415, 'світ': 5.479038238525391, 'до': 4.171444892883301, 'сих': 7.607265949249268, 'пір': 4.686805725097656, 'не': 6.329476356506348, 'знає': 3.5354862213134766, 'те': 8.032364845275879, 'що': 3.5905818939208984, 'літератури': 11.4627046585083, 'української,': 8.570053100585938, 'а': 0.7284889221191406, 'й': 2.8744068145751953, 'взагалі': 8.135558128356934, 'такої': 7.66485595703125, 'країни,': 5.974185943603516, 'такого': 8.665105819702148, 'народу.': 7.933191299438477}",до сих пор,"{'до': 0.0, 'сих': 6.575293064117432, 'пор': 0.015102386474609375}","цивилизованный мир до сих пор не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 11.210358619689941, 'мир': 1.3004817962646484, 'до': 6.068802833557129, 'сих': 0.9650945663452148, 'пор': 0.009250640869140625, 'не': 7.974224090576172, 'знает': 2.0817794799804688, 'то': 1.8191204071044922, 'что': 0.2242145538330078, 'литературы': 9.842170715332031, 'украинской,': 11.340344429016113, 'а': 1.6496505737304688, 'и': 2.078719139099121, 'вообще': 2.183675765991211, 'такой': 5.916669845581055, 'страны,': 2.114713668823242, 'такого': 9.163997650146484, 'народа.': 2.340972900390625}",до той поры,"{'до': 0.0, 'той': 8.958565711975098, 'поры': 1.4687604904174805}","цивилизованный мир до той поры не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 11.210358619689941, 'мир': 1.3004817962646484, 'до': 6.068802833557129, 'той': 6.089470863342285, 'поры': 0.11867523193359375, 'не': 6.918907165527344, 'знает': 4.242729187011719, 'то': 2.047098159790039, 'что': 0.25586891174316406, 'литературы': 9.096198081970215, 'украинской,': 12.735330581665039, 'а': 1.8399410247802734, 'и': 1.9521293640136719, 'вообще': 2.2256107330322266, 'такой': 5.502767562866211, 'страны,': 2.5238285064697266, 'такого': 8.661149024963379, 'народа.': 2.394886016845703}"
у відповідь,"{'у': 0.0, 'відповідь': 19.20649814605713}","респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.","{'респондент': 0.0, 'у': 7.525209426879883, 'відповідь': 15.976836204528809, 'на': 2.182924270629883, 'це': 6.633335113525391, 'поцікавився,': 21.33665180206299, 'чи': 6.524103164672852, 'не': 3.1187801361083984, ""з'являється"": 9.787833213806152, 'іноді': 11.129369735717773, 'над': 6.930747032165527, 'його': 7.375890731811523, 'зеленими': 17.53633975982666, 'столами': 8.661508560180664, 'привид': 13.824905395507812, 'композитора': 21.176111221313477, 'вагнера.': 13.003060340881348}",в ответ,"{'в': 0.0, 'ответ': 8.192546844482422}","респондент в ответ на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 0.0, 'в': 5.255119323730469, 'ответ': 4.808266639709473, 'на': 1.0352087020874023, 'это': 1.6577558517456055, 'поинтересовался,': 7.008425712585449, 'не': 2.154473304748535, 'появляется': 10.638916015625, 'ли': 0.001800537109375, 'иногда': 7.660017967224121, 'над': 7.332369327545166, 'его': 3.7136154174804688, 'зелеными': 12.493690490722656, 'столами': 8.07981014251709, 'дух': 6.617777347564697, 'композитора': 8.457717895507812, 'вагнера.': 14.068679809570312}",в отповедь,"{'в': 0.0, 'отповедь': 15.153423309326172}","респондент в отповедь на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 0.0, 'в': 5.255119323730469, 'отповедь': 19.341596603393555, 'на': 4.586662292480469, 'это': 4.400814056396484, 'поинтересовался,': 10.737247467041016, 'не': 2.4886369705200195, 'появляется': 11.02945613861084, 'ли': 0.00556182861328125, 'иногда': 7.64487886428833, 'над': 7.294771671295166, 'его': 3.869021415710449, 'зелеными': 12.544654846191406, 'столами': 8.150712966918945, 'дух': 5.9589996337890625, 'композитора': 8.637065887451172, 'вагнера.': 14.147161483764648}"
убік,{'убік': 13.57138729095459},"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.","{'автомат': 3.4447031021118164, 'полетів': 18.74687957763672, 'далеко': 11.908744812011719, 'убік,': 16.25107479095459, '«корінь»': 19.774067878723145, 'в': 2.1714954376220703, 'паніці': 16.123435020446777, 'кинувся': 12.61060619354248, 'хащі.': 19.802173614501953}",в сторону,"{'в': 0.0, 'сторону': 7.8770246505737305}","автомат полетел далеко в сторону, ""корень"" в панике метнулся в чащу.","{'автомат': 3.4447031021118164, 'полетел': 10.094169616699219, 'далеко': 7.245782852172852, 'в': 1.437784194946289, 'сторону,': 1.5604190826416016, '""корень""': 20.132936477661133, 'панике': 6.487812042236328, 'метнулся': 3.1633100509643555, 'чащу.': 7.19216251373291}",в бок,"{'в': 0.0, 'бок': 11.33884048461914}","автомат полетел далеко в бок, ""корень"" в панике метнулся в чащу.","{'автомат': 3.4447031021118164, 'полетел': 10.094169616699219, 'далеко': 7.245782852172852, 'в': 1.4027938842773438, 'бок,': 7.176579475402832, '""корень""': 20.006855964660645, 'панике': 7.247165679931641, 'метнулся': 3.230022430419922, 'чащу.': 7.736001014709473}"
на себе,"{'на': 0.0, 'себе': 8.011209487915039}","всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…","{'всі': 12.193591117858887, 'хочуть': 9.802019119262695, 'командувати,': 14.056416511535645, 'але': 2.0053157806396484, 'ніхто': 5.543159484863281, 'не': 0.6274604797363281, 'хоче': 2.413013458251953, 'звалити': 16.342936515808105, 'на': 3.189878463745117, 'себе': 4.723012924194336, 'відповідальність…': 10.48094654083252}",на себя,"{'на': 0.0, 'себя': 8.103596687316895}","все хотят командовать, но никто не хочет взвалить на себя ответственность…","{'все': 0.0, 'хотят': 9.037899017333984, 'командовать,': 10.531611442565918, 'но': 1.5548582077026367, 'никто': 2.474040985107422, 'не': 0.18938446044921875, 'хочет': 0.6218357086181641, 'взвалить': 12.367854118347168, 'на': 0.3469066619873047, 'себя': 0.2430248260498047, 'ответственность…': 5.397687911987305}",на себе,"{'на': 0.0, 'себе': 8.011209487915039}","все хотят командовать, но никто не хочет взвалить на себе ответственность…","{'все': 0.0, 'хотят': 9.037899017333984, 'командовать,': 10.531611442565918, 'но': 1.5548582077026367, 'никто': 2.474040985107422, 'не': 0.18938446044921875, 'хочет': 0.6218357086181641, 'взвалить': 12.367854118347168, 'на': 0.3469066619873047, 'себе': 6.168089866638184, 'ответственность…': 6.015556335449219}"
по сутi,"{'по': 0.0, 'сутi': 20.888933181762695}","по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.","{'по': 0.0, 'сутi,': 23.766799926757812, 'партія': 15.94058895111084, 'більшовиків': 13.841424942016602, 'брала': 8.325654029846191, 'на': 2.9606056213378906, 'озброєння': 9.339445114135742, 'есерівську': 19.001728057861328, 'аграрну': 13.044903755187988, 'програму.': 6.289820671081543}",по существу,"{'по': 0.0, 'существу': 7.9259796142578125}","по существу, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 0.0, 'существу,': 9.619757652282715, 'партия': 9.748437881469727, 'большевиков': 4.418591499328613, 'брала': 7.7946929931640625, 'на': 1.062636375427246, 'вооружение': 3.20074462890625, 'эсеровскую': 6.796424865722656, 'аграрную': 7.732419013977051, 'программу.': 1.7624645233154297}",по суткам,"{'по': 0.0, 'суткам': 11.978612899780273}","по суткам, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 0.0, 'суткам,': 14.215380668640137, 'партия': 11.074464797973633, 'большевиков': 5.257373809814453, 'брала': 6.682477951049805, 'на': 2.6366186141967773, 'вооружение': 3.341907501220703, 'эсеровскую': 7.465926170349121, 'аграрную': 8.220705032348633, 'программу.': 1.8734893798828125}"
ціле життя,"{'ціле': 6.835042953491211, 'життя': 7.109157562255859}","у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.","{'у': 0.0, 'якихсь': 17.888511180877686, 'мемуарах': 11.732247352600098, 'раневської': 24.294203281402588, 'я': 7.430554389953613, 'прочитала,': 18.948972702026367, 'що': 2.113147735595703, 'вона': 3.56903076171875, 'ціле': 13.66162395477295, 'життя': 7.546324729919434, 'любила': 5.82895565032959, 'пушкіна.': 23.834688186645508}",всю жизнь,"{'всю': 8.430729866027832, 'жизнь': 1.4657611846923828}","в каких-то мемуарах раневской я вычитала, что она всю жизнь любила пушкина.","{'в': 0.0, 'каких-то': 12.915974617004395, 'мемуарах': 8.392537117004395, 'раневской': 20.3402681350708, 'я': 3.3143177032470703, 'вычитала,': 6.1994733810424805, 'что': 0.06982803344726562, 'она': 2.317750930786133, 'всю': 5.2979230880737305, 'жизнь': 0.3834571838378906, 'любила': 4.137388229370117, 'пушкина.': 18.100502014160156}",целая жизнь,"{'целая': 4.8222150802612305, 'жизнь': 5.421131134033203}","в каких-то мемуарах раневской я вычитала, что она целая жизнь любила пушкина.","{'в': 0.0, 'каких-то': 12.915974617004395, 'мемуарах': 8.392537117004395, 'раневской': 20.3402681350708, 'я': 3.3143177032470703, 'вычитала,': 6.1994733810424805, 'что': 0.06982803344726562, 'она': 2.317750930786133, 'целая': 12.616920471191406, 'жизнь': 3.436483383178711, 'любила': 6.377143859863281, 'пушкина.': 16.96023654937744}"
в результаті,"{'в': 0.0, 'результаті': 21.12857151031494}","у 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений парагвай, який раніше називався гігантською провінцією індійців.","{'у': 0.0, '16': 10.238965034484863, 'столітті': 24.20017433166504, 'в': 2.9782581329345703, 'результаті': 7.8454790115356445, 'зіткнень': 13.713140487670898, 'іспанських': 13.051403045654297, 'завойовників': 21.835195541381836, 'з': 1.836212158203125, 'групами': 8.092696189880371, 'корінних': 14.349140167236328, 'народів': 6.583156585693359, 'був': 8.07513427734375, 'створений': 5.319387435913086, 'парагвай,': 17.96979522705078, 'який': 2.534234046936035, 'раніше': 8.039449691772461, 'називався': 8.268835067749023, 'гігантською': 19.904086112976074, 'провінцією': 10.071721076965332, 'індійців.': 17.301904678344727}",в результате,"{'в': 0.0, 'результате': 7.627569198608398}","в xvi веке парагвай, который до этого называли огромной провинцией ост-индии, возник в результате столкновения испанских завоевателей с местными группами коренного населения.","{'в': 1.2909812927246094, 'xvi': 16.803329467773438, 'веке': 6.090331077575684, 'парагвай,': 19.07466983795166, 'который': 4.110559463500977, 'до': 4.429588317871094, 'этого': 1.7131719589233398, 'называли': 6.023780822753906, 'огромной': 9.331050872802734, 'провинцией': 4.474804878234863, 'ост-индии,': 22.9168758392334, 'возник': 7.138675689697266, 'результате': 0.7599449157714844, 'столкновения': 3.484747886657715, 'испанских': 5.577840805053711, 'завоевателей': 2.702204704284668, 'с': 0.39724159240722656, 'местными': 1.8329753875732422, 'группами': 7.535268783569336, 'коренного': 4.603219985961914, 'населения.': 0.5609264373779297}",в выводе,"{'в': 0.0, 'выводе': 10.69412899017334}","в xvi веке парагвай, который до этого называли огромной провинцией ост-индии, возник в выводе столкновения испанских завоевателей с местными группами коренного населения.","{'в': 1.2909812927246094, 'xvi': 16.803329467773438, 'веке': 6.090331077575684, 'парагвай,': 19.07466983795166, 'который': 4.110559463500977, 'до': 4.429588317871094, 'этого': 1.7131719589233398, 'называли': 6.023780822753906, 'огромной': 9.331050872802734, 'провинцией': 4.474804878234863, 'ост-индии,': 22.9168758392334, 'возник': 7.138675689697266, 'выводе': 16.667662620544434, 'столкновения': 12.364579200744629, 'испанских': 6.016574859619141, 'завоевателей': 3.2634735107421875, 'с': 0.5000762939453125, 'местными': 1.8026504516601562, 'группами': 7.272279739379883, 'коренного': 4.532199859619141, 'населения.': 0.6461944580078125}"
на світі,"{'на': 0.0, 'світі': 13.777743339538574}","перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.","{'перед': 0.0, 'сном': 7.991204738616943, 'вона': 14.667983055114746, ""обов'язково"": 21.662899017333984, 'читала': 8.085840225219727, 'йому': 11.520523071289062, 'вголос,': 15.5752534866333, 'потім': 8.776473045349121, 'вони': 8.994202613830566, 'розмовляли': 6.968652725219727, 'про': 2.0715551376342773, 'все': 5.862508773803711, 'на': 2.225064277648926, 'світі,': 4.507770538330078, 'поки': 6.467020034790039, 'останні': 9.960309028625488, 'слова': 5.208931922912598, 'не': 3.0331649780273438, 'поринали': 16.121835708618164, 'в': 4.77955436706543, 'сон.': 8.210216522216797}",на свете,"{'на': 0.0, 'свете': 10.170262336730957}","перед сном она обязательно читала ему вслух, потом они разговаривали обо всем на свете, пока последние слова не ныряли в сон.","{'перед': 0.0, 'сном': 7.991204738616943, 'она': 3.9118432998657227, 'обязательно': 6.419893264770508, 'читала': 4.209184646606445, 'ему': 2.6701745986938477, 'вслух,': 2.8541030883789062, 'потом': 4.965150833129883, 'они': 2.941080093383789, 'разговаривали': 4.128025054931641, 'обо': 4.338305473327637, 'всем': 0.17055511474609375, 'на': 0.3893852233886719, 'свете,': 0.8236713409423828, 'пока': 3.865406036376953, 'последние': 8.764290809631348, 'слова': 5.300511360168457, 'не': 1.734187126159668, 'ныряли': 15.19578742980957, 'в': 0.2608375549316406, 'сон.': 1.9469366073608398}",на мире,"{'на': 0.0, 'мире': 11.13608169555664}","перед сном она обязательно читала ему вслух, потом они разговаривали обо всем на мире, пока последние слова не ныряли в сон.","{'перед': 0.0, 'сном': 7.991204738616943, 'она': 3.9118432998657227, 'обязательно': 6.419893264770508, 'читала': 4.209184646606445, 'ему': 2.6701745986938477, 'вслух,': 2.8541030883789062, 'потом': 4.965150833129883, 'они': 2.941080093383789, 'разговаривали': 4.128025054931641, 'обо': 4.338305473327637, 'всем': 0.17055511474609375, 'на': 0.3893852233886719, 'мире,': 16.041625022888184, 'пока': 4.441825866699219, 'последние': 8.679069519042969, 'слова': 4.959207534790039, 'не': 1.5817108154296875, 'ныряли': 14.985487937927246, 'в': 0.27726173400878906, 'сон.': 2.1006717681884766}"
хіба що,"{'хіба': 15.78788948059082, 'що': 5.898902893066406}","хіба що «варену» (цей давній напій українців називали ще варенухою, варьохою).","{'хіба': 15.787890434265137, 'що': 5.898903846740723, '«варену»': 22.22034740447998, '(цей': 14.57136344909668, 'давній': 12.74264907836914, 'напій': 13.513029098510742, 'українців': 11.522289276123047, 'називали': 8.084595680236816, 'ще': 8.294118881225586, 'варенухою,': 16.61459445953369, 'варьохою).': 32.68580627441406}",разве что,"{'разве': 5.351574897766113, 'что': 2.0829334259033203}","разве что вареную (этот давний напиток украинцев называли еще варенухой, варехой).","{'разве': 5.351572036743164, 'что': 2.0829334259033203, 'вареную': 12.831587791442871, '(этот': 15.113680839538574, 'давний': 11.25888442993164, 'напиток': 6.089668273925781, 'украинцев': 7.802822113037109, 'называли': 5.3843231201171875, 'еще': 3.196225166320801, 'варенухой,': 9.868924140930176, 'варехой).': 20.891132354736328}",ошибка что,"{'ошибка': 10.611000061035156, 'что': 9.683897972106934}","ошибка что вареную (этот давний напиток украинцев называли еще варенухой, варехой).","{'ошибка': 10.611000061035156, 'что': 9.6838960647583, 'вареную': 14.366579055786133, '(этот': 17.134575843811035, 'давний': 11.444267272949219, 'напиток': 5.470049858093262, 'украинцев': 7.900846481323242, 'называли': 6.909852981567383, 'еще': 3.1221179962158203, 'варенухой,': 10.39370059967041, 'варехой).': 24.39225196838379}"
в тому числі,"{'в': 0.0, 'тому': 9.500348091125488, 'числі': 14.735837936401367}","у результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.","{'у': 0.0, 'результаті': 22.585399627685547, 'два': 4.53376579284668, 'види': 11.825409889221191, 'риб': 13.359410285949707, 'вимерли,': 25.33739185333252, 'а': 1.4241247177124023, 'інших': 5.374301910400391, 'виявилися': 7.316412925720215, 'під': 3.795201301574707, 'загрозою': 6.175950050354004, 'зникнення,': 12.64974308013916, 'в': 3.5684633255004883, 'тому': 2.135035514831543, 'числі': 0.0064868927001953125, '-': 6.523235321044922, 'горбатий': 19.75861930847168, 'головень.': 13.249700546264648}",в том числе,"{'в': 0.0, 'том': 6.044155597686768, 'числе': 0.1317615509033203}","это привело к тому, что два вида рыб вымерли, а два других, в том числе горбатый голавль, попали под угрозу исчезновения.","{'это': 0.0, 'привело': 9.513668060302734, 'к': 0.6388053894042969, 'тому,': 1.489400863647461, 'что': 0.010210037231445312, 'два': 3.769537925720215, 'вида': 5.821227073669434, 'рыб': 5.026756286621094, 'вымерли,': 6.962010383605957, 'а': 1.0460643768310547, 'других,': 3.903226852416992, 'в': 2.945063591003418, 'том': 0.8123016357421875, 'числе': 0.00492095947265625, 'горбатый': 9.883951187133789, 'голавль,': 8.754746437072754, 'попали': 4.419668197631836, 'под': 1.8370075225830078, 'угрозу': 3.743952751159668, 'исчезновения.': 0.6949043273925781}",в то число,"{'в': 0.0, 'то': 6.357341766357422, 'число': 8.30542278289795}","это привело к тому, что два вида рыб вымерли, а два других, в то число горбатый голавль, попали под угрозу исчезновения.","{'это': 0.0, 'привело': 9.513668060302734, 'к': 0.6388053894042969, 'тому,': 1.489400863647461, 'что': 0.010210037231445312, 'два': 3.769537925720215, 'вида': 5.821227073669434, 'рыб': 5.026756286621094, 'вымерли,': 6.962010383605957, 'а': 1.0460643768310547, 'других,': 3.903226852416992, 'в': 2.945063591003418, 'то': 4.823617935180664, 'число': 6.870506286621094, 'горбатый': 13.82712173461914, 'голавль,': 8.474029541015625, 'попали': 4.67817497253418, 'под': 1.8295555114746094, 'угрозу': 3.82000732421875, 'исчезновения.': 0.7941322326660156}"
