phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
не раз,"{'не': 0.0, 'раз': 6.801150321960449}","не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.","{'не': 0.0, 'раз': 6.801150321960449, 'я': 5.441910743713379, 'бачив,': 18.871219635009766, 'як': 3.5145769119262695, 'вони,': 10.318801879882812, 'поранені': 13.019914627075195, 'стрілою,': 15.594470977783203, 'знаходячись': 21.496440887451172, 'далеко': 10.098610877990723, 'від': 2.4420528411865234, 'хірургів,': 15.87125301361084, ""перев'язували"": 21.516257286071777, 'себе,': 10.320660591125488, 'заліпивши': 16.48955249786377, 'рану': 9.994853973388672, 'жменею': 21.541869163513184, 'землі,': 9.577811241149902, 'змішаною': 17.773698806762695, 'на': 2.401082992553711, 'долоні': 13.086772918701172, 'з': 3.797771453857422, 'порцією': 15.312135696411133, 'власної': 10.99637508392334, 'слини.': 15.373838424682617}",не раз,"{'не': 0.0, 'раз': 6.801150321960449}","не раз я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 0.0, 'раз': 6.801150321960449, 'я': 5.441910743713379, 'видел,': 4.385629653930664, 'как': 0.16990280151367188, 'они,': 6.8000898361206055, 'раненые': 9.860490798950195, 'стрелой,': 10.490225791931152, 'находясь': 10.13618278503418, 'далеко': 5.413642883300781, 'от': 0.550384521484375, 'хирургов,': 13.900069236755371, 'перевязывали': 8.805244445800781, 'себя,': 5.966569900512695, 'залепив': 11.647403717041016, 'рану': 2.48516845703125, 'горстью': 12.427538871765137, 'земли,': 5.265816688537598, 'смешанной': 7.803129196166992, 'на': 7.409547805786133, 'ладони': 5.509660720825195, 'с': 2.8943328857421875, 'порцией': 13.396293640136719, 'собственной': 5.824485778808594, 'слюны.': 5.082698822021484}",не однажды,"{'не': 0.0, 'однажды': 9.793134689331055}","не однажды я видел, как они, раненые стрелой, находясь далеко от хирургов, перевязывали себя, залепив рану горстью земли, смешанной на ладони с порцией собственной слюны.","{'не': 0.0, 'однажды': 9.793134689331055, 'я': 4.808537483215332, 'видел,': 4.614477157592773, 'как': 0.14070892333984375, 'они,': 7.150629997253418, 'раненые': 9.753658294677734, 'стрелой,': 10.048637390136719, 'находясь': 10.331659317016602, 'далеко': 5.502357482910156, 'от': 0.5707454681396484, 'хирургов,': 13.744712829589844, 'перевязывали': 8.827980995178223, 'себя,': 6.177268981933594, 'залепив': 11.517507553100586, 'рану': 2.487706184387207, 'горстью': 12.354402542114258, 'земли,': 5.302984237670898, 'смешанной': 7.61122989654541, 'на': 7.463743209838867, 'ладони': 5.515999794006348, 'с': 2.8639793395996094, 'порцией': 13.5302095413208, 'собственной': 5.806159973144531, 'слюны.': 5.073846817016602}"
все одно,"{'все': 0.0, 'одно': 7.55635929107666}","їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.","{'їх,': 6.593105316162109, 'хоч': 10.122383117675781, 'як': 5.546241760253906, 'тасуй,': 23.125211715698242, 'у': 4.53691291809082, 'цій': 7.435110092163086, 'засаленій': 17.169758319854736, 'колоді': 13.384058952331543, 'все': 6.508875846862793, 'одно': 5.823387145996094, 'жодної': 15.866399765014648, 'пристойної': 15.909800052642822, 'карти': 7.33442497253418, 'не': 6.580578804016113, 'витягнеш.': 20.904939651489258}",все равно,"{'все': 0.0, 'равно': 4.010804176330566}","их, как ни тасуй, в этой засаленной колоде все равно никакой пристойной карты не вытянешь.","{'их,': 3.6612086296081543, 'как': 3.893183708190918, 'ни': 5.088318824768066, 'тасуй,': 16.299607276916504, 'в': 4.18629264831543, 'этой': 5.486421585083008, 'засаленной': 12.804121971130371, 'колоде': 7.424822807312012, 'все': 3.8195676803588867, 'равно': 0.6648387908935547, 'никакой': 8.410388946533203, 'пристойной': 12.864645957946777, 'карты': 2.893381118774414, 'не': 0.6484661102294922, 'вытянешь.': 5.184152603149414}",все одно,"{'все': 0.0, 'одно': 7.55635929107666}","их, как ни тасуй, в этой засаленной колоде все одно никакой пристойной карты не вытянешь.","{'их,': 3.6612086296081543, 'как': 3.893183708190918, 'ни': 5.088318824768066, 'тасуй,': 16.299607276916504, 'в': 4.18629264831543, 'этой': 5.486421585083008, 'засаленной': 12.804121971130371, 'колоде': 7.424822807312012, 'все': 3.8195676803588867, 'одно': 5.186582565307617, 'никакой': 9.936347961425781, 'пристойной': 12.291023254394531, 'карты': 3.5295276641845703, 'не': 0.8075494766235352, 'вытянешь.': 5.112171173095703}"
тільки шо,"{'тільки': 13.130966186523438, 'шо': 10.810686111450195}","от тільки шо нікого не було, аж осьдечки й він, де не взявся.","{'от': 0.0, 'тільки': 17.580114364624023, 'шо': 9.573492050170898, 'нікого': 9.755367279052734, 'не': 2.9090471267700195, 'було,': 4.621796607971191, 'аж': 7.143865585327148, 'осьдечки': 22.031144618988037, 'й': 4.235973358154297, 'він,': 11.433302879333496, 'де': 5.525287628173828, 'взявся.': 14.826193809509277}",только что,"{'только': 0.0, 'что': 3.376710891723633}","вот только что ничего не было, и вот уж он тут.","{'вот': 3.2333526611328125, 'только': 5.082761764526367, 'что': 3.116098403930664, 'ничего': 9.305158615112305, 'не': 0.47421836853027344, 'было,': 3.952488899230957, 'и': 2.3082199096679688, 'уж': 5.782196998596191, 'он': 5.023502349853516, 'тут.': 6.7258806228637695}",лишь что,"{'лишь': 6.685610771179199, 'что': 5.344112396240234}","вот лишь что ничего не было, и вот уж он тут.","{'вот': 3.4352426528930664, 'лишь': 7.310033798217773, 'что': 5.743351936340332, 'ничего': 8.38696575164795, 'не': 0.7272319793701172, 'было,': 4.692600250244141, 'и': 2.3925886154174805, 'уж': 5.085103988647461, 'он': 4.311575889587402, 'тут.': 7.236211776733398}"
тут же,"{'тут': 0.0, 'же': 3.7622623443603516}","коли ж навідався до делятина, його хтось побачив і тут же здав.","{'коли': 0.0, 'ж': 11.398743629455566, 'навідався': 26.79763889312744, 'до': 5.253822326660156, 'делятина,': 22.873419761657715, 'його': 6.433010101318359, 'хтось': 10.066336631774902, 'побачив': 6.211185455322266, 'і': 3.780400276184082, 'тут': 6.012679100036621, 'же': 3.030148506164551, 'здав.': 11.813807487487793}",тут же,"{'тут': 0.0, 'же': 3.7622623443603516}","когда же наведался в делятин, его кто-то увидел и тут же сдал.","{'когда': 0.0, 'же': 0.04221916198730469, 'наведался': 14.346067428588867, 'в': 2.277632713317871, 'делятин,': 25.029062271118164, 'его': 5.609847068786621, 'кто-то': 7.559969425201416, 'увидел': 5.281034469604492, 'и': 1.348343849182129, 'тут': 4.935929298400879, 'сдал.': 10.416606903076172}",тут как,"{'тут': 0.0, 'как': 4.858605861663818}","когда же наведался в делятин, его кто-то увидел и тут как сдал.","{'когда': 0.0, 'же': 5.509941101074219, 'наведался': 14.346067428588867, 'в': 2.277632713317871, 'делятин,': 25.029062271118164, 'его': 5.609847068786621, 'кто-то': 7.559969425201416, 'увидел': 5.281034469604492, 'и': 1.348343849182129, 'тут': 4.935929298400879, 'как': 6.055891036987305, 'сдал.': 14.952733039855957}"
до сих пір,"{'до': 0.0, 'сих': 6.228787422180176, 'пір': 19.27108383178711}","цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.","{'цивілізований': 24.5125732421875, 'світ': 7.215550422668457, 'до': 5.886019706726074, 'сих': 8.790493965148926, 'пір': 8.87980842590332, 'не': 5.887124061584473, 'знає': 4.673718452453613, 'те': 6.3150739669799805, 'що': 2.683828353881836, 'літератури': 10.623833656311035, 'української,': 15.069355487823486, 'а': 1.465245246887207, 'й': 4.701584815979004, 'взагалі': 8.964073181152344, 'такої': 9.513583183288574, 'країни,': 6.797581672668457, 'такого': 9.561186790466309, 'народу.': 9.638472557067871}",до сих пор,"{'до': 0.0, 'сих': 6.228787422180176, 'пор': 0.009874343872070312}","цивилизованный мир до сих пор не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 10.427319526672363, 'мир': 1.5321741104125977, 'до': 6.964077949523926, 'сих': 1.0958366394042969, 'пор': 0.0045623779296875, 'не': 7.207566261291504, 'знает': 2.8326778411865234, 'то': 2.8064088821411133, 'что': 0.6850776672363281, 'литературы': 8.481189727783203, 'украинской,': 10.785350799560547, 'а': 1.1722793579101562, 'и': 2.277738571166992, 'вообще': 1.7586650848388672, 'такой': 6.11491584777832, 'страны,': 5.394157409667969, 'такого': 9.223359107971191, 'народа.': 3.531169891357422}",до той поры,"{'до': 0.0, 'той': 8.812868118286133, 'поры': 3.062361717224121}","цивилизованный мир до той поры не знает не то что литературы украинской, а и вообще такой страны, такого народа.","{'цивилизованный': 10.427319526672363, 'мир': 1.5321741104125977, 'до': 6.964077949523926, 'той': 6.034097671508789, 'поры': 0.14363670349121094, 'не': 6.757739543914795, 'знает': 4.270282745361328, 'то': 2.6132469177246094, 'что': 0.5421257019042969, 'литературы': 7.482339859008789, 'украинской,': 10.917136192321777, 'а': 1.2206344604492188, 'и': 2.315995216369629, 'вообще': 1.4015111923217773, 'такой': 6.141901016235352, 'страны,': 5.651094436645508, 'такого': 9.137381553649902, 'народа.': 3.5202598571777344}"
у відповідь,"{'у': 0.0, 'відповідь': 17.32371234893799}","респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.","{'респондент': 0.0, 'у': 7.651747703552246, 'відповідь': 14.796472549438477, 'на': 1.855830192565918, 'це': 6.800590515136719, 'поцікавився,': 25.68160581588745, 'чи': 7.054757118225098, 'не': 3.1094350814819336, ""з'являється"": 11.894681930541992, 'іноді': 13.115373134613037, 'над': 10.279220581054688, 'його': 6.297962188720703, 'зеленими': 18.250551223754883, 'столами': 9.44030475616455, 'привид': 15.282597541809082, 'композитора': 19.185726165771484, 'вагнера.': 13.82158088684082}",в ответ,"{'в': 0.0, 'ответ': 7.455052375793457}","респондент в ответ на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 0.0, 'в': 4.57427978515625, 'ответ': 6.02751350402832, 'на': 1.0714550018310547, 'это': 2.4120893478393555, 'поинтересовался,': 6.521123886108398, 'не': 2.5519847869873047, 'появляется': 9.751585006713867, 'ли': 0.0030460357666015625, 'иногда': 8.973020553588867, 'над': 7.460447311401367, 'его': 3.4609804153442383, 'зелеными': 11.026012420654297, 'столами': 8.290002822875977, 'дух': 8.040307998657227, 'композитора': 10.210336685180664, 'вагнера.': 17.35416316986084}",в отповедь,"{'в': 0.0, 'отповедь': 16.18720054626465}","респондент в отповедь на это поинтересовался, не появляется ли иногда над его зелеными столами дух композитора вагнера.","{'респондент': 0.0, 'в': 4.57427978515625, 'отповедь': 17.459948539733887, 'на': 4.136919021606445, 'это': 3.7950143814086914, 'поинтересовался,': 10.757081985473633, 'не': 2.8110132217407227, 'появляется': 10.257774353027344, 'ли': 0.005947113037109375, 'иногда': 8.270059585571289, 'над': 7.561924934387207, 'его': 3.603221893310547, 'зелеными': 11.424352645874023, 'столами': 8.272303581237793, 'дух': 7.686225891113281, 'композитора': 10.240119934082031, 'вагнера.': 17.32249927520752}"
убік,{'убік': 11.573844909667969},"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.","{'автомат': 1.6069469451904297, 'полетів': 20.44081211090088, 'далеко': 11.097423553466797, 'убік,': 20.97671127319336, '«корінь»': 26.325583934783936, 'в': 2.3644065856933594, 'паніці': 14.887918472290039, 'кинувся': 15.534671783447266, 'хащі.': 18.15542507171631}",в сторону,"{'в': 0.0, 'сторону': 7.239398002624512}","автомат полетел далеко в сторону, ""корень"" в панике метнулся в чащу.","{'автомат': 1.6069469451904297, 'полетел': 12.968029975891113, 'далеко': 6.133742332458496, 'в': 1.6014442443847656, 'сторону,': 2.2413387298583984, '""корень""': 20.194580078125, 'панике': 5.875388145446777, 'метнулся': 3.893838882446289, 'чащу.': 9.2421875}",в бок,"{'в': 0.0, 'бок': 9.820609092712402}","автомат полетел далеко в бок, ""корень"" в панике метнулся в чащу.","{'автомат': 1.6069469451904297, 'полетел': 12.968029975891113, 'далеко': 6.133742332458496, 'в': 1.4879379272460938, 'бок,': 8.885344505310059, '""корень""': 19.45635461807251, 'панике': 6.178412437438965, 'метнулся': 3.905303955078125, 'чащу.': 9.71083927154541}"
на себе,"{'на': 0.0, 'себе': 7.703919887542725}","всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…","{'всі': 11.437283515930176, 'хочуть': 11.157438278198242, 'командувати,': 14.032987594604492, 'але': 3.1532840728759766, 'ніхто': 6.224970817565918, 'не': 0.5398483276367188, 'хоче': 4.575788497924805, 'звалити': 18.826494216918945, 'на': 3.7889137268066406, 'себе': 3.9151344299316406, 'відповідальність…': 14.111032485961914}",на себя,"{'на': 0.0, 'себя': 6.978935718536377}","все хотят командовать, но никто не хочет взвалить на себя ответственность…","{'все': 0.0, 'хотят': 7.004577159881592, 'командовать,': 10.410115242004395, 'но': 2.03841495513916, 'никто': 3.8282155990600586, 'не': 0.46341896057128906, 'хочет': 0.8204383850097656, 'взвалить': 9.678933143615723, 'на': 0.2060699462890625, 'себя': 0.5238246917724609, 'ответственность…': 7.686126708984375}",на себе,"{'на': 0.0, 'себе': 7.703919887542725}","все хотят командовать, но никто не хочет взвалить на себе ответственность…","{'все': 0.0, 'хотят': 7.004577159881592, 'командовать,': 10.410115242004395, 'но': 2.03841495513916, 'никто': 3.8282155990600586, 'не': 0.46341896057128906, 'хочет': 0.8204383850097656, 'взвалить': 9.678933143615723, 'на': 0.2060699462890625, 'себе': 7.408058166503906, 'ответственность…': 8.172792434692383}"
по сутi,"{'по': 0.0, 'сутi': 22.00980281829834}","по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.","{'по': 0.0, 'сутi,': 24.432308197021484, 'партія': 15.236530303955078, 'більшовиків': 18.892760753631592, 'брала': 11.564083099365234, 'на': 2.8090429306030273, 'озброєння': 11.582292556762695, 'есерівську': 26.925387382507324, 'аграрну': 12.877815246582031, 'програму.': 8.145123481750488}",по существу,"{'по': 0.0, 'существу': 8.2483491897583}","по существу, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 0.0, 'существу,': 9.266414642333984, 'партия': 9.415438652038574, 'большевиков': 4.618965148925781, 'брала': 9.294172286987305, 'на': 1.3533620834350586, 'вооружение': 2.969533920288086, 'эсеровскую': 8.967546939849854, 'аграрную': 6.200736999511719, 'программу.': 2.17047119140625}",по суткам,"{'по': 0.0, 'суткам': 13.50168514251709}","по суткам, партия большевиков брала на вооружение эсеровскую аграрную программу.","{'по': 0.0, 'суткам,': 15.0271635055542, 'партия': 10.912742614746094, 'большевиков': 5.722092628479004, 'брала': 7.905549049377441, 'на': 1.9402656555175781, 'вооружение': 2.2439374923706055, 'эсеровскую': 9.543790817260742, 'аграрную': 6.586430549621582, 'программу.': 1.925344467163086}"
ціле життя,"{'ціле': 6.699350357055664, 'життя': 9.21245002746582}","у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.","{'у': 0.0, 'якихсь': 22.570139408111572, 'мемуарах': 11.592185974121094, 'раневської': 26.737107753753662, 'я': 6.75765323638916, 'прочитала,': 16.630614280700684, 'що': 0.7432899475097656, 'вона': 5.615318298339844, 'ціле': 12.289559364318848, 'життя': 6.318456649780273, 'любила': 10.81688117980957, 'пушкіна.': 23.22663640975952}",всю жизнь,"{'всю': 8.38951301574707, 'жизнь': 1.9150753021240234}","в каких-то мемуарах раневской я вычитала, что она всю жизнь любила пушкина.","{'в': 0.0, 'каких-то': 10.404165267944336, 'мемуарах': 9.265039443969727, 'раневской': 22.03919792175293, 'я': 7.106442451477051, 'вычитала,': 10.442341804504395, 'что': 0.05476570129394531, 'она': 3.60650634765625, 'всю': 6.124772071838379, 'жизнь': 0.9547138214111328, 'любила': 5.066679000854492, 'пушкина.': 13.80399227142334}",целая жизнь,"{'целая': 4.160152435302734, 'жизнь': 4.912179946899414}","в каких-то мемуарах раневской я вычитала, что она целая жизнь любила пушкина.","{'в': 0.0, 'каких-то': 10.404165267944336, 'мемуарах': 9.265039443969727, 'раневской': 22.03919792175293, 'я': 7.106442451477051, 'вычитала,': 10.442341804504395, 'что': 0.05476570129394531, 'она': 3.60650634765625, 'целая': 11.533411026000977, 'жизнь': 4.401090621948242, 'любила': 7.038658142089844, 'пушкина.': 13.558488845825195}"
