correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
а то и,а то і,"Яна не верыць мне і думае, што яе пакараюць не так, як мяне, а то і апраўдаюць: Яна ж баранілася.",7.588235294117647,0.37941176470588234
в виде,у выглядзе,"На ўсей тэрыторыі зімовыя, а ў Арктыцы і летнія ападкі выпадаюць у выглядзе снегу.",9.482758620689655,0.6773399014778325
в конце,ў канцы,Ен па дыпламатычных каналах дапамагаў картэру разбірацца з рознымі міжнароднымі пытаннямі. У якасці прыкладу можна прывесці нармалізацыю амерыкана-кітайскіх стасункаў прыблізна ў канцы 1970-х гадоў.,9.413793103448276,0.3922413793103448
в ответ,у адказ,"Ступак нешта мармытаў у адказ, што мала разумее сам.",11.3,1.2555555555555555
в результате,у выніку,Сікхізм уяўляе сабой рэлігію што паходзіць з індыйскага субкантынента. Яна зявілася ў 15 стагоддзі ў рэгіене пенджаб у выніку ўзнікнення ў індуізме розных сектанцкіх груп.,11.033333333333333,0.44133333333333336
в силу,ў сілу,Мо ў сілу сваей навуковай інтуіцыі яна не паверыла ў пануючую версію.,8.689655172413794,0.7241379310344828
в сторону,ўбок,"Капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.",10.2,1.1333333333333333
в сущности,у сутнасці,"У сутнасці, ніякага асаблівага працы або небяспекі ў паляванні няма.",9.3,0.93
в том числе,у тым ліку,"Шмат млекакормячых з'явілася на Галапагосах з моманту прыбыцця туды чалавека, у тым ліку коз, коней, кароў, катоў, сабак і пацукоў.",10.5,0.525
все же,усе ж,"І мяне ўразіла, што нават у сельскіх мужыкоў, простых і грубых, з жанчынамі усе ж асаблівыя адносіны.",9.941176470588236,0.5847750865051903
все равно,ўсе роўна,"І колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.",9.290322580645162,0.5806451612903226
всего-навсего,ўсяго толькi,"Гэта было ўжо i не балотца, а ўсяго толькi маленькае акенца каля старога пня.",8.882352941176471,0.6344537815126051
всю жизнь,ўсе жыцце,"Хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.",9.9,0.8250000000000001
да ведь,ды зусім,"Ах, Радзівон Парфіравіч, ды зусім жа ён немаўля, яшчэ і сіротка!",11.529411764705882,1.0481283422459893
да ладно,ды годзе,"ДЫ ГОДЗЕ, Багдан. Ведаю я, што ты скажаш.",10.5,1.3125
до сих пор,да гэтай пары,Да гэтай пары яны мне любоўна кажуць: “Якое гладкае ў цябе і мускулістае цела…”,11.733333333333333,0.838095238095238
едва ли не,ледзьве не,"Аднак у расказах дзядзькі Захары, ледзьве не казачна аддаленых па месцы і часе дзеяння, слухачы лавілі перш за ўсе смешнае.",10.882352941176471,0.5441176470588236
еще и,яшчэ і,"За словам містыфікацыя часта крыецца яшчэ і прымітыўная, ілжывая ды бессэнсоўная авантура.",8.941176470588236,0.7450980392156863
за счет,за кошт,Правасуддзе не можа вяршыцца за кошт новых забойстваў.,8.931034482758621,1.1163793103448276
именно что,іменна што,"Вось іменна, што лепш. I калі мне не скажаш, то адкажаш перад камендантам.",10.5,0.8076923076923077
