correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
а то и,че даже и,"Салов съобщи на Панафидин, че в района на Шикотан мъглата се задържа понякога месец, че даже и повече…",11.041666666666666,0.6134259259259259
в виде,във вид на,"То беше луксозно, от махагон и с бронзова дръжка във вид на сфинкс върху пиедестал.",11.5,0.7666666666666667
в конце,в края на,Първите истински телескопи в Европа обаче са направени в края на 16-ти век.,9.73913043478261,0.7491638795986623
в ответ,в отговор,В отговор Игор само въздъхна.,7.043478260869565,1.4086956521739131
в результате,в резултат,"Парагвай, преди наричан „гигантската провинция на Индия“, е роден през 16-ти век в резултат на срещата на испанските завоеватели с местните групи.",7.043478260869565,0.3201581027667984
в силу,по силата на,По силата на различни причини това е много неудобно.,11.5,1.2777777777777777
в сторону,встрани,Валя побутна шефа встрани.,8.869565217391305,2.217391304347826
в сущности,в същност,"В същност тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",9.666666666666666,0.4603174603174603
в том числе,в това число,"Задържани са от вас наши кораби, в това число и „Малака“, наета за рейс до Япония.",9.4,0.5875
во всяком случае,във всеки случай,Във всеки случай сега съм сам и изоставен.,11.76923076923077,1.4711538461538463
вплоть до,чак до,"Считам, че можем да отстъпваме и по-нататък, чак до Харбин.",9.608695652173912,0.9608695652173912
все же,все пак,Но все пак… моля ви да си спомните накъде хукна другият престъпник.,12.28,1.0233333333333332
все равно,все едно,"Сега му е все едно дъщеря, не-дъщеря.",6.875,0.9821428571428571
всю жизнь,цял живот,Татко цял живот само с Фьодор Михайлович се е занимавал.,8.73913043478261,0.8739130434782609
да ведь,та нали,"Та нали те нямаха нищо, освен него!",11.304347826086957,1.6149068322981368
да ладно,добре де,"Добре де, пошегувах се, имам само едно огледало и то се намира в антрето…",11.48,0.8200000000000001
до сих пор,досега,"Къде изчезна и, защо – и досега е загадка. А бандата му се разпадна – кой накъдето му видят очите.",7.043478260869565,0.3521739130434783
едва ли не,едва ли не,"Той имаше сбръчкано личице, редички бели косици и напрегнат и едва ли не страхлив поглед.",9.8,0.6533333333333334
еще и,още и,Тази операция е скъпа още и заради бащините чувства.,9.64,1.0711111111111111
