correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
а то и,dokonce i,"Ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).",10.529411764705882,0.6193771626297577
в виде,ve formě,"Má právo zničit všechny překážky VE FORMĚ institucí a tradic, jež omezují lidskou svobodu výběru.",11.458333333333334,0.763888888888889
в конце,na konec,Vagony MetroPlus jsou vždy zařazeny na konec vlaku směrem ke Kapskému Městu.,12.24,1.02
в ответ,v odpověď,Byla by uslyšela V ODPOVĚĎ jen další strofu písně.,11.444444444444445,1.271604938271605
в результате,v důsledku,Artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného Herostratem.,12.464285714285714,0.8309523809523809
в силу,v platnost,"Podepsala se roku 1992, ale v platnost vešla v roce 2002.",11.666666666666666,1.0606060606060606
в сторону,na stranu,Lans ukázal na stranu.,11.074074074074074,2.7685185185185186
в сущности,v podstatě,"Jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…",12.631578947368421,0.8421052631578948
в том числе,z toho,"Chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,",12.352941176470589,1.0294117647058825
во всяком случае,v každém případě,V každém případě odneste kotě i misku.,12.368421052631579,1.7669172932330828
вплоть до,až po,Já jsem byla opět v jiném stavu a skoro celé těhotenství až po porod nejmladší dcerky jsem prožila ve strachu.,11.333333333333334,0.5666666666666667
все же,asi spíš,Ale asi spíš v tom lepším: na bezpráví a násilí jsem citlivější.,10.0,0.8333333333333334
все равно,úplně jedno,Který konkrétně? To je přece úplně jedno.,10.666666666666666,1.5238095238095237
всего-навсего,všeho všudy,Mám všeho všudy šestatřicet krejcarů.,8.333333333333334,1.6666666666666667
всю жизнь,celý život,"V Barguzinském národním parku jsme se zase seznámili s paní Irinou Ivanovnou, která ochraně přírody zasvětila prakticky celý život.",12.142857142857142,0.6390977443609023
да ведь,ale vždyť,"Máš pravdu, je nešťastná, ale vždyť to je jen knížka.",10.264705882352942,1.0264705882352942
да ладно,do prčic,"Do prčic, jaká loterie?",10.785714285714286,2.6964285714285716
до сих пор,až dosud,"Až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",12.407407407407407,0.6530214424951266
едва ли не,skoro ještě,Některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám skoro ještě víc než po prvé.,10.071428571428571,0.373015873015873
еще и,a navíc,Ovšem jednu z nejdivnějších – a navíc patřičně zpolitizovanou.,9.758620689655173,1.0842911877394636
за счет,na útraty,"Na útraty vojenského eráru, to se rozumí.",12.166666666666666,1.738095238095238
именно что,přesně tak,"Přesně tak, to je výborná rada. ",10.0,1.6666666666666667
как бы не так,jak by ne,Jak by ne! A oni měli určitě víc možností se bránit!,9.0,0.8181818181818182
как известно,jak je známo,"Jak je známo, bzučet mohou jedině včely.",10.894736842105264,1.556390977443609
как только,co nejrychleji,Co nejrychleji přijdeme.,11.264705882352942,3.754901960784314
между прочим,mezi jiným,"Mezi jiným jsem pozoroval, že dr Kramář bude mít potíže.",11.421052631578947,1.1421052631578947
можно сказать,lze říci,"Lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",13.263157894736842,0.8842105263157894
на свете,na světě,"Neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",11.214285714285714,0.623015873015873
на себя,na sebe,Velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,11.296296296296296,1.0269360269360268
не иначе как,nic jiného než,Není to nic jiného než klamavá reklama.,11.321428571428571,1.6173469387755102
не раз,ne jednou,Konec konců tam skutečně byl a ne jednou.,12.392857142857142,1.5491071428571428
не то что,nejen že,"Nejen že nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.",12.5,1.0416666666666667
недалеко от,nedaleko,"Nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.",12.333333333333334,0.7254901960784315
несмотря на,navzdory tomu,Navzdory tomu o ně mají zákazníci nebývalý zájem.,11.76,1.47
ничего подобного,nic takového,Nic takového zjevně není v plánu.,10.107142857142858,1.6845238095238095
одним словом,krátce řečeno,"Krátce řečeno, jako jeho stájník. A také byste ošetřoval psy.",11.0,1.1
оттого что,proto že,"Já, musím se přiznat, jsem ji nechala u Chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.",12.647058823529411,0.6022408963585434
по его мнению,podle něj,Podle něj je tohle jeden z hlavních důvodů.,13.31578947368421,1.6644736842105263
по окончании,po skončení,"Po skončení práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.",9.875,0.6583333333333333
по поводу,na účet,"Najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat na účet tělesných a duševních vlastností dívky.",12.0,0.6
по слухам,povídalo se,"Povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal. ",11.68421052631579,0.8987854251012146
по существу,v jádru,V jádru byl stejný jako ona.,11.444444444444445,1.9074074074074074
после того как,potom co,"Zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.",12.323529411764707,0.9479638009049774
почти что,kousek od,"Stál kousek od mostu, co dělí Tajland od Kambodže.",10.607142857142858,1.1785714285714286
прежде чем,než dojde,"Potrvá mnoho let, než dojde ke stavbě použitelných fúzních reaktorů.",9.882352941176471,0.9882352941176471
ради Бога,proboha,"Lyšíš? Páni jdou. Proboha, Heleno!",11.055555555555555,2.2111111111111112
разве что,snad jen,Kdo tohle ví? řekl nakladatel. snad jen vítr.,11.441176470588236,1.4301470588235294
рядом с,v blízkosti,Útulný apartmán v blízkosti Mumlavských vodopádů.,10.84,1.8066666666666666
с учетом,s ohledem na,"Pokud by však nesouhlasili, musejí připustit, že o dětech rozhodují rodiče, ale nikoli podle své libosti, nýbrž jedině a výhradně s ohledem na jejich zájem.",11.666666666666666,0.4666666666666666
с целью,za účelem,To vše za účelem násilného uchopení moci.,11.416666666666666,1.630952380952381
