correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
а то и,albo i,Trądem nas zarazić gotów! ALBO I czym gorszym!,9.548387096774194,1.1935483870967742
в виде,w postaci,"Ponieważ strome stoki są w stanie utrzymać jedynie ograniczoną ilość śniegu, jego nadmiar będzie staczał się W POSTACI lawiny.",9.75,0.5131578947368421
в конце,w końcu,"Tę świątynię na szczycie wzgórza wzniesiono W KOŃCU IX wieku, za czasów panowania króla Yasovarmana.",7.6,0.5066666666666666
в ответ,w odpowiedzi,"Zwyczaj nakazywał W ODPOWIEDZI na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",11.478260869565217,0.7652173913043477
в результате,w rezultacie czego,"Kości zostają rzucone, w rezultacie czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",10.434782608695652,0.6956521739130435
в силу,na mocy,"NA MOCY rozejmu i układu, wymuszonego na księciu oławskim Ludwiku, udostępniono im szpital Świętego Świerada.",10.7,0.7133333333333333
в сторону,w bok,"- Nastraszyli mnie - powiedziała, patrząc W BOK.",10.73913043478261,1.3423913043478262
в сущности,w gruncie,"Regułą, a W GRUNCIE rzeczy zasługą przeoryszy było to, że każdy z gości występował z kazaniem lub wykładem dla mniszek.",9.65625,0.4828125
в том числе,w tym,"Turystyka przyrodnicza przyciąga osoby lubiące spędzać czas na łonie natury, podziwiać krajobrazy, w tym dziką roślinność i zwierzęta.",11.03225806451613,0.6129032258064516
во всяком случае,w każdym razie,W KAŻDYM RAZIE na Węgry wywieźć cię nie zdołam.,8.764705882352942,0.9738562091503269
вплоть до,aż do,"Nieboskłon ściemniał AŻ DO głębokiego mroku zimnego kosmosu, weszli na orbitę Ziemi.",8.25,0.6875
все же,więc jednak,"Odróżnia nas... tak..., więc jednak",12.8,2.56
все равно,wszystko jedno,"Zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im WSZYSTKO JEDNO, kogo napadają i grabią, napadali i grabili wszystkich.",11.166666666666666,0.5317460317460317
