correct_translation,source_text_to_be_translated,source_text,user_mcq_translation_time_taken,time_averaged_free_mcq
а то и,а то й,"Виросте й стане ледацюгою, сутяжником, а то й бандюгою.",8.782608695652174,0.9758454106280193
в виде,у формі,"Фактично, всі комп'ютери, якими сьогодні користуються, працюють завдяки обробці інформації, закодованої у формі бінарних чисел.",6.787878787878788,0.45252525252525255
в конце,у кінці,Вагони метроплюс завжди знаходяться у кінці поїзда ближче до Кейптауна.,6.787878787878788,0.6787878787878788
в ответ,у відповідь,"Респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора Вагнера.",9.96551724137931,0.5862068965517241
в результате,в результаті,"У 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений Парагвай, який раніше називався гігантською провінцією індійців.",8.206896551724139,0.39080459770114945
в силу,з огляду на,"Одним словом, ті, кого серед постійних клієнтів не було з огляду на професійну зайнятість.",8.636363636363637,0.6168831168831169
в сторону,убік,"Автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",9.620689655172415,0.9620689655172414
в сущности,в істоті,"Які ж вони всі, в істоті, були більшовики, які нелюди.",9.666666666666666,0.9666666666666666
в том числе,в тому числі,"У результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.",8.26086956521739,0.43478260869565216
во всяком случае,в будь-якому випадку,"Що ж, доживемо до понеділка, хоча і він не обіцяє нам спокою, в будь-якому випадку, в телевізійному просторі.",14.807692307692308,0.8226495726495727
вплоть до,аж до,Лавина голодних смертей наростала з місяця в місяць аж до початку літа.,6.787878787878788,0.5656565656565656
все же,все ж,"І все ж безуспішність спроб реалізувати в масовому масштабі заходи щодо організаційно-господарського зміщення колгоспів, пояснювалася руйнівним впливом продрозкладки.",9.80952380952381,0.544973544973545
все равно,все одно,"Їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",9.133333333333333,0.6088888888888888
всего-навсего,усього-на-всього,"Я тепер усього-на-всього армійський капрал, навчаю селюків, яка нога права, яка — ліва.",10.15,0.7807692307692308
всю жизнь,ціле життя,"У якихсь мемуарах Раневської я прочитала, що вона ціле життя любила Пушкіна.",10.655172413793103,0.8879310344827586
