correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
а то и,а то і,"Яна не верыць мне і думае, што яе пакараюць не так, як мяне, а то і апраўдаюць: Яна ж баранілася.",23.352941176470587,1.1676470588235293
в виде,у выглядзе,"На ўсей тэрыторыі зімовыя, а ў Арктыцы і летнія ападкі выпадаюць у выглядзе снегу.",27.724137931034484,1.980295566502463
в конце,ў канцы,Ен па дыпламатычных каналах дапамагаў картэру разбірацца з рознымі міжнароднымі пытаннямі. У якасці прыкладу можна прывесці нармалізацыю амерыкана-кітайскіх стасункаў прыблізна ў канцы 1970-х гадоў.,25.586206896551722,1.0660919540229885
в ответ,у адказ,"Ступак нешта мармытаў у адказ, што мала разумее сам.",22.533333333333335,2.503703703703704
в результате,у выніку,Сікхізм уяўляе сабой рэлігію што паходзіць з індыйскага субкантынента. Яна зявілася ў 15 стагоддзі ў рэгіене пенджаб у выніку ўзнікнення ў індуізме розных сектанцкіх груп.,38.733333333333334,1.5493333333333335
в силу,ў сілу,Мо ў сілу сваей навуковай інтуіцыі яна не паверыла ў пануючую версію.,19.862068965517242,1.6551724137931034
в сторону,ўбок,"Капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.",21.766666666666666,2.4185185185185185
в сущности,у сутнасці,"У сутнасці, ніякага асаблівага працы або небяспекі ў паляванні няма.",21.95,2.195
в том числе,у тым ліку,"Шмат млекакормячых з'явілася на Галапагосах з моманту прыбыцця туды чалавека, у тым ліку коз, коней, кароў, катоў, сабак і пацукоў.",33.166666666666664,1.6583333333333332
все же,усе ж,"І мяне ўразіла, што нават у сельскіх мужыкоў, простых і грубых, з жанчынамі усе ж асаблівыя адносіны.",28.58823529411765,1.6816608996539792
все равно,ўсе роўна,"І колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.",26.516129032258064,1.657258064516129
всего-навсего,ўсяго толькi,"Гэта было ўжо i не балотца, а ўсяго толькi маленькае акенца каля старога пня.",24.529411764705884,1.7521008403361347
всю жизнь,ўсе жыцце,"Хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.",24.066666666666666,2.0055555555555555
да ведь,ды зусім,"Ах, Радзівон Парфіравіч, ды зусім жа ён немаўля, яшчэ і сіротка!",24.0,2.1818181818181817
да ладно,ды годзе,"ДЫ ГОДЗЕ, Багдан. Ведаю я, што ты скажаш.",20.176470588235293,2.5220588235294117
до сих пор,да гэтай пары,Да гэтай пары яны мне любоўна кажуць: “Якое гладкае ў цябе і мускулістае цела…”,29.266666666666666,2.0904761904761906
едва ли не,ледзьве не,"Аднак у расказах дзядзькі Захары, ледзьве не казачна аддаленых па месцы і часе дзеяння, слухачы лавілі перш за ўсе смешнае.",27.794117647058822,1.3897058823529411
еще и,яшчэ і,"За словам містыфікацыя часта крыецца яшчэ і прымітыўная, ілжывая ды бессэнсоўная авантура.",23.441176470588236,1.9534313725490196
за счет,за кошт,Правасуддзе не можа вяршыцца за кошт новых забойстваў.,19.96551724137931,2.4956896551724137
именно что,іменна што,"Вось іменна, што лепш. I калі мне не скажаш, то адкажаш перад камендантам.",22.705882352941178,1.746606334841629
как бы не так,як бы не так,"Як бы не так, – сказаў ён і нецярпліва вызваліў рукі.",16.147058823529413,1.467914438502674
как известно,як вядома,"Як вядома, пчолы патрэбны дзеля таго, каб рабіць мед.",19.8,2.2
как только,як толькі,"Можаце быць упэўнены, што, як толькі вы трапіце на прыстань ці прычал, усе стане відавочна.",20.11764705882353,1.3411764705882352
между прочим,мiж iншым,"У Беларусi ""кошт"" гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта, мiж iншым, толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",38.35,1.475
можно сказать,можна сказаць,"Можна сказаць, яму проста пашанцавала, абы толькі ўдалося.",19.15,2.39375
на свете,на свеце,"Ведаеш, Наташанька, я самая шчаслівая жанчына на свеце, калі ў мяне есць такі муж.",20.366666666666667,1.4547619047619047
на себя,на сябе,"Такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі НА СЯБЕ маску арыгінальных тэкстаў.",23.4,1.17
не иначе как,няйначай як,I намацаў тут бацька Міколкі няйначай як ментуза.,21.264705882352942,2.6580882352941178
не раз,не раз,Не раз відаць яны пра гэта гаварылі…,21.40625,3.0580357142857144
не то что,не тое што,"Іх не было, наколькі я змог заўважыць, і ў спальні, ды не тое што кніжных паліц — нідзе ніводнай кнігі не віднелася.",24.38235294117647,1.108288770053476
недалеко от,недалека ад,"На калідоры каля выхада на лесвіцу, недалека ад маей палаты топчацца міліцыянт.",20.20689655172414,1.6839080459770115
несмотря на,нягледзячы на,"Яны былі асуджаныя, нягледзячы на сур'езныя сумненні наконт іх ролі ў гэтай трагічнай падзеі.",28.482758620689655,2.0344827586206895
ничего подобного,нічога падобнага,Ніхто раней мне нічога падобнага не расказваў.,18.029411764705884,2.5756302521008405
одним словом,адным словам,"Адным словам, пад Мінскам есць такая спецыяльная бальніца, дзе раней паміралі вось такія асуджаныя…",24.9,1.7785714285714285
оттого что,ад таго што,"Прачнуўшыся ад таго, што мяне тармасіла лі-лі, я не мог зразумець, як яна тут, на трыбуне, мяне знайшла.",26.235294117647058,1.457516339869281
по его мнению,на яго думку,"На яго думку, у нас на падобныя тэмы пішуць нецікава і мала.",23.25,1.9375
по окончании,па заканчэнні,Па заканчэнні пасяджэння Троцкі адразу ж пайшоў да тэлеграфнага апарата.,20.655172413793103,2.06551724137931
по поводу,з нагоды,Прэс-сакратар Мінпрыроды Алена Пенязь абвінаваціла Літву ў свядомым ухіленні ад дыялогу з Беларуссю з нагоды Астравецкай АЭС.,29.379310344827587,1.7281947261663286
по слухам,па чутках,"А можа, гэта быў воўк-людаед, якіх, ПА ЧУТКАХ, шмат развялося ў навакольных пушчах.",26.333333333333332,2.0256410256410255
по существу,па сутнасці,"Зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.",28.5,1.2391304347826086
почти что,амаль што,"Яна разумела і нават апраўдвала, калі на гэта ішлі дарослыя ― акружэнцы і свае мужыкі, але што ў той калатнечы магло прывабіць падлеткаў, амаль што дзяцей?",35.23529411764706,1.3552036199095023
прежде чем,перш чым,"Пройдзе яшчэ шмат гадоў, перш чым будуць пабудаваны прыгодныя для эксплуатацыі рэактары тэрмаядзернага сінтэзу.",23.941176470588236,1.7100840336134453
ради Бога,дзеля бога,"Дзеля бога, пакіньце ў пакоі маю бедную галаву.",20.0,2.5
разве что,хіба толькі,"Хіба толькі хітрыць будзе, паказваючы, нібы яму тужліва",23.666666666666668,2.9583333333333335
рядом с,побач з,Я ўяўвіў сябе побач з ею ў бальнічным халаце і шлепках.,26.344827586206897,2.394984326018809
с учетом,з улікам,"Рэальная заработная плата (з улікам росту спажывецкіх цэн на тавары і паслугі) у студзені-лютым гэтага года паменшылася на 1, 5%.",30.0,1.5
со стороны,з боку,"У афіцыйнай заяве кіраўнік камітэта звяртае ўвагу на тое, што падобныя парушэнні з боку уладаў не з'яўляюцца адзінкавымі.",21.724137931034484,1.206896551724138
судя по всему,мяркуючы па ўсім,"Мяркуючы па ўсім, палкоўнік быў чалавек гаваркі і меў процьму часу.",24.95,2.268181818181818
таким образом,такім чынам,"Такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4, 7%.",11.0,0.9166666666666666
таким образом,такім чынам,"Такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4,7%.",20.15,1.8318181818181818
тем более,тым больш,"Пакуль яна была маленькая, мне таксама здавалася, што мы падобныя, тым больш пры такім знешнім падабенстве…",25.11764705882353,1.5698529411764706
только что,толькі што,"Старшыня беларускага фонду культуры Уладзімір Гілеп прэзентаваў у Ялце новае арыгінальнае выданне твораў Максіма Багдановіча, толькі што выпушчанае ў свет фондам культуры.",31.833333333333332,1.446969696969697
тут же,тут жа,"— У Свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “А, можа, і праўда: у Свярдлоўску сыйшла?..",24.166666666666668,1.0507246376811594
хотя бы,як мінімум,У асобных краінах ці тыпах крам есць як мінімум адзін рэстаран з даступнымі цэнамі і без аніякіх фармальных патрабаванняў.,22.705882352941178,1.195046439628483
хотя и,але не,Тыгр здольны лазіць (але не так добра).,18.470588235294116,2.638655462184874
чем больше,чым больш,"Ды й думаў я не так, як Крабіч, а наадварот: чым больш нармальных людзей ва ўладзе, тым лепш — яны павінны там быць.",23.41176470588235,1.0179028132992327
что ли,ці што,"Ты ж сам казаў. Не памятаеш, ЦІ ШТО?",17.41176470588235,2.176470588235294
что называется,што называецца,"Што называецца, не ў службу, а ў дружбу.",17.5,2.1875
