correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
а то и,че даже и,"Салов съобщи на Панафидин, че в района на Шикотан мъглата се задържа понякога месец, че даже и повече…",27.25,1.5138888888888888
в виде,във вид на,"То беше луксозно, от махагон и с бронзова дръжка във вид на сфинкс върху пиедестал.",27.09090909090909,1.806060606060606
в конце,в края на,Първите истински телескопи в Европа обаче са направени в края на 16-ти век.,27.26086956521739,2.096989966555184
в ответ,в отговор,В отговор Игор само въздъхна.,15.217391304347826,3.0434782608695654
в результате,в резултат,"Парагвай, преди наричан „гигантската провинция на Индия“, е роден през 16-ти век в резултат на срещата на испанските завоеватели с местните групи.",21.869565217391305,0.9940711462450593
в силу,по силата на,По силата на различни причини това е много неудобно.,22.272727272727273,2.474747474747475
в сторону,встрани,Валя побутна шефа встрани.,16.652173913043477,4.163043478260869
в сущности,в същност,"В същност тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",25.94871794871795,1.2356532356532357
в том числе,в това число,"Задържани са от вас наши кораби, в това число и „Малака“, наета за рейс до Япония.",29.0,1.8125
во всяком случае,във всеки случай,Във всеки случай сега съм сам и изоставен.,20.205128205128204,2.5256410256410255
вплоть до,чак до,"Считам, че можем да отстъпваме и по-нататък, чак до Харбин.",26.782608695652176,2.6782608695652175
все же,все пак,Но все пак… моля ви да си спомните накъде хукна другият престъпник.,30.92,2.5766666666666667
все равно,все едно,"Сега му е все едно дъщеря, не-дъщеря.",14.0,2.0
всю жизнь,цял живот,Татко цял живот само с Фьодор Михайлович се е занимавал.,24.26086956521739,2.426086956521739
да ведь,та нали,"Та нали те нямаха нищо, освен него!",22.695652173913043,3.2422360248447206
да ладно,добре де,"Добре де, пошегувах се, имам само едно огледало и то се намира в антрето…",25.04,1.7885714285714285
до сих пор,досега,"Къде изчезна и, защо – и досега е загадка. А бандата му се разпадна – кой накъдето му видят очите.",24.217391304347824,1.2108695652173913
