correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
а то и,dokonce i,"Ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).",25.294117647058822,1.4878892733564013
в виде,ve formě,"Má právo zničit všechny překážky VE FORMĚ institucí a tradic, jež omezují lidskou svobodu výběru.",26.375,1.7583333333333333
в конце,na konec,Vagony MetroPlus jsou vždy zařazeny na konec vlaku směrem ke Kapskému Městu.,25.52,2.1266666666666665
в ответ,v odpověď,Byla by uslyšela V ODPOVĚĎ jen další strofu písně.,25.074074074074073,2.7860082304526745
в результате,v důsledku,Artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného Herostratem.,30.357142857142858,2.0238095238095237
в силу,v platnost,"Podepsala se roku 1992, ale v platnost vešla v roce 2002.",23.958333333333332,2.1780303030303028
в сторону,na stranu,Lans ukázal na stranu.,15.185185185185185,3.7962962962962963
в сущности,v podstatě,"Jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…",32.526315789473685,2.168421052631579
в том числе,z toho,"Chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,",20.676470588235293,1.7230392156862744
во всяком случае,v každém případě,V každém případě odneste kotě i misku.,23.736842105263158,3.3909774436090223
вплоть до,až po,Já jsem byla opět v jiném stavu a skoro celé těhotenství až po porod nejmladší dcerky jsem prožila ve strachu.,31.833333333333332,1.5916666666666666
все же,asi spíš,Ale asi spíš v tom lepším: na bezpráví a násilí jsem citlivější.,29.620689655172413,2.468390804597701
все равно,úplně jedno,Který konkrétně? To je přece úplně jedno.,21.037037037037038,3.0052910052910056
всего-навсего,všeho všudy,Mám všeho všudy šestatřicet krejcarů.,18.185185185185187,3.6370370370370373
всю жизнь,celý život,"V Barguzinském národním parku jsme se zase seznámili s paní Irinou Ivanovnou, která ochraně přírody zasvětila prakticky celý život.",32.785714285714285,1.725563909774436
да ведь,ale vždyť,"Máš pravdu, je nešťastná, ale vždyť to je jen knížka.",24.235294117647058,2.4235294117647057
да ладно,do prčic,"Do prčic, jaká loterie?",17.464285714285715,4.366071428571429
до сих пор,až dosud,"Až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",32.96296296296296,1.7348927875243665
едва ли не,skoro ještě,Některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám skoro ještě víc než po prvé.,32.714285714285715,1.2116402116402116
еще и,a navíc,Ovšem jednu z nejdivnějších – a navíc patřičně zpolitizovanou.,20.275862068965516,2.2528735632183907
за счет,na útraty,"Na útraty vojenského eráru, to se rozumí.",19.333333333333332,2.761904761904762
именно что,přesně tak,"Přesně tak, to je výborná rada. ",18.51851851851852,3.0864197530864197
как бы не так,jak by ne,Jak by ne! A oni měli určitě víc možností se bránit!,21.0,1.9090909090909092
как известно,jak je známo,"Jak je známo, bzučet mohou jedině včely.",23.05263157894737,3.293233082706767
как только,co nejrychleji,Co nejrychleji přijdeme.,16.264705882352942,5.421568627450981
между прочим,mezi jiným,"Mezi jiným jsem pozoroval, že dr Kramář bude mít potíže.",27.526315789473685,2.7526315789473683
можно сказать,lze říci,"Lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",36.473684210526315,2.431578947368421
на свете,na světě,"Neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",27.071428571428573,1.503968253968254
на себя,na sebe,Velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,21.59259259259259,1.9629629629629628
не иначе как,nic jiného než,Není to nic jiného než klamavá reklama.,22.035714285714285,3.147959183673469
не раз,ne jednou,Konec konců tam skutečně byl a ne jednou.,24.107142857142858,3.013392857142857
не то что,nejen že,"Nejen že nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.",24.285714285714285,2.0238095238095237
недалеко от,nedaleko,"Nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.",25.375,1.4926470588235294
несмотря на,navzdory tomu,Navzdory tomu o ně mají zákazníci nebývalý zájem.,25.32,3.165
ничего подобного,nic takového,Nic takového zjevně není v plánu.,17.464285714285715,2.910714285714286
одним словом,krátce řečeno,"Krátce řečeno, jako jeho stájník. A také byste ošetřoval psy.",24.263157894736842,2.4263157894736844
оттого что,proto že,"Já, musím se přiznat, jsem ji nechala u Chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.",27.88235294117647,1.3277310924369747
по его мнению,podle něj,Podle něj je tohle jeden z hlavních důvodů.,23.263157894736842,2.9078947368421053
по окончании,po skončení,"Po skončení práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.",26.958333333333332,1.797222222222222
по поводу,na účet,"Najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat na účet tělesných a duševních vlastností dívky.",30.84,1.542
