correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
а то и,albo i,Trądem nas zarazić gotów! ALBO I czym gorszym!,18.806451612903224,2.350806451612903
в виде,w postaci,"Ponieważ strome stoki są w stanie utrzymać jedynie ograniczoną ilość śniegu, jego nadmiar będzie staczał się W POSTACI lawiny.",27.8,1.4631578947368422
в конце,w końcu,"Tę świątynię na szczycie wzgórza wzniesiono W KOŃCU IX wieku, za czasów panowania króla Yasovarmana.",18.25,1.2166666666666666
в ответ,w odpowiedzi,"Zwyczaj nakazywał W ODPOWIEDZI na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",28.608695652173914,1.9072463768115944
в результате,w rezultacie czego,"Kości zostają rzucone, w rezultacie czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",29.217391304347824,1.9478260869565216
в силу,na mocy,"NA MOCY rozejmu i układu, wymuszonego na księciu oławskim Ludwiku, udostępniono im szpital Świętego Świerada.",29.3,1.9533333333333334
в сторону,w bok,"- Nastraszyli mnie - powiedziała, patrząc W BOK.",20.26086956521739,2.532608695652174
в сущности,w gruncie,"Regułą, a W GRUNCIE rzeczy zasługą przeoryszy było to, że każdy z gości występował z kazaniem lub wykładem dla mniszek.",24.59375,1.2296875
в том числе,w tym,"Turystyka przyrodnicza przyciąga osoby lubiące spędzać czas na łonie natury, podziwiać krajobrazy, w tym dziką roślinność i zwierzęta.",24.322580645161292,1.3512544802867383
во всяком случае,w każdym razie,W KAŻDYM RAZIE na Węgry wywieźć cię nie zdołam.,16.676470588235293,1.852941176470588
вплоть до,aż do,"Nieboskłon ściemniał AŻ DO głębokiego mroku zimnego kosmosu, weszli na orbitę Ziemi.",19.55,1.6291666666666667
все же,więc jednak,"Odróżnia nas... tak..., więc jednak",20.4,4.08
все равно,wszystko jedno,"Zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im WSZYSTKO JEDNO, kogo napadają i grabią, napadali i grabili wszystkich.",33.416666666666664,1.5912698412698412
всего-навсего,czy jeno,"Ha! orłowe gniazdo, ale nie wiadomo, czy się orzeł w nim znajdzie, jako był Wiśniowiecki, CZY JENO wrona?.",33.72,1.8733333333333333
всю жизнь,całe życie,"Reynevan tymczasem uciekał, a szło mu to tak, jak gdyby CAŁE ŻYCIE nie robił nic innego, tylko galopował w więzach.",38.52173913043478,1.9260869565217391
да ведь,ale przecież,ALE PRZECIEŻ on tu diabli wiedzą jak narozrabia!,21.483870967741936,2.685483870967742
да ладно,co tam,"Gdybyś nie palił… CO TAM, i tak wystarczy tylko na kartofle i chleb.",24.24,1.8646153846153846
до сих пор,nadal,"Tak, jak to robiła nadal.",18.083333333333332,3.6166666666666663
едва ли не,nieomalże,To było nieomalże ostatnie nasze zwycięstwo.,20.72,3.453333333333333
еще и,także i,Odkrycie Harvey'a ma obok praktycznego także i filozoficzne znaczenie.,19.24,2.1377777777777776
за счет,na koszt,W całym kraju korzysta z porady lekarskiej NA KOSZT właścicieli 41% a wcale jej nie doznaje 59.,25.1,1.4764705882352942
именно что,to mianowicie,"Jeden z praskich mentorów Reynevana usiłował dowodzić odnośnie lotów czarodziejskich, a TO MIANOWICIE, że są one poddane kontroli mentalnej wysmarowanej maścią lotną czarownicy lub czarownika.",39.04,1.5615999999999999
к тому же,w dodatku,"Sami własny klasztor niszczą, w dodatku z ochotą.",22.36,2.795
как бы не так,a zasię,"A zasię! To była, podobna, pierwsza kokota w Warszawie!",23.4,2.5999999999999996
как известно,jak wiadomo,"Okazało się, że Tempe, JAK WIADOMO, był u szczytu, pani Osłabędzka umarła na serce w nędzy.",21.4375,1.33984375
как только,jak tylko,"JAK TYLKO dolatywał mnie zapach spalonego węgla, od razu stawał mi przed oczyma początek mojej służby.",17.967741935483872,1.122983870967742
между прочим,nawiasem mówiąc,"Nawiasem mówiąc, musiałem z tym doktorem uważać.",20.12121212121212,2.8744588744588744
можно сказать,można powiedzieć,"Umiem załatwiać takie rzeczy. Mam to, MOŻNA POWIEDZIEĆ, we krwi. Od pokoleń.",22.03125,1.8359375
на свете,na świecie,"Rzecz w tym, że wszystko, absolutnie wszystko NA ŚWIECIE, ma trzy aury.",22.47826086956522,1.8731884057971016
на себя,na siebie,"Wiedząc o tym, niektórzy donosili więc sami NA SIEBIE.",19.347826086956523,2.1497584541062804
не иначе как,nie inaczej jak,"Za to zająć się czasami którąś z dziewcząt ze służby, lecz NIE INACZEJ JAK w poufnym porozumieniu z Marfą Pietrowna.",27.4,1.3699999999999999
не раз,niejednokrotnie,"Cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.",24.64,2.464
недалеко от,niedaleko za,"Tak więc przerwy robili na świeżym powietrzu. Niedaleko za Siewierzem, pośród przydrożnej brzeziny.",25.35,1.9500000000000002
несмотря на,nie bacząc na,"Jeden z krzyżaków, NIE BACZĄC NA rozkaz brania żywcem, zamierzył się do pchnięcia w gardło.",30.636363636363637,2.0424242424242425
ничего подобного,nic podobnego,Jej NIC PODOBNEGO przydarzyć się nie mogło więc to miłosierdzie nie budziło w niej żadnych osobistych uczuć czy też obaw.,29.4,1.47
одним словом,jednym słowem,"Zrobił to jednym gestem i JEDNYM SŁOWEM, Reynevan w życiu nie widział równie sprawnie rzuconego zaklęcia.",21.46875,1.341796875
оттого что,z tego że,"Pomiędzy nią a resztą pracowników nastąpiła krótka przerwa w czasie, wynikła z tego, że wszyscy najpierw podążyli w kierunku źródła hałasu.",21.741935483870968,1.0353302611367128
по его мнению,moim zdaniem,"Podejrzanych nadal było ośniu ludzi, z czego dwoje, MOIM ZDANIEM, można wykluczyć z powodów psychologicznych.",24.375,1.625
по окончании,po skończonym,"Zadowolę się jałmużną, datkiem jakim skromnym, a i to nie z góry bynajmniej, lecz PO SKOŃCZONYM dziele.",29.35,1.7264705882352942
по слухам,jak głosi fama,"Do sierotek, które, JAK GŁOSI FAMA, ostro maszerują na północ i lada moment tu będą.",27.058823529411764,1.803921568627451
по существу,w rzeczywistości,"Rewolucja z chwilą upadku powstania warszawskiego W RZECZYWISTOŚCI już się dokonała, droga do niej była otwarta.",35.869565217391305,2.2418478260869565
после того как,od momentu kiedy,"Mniej więcej godzinę OD MOMENTU, KIEDY zamilkły ostatnie strzały, Wolf powiedział, że pojedzie na zwiad i pojechał sam.",29.451612903225808,1.6362007168458783
почти что,nieledwie,"Ale Baśka moja NIELEDWIE w waćpanny leciech dlatego poczuwam się w tym aby zaś miała czasem jakowąś uciechę grzeczną, a młodemu wiekowi przystojną.",37.0,1.608695652173913
прежде чем,zanim,"ZANIM się połapią, że to była rozgrywka.",15.5,2.2142857142857144
ради Бога,na miłosierdzie boskie,"A, NA MIŁOSIERDZIE BOSKIE! - zawołał - czy to ziemia jest rajem, żeby od niej wszystkiego dobrego razem wymagać było można!",30.35483870967742,1.445468509984639
разве что,chyba że,CHYBA ŻE książę niedomaga.,18.0,4.5
рядом с,u boku,"Wiosna idzie, pomyślał sobie Reynevan, idąc U BOKU Szarleja rozmokłą miedzą.",19.45,1.768181818181818
с учетом,na uwadze,Klasyfikacji skazanych dokonuje się mając NA UWADZE następujące cechy.,24.9,2.7666666666666666
со стороны,od strony,OD STRONY Bramy Wrocławskiej słychać było strzały.,17.9,2.557142857142857
судя по всему,wygląda na to,"WYGLĄDA NA TO, że lubimy takie pochwały.",17.28125,2.46875
таким образом,w taki oto sposób,"W TAKI OTO SPOSóB wiem, kto położył kres romansowi Wirydy Hornig.",21.17142857142857,1.9246753246753245
тем более,tym bardziej,Ani TYM BARDZIEJ na trzymających stronę Albrechta katolików.,19.7,2.4625
только что,przed chwilą,"A Reynevan zacytował PRZED CHWILĄ autorytety, które trochę jakby przeczą temu, co zeznajesz.",49.0,3.769230769230769
только что,przed chwilą,"A Reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.",30.391304347826086,2.3377926421404682
тут же,a tu,A TU zdeponowane przez Ottona Beessa sto guldenów.,34.0,4.25
тут же,a tu,A tu zdeponowane przez Ottona Beessa sto guldenów.,19.869565217391305,2.483695652173913
хотя бы,gdyby chociaż,"I GDYBY CHOCIAŻ los zesłał mu skruchę, gorącą skruchę, która łamie serce, spędza sen z powiek, taką skruchę, której straszliwe męczarnie nasuwają myśl o pętli i topieli!",30.433333333333334,1.1271604938271604
хотя и,choć i,"Mówię ci to, byś znał moje zamiary, CHOĆ I tak z pewnością domyśliłeś się ich po pytaniach, które stawiałem Schillingowi.",20.06451612903226,1.003225806451613
чем больше,im większy,"A IM WIĘKSZY sekret, tym większa nagroda.",21.903225806451612,3.129032258064516
что ли,czy jak,"Pozwoliłem. Bo co on, zniewolony czy jak? Pogadaliśmy.",20.56,2.57
что называется,co znaczy,"Ot, co znaczy wiedzieć, na jakiego konia postawić!",18.21875,2.27734375
