correct_translation,source_text_to_be_translated,source_text,user_free_translation_time_taken,time_averaged_free
а то и,а то й,"Виросте й стане ледацюгою, сутяжником, а то й бандюгою.",18.608695652173914,2.067632850241546
в виде,у формі,"Фактично, всі комп'ютери, якими сьогодні користуються, працюють завдяки обробці інформації, закодованої у формі бінарних чисел.",18.242424242424242,1.2161616161616162
в конце,у кінці,Вагони метроплюс завжди знаходяться у кінці поїзда ближче до Кейптауна.,16.545454545454547,1.6545454545454548
в ответ,у відповідь,"Респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора Вагнера.",32.0,1.8823529411764706
в результате,в результаті,"У 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений Парагвай, який раніше називався гігантською провінцією індійців.",28.20689655172414,1.343185550082102
в силу,з огляду на,"Одним словом, ті, кого серед постійних клієнтів не було з огляду на професійну зайнятість.",25.727272727272727,1.8376623376623376
в сторону,убік,"Автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",22.724137931034484,2.2724137931034485
в сущности,в істоті,"Які ж вони всі, в істоті, були більшовики, які нелюди.",20.791666666666668,2.0791666666666666
в том числе,в тому числі,"У результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.",19.608695652173914,1.0320366132723113
во всяком случае,в будь-якому випадку,"Що ж, доживемо до понеділка, хоча і він не обіцяє нам спокою, в будь-якому випадку, в телевізійному просторі.",35.69230769230769,1.982905982905983
вплоть до,аж до,Лавина голодних смертей наростала з місяця в місяць аж до початку літа.,18.393939393939394,1.5328282828282829
все же,все ж,"І все ж безуспішність спроб реалізувати в масовому масштабі заходи щодо організаційно-господарського зміщення колгоспів, пояснювалася руйнівним впливом продрозкладки.",27.238095238095237,1.5132275132275133
все равно,все одно,"Їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",27.033333333333335,1.8022222222222224
всего-навсего,усього-на-всього,"Я тепер усього-на-всього армійський капрал, навчаю селюків, яка нога права, яка — ліва.",22.25,1.7115384615384615
всю жизнь,ціле життя,"У якихсь мемуарах Раневської я прочитала, що вона ціле життя любила Пушкіна.",25.20689655172414,2.1005747126436782
да ведь,але ж,"Але ж і справді як добре!, - сказав він зненацька, ніби осяяний новою ідеєю.",25.347826086956523,1.8105590062111803
да ладно,ну гаразд,"Ну гаразд… крізь розчинені двері обширної кам'яної споруди, єдиної кам'яної у всьому селищі, Ян побачив три жаркі багаття.",28.3,1.5722222222222222
до сих пор,до сих пір,"Цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.",22.93103448275862,1.206896551724138
едва ли не,чи не,"До речі, чи не вперше за історію українського слова друкованим способом відтворюється великоруська експресивна лексика.",23.35,1.5566666666666669
еще и,ще і,"Засуджений винен ще і в іншому злочині, вчиненому ним до постановлення попереднього вироку.",21.7,1.669230769230769
за счет,за рахунок,Кожен має право на відшкодування за рахунок держави чи органів місцевого самоврядування матеріальної та моральної шкоди.,22.757575757575758,1.4223484848484849
именно что,саме що,А саме що кавун можна їсти й без ножа та виделки.,22.75,2.0681818181818183
как бы не так,як би не так,"Дзуськи! Як би не так!.. На, ший!",18.6,2.6571428571428575
как известно,як відомо,"Тургенєв, наприклад, в тих же 40-х роках дає свої «Записки охотника», в яких, як відомо, ідеалізує селянина і підносить його крізь призму свого ліберально-поміщицького світогляду.",27.333333333333332,1.0933333333333333
как только,як тільки,"Будьте певні, що як тільки ви дістанетесь марини, все буде достатньо очевидним. Ви зустрінете інших човнових попутників і вони поділяться з вами своєю інформацією.",26.434782608695652,1.1014492753623188
между прочим,між іншим,Були сказані наче між іншим дві чи одна фраза.,23.52,2.6133333333333333
можно сказать,можна сказати,"Це, можна сказати, взірець ставлення до рідної мови.",16.96,2.12
на свете,на світі,"Перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",27.24137931034483,1.297208538587849
на себя,на себе,"Всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",20.06896551724138,1.8244514106583074
не иначе как,не інакше як,А трансформаторну будку спорудив не інакше як сам Ле Гарбузьє.,22.35,2.2350000000000003
не раз,не раз,"Не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",35.06666666666667,1.4026666666666667
не то что,не те що,"Що то люди живуть, не те що ми – світа білого за роботою не бачимо…",23.0,1.5333333333333334
недалеко от,неподалік від,"Старий дім був неподалік від опери, до нього ще не добралися новітні покупці.",19.21212121212121,1.4778554778554778
ничего подобного,нічого подібного,Адже нічого подібного в мене не було зімою.,18.95,2.36875
одним словом,одним словом,"Одним словом, творчий елемент, елемент саморозвитку, самобутності переважав.",17.291666666666668,2.1614583333333335
оттого что,від того що,"Дімка прокинувся від того, що хтось його шарпав і кричав.",24.608695652173914,2.4608695652173913
по его мнению,за його думкою,"Безкрилий реалізм Крабба не міг, за його думкою, передати усю повноту, всю чарівність і всю велич сільського життя.",24.375,1.3541666666666667
по окончании,після закінчення,"Це сталося зі мною позавчора, 3 березня, великопісної середи, у перший день після закінчення карнавалу. ",19.848484848484848,1.323232323232323
по поводу,з приводу,Сьогодні у Верховній Раді України знову відчувається політична метушня з приводу цього закону.,21.0,1.6153846153846154
по слухам,за чутками,"А те, що клуб, за чутками, кришує губернатор, теж особливого резонансу не викликало — нічого іншого від губернатора, в принципі, й не чекали.",38.19230769230769,1.6605351170568563
по существу,по сутi,"По сутi, партія більшовиків брала на озброєння есерівську аграрну програму.",17.551724137931036,1.7551724137931035
после того как,після того як,"Після того як опір групи Бухаріна було зламано, перегляду цього рішення ніщо не перешкоджало.",18.043478260869566,1.2888198757763976
почти что,мало не,Вона була в стані мало не закінченої вагітности й на протязі якихсь трьох - чотирьох тижнів мусіла народити дитину.,28.05,1.4763157894736842
прежде чем,перш ніж,"Однак, цю проблему дуже важко вирішити, і пройде багато років, перш ніж ми станемо свідками будівництва придатних термоядерних реакторів.",30.434782608695652,1.6018306636155606
ради Бога,ради бога,"— Ваша королівська величносте! Мовчіть! Мовчіть, ради Бога! — заблагав Янкель.",16.91304347826087,1.5375494071146247
разве что,хіба що,"Хіба що «варену» (цей давній напій українців називали ще варенухою, варьохою).",27.083333333333332,2.462121212121212
рядом с,поруч з,Тепер ми надаємо слово нашому головному економістові. Прошу (скромно сідає поруч з юрієм). ,21.393939393939394,1.6456876456876457
с учетом,з урахуванням,"Порядок здійснення права на страйк встановлюється законом з урахуванням необхідності забезпечення національної безпеки, охорони здоров'я, прав і свобод інших людей.",24.939393939393938,1.2469696969696968
со стороны,із боку,"Навіщо їм демонстраційний ефект для решти України на кшталт того впливу, що був на НДР із боку ФРН.",20.87878787878788,1.15993265993266
судя по всему,судячи з усього,"Судячи з усього, МВС дійсно дуже заважає комусь, хто прагне електорального тріумфу.",23.304347826086957,1.9420289855072463
таким образом,таким чином,"Таким чином, не треба було виходити з палацика у ті святочні дні, коли муситься трапезувати під відкритим небом.",25.807692307692307,1.4337606837606838
тем более,тим більше,"Цікаво послухати, а тим більше дати і свою «безцінну» пораду СЗР.",21.434782608695652,1.948616600790514
только что,тільки шо,"От тільки шо нікого не було, аж осьдечки й він, де не взявся.",26.233333333333334,2.017948717948718
тут же,тут же,"Коли ж навідався до Делятина, його хтось побачив і тут же здав.",21.533333333333335,1.7944444444444445
хотя бы,хоча б,"Злочин визнається вчиненим на території України, якщо його виконавець або хоча б один із співучасників діяв на території України.",24.0,1.263157894736842
хотя и,хоча і,"Тигр, як всебічно розвинутий атлет, може дертися вгору (хоча і не дуже вміло).",24.08695652173913,1.8528428093645484
чем больше,чим більше,"Хоча, чим більше часу проходить, тим очевидніше те, що багато хто добре розумів ще в наповнені космічною романтикою шістдесяті.",19.91304347826087,1.048054919908467
что ли,чи що,"Дай мені хоч якусь премію, чи що?",19.65,2.807142857142857
что называется,що називається,"Вона (як і сама Оксана) безперервно курсує поміж Києвом та Нью-Йорком, тусується, що називається, з американською літературною та інтелектуальною богемою.",25.391304347826086,1.2695652173913043
