BE,RU,normalized WAS
не раз,не раз,2.86893388678603
ўсе роўна,все равно,3.066577117108307
толькі што,только что,2.890064605590335
тут жа,тут же,3.3610525201780828
да гэтай пары,до сих пор,3.6608784323993464
у адказ,в ответ,3.401867814054669
ўбок,в сторону,2.921585973180226
на сябе,на себя,2.8261231055271274
па сутнасці,по существу,2.998194246265342
ўсе жыцце,всю жизнь,3.6237468152064194
у выніку,в результате,2.888102723063238
на свеце,на свете,3.427482313359228
хіба толькі,разве что,3.753299714790005
у тым ліку,в том числе,3.198619249124693
як толькі,как только,3.496850965528017
а то і,а то и,3.2052461337069813
пасля таго як,после того как,3.1604619228657236
чым больш,чем больше,2.5921194264012084
але не,хотя и,3.1918232945352742
ад таго што,оттого что,2.8865880637742674
ды зусім,да ведь,3.3777630556729425
як мінімум,хотя бы,3.4545451494702126
тым больш,тем более,3.4367280472350052
перш чым,прежде чем,3.1512114422098216
па чутках,по слухам,3.0958238558060627
такім чынам,таким образом,2.8740429763593958
ва ўсякім разе,во всяком случае,3.216860086706688
мiж iншым,между прочим,3.172723864121885
можна сказаць,можно сказать,3.0409739789743115
у сутнасці,в сущности,3.116511322613481
як вядома,как известно,3.3176870841199273
на яго думку,по его мнению,3.0541390254578284
адным словам,одним словом,3.4694441489806045
што называецца,что называется,3.1326203529127157
мяркуючы па ўсім,судя по всему,3.608929689408465
дзеля бога,ради Бога,2.730151630062012
усе ж,все же,2.9859929367243168
яшчэ і,еще и,3.8612363576386226
ці што,что ли,3.9282690109174436
не тое што,не то что,3.2985935226055383
ледзьве не,едва ли не,3.26184054553239
нічога падобнага,ничего подобного,3.0442359050222088
ды годзе,да ладно,3.767988706270086
няйначай як,не иначе как,3.315947467125186
амаль што,почти что,2.962411925076335
іменна што,именно что,3.4955939805168326
як бы не так,как бы не так,2.6348789607391807
ўсяго толькi,всего-навсего,3.1003488818967315
нягледзячы на,несмотря на,3.6625256072008057
ў канцы,в конце,3.1710001457161248
побач з,рядом с,3.581146985031881
аж да,вплоть до,2.8374143992915317
у выглядзе,в виде,4.256562764396137
з боку,со стороны,3.2121639657874543
з нагоды,по поводу,3.42463070315192
ў сілу,в силу,3.2752068478832315
недалека ад,недалеко от,3.575263206413794
за кошт,за счет,2.9434385639724283
па заканчэнні,по окончании,3.3282567435109724
з улікам,с учетом,3.355620483674507
