BG,RU,normalized WAS
не веднъж,не раз,3.5981260945219016
все едно,все равно,3.038172320960674
току-що,только что,3.151416867648775
още начаса,тут же,3.335265586266714
досега,до сих пор,3.1989488564100226
в отговор,в ответ,3.6752251305130557
встрани,в сторону,3.2777400712999523
на себе си,на себя,3.5238460552332556
по същество,по существу,2.979262872164164
цял живот,всю жизнь,2.9820413551838194
в резултат,в результате,2.9928302770127875
на света,на свете,3.261393984919425
освен да,разве что,3.1125507136338415
в това число,в том числе,3.253959920313094
още щом,как только,3.146628399589678
че даже и,а то и,3.3393205260939274
след като,после того как,3.1139134425904547
колкото повече,чем больше,2.935087319118316
макар и,хотя и,3.3574971696646174
от това че,оттого что,2.984316056124259
та нали,да ведь,3.2756776583675493
най-малкото,хотя бы,2.9877103309128525
още повече,тем более,3.4009191185284506
преди да,прежде чем,2.9478697757034116
според слухове,по слухам,3.3359380503709843
по такъв начин,таким образом,3.0100047496461744
във всеки случай,во всяком случае,3.444387149174102
между другото,между прочим,3.411687685530538
може да се каже,можно сказать,3.4907927976730284
в същност,в сущности,2.6245325233234444
както е известно,как известно,3.128884647711374
по негово мнение,по его мнению,2.9986256722585183
с една дума,одним словом,3.146825280291911
дето се вика,что называется,2.8777514663176165
съдейки по всичко,судя по всему,3.284897741863291
за бога,ради Бога,3.059781908270828
все пак,все же,3.2464002180529374
още и,еще и,3.3468212950168
ли е,что ли,3.641408797223991
камо ли,не то что,3.237869449019404
едва ли не,едва ли не,3.3268363789458517
нищо подобно,ничего подобного,2.823442044675337
добре де,да ладно,3.3388687803605723
без друго,не иначе как,3.379735023326441
почти като,почти что,2.960958141249134
именно че,именно что,3.3740574650725845
как ли пък не,как бы не так,3.2017413024522923
всичко на всичко,всего-навсего,3.1278506711047216
въпреки че,несмотря на,3.155085663454723
в края на,в конце,3.190057163632868
редом с,рядом с,2.8431742860361546
чак до,вплоть до,2.90601301031249
във вид на,в виде,4.0090202664700625
от страна на,со стороны,3.4042874817504285
по повод на,по поводу,3.0504032392868585
по силата на,в силу,3.015028854087828
недалече от,недалеко от,3.238617557113801
за сметка на,за счет,3.5365186835874014
след свършването,по окончании,3.8028173568823136
с оглед на,с учетом,3.435000103757314
