PL,RU,normalized WAS
niejednokrotnie,не раз,3.700652944117267
wszystko jedno,все равно,3.696618333397017
przed chwilą,только что,4.235436667479969
a tu,тут же,3.019013460321411
nadal,до сих пор,2.971970703340152
w odpowiedzi,в ответ,3.444936494145877
w bok,в сторону,2.9634024998516884
na siebie,на себя,3.2808232339905996
w rzeczywistości,по существу,3.6248802731055383
całe życie,всю жизнь,3.074263364610688
w rezultacie czego,в результате,3.6962034990885915
na świecie,на свете,3.9473367372767387
chyba że,разве что,3.4717642565112645
w tym,в том числе,2.8931654600444165
jak tylko,как только,3.1746351284386285
albo i,а то и,3.400152336386015
od momentu kiedy,после того как,3.213709688033286
im większy,чем больше,3.367923708852775
choć i,хотя и,3.5808767479995884
z tego że,оттого что,3.3921537342626884
ale przecież,да ведь,3.4048504263597277
gdyby chociaż,хотя бы,3.6741255580696635
tym bardziej,тем более,4.103927152989476
zanim,прежде чем,2.619921496740816
jak głosi fama,по слухам,3.9921184702179016
w taki oto sposób,таким образом,3.8242873697007114
w każdym razie,во всяком случае,3.509344438027227
nawiasem mówiąc,между прочим,3.5433097496584836
można powiedzieć,можно сказать,3.211406498004613
w gruncie rzeczy,в сущности,3.852672002652674
jak wiadomo,как известно,3.2787604126492944
moim zdaniem,по его мнению,3.165033885270693
jednym słowem,одним словом,3.801417697014942
co znaczy,что называется,2.983082053358569
wygląda na to,судя по всему,3.1302939743804807
na miłosierdzie boskie,ради Бога,3.4966425531556213
więc jednak,все же,3.4850339092815696
także i,еще и,3.316806735863574
czy jak,что ли,3.851288623829618
w dodatku,к тому же,3.5047483431803204
nieomalże,едва ли не,3.3328435946696744
nic podobnego,ничего подобного,3.2161668649448374
co tam,да ладно,3.0143164555621014
nie inaczej jak,не иначе как,3.347875417727878
nieledwie,почти что,3.3825652918787226
to mianowicie,именно что,3.104260178493989
a zasię,как бы не так,2.475029513531332
czy jeno,всего-навсего,3.092367761074836
nie bacząc na,несмотря на,3.487453984477545
w końcu,в конце,3.0340014378954345
u boku,рядом с,3.1871534422865397
aż do,вплоть до,2.8185822552069113
w postaci,в виде,3.3961274443554847
od strony,со стороны,3.576028566445971
z powodu,по поводу,3.497946918268371
na mocy,в силу,3.184354642879186
niedaleko za,недалеко от,3.1765646578475035
na koszt,за счет,3.4965408785535934
po skończonym,по окончании,3.945848555220565
na uwadze,с учетом,3.654857465970265
