BE,RU,normalized WAS
не раз,не раз,2.983036345282598
ўсе роўна,все равно,2.6902814424970085
толькі што,только что,2.432336563724865
тут жа,тут же,3.465413509829393
да гэтай пары,до сих пор,2.6069886342997743
у адказ,в ответ,2.6797814751731672
ўбок,в сторону,3.5718210353406374
на сябе,на себя,3.34677595650417
па сутнасці,по существу,3.540914147941213
ўсе жыцце,всю жизнь,3.462900232358796
у выніку,в результате,3.5748090178056624
на свеце,на свете,2.713752362348048
хіба толькі,разве что,2.9870649608831243
у тым ліку,в том числе,3.0239130838169688
як толькі,как только,2.590846515483587
а то і,а то и,3.268837486105265
пасля таго як,после того как,2.5825839249098363
чым больш,чем больше,3.441294503033856
але не,хотя и,3.588007649478043
ад таго што,оттого что,2.8274047273895997
ды зусім,да ведь,2.7997845497972813
як мінімум,хотя бы,3.803258857246543
тым больш,тем более,3.373851302250394
перш чым,прежде чем,3.2258533289669185
па чутках,по слухам,2.770958741903949
такім чынам,таким образом,3.332900645627779
ва ўсякім разе,во всяком случае,3.2280832946070825
мiж iншым,между прочим,2.99335320878906
можна сказаць,можно сказать,3.291847028360494
у сутнасці,в сущности,3.2048326736860604
як вядома,как известно,3.1592561307196845
на яго думку,по его мнению,3.1551953246154514
адным словам,одним словом,3.367198675416803
што называецца,что называется,3.1604930751554776
мяркуючы па ўсім,судя по всему,2.9996681731601913
дзеля бога,ради Бога,2.9469468293387684
усе ж,все же,3.1620540744839767
яшчэ і,еще и,2.663784614379868
ці што,что ли,3.260125128843429
не тое што,не то что,3.15431745751439
ледзьве не,едва ли не,2.6460429423213463
нічога падобнага,ничего подобного,2.929139536789515
ды годзе,да ладно,2.8864033357813677
няйначай як,не иначе как,2.430367635080148
амаль што,почти что,2.9147643108795904
іменна што,именно что,2.9928778819980892
як бы не так,как бы не так,3.0253790573966652
ўсяго толькi,всего-навсего,2.512070793763951
нягледзячы на,несмотря на,3.293513672948443
ў канцы,в конце,3.2743550642812593
побач з,рядом с,3.0287900697736574
аж да,вплоть до,3.7983795604375397
у выглядзе,в виде,3.180400843240358
з боку,со стороны,3.581007968522148
з нагоды,по поводу,3.2297529112221057
ў сілу,в силу,2.931197363485559
недалека ад,недалеко от,3.3033442626232725
за кошт,за счет,3.2251339590480854
па заканчэнні,по окончании,2.757499694311589
з улікам,с учетом,2.853078514752941
