BG,RU,normalized WAS
не веднъж,не раз,3.18066241537735
все едно,все равно,3.3411418492523595
току-що,только что,3.145469923074529
още начаса,тут же,3.221167697112503
досега,до сих пор,3.9246338116663013
в отговор,в ответ,2.9074642527990036
встрани,в сторону,3.604931046430119
на себе си,на себя,3.6444947176077127
по същество,по существу,3.5236188683469623
цял живот,всю жизнь,3.498641437017726
в резултат,в результате,3.333034716885531
на света,на свете,3.286481590398035
освен да,разве что,3.780153331264289
в това число,в том числе,3.1646510319454553
още щом,как только,3.625211756997205
че даже и,а то и,2.8819538766147743
след като,после того как,3.7912585522030615
колкото повече,чем больше,3.5080053922136836
макар и,хотя и,3.7013362651663257
от това че,оттого что,3.08996413770234
та нали,да ведь,3.8598624709368425
най-малкото,хотя бы,3.0560739468531364
още повече,тем более,3.284386863614902
преди да,прежде чем,3.7916706527414843
според слухове,по слухам,2.7183259774431097
по такъв начин,таким образом,3.2096644660143108
във всеки случай,во всяком случае,2.987644146934364
между другото,между прочим,3.4131290529666294
може да се каже,можно сказать,3.6804114937307726
в същност,в сущности,3.4161289750946877
както е известно,как известно,3.1667998579707333
по негово мнение,по его мнению,3.1426622368024364
с една дума,одним словом,3.3176301847802723
дето се вика,что называется,3.7694011593992247
съдейки по всичко,судя по всему,2.982257937672031
за бога,ради Бога,3.5025722547141664
все пак,все же,3.2681317728504546
още и,еще и,3.7309607652080077
ли е,что ли,4.152792347677939
камо ли,не то что,3.0836273970174073
едва ли не,едва ли не,3.6250359517875674
нищо подобно,ничего подобного,3.290281533407385
добре де,да ладно,3.345170845810615
без друго,не иначе как,2.7657530955500382
почти като,почти что,3.007942604124124
именно че,именно что,3.118359976716797
как ли пък не,как бы не так,3.498858364680761
всичко на всичко,всего-навсего,2.9481401760874224
въпреки че,несмотря на,3.2314318178556407
в края на,в конце,2.9940056197128007
редом с,рядом с,3.8717375160538228
чак до,вплоть до,3.8916340440646167
във вид на,в виде,3.2457332202540137
от страна на,со стороны,3.2899717339944607
по повод на,по поводу,3.0598925485008683
по силата на,в силу,2.9251454936118373
недалече от,недалеко от,3.4693172806035473
за сметка на,за счет,3.041964697033623
след свършването,по окончании,3.0591087015162213
с оглед на,с учетом,3.555934071649349
