CS,RU,normalized WAS
ne jednou,не раз,3.0990892166201705
úplně jedno,все равно,2.9554520649064617
před okamžikem,только что,2.6541639262821244
v tom okamžiku,тут же,2.806988185051562
až dosud,до сих пор,3.5540042313518687
v odpověď,в ответ,2.454659804476122
na stranu,в сторону,3.363123322793495
na sebe,на себя,3.1256801977950914
v jádru,по существу,3.1194223501612415
celý život,всю жизнь,3.410988760917811
v důsledku,в результате,3.1846075184813074
na světě,на свете,2.716455740263936
snad jen,разве что,3.124652370764227
z toho,в том числе,3.6579080130120323
co nejrychleji,как только,2.927337243475695
dokonce i,а то и,2.914518995505735
potom co,после того как,3.349957984778021
čím více,чем больше,3.551043808262696
i když,хотя и,2.73336427768535
proto že,оттого что,3.1368997464375754
ale vždyť,да ведь,2.493063272791989
ne méně než,хотя бы,3.005454783399233
už vůbec,тем более,2.6851808960242654
než dojde,прежде чем,3.681395970649554
povídalo se,по слухам,3.060521460676717
tímto způsobem,таким образом,3.0930415503879245
v každém případě,во всяком случае,3.1955838763622313
mezi jiným,между прочим,3.207947819697253
lze říci,можно сказать,3.5328531127622695
v podstatě,в сущности,3.1642454333736567
jak je známo,как известно,3.15397959137661
podle něj,по его мнению,3.280831952203239
krátce řečeno,одним словом,2.7262774254247546
jak se říká,что называется,3.2608811819919015
podle všeho,судя по всему,3.677906992934496
proboha,ради Бога,3.632035604661346
asi spíš,все же,2.5628828218763227
a navíc,еще и,3.2698838259026144
či co,что ли,3.2997499001191377
nejen že,не то что,2.737928786307409
skoro ještě,едва ли не,3.1165119018209433
nic takového,ничего подобного,3.2539957165011466
do prčic,да ладно,3.0382055382784356
nic jiného než,не иначе как,2.4432593617656595
kousek od,почти что,2.9239657608466745
přesně tak,именно что,3.091657534816877
jak by ne,как бы не так,3.223616025401438
všeho všudy,всего-навсего,3.1070466748126275
navzdory tomu,несмотря на,2.883536674988746
na konec,в конце,3.2300856175015906
v blízkosti,рядом с,3.0006219520498365
až po,вплоть до,3.4962814898141934
ve formě,в виде,2.7266804211155597
za účelem,с целью,3.3147612026158217
na účet,по поводу,2.8557691239903527
v platnost,в силу,2.908136337617598
nedaleko,недалеко от,3.302297439763115
na útraty,за счет,2.924279549972614
po skončení,по окончании,3.1094886729116706
s ohledem na,с учетом,2.7772312540901636
