PL,RU,normalized WAS
niejednokrotnie,не раз,2.671563369641252
wszystko jedno,все равно,2.7413653024416385
przed chwilą,только что,2.8639787454091317
a tu,тут же,3.452762822370417
nadal,до сих пор,3.8802030253838975
w odpowiedzi,в ответ,2.554037800390793
w bok,в сторону,3.281208512569526
na siebie,на себя,3.2918092529502596
w rzeczywistości,по существу,2.8555738577195795
całe życie,всю жизнь,3.8090465673596166
w rezultacie czego,в результате,3.052534238985935
na świecie,на свете,3.266347522523764
chyba że,разве что,3.253678527265384
w tym,в том числе,3.537854653604617
jak tylko,как только,3.178834205363888
albo i,а то и,2.84579838435714
od momentu kiedy,после того как,3.0387312697442193
im większy,чем больше,3.7203503277890215
choć i,хотя и,3.159518796474002
z tego że,оттого что,2.997202497600728
ale przecież,да ведь,2.501731203726729
gdyby chociaż,хотя бы,2.680011266271073
tym bardziej,тем более,2.9627526328785616
zanim,прежде чем,3.8976252624964483
jak głosi fama,по слухам,2.7091388621169994
w taki oto sposób,таким образом,3.491373859576666
w każdym razie,во всяком случае,3.4908560649947407
nawiasem mówiąc,между прочим,3.2207806562572676
można powiedzieć,можно сказать,2.8830316546650527
w gruncie,в сущности,2.814282477739108
jak wiadomo,как известно,3.4643696768161205
moim zdaniem,по его мнению,3.648595961552159
jednym słowem,одним словом,3.144936224335791
co znaczy,что называется,3.9941460131448445
wygląda na to,судя по всему,2.9045115397331602
na miłosierdzie boskie,ради Бога,2.4504343193713383
więc jednak,все же,2.2601876284950295
także i,еще и,2.7365730795883816
czy jak,что ли,3.133383131443632
w dodatku,к тому же,2.9657200571540323
nieomalże,едва ли не,2.8698518201279946
nic podobnego,ничего подобного,3.3666368913164697
co tam,да ладно,3.8539485337899277
nie inaczej jak,не иначе как,2.8326492492193105
nieledwie,почти что,3.2356601815494193
to mianowicie,именно что,2.8294547730552964
a zasię,как бы не так,3.5519671499875827
czy jeno,всего-навсего,3.562037160267525
nie bacząc na,несмотря на,3.5044105310604348
w końcu,в конце,3.181547342933191
u boku,рядом с,3.0922790479077187
aż do,вплоть до,3.626207059301568
w postaci,в виде,2.4563239462479154
od strony,со стороны,3.3271801539976398
z powodu,по поводу,3.2457019891816667
na mocy,в силу,3.628820304381088
niedaleko za,недалеко от,3.0707508073209198
na koszt,за счет,2.9403505073926546
po skończonym,по окончании,3.272014712354244
na uwadze,с учетом,3.2625089398768017
