UK,RU,normalized WAS
не раз,не раз,2.970760171661713
все одно,все равно,3.4379706735994406
тільки шо,только что,2.428626848283353
тут же,тут же,3.389084415850753
до сих пір,до сих пор,3.6659112050211755
у відповідь,в ответ,2.7441732559197507
убік,в сторону,3.551396707657819
на себе,на себя,3.535624790510866
по сутi,по существу,3.5274454757576237
ціле життя,всю жизнь,3.2039456547258505
в результаті,в результате,2.9514752596784
на світі,на свете,2.5142373505416873
хіба що,разве что,3.206459755777188
в тому числі,в том числе,2.881000815305862
як тільки,как только,2.4387427874356495
а то й,а то и,2.2307854202395077
після того як,после того как,2.370887989188795
чим більше,чем больше,2.681090199971637
хоча і,хотя и,3.4485070525110757
від того що,оттого что,2.697597604665502
але ж,да ведь,3.953331621132494
хоча б,хотя бы,3.635434049157895
тим більше,тем более,2.742943517502936
перш ніж,прежде чем,3.2024689142693274
за чутками,по слухам,3.545509951019161
таким чином,таким образом,3.6106373626299733
в будь-якому випадку,во всяком случае,3.2294857101374443
між іншим,между прочим,3.431846169460236
можна сказати,можно сказать,3.444581017966315
в істоті,в сущности,3.8488122027658473
як відомо,как известно,3.4936215078968518
за його думкою,по его мнению,2.9582676175741374
одним словом,одним словом,3.274382238989862
що називається,что называется,2.7646814958556307
судячи з усього,судя по всему,3.180365032372618
ради бога,ради Бога,3.8393670979691987
все ж,все же,3.0041473847208633
ще і,еще и,3.2635238801376865
чи що,что ли,3.690006843112532
не те що,не то что,2.292571187198098
чи не,едва ли не,3.17086308978236
нічого подібного,ничего подобного,3.1300692411596094
ну гаразд,да ладно,3.040683660572967
не інакше як,не иначе как,2.6530106660783974
мало не,почти что,2.877965709101327
саме що,именно что,2.93770535198386
як би не так,как бы не так,2.8630157300421133
усього-на-всього,всего-навсего,2.774689618846263
незважаючи на,несмотря на,2.491598776477345
у кінці,в конце,2.9603624783719633
поруч з,рядом с,3.2543118310364276
аж до,вплоть до,3.6456653722628714
у формі,в виде,2.9582657495702613
із боку,со стороны,3.879413481151229
з приводу,по поводу,3.033118238941351
з огляду на,в силу,3.5161924189148546
неподалік від,недалеко от,3.1037272832719665
за рахунок,за счет,2.851918325753703
після закінчення,по окончании,2.368175693271151
з урахуванням,с учетом,2.9358727755924448
