UK,RU,normalized WAS
не раз,не раз,2.5907533664717994
все одно,все равно,2.9983613873646493
тільки шо,только что,3.1819199569037444
тут же,тут же,3.7884198436038097
до сих пір,до сих пор,3.5469453032660887
у відповідь,в ответ,3.7680131932771466
убік,в сторону,3.0545062308049045
на себе,на себя,2.9569630167893806
по сутi,по существу,3.007967238246968
ціле життя,всю жизнь,3.285376114464313
в результаті,в результате,3.3358047919932363
на світі,на свете,3.343846923123555
хіба що,разве что,3.1585825330178454
в тому числі,в том числе,3.581444225704152
як тільки,как только,3.3252597970587043
а то й,а то и,3.203034701912081
після того як,после того как,2.975875580797096
чим більше,чем больше,2.8040483703107455
хоча і,хотя и,2.872927655149475
від того що,оттого что,2.924714090154693
але ж,да ведь,3.2585386642198526
хоча б,хотя бы,2.402139073353212
тим більше,тем более,4.058992219802543
перш ніж,прежде чем,3.2162072756232836
за чутками,по слухам,3.6258574729783026
таким чином,таким образом,3.3209238163081207
в будь-якому випадку,во всяком случае,3.749336719389087
між іншим,между прочим,3.505612782101156
можна сказати,можно сказать,3.2683986992307053
в істоті,в сущности,3.1697425895021683
як відомо,как известно,3.3813954460847198
за його думкою,по его мнению,3.514505516215615
одним словом,одним словом,3.2713689514479314
що називається,что называется,3.5492298943106784
судячи з усього,судя по всему,3.5256445947708306
ради бога,ради Бога,2.6857491359628836
все ж,все же,2.9859929367243168
ще і,еще и,3.4528185839016157
чи що,что ли,3.89401567839075
не те що,не то что,3.156852597004633
чи не,едва ли не,2.7404506878144255
нічого подібного,ничего подобного,2.8176836419724456
ну гаразд,да ладно,3.708433950777212
не інакше як,не иначе как,3.3500514963003094
мало не,почти что,2.7328342902800062
саме що,именно что,2.9678697008146435
як би не так,как бы не так,2.6874858419059398
усього-на-всього,всего-навсего,2.969067589819592
незважаючи на,несмотря на,3.569156817263901
у кінці,в конце,3.2457947108671266
поруч з,рядом с,3.655941550182882
аж до,вплоть до,2.791214731006696
у формі,в виде,4.415734155565706
із боку,со стороны,3.5500130751760484
з приводу,по поводу,3.489559378715846
з огляду на,в силу,4.110247723335621
неподалік від,недалеко от,3.6691975842731925
за рахунок,за счет,3.2605200908244836
після закінчення,по окончании,3.7450244454058494
з урахуванням,с учетом,3.7286441636260155
