BE,RU,normalized WAS
не раз,не однажды,2.6815681721822138
ўсе роўна,все равное,3.192314719105
толькі што,лишь что,2.867764406401204
тут жа,тут как,3.3736204206210867
да гэтай пары,до этой поры,3.2284719808044446
у адказ,в отказ,3.2736700043580598
ўбок,в бок,3.169528928616664
на сябе,на себе,3.274246407535408
па сутнасці,по сущности,3.2629887709160754
ўсе жыцце,целая жизнь,2.896364320892032
у выніку,в выводе,3.481833988747161
на свеце,на мире,3.46814714380696
хіба толькі,ошибка только,3.540532895539368
у тым ліку,в том количестве,2.9575689738995345
як толькі,как просто,3.302863213093211
а то і,а то да,3.1878953589401715
пасля таго як,после того кто,3.1116426052474395
чым больш,чего больше,2.8955475329691405
але не,алло не,2.907664353001697
ад таго што,от того почему,3.2578231331574234
ды зусім,да совсем,3.270636867865145
як мінімум,тот минимум,3.265511735517459
тым больш,тем больше,2.969962285561423
перш чым,прежде нежели,3.2521234863480597
па чутках,по молве,4.222969511325444
такім чынам,таким чином,3.1777470586284555
ва ўсякім разе,во всяком разе,3.014183643018328
мiж iншым,между другими,3.268563245469418
можна сказаць,возможно сказать,3.305339556035872
у сутнасці,по суткам,3.5048372333689803
як вядома,как ведомо,3.4230266755533836
на яго думку,на его мысль,3.1690865826127568
адным словам,одним словам,3.666206006170953
што называецца,что называют,3.1373027704964302
мяркуючы па ўсім,предполагая по всему,3.056408003372579
дзеля бога,для Бога,3.2172519037296774
усе ж,все то же,3.220822043061786
яшчэ і,далее и,4.294641165641893
ці што,маловероятно ли,2.6742852315174503
не тое што,не это что,3.103152265031995
ледзьве не,еле не,3.8111029575358852
нічога падобнага,ничего как,3.6131659788753194
ды годзе,не то кабы,3.128497929185375
няйначай як,нянькой как,3.1199341206026916
амаль што,едва что,3.480241599768326
іменна што,именно чтобы,3.3274353533111465
як бы не так,как бы не да,3.0415786636344255
ўсяго толькi,всего только,3.082171288379968
нягледзячы на,невзирая на,3.58027360043717
ў канцы,в концы,2.952806620157904
побач з,подле с,3.4470931315309987
аж да,даже до,2.776672525839704
у выглядзе,с внешности,3.5590440560682906
з боку,с боку,3.2613536857434933
з нагоды,с повода,3.2378692553223702
ў сілу,в сообщение с,2.7276466226970837
недалека ад,неподалеку с,3.4472544871818234
за кошт,за стоимость,2.8010725423232317
па заканчэнні,после завершения,2.7932868700853644
з улікам,с отчетом,3.418957311096104
