BG,RU,normalized WAS
не веднъж,не однажды,3.6059744451980484
все едно,все одно,2.839434054444693
току-що, сейчас что,2.7592280760665675
още начаса,еще на час,3.065132888689411
досега,до сегодня,3.3339514250897104
в отговор,в отповедь,3.2582763322041632
встрани,в страны,2.5436630008966414
на себе си,на себе,3.5523556175532764
по същество,по веществу,2.670184007606656
цял живот,целый живот,3.0299809016121815
в резултат,в выводе,3.9403598955316292
на света,на мире,3.285186077868196
освен да,кроме да,2.969124134235429
в това число,в то число,3.5232626131643245
още щом,еще тотчас,2.9516837314047564
че даже и,что даже и,3.44335992639674
след като,след как,3.3590718362045133
колкото повече,сколько повесток,2.8679090623299284
макар и,конечно и,3.551171985927998
от това че,однако что,3.1541232848032776
та нали,та ли,3.307017157751671
най-малкото,наименьший,3.0379182127483078
още повече,еще повестка,2.898317853164555
преди да,приди да,3.439494234572823
според слухове,согласно слухам,2.93602890922773
по такъв начин,по такому способу,3.1089483783811285
във всеки случай,во всякий случай,3.502228743001642
между другото,между другим,3.4866533223904597
може да се каже,может себе сказать,2.948975972601196
в същност,в сущность,3.150403703944109
както е известно,как это известно,2.997744603790865
по негово мнение,за его мнение,3.3610271737686768
с една дума,с одной мыслью,2.839554782149514
дето се вика,его зовут,2.9937170248117075
съдейки по всичко,судить по всему,3.1044477133400292
за бога,за бога,3.4504833995996966
все пак,все снова,2.9975238852402066
още и,больше и,2.8047087926673475
ли е,или есть,2.91684980824294
камо ли,уже ли,3.1794280333578406
едва ли не,почти что не,2.998463698695285
нищо подобно,ничего подобно,3.028652772137519
добре де,хорошо же,3.094411934096304
без друго,без другого,3.4160988257554594
почти като,почти как,3.108079040102395
именно че,именно а,3.7159314571019673
как ли пък не,как ли не,3.601835402647727
всичко на всичко,все на все,3.4752794898698367
въпреки че,вопреки чему,3.316355674689515
в края на,на краю,2.8912028430076684
редом с,в ряд с,3.289318964248975
чак до,пока до,2.75791241294899
във вид на,на вид,3.4591197063857506
от страна на,от страны на,2.855588438932688
по повод на,на поводу,3.360939010978326
по силата на,по силе,3.241681835459061
недалече от,не дальше чем,3.195130041933035
за сметка на,за сметой,3.353302738994153
след свършването,по завершению,3.399699116247193
с оглед на,с оглядкой на,2.7914237306590937
