BE,RU,normalized WAS
не раз,не однажды,3.4725104160738827
ўсе роўна,все равное,3.129638942732942
толькі што,лишь что,2.535976130988263
тут жа,тут как,3.3100376109353653
да гэтай пары,до этой поры,2.8485020746867207
у адказ,в отказ,2.8376536371931325
ўбок,в бок,3.25200748422132
на сябе,на себе,3.1433318865479074
па сутнасці,по сущности,2.985586269398857
ўсе жыцце,целая жизнь,3.3501457131025836
у выніку,в выводе,3.191804643238922
на свеце,на мире,3.2550997389067513
хіба толькі,ошибка только,3.066197174135706
у тым ліку,в том количестве,3.1939421374918346
як толькі,как просто,3.4231550082766313
а то і,а то да,3.308480393811513
пасля таго як,после того кто,3.1429351694993954
чым больш,чего больше,2.992340893960903
але не,алло не,3.04867108726281
ад таго што,от того почему,3.479335193775561
ды зусім,да совсем,2.8174725466079185
як мінімум,тот минимум,3.0920698442944987
тым больш,тем больше,2.993394803395523
перш чым,прежде нежели,3.735738829877499
па чутках,по молве,2.621894319145082
такім чынам,таким чином,2.9063450193863027
ва ўсякім разе,во всяком разе,3.0300420008885833
мiж iншым,между другими,3.5276052373866835
можна сказаць,возможно сказать,3.4038849747994324
у сутнасці,по суткам,2.8605558455556768
як вядома,как ведомо,3.1629930863197115
на яго думку,на его мысль,3.2182509727520836
адным словам,одним словам,3.404016202488334
што называецца,что называют,3.0490400263466024
мяркуючы па ўсім,предполагая по всему,3.1064493683280743
дзеля бога,для Бога,3.111994254579906
усе ж,все то же,3.153504803674992
яшчэ і,далее и,3.2627535174304385
ці што,маловероятно ли,3.625751174418458
не тое што,не это что,3.2113754736653535
ледзьве не,еле не,2.911855989296764
нічога падобнага,ничего как,3.050238025787957
ды годзе,не то кабы,2.910867023067486
няйначай як,нянькой как,3.0694172769273482
амаль што,едва что,3.104104251639119
іменна што,именно чтобы,3.3264701360362703
як бы не так,как бы не да,2.8808607078452293
ўсяго толькi,всего только,2.3613757898699137
нягледзячы на,невзирая на,3.4278072507752495
ў канцы,в концы,3.330022593070287
побач з,подле с,3.1495546676735695
аж да,даже до,3.2729010580450004
у выглядзе,с внешности,3.256375112348405
з боку,с боку,3.4165838926336654
з нагоды,с повода,3.403461998912505
ў сілу,в сообщение с,3.4330620896154938
недалека ад,неподалеку с,3.594675245140607
за кошт,за стоимость,3.5801243440634845
па заканчэнні,после завершения,3.4656124507789743
з улікам,с отчетом,2.7672966163636468
