CS,RU,normalized WAS
ne jednou,не один,2.893645453676406
úplně jedno,вполне одно,2.7715984885547
před okamžikem,перед окружением,3.121606873140609
v tom okamžiku,в том окружении,3.258424223031496
až dosud,аж до суда,3.145322657141956
v odpověď,в отповедь,2.9401601828392376
na stranu,на страну,3.132462339100906
na sebe,на себя,3.4164062633887267
v jádru,в ядре,3.3326131390542373
celý život,целый живот,3.2148107343049754
v důsledku,в следах,2.815151498743207
na světě,есть порой,3.255345537975916
snad jen,где не,3.2763155955125742
z toho,с того,2.756627232111915
co nejrychleji,как быстрейший,3.341386478831624
dokonce i,до конца и,2.9775700679801127
potom co,"потом, что",3.30215757368512
čím více,чем выше,3.0140770468873104
i když,и где,3.448813292838963
proto že,просто же,2.8705652792927836
ale vždyť,а видит,2.8439826380491895
ne méně než,"не менее, нежели",2.7310649597235352
už vůbec,уж вообще,3.1625498430160794
než dojde,не дождь ,3.28244907886477
povídalo se,так же можно,2.9201977535484414
tímto způsobem,тем способом,3.2015687455266213
v každém případě,в каждом припадке,3.215177217666439
mezi jiným,между иными,2.970844288736098
lze říci,ложная речь,3.8765511357165154
v podstatě,в подстатье,3.811895222818346
jak je známo,как знамя,3.1446875660237135
podle něj,возле нее,2.6651909666112936
krátce řečeno,быстро решено,3.114755620265378
jak se říká,как река,2.121982599666743
podle všeho,возле всего,2.7369960524403276
proboha,про Бога,3.0984613632643843
asi spíš,еще спишь,3.615905087178345
a navíc,а настолько,3.506479899515272
či co,еще тяжело,3.2647633177699094
nejen že,не один же,3.15098476641581
skoro ještě,скоро есть,3.160722826737898
nic takového,не такого,2.323390505425406
do prčic,нежели бы,3.5989922346519077
nic jiného než,не иной нежели,2.4441037236995715
kousek od,кусок от,3.1851417925003833
přesně tak,так пресно,3.410366090076927
jak by ne,как бы не,2.5013588414368577
všeho všudy,все всюду,2.738339702253237
navzdory tomu,о вздоре с тем,2.9480771522160993
na konec,на конец,2.643306144371414
v blízkosti,в близких,3.103596686389242
až po,аж по,3.7985312511386673
ve formě,в форме,3.0441650527350523
za účelem,с страны,2.8666408900256775
na účet,на учет,2.995746963856788
v platnost,в жизни с,3.215548886235405
nedaleko,в припадке,3.3655110538987536
na útraty,из-за утраты,3.3417783718939975
po skončení,возле суда,3.226984865369847
s ohledem na,на закладке,3.4795043323416763
