PL,RU,normalized WAS
niejednokrotnie,неоднократно,2.787364229630277
wszystko jedno,все одно,2.7365717618758145
przed chwilą,перед минутой,3.5477978005835564
a tu,а тут,3.2651106568291572
nadal,далее,3.0638209163718613
w odpowiedzi,в отповедь,2.6888426079822847
w bok,в бок,3.030781118021471
na siebie,на себе,3.327589115870394
w rzeczywistości,в реальности,2.6124785154903436
całe życie,целое житие,3.3511682456153498
w rezultacie czego,в результате чего,3.2513772347161694
na świecie,на мир,2.4917754181535883
chyba że,кажется же,3.5385129369915
w tym,в том,2.5875148899870184
jak tylko,как лишь,3.1810615063442818
albo i,либо и,3.673557303841617
od momentu kiedy,от момента когда,3.302350900312475
im większy,их больше,3.5971562641157995
choć i,хочешь и,3.847110337612222
z tego że,из того же,3.3895123956573183
ale przecież,а ведь,2.754348091895896
gdyby chociaż,где бы,2.7477613900376348
tym bardziej,тем больше,3.129761929737802
zanim,за ним,3.5336636902204606
jak głosi fama,как голос славы,2.932634444685599
w taki oto sposób,таким вот способом,3.1830106592986636
w każdym razie,в каждом случае,3.315940456551495
nawiasem mówiąc,вскользь говоря,3.2398856047565077
można powiedzieć,можно поведать,2.954393564974739
w gruncie rzeczy,в основе речи,2.8367523359908944
jak wiadomo,как ведомо,2.833581117492876
moim zdaniem,моим зданием,3.6877819656049358
jednym słowem,единым словом,3.1707970293666246
co znaczy,что значит,3.742742541150334
wygląda na to,глядит на то,2.6318021670000173
na miłosierdzie boskie,на милосердие Бога,3.0689773116287293
więc jednak,ведь однако,2.8058077895803026
także i,также и,3.5653088140982896
czy jak,что как,2.6867848985808562
w dodatku,в дополнении,3.582531899009521
nieomalże,необработанные,3.207120081187418
nic podobnego,нет подобного,2.728214534360347
co tam,что там,3.3112296093975875
nie inaczej jak,как по-иному,3.054532620743881
nieledwie,лишь не,3.0957201117034003
to mianowicie,то именно,3.0517902446092684
a zasię,но же,2.963709332708381
czy jeno,что один,2.8080066972088087
nie bacząc na,не заботясь о,3.452419294632484
w końcu,к концу,3.595285084221114
u boku,у бока,2.7416397460769626
aż do,аж до,3.262886378709483
w postaci,в облике,2.9827920933900334
od strony,от стороны,3.580733909190107
z powodu,с повода,3.0178832766073516
na mocy,на силу,2.879266443706265
niedaleko za,недалеко за,3.1619251286949095
na koszt,на расходы,3.878205230306046
po skończonym,у ученого,2.874043500767822
na uwadze,с уважением,3.609976728272968
