UK,RU,normalized WAS
не раз,не однажды,3.1975685539345595
все одно,все одно,2.8019765715040617
тільки шо,лишь что,3.2201614116459463
тут же,тут как,3.8769071721524653
до сих пір,до той поры,2.950060004080242
у відповідь,в отповедь,3.2990169183893556
убік,в бок,3.2423289973004885
на себе,на себе,3.2077025214356985
по сутi,по суткам,2.788481146455593
ціле життя,целая жизнь,3.5985862843968124
в результаті,в выводе,2.663658684962966
на світі,на мире,3.045345429628892
хіба що,ошибка что,3.4526046188123427
в тому числі,в то число,2.8537025510791194
як тільки,как просто,2.9776926927619582
а то й,а то да,2.9839001302137853
після того як,после того кто,2.6400189011431006
чим більше,чего больше,2.885258048866058
хоча і,хочет и,3.1634248220435737
від того що,от того почему,3.2611678521312046
але ж,но же,2.815670535590541
хоча б,хочет бы,3.2528755932272952
тим більше,тем больше,2.842345725169263
перш ніж,прежде нежели,3.8687526283230653
за чутками,за слухами,3.6105986771975958
таким чином,таким способом,3.6336261526308418
в будь-якому випадку,в каком-либо случае,3.2361770313435545
між іншим,между иными,3.60240166074648
можна сказати,возможно говорить,3.4865985380560613
в істоті,в существе,3.8893337709424256
як відомо,как видимо,3.300434367097635
за його думкою,за его мыслью,2.960303941524998
одним словом,одного слова,2.9861360210057746
що називається,что именуется,3.1319635979114255
судячи з усього,судить по всем,2.9274640800995844
ради бога,рад Бог,3.425887369597569
все ж,все да,3.809441826993102
ще і,уж и,3.5072001465745757
чи що,либо что,3.2534619358462584
не те що,не те что,2.796206807014777
чи не,либо не,2.7777681116990074
нічого подібного,ничего сходного,2.93991454476234
ну гаразд,ну гораздо,3.281834808150182
не інакше як,не иной как,2.9977959591722896
мало не,мало не,2.9085480580844405
саме що,сами что,3.2225228521568745
як би не так,как бы не совсем,3.568543705993807
усього-на-всього,итого на все,2.8162956419476397
незважаючи на,несмотря по,2.931033177298539
у кінці,в концы,3.060093599416877
поруч з,возле с,3.5438078612308836
аж до,пока до,3.094233930004737
у формі,в форме,3.1070849282030815
із боку,с боку,3.256504585246985
з приводу,с привода,3.4076871703578666
з огляду на,с оглядкой на,3.2538955585538054
неподалік від,неподалеку с,2.9707130861780295
за рахунок,за порядком,3.0137144182813285
після закінчення,после завершения,3.244714364042143
з урахуванням,с порядком,2.8201590015993077
