UK,RU,normalized WAS
не раз,не однажды,2.8947520029480276
все одно,все одно,3.1165118022193816
тільки шо,лишь что,3.160127850042335
тут же,тут как,3.9631619646301566
до сих пір,до той поры,3.213788560603523
у відповідь,в отповедь,4.04214232936347
убік,в бок,3.0280061784108985
на себе,на себе,3.7684252100542994
по сутi,по суткам,3.0198808946367612
ціле життя,целая жизнь,3.2525378686729924
в результаті,в выводе,3.611378628491283
на світі,на мире,3.107282238804179
хіба що,ошибка что,3.0547422003293336
в тому числі,в то число,3.496823662918847
як тільки,как просто,3.489211385040542
а то й,а то да,3.485519106303059
після того як,после того кто,3.3317462827807565
чим більше,чего больше,2.799380506537737
хоча і,хочет и,2.885991603936096
від того що,от того почему,3.410408092232665
але ж,но же,3.6372355721341236
хоча б,хочет бы,2.5682971406943134
тим більше,тем больше,2.8930378203509783
перш ніж,прежде нежели,3.4312159068023806
за чутками,за слухами,3.4190190425948317
таким чином,таким способом,3.6278952513767533
в будь-якому випадку,в каком-либо случае,3.36606770449065
між іншим,между иными,3.0882199768567755
можна сказати,возможно говорить,3.175368044702057
в істоті,в существе,3.1582208826614044
як відомо,как видимо,3.020534788163408
за його думкою,за его мыслью,3.1087339542697587
одним словом,одного слова,3.491706343832533
що називається,что именуется,3.7790772310498575
судячи з усього,судить по всем,3.425691956515161
ради бога,рад Бог,3.0658991811977714
все ж,все да,3.7106358562845934
ще і,уж и,2.9386389785203426
чи що,либо что,2.70383230359865
не те що,не те что,3.00555927381642
чи не,либо не,2.793390654325828
нічого подібного,ничего сходного,3.0898870331233956
ну гаразд,ну гораздо,3.4679542231135447
не інакше як,не иной как,3.31342068297067
мало не,мало не,3.394017526576899
саме що,сами что,3.0100439783531296
як би не так,как бы не совсем,3.0721946540184004
усього-на-всього,итого на все,3.3599863298504262
незважаючи на,несмотря по,3.6598383655855966
у кінці,в концы,2.8045548554834525
поруч з,возле с,3.473111580977348
аж до,пока до,2.7859951777819383
у формі,в форме,3.429499167707938
із боку,с боку,3.465777820097077
з приводу,с привода,3.4880328703488646
з огляду на,с оглядкой на,3.202780807666367
неподалік від,неподалеку с,3.116658990913888
за рахунок,за порядком,3.0716575269296285
після закінчення,после завершения,3.048824763873846
з урахуванням,с порядком,3.6398033505648986
